date,close,open,high,low,volume,symbol
20241225,811.3663,822.9204,823.1594,804.2139,2045388.0,000689.SH
20241224,821.9571,812.2179,822.5986,809.4923,2067440.0,000689.SH
20241223,810.2744,834.5738,834.5738,809.423,2545232.0,000689.SH
20241220,834.2387,822.8547,844.4554,820.8502,2977733.0,000689.SH
20241219,825.288,819.6482,827.9159,814.9118,2123708.0,000689.SH
20241218,827.8238,828.1989,836.7907,821.2751,2039958.0,000689.SH
20241217,825.0838,834.3094,840.2309,823.6916,2448521.0,000689.SH
20241216,833.48,852.5008,853.4057,829.5811,2474413.0,000689.SH
20241213,852.7351,870.2028,870.468,851.5128,3645499.0,000689.SH
20241212,876.1064,874.7786,881.2387,866.437,2811217.0,000689.SH
20241211,873.8775,874.4121,879.8728,870.7007,2885777.0,000689.SH
20241210,874.9644,900.2367,901.5316,873.9998,4042936.0,000689.SH
20241209,865.7887,871.2974,877.5599,859.1992,2614523.0,000689.SH
20241206,871.7493,866.4782,880.3017,849.6897,2789292.0,000689.SH
20241205,865.3036,854.6529,869.7912,854.2638,2467461.0,000689.SH
20241204,858.9704,875.5275,877.832,854.7448,2838362.0,000689.SH
20241203,873.246,883.5606,885.3668,865.7944,2806830.0,000689.SH
20241202,879.0976,863.3765,883.2349,857.3997,3174799.0,000689.SH
20241129,865.5965,845.6232,875.6011,839.0869,2975473.0,000689.SH
20241128,846.032,852.669,862.5054,844.9899,2618471.0,000689.SH
20241127,851.9762,832.618,852.6624,815.7018,2844296.0,000689.SH
20241126,834.1599,855.7246,857.5938,833.2259,2645891.0,000689.SH
20241125,859.2277,851.5105,860.7636,841.8116,3041922.0,000689.SH
20241122,848.4877,887.6591,896.2176,848.4877,3512772.0,000689.SH
20241121,889.2312,890.9821,900.9067,879.5076,3635264.0,000689.SH
20241120,894.7834,886.0594,902.4432,882.4313,3707821.0,000689.SH
20241119,887.7617,852.5837,888.1367,848.2593,3533079.0,000689.SH
20241118,849.5734,877.9244,881.8108,843.8241,3678347.0,000689.SH
20241115,871.96,900.7679,909.1351,870.9637,4075386.0,000689.SH
20241114,905.7082,947.4692,950.8065,903.4189,4460155.0,000689.SH
20241113,944.1312,939.8996,952.7204,924.7117,4122373.0,000689.SH
20241112,939.7493,978.4114,980.73,931.406,5944459.0,000689.SH
20241111,968.2061,911.7713,968.9718,911.7713,6736093.0,000689.SH
20241108,904.4938,901.6167,927.0246,901.6167,5654516.0,000689.SH
20241107,883.5881,869.1987,885.4689,865.1628,4709033.0,000689.SH
20241106,869.4898,869.6991,894.2233,863.2984,4733577.0,000689.SH
20241105,860.9324,825.359,863.4903,823.8415,4395120.0,000689.SH
20241104,822.0825,803.1672,825.8293,800.7306,2696547.0,000689.SH
20241101,803.3766,824.5882,832.8985,800.6691,3336233.0,000689.SH
20241031,827.0348,811.7453,831.7725,801.0742,3760728.0,000689.SH
20241030,809.5669,815.1195,823.5751,801.4558,3202065.0,000689.SH
20241029,816.6558,839.3395,845.887,815.6825,3587930.0,000689.SH
20241028,835.1263,833.6287,839.5022,826.3072,3513619.0,000689.SH
20241025,831.3127,808.0062,842.7925,807.9782,3896248.0,000689.SH
20241024,805.2736,811.2951,813.0353,799.5669,2608790.0,000689.SH
20241023,811.7132,800.9841,825.441,797.7401,3480949.0,000689.SH
20241022,802.4353,802.8633,809.1861,789.9728,3398996.0,000689.SH
20241021,804.2348,800.1315,836.4914,788.857,5023111.0,000689.SH
20241018,786.5887,727.6133,810.5568,725.1528,4569088.0,000689.SH
20241017,728.9166,737.3256,744.9584,728.635,2490827.0,000689.SH
20241016,731.064,730.9059,746.0353,725.3534,2458797.0,000689.SH
20241015,742.0897,760.9868,773.0746,742.0897,2772213.0,000689.SH
20241014,762.9963,752.1405,766.955,730.0139,3335478.0,000689.SH
20241011,746.4324,786.091,789.2651,736.7153,3708639.0,000689.SH
20241010,793.0773,832.2466,842.2464,793.0773,4791707.0,000689.SH
20241009,820.5399,862.1504,885.2268,807.4253,7271881.0,000689.SH
20241008,891.5795,919.1504,919.1504,834.6306,8042454.0,000689.SH
20240930,771.3392,697.7138,771.6339,692.1625,5895296.0,000689.SH
20240927,660.353,632.2875,663.4163,630.0346,2045006.0,000689.SH
20240926,619.8831,590.3743,619.8831,590.2231,2024544.0,000689.SH
20240925,590.9052,595.6719,604.7086,590.117,2072284.0,000689.SH
20240924,587.8665,562.6199,587.8665,562.3345,2025496.0,000689.SH
20240923,558.8019,559.3005,563.3399,554.6195,869479.0,000689.SH
20240920,558.4898,564.5705,565.4133,554.7516,986820.0,000689.SH
20240919,564.2497,562.9726,576.0789,556.9162,1110179.0,000689.SH
20240918,560.4517,569.0337,570.2286,554.6693,971796.0,000689.SH
20240913,569.3017,578.937,579.8584,566.5176,1103808.0,000689.SH
20240912,578.8365,581.6827,590.2806,578.8365,1010585.0,000689.SH
20240911,581.9328,578.2834,586.3843,577.0059,1145611.0,000689.SH
20240910,579.5536,579.255,583.2796,568.5439,972823.0,000689.SH
20240909,578.2015,580.9473,586.7688,577.1772,993081.0,000689.SH
