date,open,close,high,low,volume,symbol
20100906,0.995,1.0,1.003,0.993,19700,160807.SZ
20100907,0.999,1.001,1.002,0.999,20856,160807.SZ
20100908,0.998,1.0,1.0,0.997,17312,160807.SZ
20100909,1.0,0.998,1.0,0.992,11975,160807.SZ
20100910,0.998,0.993,0.998,0.992,44368,160807.SZ
20100913,0.993,0.996,0.999,0.992,27396,160807.SZ
20100914,0.997,0.998,0.998,0.995,3954,160807.SZ
20100915,0.993,0.991,0.994,0.99,7729,160807.SZ
20100916,0.985,0.979,0.99,0.971,5893,160807.SZ
20100917,0.977,0.98,0.984,0.977,2556,160807.SZ
20100920,0.99,0.98,0.99,0.977,1942,160807.SZ
20100921,0.979,0.977,0.979,0.976,406,160807.SZ
20100927,0.977,0.985,0.986,0.977,8040,160807.SZ
20100928,0.987,0.982,0.99,0.981,7029,160807.SZ
20100929,0.986,0.99,0.993,0.986,2420,160807.SZ
20100930,0.981,1.0,1.0,0.981,13020,160807.SZ
20101008,1.001,1.029,1.03,1.001,35458,160807.SZ
20101011,1.028,1.053,1.055,1.027,28335,160807.SZ
20101012,1.053,1.072,1.072,1.046,63848,160807.SZ
20101013,1.065,1.079,1.08,1.064,46677,160807.SZ
20101014,1.088,1.087,1.1,1.082,25436,160807.SZ
20101015,1.083,1.12,1.12,1.082,40359,160807.SZ
20101018,1.12,1.115,1.132,1.113,28821,160807.SZ
20101019,1.111,1.133,1.133,1.109,17849,160807.SZ
20101020,1.12,1.136,1.15,1.12,14057,160807.SZ
20101021,1.136,1.128,1.14,1.123,10334,160807.SZ
20101022,1.13,1.135,1.14,1.122,6433,160807.SZ
20101025,1.135,1.169,1.169,1.135,5822,160807.SZ
20101026,1.169,1.162,1.206,1.16,5064,160807.SZ
20101027,1.16,1.151,1.163,1.138,3700,160807.SZ
20101028,1.142,1.149,1.149,1.135,3543,160807.SZ
20101029,1.137,1.137,1.138,1.125,3914,160807.SZ
20101101,1.148,1.162,1.247,1.134,3940,160807.SZ
20101102,1.175,1.164,1.175,1.161,3290,160807.SZ
20101103,1.16,1.15,1.161,1.149,2904,160807.SZ
20101104,1.16,1.164,1.165,1.152,15499,160807.SZ
20101105,1.172,1.181,1.182,1.172,6388,160807.SZ
20101108,1.182,1.183,1.193,1.18,10393,160807.SZ
20101109,1.184,1.182,1.185,1.172,6893,160807.SZ
20101110,1.18,1.175,1.18,1.167,1905,160807.SZ
20101111,1.166,1.186,1.229,1.166,10349,160807.SZ
20101112,1.176,1.112,1.176,1.112,6395,160807.SZ
20101115,1.11,1.113,1.117,1.1,5218,160807.SZ
20101116,1.103,1.074,1.109,1.07,3142,160807.SZ
