date,close,open,high,low,volume,symbol
20241225,7130.8656,7150.8939,7190.0165,7069.448,20957178.0,930651.CSI
20241224,7172.2915,7147.3433,7198.389,7049.5072,19747732.34,930651.CSI
20241223,7139.7305,7293.2289,7331.8738,7110.6266,23537938.92,930651.CSI
20241220,7285.4551,7219.4319,7383.6349,7200.9837,27069585.88,930651.CSI
20241219,7270.4896,6968.5231,7286.8306,6962.731,30444429.4,930651.CSI
20241218,7058.2573,6967.0217,7094.0052,6911.3764,20091991.16,930651.CSI
20241217,6944.0507,7024.3399,7085.2117,6933.1502,19477228.15,930651.CSI
20241216,7038.007,7175.0766,7181.0479,7001.5751,23518633.6,930651.CSI
20241213,7167.1691,7270.9994,7309.3482,7163.2861,31476096.4,930651.CSI
20241212,7348.758,7320.7649,7359.0054,7212.4946,24116275.89,930651.CSI
20241211,7325.3986,7290.5404,7341.835,7247.4408,23535413.3,930651.CSI
20241210,7332.8184,7536.0957,7539.6514,7322.5616,32484605.24,930651.CSI
20241209,7224.8145,7256.5718,7366.9062,7149.3786,23934027.94,930651.CSI
20241206,7266.466,7239.0515,7371.8109,7160.2466,28290695.54,930651.CSI
20241205,7191.0195,7076.9891,7239.0072,7076.9891,24933378.46,930651.CSI
20241204,7094.2137,7168.2801,7213.9555,7062.8087,27426386.73,930651.CSI
20241203,7174.4913,7283.5027,7285.6999,7099.0096,28476716.15,930651.CSI
20241202,7290.7162,7208.8943,7333.6054,7197.7599,29707051.31,930651.CSI
20241129,7250.3623,7000.0133,7346.5857,6999.9294,33744232.66,930651.CSI
20241128,7034.5756,7071.0338,7208.9673,7026.5499,30693610.82,930651.CSI
20241127,7071.777,6803.593,7072.2621,6720.2607,27225872.54,930651.CSI
20241126,6855.6598,6953.2695,7047.2884,6851.0345,25755277.77,930651.CSI
20241125,7004.0936,7056.1078,7091.2211,6800.3502,34035353.49,930651.CSI
20241122,7022.7861,7230.6217,7396.0827,7021.8095,41453365.59,930651.CSI
20241121,7268.2901,7128.1837,7362.6838,7107.1182,31558016.54,930651.CSI
20241120,7166.5223,7028.1378,7248.735,7009.781,34628818.78,930651.CSI
20241119,7070.1999,6850.8535,7087.365,6755.6663,33764667.4,930651.CSI
20241118,6880.0939,7247.7911,7271.0154,6831.891,38989088.26,930651.CSI
20241115,7218.8235,7431.9692,7587.5657,7218.6569,40940834.82,930651.CSI
20241114,7480.3631,7723.6767,7759.0685,7464.0937,41535790.08,930651.CSI
20241113,7786.9868,7634.3925,7818.7305,7591.05,45024007.58,930651.CSI
20241112,7693.632,7870.7755,7870.7755,7573.7147,48755481.2,930651.CSI
20241111,7850.4482,7462.9487,7881.6861,7454.3423,54744276.21,930651.CSI
20241108,7463.9982,7445.3611,7658.9121,7423.8523,47168805.22,930651.CSI
20241107,7347.3253,6990.995,7351.2122,6954.7506,44627927.92,930651.CSI
20241106,7090.3973,7049.6309,7244.8352,7002.4723,52164589.85,930651.CSI
20241105,7028.201,6634.0496,7055.4132,6605.151,44141575.09,930651.CSI
20241104,6621.7347,6400.1436,6621.7347,6389.3263,31799059.1,930651.CSI
20241101,6449.8002,6675.0147,6734.225,6444.3759,47277404.4,930651.CSI
20241031,6736.4311,6669.2768,6861.7389,6582.1351,49538287.32,930651.CSI
20241030,6633.6088,6490.2132,6657.5833,6469.3327,35012485.18,930651.CSI
20241029,6534.129,6515.0199,6686.8607,6474.5145,36637866.8,930651.CSI
20241028,6509.6277,6437.4792,6517.5635,6398.3137,26868928.77,930651.CSI
20241025,6439.1386,6411.7932,6516.7372,6361.0467,24056769.18,930651.CSI
20241024,6401.6054,6396.0762,6430.6265,6344.5656,24853099.63,930651.CSI
20241023,6459.0995,6488.8237,6617.4875,6419.8635,30995406.08,930651.CSI
20241022,6492.696,6573.362,6580.8326,6401.615,34011399.43,930651.CSI
20241021,6599.248,6494.5657,6735.4989,6464.4206,42148707.23,930651.CSI
20241018,6440.5124,6091.4361,6620.5368,6021.1164,41849549.35,930651.CSI
20241017,6128.0881,6143.256,6288.0843,6083.8008,31839821.39,930651.CSI
20241016,6014.3788,5919.9113,6128.6307,5918.8305,22419172.11,930651.CSI
20241015,6079.4439,6182.9767,6429.001,6079.4439,32914134.89,930651.CSI
20241014,6202.7363,5940.5088,6203.3539,5795.0206,29101471.24,930651.CSI
20241011,5928.5863,6058.243,6130.2725,5839.6756,28901774.69,930651.CSI
20241010,6186.7934,6559.6254,6602.4787,6142.9284,39640323.05,930651.CSI
20241009,6514.6337,6744.3003,7004.1851,6463.9627,49072005.42,930651.CSI
20241008,6817.2917,6886.5173,6886.5173,6470.1465,45103846.12,930651.CSI
20240930,6093.8194,5803.6641,6093.8524,5748.9404,38752302.4,930651.CSI
20240927,5432.1357,5113.2916,5442.4055,5113.2916,28761424.73,930651.CSI
20240926,5009.5469,4776.8793,5009.5469,4772.3701,20272232.98,930651.CSI
20240925,4789.8654,4780.2382,4913.864,4777.3277,20606397.31,930651.CSI
20240924,4732.3707,4599.9338,4732.3707,4526.3107,19314296.11,930651.CSI
20240923,4579.2901,4562.0403,4629.8613,4561.7174,13207369.23,930651.CSI
20240920,4560.2561,4510.3196,4574.2372,4505.1542,12281685.51,930651.CSI
20240919,4511.4326,4452.5349,4536.9792,4398.1421,10981911.3,930651.CSI
20240918,4422.2042,4414.7674,4440.8541,4351.7852,7351564.35,930651.CSI
20240913,4413.0349,4466.3589,4475.1481,4412.1541,7042573.11,930651.CSI
20240912,4463.8257,4502.311,4552.8888,4463.6643,7566272.91,930651.CSI
20240911,4488.0939,4455.9244,4496.3454,4447.8693,6570528.21,930651.CSI
20240910,4479.199,4389.1487,4510.8735,4331.9822,9408455.45,930651.CSI
20240909,4380.5046,4404.5566,4433.3596,4357.7224,6606641.12,930651.CSI
20240906,4426.2559,4519.5533,4529.0518,4425.8214,7467237.05,930651.CSI
20240905,4511.8534,4492.9341,4553.0645,4492.3221,7954585.44,930651.CSI
20240904,4478.3118,4462.83,4521.694,4459.0459,8332453.49,930651.CSI
20240903,4500.9932,4427.0639,4502.5287,4427.0639,8593463.07,930651.CSI
20240902,4427.2181,4564.7124,4571.1267,4427.2181,10558881.01,930651.CSI
20240830,4573.5057,4444.0881,4623.7444,4444.0881,13617050.77,930651.CSI
20240829,4441.6976,4363.2221,4470.1299,4358.2683,8816274.69,930651.CSI
20240828,4382.5136,4369.1459,4402.0808,4327.8487,8021921.45,930651.CSI
20240827,4374.5642,4435.3167,4451.6613,4361.0387,9594712.61,930651.CSI
20240826,4457.4767,4472.9818,4494.4283,4435.2616,8672683.74,930651.CSI
20240823,4461.6805,4404.9623,4480.5603,4404.9623,8540920.35,930651.CSI
20240822,4399.7817,4491.5245,4542.1615,4393.8092,8826677.22,930651.CSI
20240821,4488.5526,4498.6234,4547.2702,4485.3508,6153218.55,930651.CSI
20240820,4514.3402,4608.8101,4612.1177,4504.8942,7445723.52,930651.CSI
20240819,4614.9505,4585.8895,4672.2217,4584.6282,8049052.23,930651.CSI
20240816,4600.4482,4627.5555,4642.1898,4594.8659,7294756.87,930651.CSI
20240815,4627.1908,4562.9633,4675.0889,4555.1397,9527341.27,930651.CSI
20240814,4579.304,4609.2867,4626.2083,4579.304,7504623.65,930651.CSI
20240813,4608.6527,4582.6504,4608.7832,4548.8515,6237752.27,930651.CSI
20240812,4582.7215,4616.0907,4624.3322,4564.6781,7801078.45,930651.CSI
20240809,4633.4766,4704.7142,4725.6607,4633.4766,7331714.95,930651.CSI
20240808,4676.3866,4678.6457,4725.3241,4608.1513,8138232.05,930651.CSI
20240807,4704.5418,4747.7052,4770.4537,4697.3265,7255576.75,930651.CSI
20240806,4754.256,4778.5864,4799.187,4694.2232,7970613.36,930651.CSI
20240805,4716.4213,4822.1124,4913.0124,4716.4213,11028280.96,930651.CSI
20240802,4878.9828,4924.5167,4989.0208,4871.6708,9604097.59,930651.CSI
20240801,4971.7081,5024.2064,5044.2264,4952.0573,9787921.13,930651.CSI
20240731,5019.3361,4807.606,5019.3361,4804.0822,13217424.3,930651.CSI
20240730,4818.6973,4811.233,4837.0033,4749.6537,8044569.71,930651.CSI
20240729,4826.5262,4859.16,4863.054,4820.36,7319075.26,930651.CSI
20240726,4856.6879,4822.1402,4878.3111,4803.0596,7507935.0,930651.CSI
20240725,4826.7598,4793.1586,4877.1739,4784.6195,8038892.96,930651.CSI
20240724,4826.3004,4875.3298,4917.0173,4811.7715,9779360.29,930651.CSI
20240723,4892.9568,5026.3496,5037.307,4892.611,11603170.7,930651.CSI
20240722,5049.878,5048.9464,5095.4738,5020.3139,13165345.27,930651.CSI
20240719,4994.5432,4869.0067,5015.7267,4864.6474,11556198.91,930651.CSI
20240718,4894.8739,4876.8054,4907.6017,4787.2675,10553697.57,930651.CSI
20240717,4916.4294,4948.1851,4996.1628,4916.4294,10308028.81,930651.CSI
20240716,4946.4379,4809.458,4960.4531,4795.2538,10824164.86,930651.CSI
20240715,4825.8646,4881.619,4881.619,4811.734,7368774.16,930651.CSI
20240712,4894.2683,4928.3102,4928.3102,4881.1008,9069351.3,930651.CSI
20240711,4953.3879,4939.2065,4974.2498,4885.156,11711784.42,930651.CSI
