date,open,high,low,close,volume,open_interest,settle,symbol
20120510,6190.0,6196.0,6082.0,6142.0,259996,33726,6126.0,AG0
20120511,6110.0,6115.0,6000.0,6002.0,206804,55020,6056.0,AG0
20120514,6040.0,6045.0,5960.0,5977.0,207668,57028,5999.0,AG0
20120515,5895.0,5910.0,5711.0,5843.0,445150,82238,5813.0,AG0
20120516,5750.0,5786.0,5643.0,5647.0,599186,108376,5704.0,AG0
20120517,5705.0,5787.0,5691.0,5763.0,558246,89768,5748.0,AG0
20120518,5808.0,5881.0,5768.0,5863.0,695576,92162,5827.0,AG0
20120521,5957.0,5964.0,5903.0,5941.0,405766,97686,5932.0,AG0
20120522,5920.0,5930.0,5882.0,5890.0,371088,90716,5903.0,AG0
20120523,5800.0,5818.0,5759.0,5791.0,300170,90202,5791.0,AG0
20120524,5785.0,5838.0,5766.0,5832.0,301270,85938,5804.0,AG0
20120525,5858.0,5912.0,5804.0,5904.0,420278,92544,5849.0,AG0
20120528,5940.0,5992.0,5916.0,5989.0,381418,94920,5955.0,AG0
20120529,5933.0,5982.0,5922.0,5962.0,349920,93104,5950.0,AG0
20120530,5817.0,5855.0,5798.0,5801.0,349610,94548,5826.0,AG0
20120531,5836.0,5878.0,5826.0,5851.0,365958,85856,5853.0,AG0
20120601,5800.0,5840.0,5771.0,5832.0,296984,86528,5811.0,AG0
20120604,5923.0,5998.0,5901.0,5947.0,393532,87272,0.0,AG0
20120605,5954.0,5985.0,5921.0,5931.0,323394,87988,5952.0,AG0
20120606,6001.0,6092.0,5991.0,6088.0,343846,89946,6050.0,AG0
20120607,6145.0,6154.0,6110.0,6133.0,272726,91644,6125.0,AG0
20120608,6005.0,6023.0,5905.0,5935.0,316480,79718,5959.0,AG0
20120611,6054.0,6099.0,6031.0,6063.0,207094,77300,6068.0,AG0
20120612,5992.0,6038.0,5978.0,5988.0,243702,87952,6005.0,AG0
20120613,6050.0,6083.0,6040.0,6081.0,184636,80188,6062.0,AG0
20120614,6068.0,6128.0,6061.0,6080.0,189246,82052,6086.0,AG0
20120615,6050.0,6085.0,6032.0,6070.0,208546,80836,6062.0,AG0
20120618,6087.0,6095.0,6003.0,6010.0,309918,99022,6026.0,AG0
20120619,6058.0,6080.0,6045.0,6063.0,168258,76972,6063.0,AG0
20120620,5996.0,6029.0,5990.0,6010.0,175782,83302,6007.0,AG0
20120621,5900.0,5925.0,5893.0,5911.0,141540,75606,5909.0,AG0
20120625,5700.0,5742.0,5691.0,5716.0,162514,89926,5724.0,AG0
20120626,5830.0,5830.0,5783.0,5791.0,139496,83698,5809.0,AG0
20120627,5767.0,5771.0,5725.0,5745.0,134318,90242,5748.0,AG0
20120628,5778.0,5782.0,5733.0,5737.0,120318,88586,5747.0,AG0
20120629,5651.0,5764.0,5632.0,5751.0,234654,83390,5704.0,AG0
20120702,5831.0,5835.0,5785.0,5796.0,156980,73088,5804.0,AG0
20120703,5820.0,5915.0,5810.0,5909.0,186102,68056,5870.0,AG0
20120704,5952.0,5979.0,5932.0,5948.0,133860,61944,5952.0,AG0
20120705,5960.0,5995.0,5944.0,5993.0,118224,64576,5969.0,AG0
20120706,5929.0,5932.0,5864.0,5872.0,148200,64902,5891.0,AG0
20120709,5790.0,5832.0,5782.0,5806.0,141584,71858,5807.0,AG0
20120710,5813.0,5834.0,5795.0,5798.0,100886,69612,5812.0,AG0
20120711,5755.0,5780.0,5750.0,5774.0,95358,69642,5767.0,AG0
20120712,5774.0,5779.0,5728.0,5743.0,113558,77556,5745.0,AG0
20120713,5770.0,5830.0,5764.0,5828.0,96844,69356,5800.0,AG0
20120716,5810.0,5834.0,5787.0,5828.0,90630,63190,5811.0,AG0
20120717,5845.0,5877.0,5812.0,5830.0,104858,59076,5847.0,AG0
20120718,5835.0,5838.0,5780.0,5811.0,76038,57184,5805.0,AG0
20120719,5815.0,5828.0,5797.0,5822.0,64602,55478,5814.0,AG0
20120720,5809.0,5811.0,5787.0,5799.0,61744,54728,5799.0,AG0
20120723,5845.0,5845.0,5777.0,5790.0,76106,54036,5809.0,AG0
20120724,5796.0,5822.0,5792.0,5794.0,63916,53654,5805.0,AG0
20120725,5784.0,5817.0,5740.0,5745.0,81420,64072,5788.0,AG0
20120726,5840.0,5886.0,5820.0,5872.0,100676,55172,5859.0,AG0
20120727,5862.0,5932.0,5862.0,5926.0,83740,57758,5897.0,AG0
20120730,5923.0,5925.0,5887.0,5893.0,66076,53020,5905.0,AG0
20120731,5978.0,6044.0,5972.0,6022.0,124084,61994,6018.0,AG0
20120801,5965.0,5992.0,5949.0,5990.0,76542,60402,5972.0,AG0
20120802,5880.0,5910.0,5880.0,5896.0,67152,60746,5898.0,AG0
20120803,5866.0,5868.0,5842.0,5862.0,54240,62202,5852.0,AG0
20120806,5970.0,5972.0,5941.0,5950.0,48632,58854,5953.0,AG0
20120807,5966.0,5974.0,5956.0,5966.0,38914,58194,5965.0,AG0
20120808,5999.0,5999.0,5953.0,5955.0,56720,60102,5977.0,AG0
20120809,5988.0,6022.0,5980.0,6020.0,70034,69126,6005.0,AG0
