date,open,high,low,close,volume,symbol
20230619,2730.0,2766.0,2680.0,2721.0,91505,AO0
20230620,2713.0,2747.0,2712.0,2731.0,62189,AO0
20230621,2726.0,2742.0,2715.0,2738.0,51494,AO0
20230626,2730.0,2816.0,2721.0,2802.0,109336,AO0
20230627,2797.0,2837.0,2766.0,2788.0,166881,AO0
20230628,2791.0,2805.0,2775.0,2791.0,93064,AO0
20230629,2782.0,2811.0,2782.0,2799.0,76690,AO0
20230630,2794.0,2824.0,2793.0,2812.0,75550,AO0
20230703,2812.0,2831.0,2811.0,2826.0,55043,AO0
20230704,2820.0,2835.0,2810.0,2816.0,53993,AO0
20230705,2816.0,2832.0,2815.0,2825.0,34750,AO0
20230706,2824.0,2845.0,2816.0,2834.0,44365,AO0
20230707,2830.0,2840.0,2826.0,2828.0,40786,AO0
20230710,2827.0,2832.0,2802.0,2819.0,60664,AO0
20230711,2823.0,2828.0,2815.0,2819.0,24002,AO0
20230712,2816.0,2822.0,2783.0,2796.0,64753,AO0
20230713,2803.0,2813.0,2777.0,2792.0,60909,AO0
20230714,2798.0,2805.0,2777.0,2785.0,65374,AO0
20230717,2788.0,2797.0,2736.0,2781.0,121555,AO0
20230718,2776.0,2822.0,2776.0,2807.0,83402,AO0
20230719,2803.0,2826.0,2803.0,2821.0,39959,AO0
20230720,2820.0,2908.0,2817.0,2881.0,166378,AO0
20230721,2888.0,2895.0,2853.0,2868.0,81280,AO0
20230724,2868.0,2884.0,2863.0,2879.0,76305,AO0
20230725,2879.0,2892.0,2857.0,2887.0,71454,AO0
20230726,2892.0,2909.0,2877.0,2879.0,79179,AO0
20230727,2871.0,2899.0,2865.0,2890.0,57100,AO0
20230728,2893.0,2900.0,2874.0,2880.0,55795,AO0
20230731,2882.0,2895.0,2872.0,2884.0,40890,AO0
20230801,2890.0,2930.0,2883.0,2929.0,75662,AO0
20230802,2920.0,2938.0,2914.0,2922.0,53148,AO0
20230803,2910.0,2922.0,2875.0,2895.0,56211,AO0
20230804,2894.0,2904.0,2869.0,2871.0,44485,AO0
20230807,2865.0,2891.0,2865.0,2880.0,43233,AO0
20230808,2878.0,2892.0,2872.0,2872.0,30554,AO0
20230809,2861.0,2880.0,2854.0,2876.0,35374,AO0
20230810,2882.0,2887.0,2873.0,2879.0,48618,AO0
20230811,2881.0,2907.0,2870.0,2900.0,59569,AO0
20230814,2912.0,2912.0,2877.0,2883.0,57099,AO0
20230815,2876.0,2901.0,2870.0,2900.0,34061,AO0
20230816,2894.0,2900.0,2880.0,2881.0,29243,AO0
20230817,2878.0,2905.0,2875.0,2902.0,44592,AO0
20230818,2910.0,2919.0,2888.0,2895.0,49561,AO0
20230821,2891.0,2926.0,2891.0,2922.0,44193,AO0
20230822,2927.0,2930.0,2913.0,2926.0,47988,AO0
20230823,2927.0,2984.0,2915.0,2960.0,98935,AO0
20230824,2960.0,2974.0,2942.0,2945.0,72351,AO0
20230825,2940.0,2980.0,2936.0,2970.0,69169,AO0
20230828,2969.0,2977.0,2937.0,2953.0,51257,AO0
20230829,2962.0,2962.0,2941.0,2958.0,38911,AO0
20230830,2955.0,2983.0,2955.0,2976.0,51352,AO0
20230831,2981.0,2997.0,2965.0,2981.0,62592,AO0
20230901,2980.0,3038.0,2956.0,3016.0,105069,AO0
20230904,3017.0,3203.0,3013.0,3086.0,273606,AO0
20230905,3084.0,3168.0,3074.0,3134.0,254063,AO0
20230906,3130.0,3161.0,3095.0,3119.0,170859,AO0
20230907,3111.0,3135.0,3084.0,3093.0,135076,AO0
20230908,3091.0,3099.0,3010.0,3042.0,106839,AO0
20230911,3053.0,3079.0,3027.0,3070.0,61948,AO0
20230912,3069.0,3127.0,3051.0,3060.0,69368,AO0
20230913,3068.0,3077.0,2999.0,3033.0,79122,AO0
20230914,3028.0,3105.0,3016.0,3100.0,81018,AO0
20230915,3100.0,3167.0,3030.0,3036.0,166949,AO0
20230918,3018.0,3063.0,3003.0,3048.0,69869,AO0
20230919,3050.0,3093.0,3023.0,3070.0,99425,AO0
20230920,3069.0,3083.0,3043.0,3069.0,62525,AO0
20230921,3071.0,3113.0,3038.0,3038.0,111348,AO0
20230922,3035.0,3096.0,3010.0,3083.0,79738,AO0
20230925,3079.0,3095.0,3029.0,3050.0,78450,AO0
20230926,3063.0,3065.0,3030.0,3033.0,63907,AO0
20230927,3106.0,3106.0,3005.0,3040.0,60698,AO0
20230928,3030.0,3090.0,3030.0,3064.0,38947,AO0
20231009,3082.0,3082.0,3006.0,3029.0,19646,AO0
20231010,3020.0,3038.0,2955.0,2978.0,69600,AO0
20231011,2973.0,3063.0,2957.0,3042.0,98591,AO0
20231012,3040.0,3062.0,3022.0,3053.0,74619,AO0
20231013,3052.0,3071.0,3006.0,3035.0,76651,AO0
20231016,3042.0,3149.0,3028.0,3144.0,120840,AO0
20231017,3152.0,3192.0,3060.0,3095.0,219647,AO0
20231018,3092.0,3125.0,3070.0,3102.0,91565,AO0
20231019,3112.0,3135.0,3100.0,3125.0,124322,AO0
20231020,3120.0,3132.0,3062.0,3075.0,118430,AO0
20231023,3079.0,3090.0,3037.0,3049.0,108080,AO0
20231024,3049.0,3082.0,3035.0,3082.0,79777,AO0
20231025,3084.0,3108.0,3076.0,3100.0,84635,AO0
20231026,3109.0,3144.0,3080.0,3094.0,114522,AO0
20231027,3082.0,3096.0,3062.0,3082.0,53069,AO0
20231030,3070.0,3088.0,3050.0,3074.0,50236,AO0
20231031,3082.0,3086.0,3030.0,3046.0,47589,AO0
20231101,3039.0,3048.0,3015.0,3030.0,28067,AO0
20231102,3025.0,3041.0,3008.0,3032.0,39515,AO0
20231103,3035.0,3054.0,3022.0,3041.0,49381,AO0
20231106,3045.0,3085.0,3035.0,3070.0,54807,AO0
20231107,3072.0,3088.0,3035.0,3036.0,38603,AO0
20231108,3034.0,3040.0,3004.0,3027.0,50226,AO0
20231109,3026.0,3026.0,2967.0,2984.0,48276,AO0
20231110,2987.0,3015.0,2942.0,2965.0,59358,AO0
20231113,2966.0,2966.0,2883.0,2884.0,108406,AO0
20231114,2886.0,2926.0,2860.0,2908.0,70425,AO0
20231115,2910.0,2954.0,2900.0,2931.0,52155,AO0
20231116,2966.0,2982.0,2940.0,2973.0,51009,AO0
20231117,2971.0,2986.0,2934.0,2963.0,46895,AO0
20231120,2968.0,3005.0,2935.0,2992.0,51815,AO0
20231121,2993.0,2999.0,2935.0,2944.0,46999,AO0
20231122,2938.0,2946.0,2901.0,2916.0,62633,AO0
20231123,2910.0,2927.0,2893.0,2919.0,44751,AO0
20231124,2920.0,2964.0,2920.0,2942.0,44437,AO0
20231127,2941.0,2955.0,2922.0,2948.0,55046,AO0
20231128,2948.0,2981.0,2927.0,2949.0,40363,AO0
20231129,2945.0,2978.0,2933.0,2949.0,24438,AO0
20231130,2956.0,2958.0,2901.0,2948.0,36467,AO0
20231201,2945.0,2958.0,2884.0,2892.0,27421,AO0
20231204,2905.0,2955.0,2881.0,2926.0,40482,AO0
20231205,2927.0,2944.0,2882.0,2891.0,48324,AO0
20231206,2882.0,2913.0,2838.0,2865.0,86571,AO0
20231207,2867.0,2880.0,2847.0,2867.0,45266,AO0
20231208,2870.0,2905.0,2854.0,2886.0,37610,AO0
20231211,2884.0,2908.0,2848.0,2858.0,40011,AO0
20231212,2855.0,2880.0,2828.0,2868.0,45949,AO0
20231213,2871.0,2886.0,2840.0,2856.0,39601,AO0
20231214,2858.0,2902.0,2850.0,2898.0,41158,AO0
20231215,2908.0,2929.0,2893.0,2911.0,42486,AO0
20231218,2924.0,2948.0,2903.0,2924.0,39486,AO0
20231219,2926.0,2929.0,2913.0,2917.0,26413,AO0
20231220,2914.0,2967.0,2908.0,2964.0,44364,AO0
20231221,2961.0,3015.0,2945.0,3007.0,58009,AO0
20231222,3015.0,3184.0,3015.0,3184.0,104482,AO0
20231225,3216.0,3329.0,3152.0,3175.0,428828,AO0
20231226,3178.0,3235.0,3153.0,3203.0,231940,AO0
20231227,3199.0,3256.0,3176.0,3224.0,228935,AO0
