date,open,high,low,close,volume,open_interest,settle,symbol
20080109,230.95,230.99,221.88,223.3,103364,16342,0.0,AU0
20080110,222.5,222.85,213.7,215.12,87984,23494,0.0,AU0
20080111,218.0,219.23,215.5,218.1,85418,25424,0.0,AU0
20080114,218.85,220.25,217.6,220.1,60776,27714,0.0,AU0
20080115,220.7,224.6,220.3,223.8,88242,29866,0.0,AU0
20080116,220.6,220.6,215.4,215.89,94362,29582,0.0,AU0
20080117,214.03,216.8,213.5,216.47,61962,30916,0.0,AU0
20080118,214.0,214.9,212.42,214.7,58006,29538,0.0,AU0
20080121,214.7,216.33,213.8,214.2,43510,30294,0.0,AU0
20080122,208.0,209.5,204.72,206.41,78532,29326,0.0,AU0
20080123,212.0,214.25,210.9,212.51,60988,26596,0.0,AU0
20080124,213.02,217.08,212.61,216.7,57962,30156,0.0,AU0
20080125,220.1,221.4,218.32,219.8,72624,32428,0.0,AU0
20080128,219.6,221.97,219.2,220.33,62712,33182,0.0,AU0
20080129,223.6,224.3,222.56,222.56,47652,34168,0.0,AU0
20080131,220.0,221.04,218.22,219.35,43002,33082,0.0,AU0
20080201,220.61,221.0,218.56,218.75,28726,32934,0.0,AU0
20080204,216.0,216.94,215.0,215.6,31388,32288,0.0,AU0
20080205,215.5,215.58,214.7,215.26,17456,32802,0.0,AU0
20080213,216.01,216.16,213.5,213.69,22060,34146,0.0,AU0
20080214,214.6,216.18,214.43,216.1,29802,35040,0.0,AU0
20080215,216.0,216.51,215.33,216.25,22126,35278,0.0,AU0
20080218,215.2,215.7,214.2,215.48,22840,36068,0.0,AU0
20080219,215.51,218.38,215.5,218.38,42656,44314,0.0,AU0
20080220,222.0,222.25,219.51,219.81,50118,43710,0.0,AU0
20080221,221.81,224.1,221.81,223.58,50356,44110,0.0,AU0
20080222,221.5,224.45,221.5,222.45,40978,42460,0.0,AU0
20080225,223.6,225.8,223.0,225.78,39612,46534,0.0,AU0
20080226,222.96,222.96,218.92,219.43,46998,37020,0.0,AU0
20080227,224.9,226.0,224.02,224.68,37188,37268,0.0,AU0
20080228,225.0,225.5,223.42,223.5,22788,37564,0.0,AU0
20080229,226.0,226.5,225.23,225.43,31254,36150,0.0,AU0
20080303,226.55,228.99,226.23,228.45,41170,40996,0.0,AU0
20080304,229.02,229.85,226.73,227.2,31874,38062,0.0,AU0
20080305,224.0,224.99,223.5,224.75,23908,37094,0.0,AU0
20080306,227.0,228.69,227.0,227.95,22082,36086,0.0,AU0
20080307,226.5,227.63,226.5,227.58,14940,35616,0.0,AU0
20080310,226.0,226.0,224.63,225.2,15138,35216,0.0,AU0
20080311,225.0,225.47,224.11,224.6,13184,36582,0.0,AU0
20080312,224.97,225.25,223.79,224.26,14300,35118,0.0,AU0
20080313,226.51,226.98,225.35,226.48,19782,36878,0.0,AU0
20080314,228.0,228.6,227.57,227.87,23164,40400,0.0,AU0
20080317,231.22,233.59,231.22,232.36,42482,41516,0.0,AU0
20080318,226.0,228.19,226.0,227.58,35308,38366,0.0,AU0
20080319,225.5,226.29,225.5,226.2,18872,39302,0.0,AU0
20080320,214.55,214.55,214.55,214.55,6530,36460,0.0,AU0
20080321,209.48,210.47,207.58,210.11,24388,35680,0.0,AU0
20080324,209.75,209.99,206.31,206.81,26702,37174,0.0,AU0
20080325,209.0,210.85,208.1,210.19,25658,36372,0.0,AU0
20080326,212.97,213.45,211.58,211.8,26278,37218,0.0,AU0
20080327,213.98,214.5,213.1,213.3,18126,34894,0.0,AU0
20080328,213.11,213.28,211.2,211.76,13966,35170,0.0,AU0
20080331,209.02,209.47,208.41,208.98,14388,37054,0.0,AU0
20080401,206.23,206.37,198.88,203.22,33934,34800,0.0,AU0
20080402,200.18,202.0,198.11,199.13,36416,31948,0.0,AU0
20080403,202.0,202.45,201.13,202.35,19752,31828,0.0,AU0
20080404,202.0,202.45,201.13,202.35,19752,31828,0.0,AU0
20080407,205.0,205.5,204.05,205.36,14318,30752,0.0,AU0
20080408,206.45,206.99,204.03,204.81,22960,30174,0.0,AU0
20080409,204.82,204.95,202.86,203.35,20438,29480,0.0,AU0
20080410,208.0,208.09,206.86,207.5,18414,27398,0.0,AU0
20080411,206.0,206.0,204.16,204.56,17082,27462,0.0,AU0
20080414,201.5,205.5,201.5,205.4,15516,26928,0.0,AU0
20080415,206.2,208.65,205.8,208.62,20794,25504,0.0,AU0
20080416,206.7,207.5,205.7,207.03,16288,23958,0.0,AU0
