date,open,high,low,close,volume,open_interest,settle,symbol
20131206,126.05,129.0,123.0,125.85,87078,4052,126.5,BB0
20131209,126.0,131.55,124.75,131.55,62682,12556,129.45,BB0
20131210,133.0,135.65,131.7,132.95,342330,27272,133.45,BB0
20131211,132.95,136.6,132.0,136.25,343232,49252,134.05,BB0
20131212,136.1,138.05,133.8,134.05,532196,47298,135.7,BB0
20131213,133.7,135.1,132.3,132.85,244810,37858,133.55,BB0
20131216,133.1,134.9,132.1,134.5,252466,47976,133.7,BB0
20131217,134.95,134.95,132.4,132.55,197926,44078,133.7,BB0
20131218,132.6,133.05,129.7,131.35,231182,42176,131.1,BB0
20131219,131.4,132.1,130.55,131.35,128568,43722,131.4,BB0
20131220,131.15,131.9,129.85,130.95,122328,39572,130.65,BB0
20131223,130.9,133.35,130.6,131.75,187814,46882,132.05,BB0
20131224,131.9,133.35,131.0,132.05,208442,66380,132.2,BB0
20131225,132.35,133.2,130.55,130.6,169752,73346,132.3,BB0
20131226,130.15,130.2,127.05,127.05,200080,64060,128.1,BB0
20131227,126.05,126.45,124.35,124.5,266966,67064,125.15,BB0
20131230,124.0,124.5,120.5,122.85,264712,63302,122.85,BB0
20131231,122.5,123.75,121.7,122.85,131290,59742,122.8,BB0
20140102,123.0,123.5,121.35,121.55,98992,64480,122.2,BB0
20140103,120.95,122.65,120.1,122.5,125444,55958,121.3,BB0
20140106,122.35,122.45,117.4,120.35,324644,53322,119.4,BB0
20140107,120.95,122.35,120.15,121.1,235264,53530,121.3,BB0
20140108,121.0,121.1,118.7,120.6,189634,50766,119.85,BB0
20140109,120.7,124.6,120.05,123.65,319882,57004,123.6,BB0
20140110,122.9,125.1,122.6,124.15,204376,62000,123.85,BB0
20140113,124.6,124.85,123.4,123.8,131256,66222,124.0,BB0
20140114,124.05,125.4,122.3,125.25,232054,67636,123.85,BB0
20140115,125.05,125.7,124.2,124.5,203034,69988,124.9,BB0
20140117,122.05,125.0,122.05,124.8,212216,69328,123.7,BB0
20140120,124.85,128.45,124.8,125.85,224422,83564,126.5,BB0
20140121,125.5,126.45,124.25,124.85,179466,84968,125.25,BB0
20140122,125.0,127.6,123.65,123.9,334758,90038,125.75,BB0
20140123,124.0,127.1,124.0,125.85,266270,80656,0.0,BB0
20140124,126.75,127.95,126.15,127.9,177710,83474,126.95,BB0
20140127,127.5,128.35,126.85,127.95,172736,91852,127.65,BB0
20140128,127.65,127.95,125.2,127.85,277350,77000,126.6,BB0
20140129,128.0,130.8,127.8,130.6,239924,84576,129.0,BB0
20140130,130.55,132.05,129.85,131.8,153258,83422,130.9,BB0
20140207,131.4,131.7,129.9,130.85,69834,80430,130.65,BB0
20140210,130.5,132.45,130.35,132.0,134870,95502,131.45,BB0
20140211,131.8,132.0,130.5,131.1,124310,87622,131.2,BB0
20140212,131.35,132.15,130.0,131.35,131058,90912,131.25,BB0
20140213,131.3,131.6,128.55,129.4,200088,89340,129.7,BB0
20140214,129.5,130.2,128.7,129.4,130922,81604,129.4,BB0
20140217,129.45,133.8,128.95,133.5,218748,104108,131.5,BB0
20140218,133.25,133.5,130.25,130.9,273180,93436,131.85,BB0
20140219,131.2,131.4,126.45,127.15,330974,89492,127.95,BB0
20140220,127.5,128.45,126.65,127.8,179314,76890,127.65,BB0
20140221,128.0,128.65,127.2,128.1,163654,75968,127.9,BB0
20140224,128.2,128.25,123.65,126.1,207990,70396,125.35,BB0
20140225,126.4,127.25,125.75,126.1,130024,71426,126.5,BB0
20140226,126.0,127.05,125.2,126.75,126076,68702,126.2,BB0
20140227,126.7,127.55,124.2,124.55,204148,72476,125.45,BB0
20140228,124.6,125.45,124.0,124.55,120906,67220,124.75,BB0
20140303,124.4,126.3,124.15,126.2,135144,72748,125.15,BB0
20140304,126.2,129.7,125.55,128.6,204436,83558,127.1,BB0
20140305,128.9,129.9,128.7,129.75,162108,85566,129.35,BB0
20140306,129.85,130.65,128.65,129.45,153154,82394,129.55,BB0
20140310,129.7,130.6,125.3,128.7,338294,75762,127.85,BB0
20140311,128.7,133.25,128.6,131.65,259908,85236,130.95,BB0
20140312,130.9,133.0,130.0,131.8,198234,86390,131.55,BB0
20140314,133.45,134.4,131.2,131.3,219184,84234,132.65,BB0
20140317,129.45,130.3,126.05,126.05,51998,75952,127.2,BB0
20140318,124.65,127.1,124.65,126.55,168876,67770,126.0,BB0
20140319,126.6,127.4,126.1,126.55,93076,69168,126.7,BB0
20140320,127.15,127.4,125.8,126.9,84978,68938,126.7,BB0
20140321,126.8,131.65,126.55,129.65,256480,74598,129.45,BB0
20140324,129.85,131.8,129.65,131.75,125062,77964,130.85,BB0
20140325,131.75,132.4,128.05,128.1,242334,90068,130.1,BB0
20140326,128.0,131.4,127.7,130.7,145832,84978,130.25,BB0
20140327,130.5,131.0,129.6,130.25,117282,77888,130.35,BB0
20140328,130.75,132.1,130.35,131.95,97944,80704,131.25,BB0
20140331,132.05,133.55,131.3,132.8,121780,84270,132.5,BB0
20140401,132.95,136.3,132.5,135.5,214536,110412,134.8,BB0
20140402,135.7,137.3,133.85,135.45,332518,113458,135.4,BB0
20140403,135.2,137.5,134.85,137.5,195604,116194,136.2,BB0
20140404,138.0,141.4,138.0,141.0,328534,124040,139.45,BB0
20140408,141.0,144.1,139.35,143.75,282220,130440,141.7,BB0
20140409,143.7,146.05,141.8,144.3,540242,111860,144.15,BB0
20140410,144.3,145.5,143.05,144.1,264954,103710,144.05,BB0
20140411,143.75,146.05,142.6,145.95,315730,126410,144.1,BB0
20140414,147.0,149.5,146.0,148.6,499036,100862,147.8,BB0
20140415,148.45,150.8,147.65,150.8,302516,87508,148.8,BB0
20140416,150.65,155.8,149.8,155.15,330214,89304,152.6,BB0
20140417,132.9,139.5,132.75,136.9,559256,64356,136.85,BB0
20140418,136.9,140.65,136.4,138.95,487972,66628,138.4,BB0
20140421,138.85,139.45,136.2,137.4,197080,61136,137.65,BB0
20140422,137.3,138.15,135.4,137.2,286542,57566,137.0,BB0
20140423,137.5,140.4,137.35,140.35,306846,67074,139.1,BB0
20140424,140.6,141.25,139.0,139.4,214342,62412,139.75,BB0
20140425,139.5,139.75,138.15,139.4,141446,54456,139.0,BB0
20140428,139.5,140.6,137.7,138.05,162458,53618,138.95,BB0
20140429,137.95,140.65,137.5,140.6,202220,69444,139.6,BB0
20140430,140.9,143.2,140.2,141.8,337652,75226,142.0,BB0
20140501,139.4,139.4,139.4,139.4,52,84,139.05,BB0
20140505,141.6,143.9,141.05,143.85,255960,93604,142.8,BB0
20140506,143.6,145.45,143.45,145.3,278870,108404,144.35,BB0
20140507,144.95,145.95,141.9,142.6,364836,98200,143.7,BB0
20140508,142.6,143.65,141.35,143.3,357074,100336,142.5,BB0
20140509,143.5,143.85,139.95,140.35,362356,94366,141.65,BB0
20140512,140.4,141.55,139.7,140.95,235086,82536,140.8,BB0
20140513,141.0,141.4,138.15,138.45,290308,86278,139.35,BB0
20140514,138.5,139.75,137.75,138.05,255448,76276,138.7,BB0
20140515,138.4,139.2,137.0,137.2,279856,83178,138.25,BB0
20140516,137.05,137.85,136.05,137.25,252780,71490,137.05,BB0
20140519,137.4,140.05,136.85,137.55,312344,65000,138.55,BB0
20140520,137.4,137.7,134.8,135.35,261140,67816,136.0,BB0
20140521,135.5,136.95,134.95,135.35,186130,64534,135.9,BB0
20140522,135.5,136.8,134.8,136.05,176118,65810,135.8,BB0
20140523,136.1,139.0,135.55,138.8,319120,73824,137.6,BB0
20140526,138.95,140.5,138.55,139.8,238166,73358,139.7,BB0
20140527,139.5,139.9,135.85,136.25,247824,62756,137.4,BB0
20140528,136.0,137.1,135.6,136.5,165992,62964,136.3,BB0
20140529,136.3,137.35,135.65,136.25,182172,62366,136.35,BB0
20140530,136.35,136.55,132.3,133.25,271024,72588,133.9,BB0
20140603,133.3,134.1,132.55,132.85,122736,76098,133.2,BB0
20140604,132.8,134.0,132.0,132.4,164858,83620,133.0,BB0
20140605,132.5,134.9,132.2,134.6,192464,67030,133.35,BB0
20140606,134.6,135.25,133.35,134.75,174872,63370,134.25,BB0
20140609,134.85,136.15,134.3,134.7,163888,71408,135.15,BB0
20140610,134.7,135.5,133.05,134.85,182680,70688,134.25,BB0
20140611,134.95,137.05,134.7,135.2,263850,75418,135.7,BB0
20140612,134.8,135.35,133.75,134.5,104212,70000,134.65,BB0
20140613,134.35,135.6,133.5,134.0,172474,74990,134.3,BB0
20140616,134.1,135.05,133.55,134.05,105360,75906,134.3,BB0
20140617,133.95,134.7,133.15,134.45,127986,71642,134.1,BB0
