date,open,high,low,close,volume,open_interest,settle,symbol
20131009,4678.0,4678.0,4612.0,4620.0,240,48,4642.0,BU0
20131010,4460.0,4522.0,4452.0,4502.0,204880,54008,4494.0,BU0
20131011,4510.0,4524.0,4456.0,4466.0,180100,60936,4492.0,BU0
20131014,4476.0,4490.0,4434.0,4444.0,148998,67386,4456.0,BU0
20131015,4448.0,4494.0,4436.0,4442.0,201544,63700,4462.0,BU0
20131016,4428.0,4484.0,4428.0,4432.0,206374,67078,4452.0,BU0
20131017,4448.0,4460.0,4408.0,4410.0,142864,73002,4434.0,BU0
20131018,4412.0,4430.0,4402.0,4404.0,88740,75164,4414.0,BU0
20131021,4410.0,4466.0,4406.0,4452.0,154962,58838,4448.0,BU0
20131022,4444.0,4454.0,4428.0,4440.0,57890,56140,4436.0,BU0
20131023,4432.0,4444.0,4408.0,4436.0,85280,54076,4426.0,BU0
20131024,4434.0,4482.0,4426.0,4458.0,161110,53534,4458.0,BU0
20131025,4460.0,4464.0,4406.0,4406.0,115570,40222,4420.0,BU0
20131028,4410.0,4412.0,4250.0,4268.0,355282,93932,4306.0,BU0
20131029,4266.0,4288.0,4248.0,4270.0,231734,92778,4264.0,BU0
20131030,4270.0,4328.0,4228.0,4316.0,391474,60394,4278.0,BU0
20131031,4308.0,4324.0,4288.0,4292.0,128838,53198,4304.0,BU0
20131101,4288.0,4340.0,4256.0,4310.0,191472,42912,4306.0,BU0
20131104,4280.0,4336.0,4276.0,4314.0,93718,42202,4314.0,BU0
20131105,4310.0,4332.0,4264.0,4308.0,125920,39746,4296.0,BU0
20131106,4300.0,4316.0,4290.0,4308.0,71154,41692,4304.0,BU0
20131107,4312.0,4324.0,4268.0,4274.0,113300,61360,4292.0,BU0
20131108,4272.0,4284.0,4252.0,4260.0,103258,67934,4266.0,BU0
20131111,4262.0,4286.0,4254.0,4278.0,61468,63250,4272.0,BU0
20131112,4272.0,4308.0,4268.0,4304.0,88114,50388,4290.0,BU0
20131113,4280.0,4290.0,4262.0,4286.0,65264,52474,4274.0,BU0
20131114,4298.0,4302.0,4264.0,4266.0,51534,56440,4284.0,BU0
20131115,4266.0,4284.0,4246.0,4270.0,105770,56028,4268.0,BU0
20131118,4278.0,4314.0,4272.0,4292.0,49598,51044,4294.0,BU0
20131119,4280.0,4306.0,4264.0,4296.0,72202,53148,4284.0,BU0
20131121,4306.0,4312.0,4288.0,4298.0,33340,50446,4300.0,BU0
20131122,4312.0,4350.0,4308.0,4338.0,75342,50256,4322.0,BU0
20131125,4336.0,4368.0,4316.0,4356.0,84024,51864,4338.0,BU0
20131126,4360.0,4444.0,4350.0,4370.0,221656,47304,4400.0,BU0
20131127,4366.0,4384.0,4332.0,4336.0,76758,43306,4348.0,BU0
20131128,4330.0,4358.0,4318.0,4346.0,47474,38930,4340.0,BU0
20131129,4352.0,4366.0,4332.0,4352.0,41974,36782,4348.0,BU0
20131202,4362.0,4372.0,4340.0,4354.0,46012,38472,4352.0,BU0
20131203,4360.0,4410.0,4352.0,4382.0,81870,41354,4380.0,BU0
20131204,4408.0,4412.0,4378.0,4388.0,93100,46282,4396.0,BU0
20131205,4398.0,4406.0,4372.0,4376.0,57462,39522,4386.0,BU0
20131206,4382.0,4430.0,4360.0,4424.0,135882,59890,4402.0,BU0
20131209,4426.0,4442.0,4376.0,4396.0,119214,46882,4406.0,BU0
20131210,4398.0,4408.0,4380.0,4388.0,50566,46356,4392.0,BU0
20131211,4390.0,4404.0,4380.0,4390.0,33290,44676,4390.0,BU0
20131212,4398.0,4420.0,4372.0,4388.0,79410,49622,4392.0,BU0
20131213,4388.0,4388.0,4302.0,4370.0,86970,46132,4352.0,BU0
20131216,4378.0,4382.0,4334.0,4360.0,34804,42952,4358.0,BU0
20131217,4360.0,4364.0,4328.0,4330.0,35108,42262,4344.0,BU0
20131218,4330.0,4340.0,4314.0,4334.0,22778,41638,4328.0,BU0
20131219,4334.0,4350.0,4326.0,4326.0,14012,40540,4336.0,BU0
20131220,4326.0,4350.0,4314.0,4316.0,30948,43002,4328.0,BU0
20131223,4314.0,4330.0,4306.0,4330.0,22338,41614,4320.0,BU0
20131224,4328.0,4334.0,4316.0,4326.0,15596,41882,4326.0,BU0
20131225,4326.0,4356.0,4324.0,4338.0,16528,43250,4336.0,BU0
20131226,4342.0,4344.0,4268.0,4282.0,66716,51334,4304.0,BU0
20131227,4276.0,4328.0,4262.0,4316.0,57464,43832,4298.0,BU0
20131230,4320.0,4340.0,4312.0,4334.0,22012,38628,4326.0,BU0
20131231,4320.0,4324.0,4292.0,4304.0,23528,40424,4308.0,BU0
20140102,4302.0,4314.0,4282.0,4290.0,22642,41304,4294.0,BU0
20140103,4282.0,4292.0,4254.0,4278.0,22232,40832,4272.0,BU0
20140106,4270.0,4306.0,4262.0,4284.0,15122,40442,4282.0,BU0
20140107,4272.0,4288.0,4248.0,4248.0,23584,43496,4262.0,BU0
20140108,4246.0,4276.0,4206.0,4272.0,36410,40892,4246.0,BU0
20140109,4266.0,4312.0,4264.0,4282.0,22262,38102,4288.0,BU0
20140110,4280.0,4306.0,4256.0,4282.0,9368,37350,4286.0,BU0
20140113,4280.0,4318.0,4276.0,4308.0,11788,35994,4302.0,BU0
20140114,4310.0,4346.0,4302.0,4342.0,17872,34526,4326.0,BU0
20140115,4320.0,4378.0,4318.0,4370.0,21692,37610,4356.0,BU0
20140117,4374.0,4384.0,4346.0,4354.0,12816,34078,4364.0,BU0
20140120,4358.0,4376.0,4330.0,4354.0,13012,30362,4358.0,BU0
20140121,4360.0,4366.0,4336.0,4348.0,7672,30250,4352.0,BU0
20140122,4370.0,4374.0,4344.0,4350.0,5568,29270,4360.0,BU0
20140124,4350.0,4356.0,4356.0,4350.0,0,28012,0.0,BU0
20140127,4350.0,4386.0,4350.0,4372.0,7680,21986,4376.0,BU0
20140128,4372.0,4390.0,4366.0,4372.0,6692,18726,4376.0,BU0
20140129,4368.0,4374.0,4328.0,4372.0,6764,17070,4346.0,BU0
20140130,4370.0,4438.0,4352.0,4390.0,6080,16488,4388.0,BU0
20140207,4392.0,4428.0,4392.0,4428.0,8012,14312,4420.0,BU0
20140210,4428.0,4444.0,4386.0,4426.0,7392,12128,4418.0,BU0
20140211,4402.0,4426.0,4402.0,4424.0,3824,11000,4420.0,BU0
20140212,4420.0,4420.0,4290.0,4292.0,6856,7306,4374.0,BU0
20140213,4436.0,4446.0,4402.0,4434.0,2784,7430,4434.0,BU0
20140214,4436.0,4440.0,4394.0,4394.0,7306,10074,4406.0,BU0
20140217,4394.0,4420.0,4364.0,4404.0,12282,11250,4388.0,BU0
20140218,4402.0,4412.0,4382.0,4400.0,7886,11266,4396.0,BU0
20140219,4408.0,4420.0,4380.0,4388.0,6848,10950,4396.0,BU0
20140220,4384.0,4392.0,4328.0,4370.0,18446,12872,4356.0,BU0
20140221,4368.0,4372.0,4336.0,4366.0,9540,13634,4354.0,BU0
20140224,4362.0,4370.0,4346.0,4350.0,6308,13500,4354.0,BU0
20140225,4356.0,4368.0,4346.0,4350.0,6042,13292,4356.0,BU0
20140226,4354.0,4356.0,4230.0,4272.0,31196,20326,4266.0,BU0
20140227,4268.0,4296.0,4254.0,4276.0,12582,19370,4280.0,BU0
20140228,4274.0,4280.0,4258.0,4274.0,7212,17956,4268.0,BU0
20140303,4286.0,4288.0,4256.0,4264.0,6312,18216,4266.0,BU0
20140304,4264.0,4276.0,4246.0,4250.0,11122,19830,4258.0,BU0
20140305,4256.0,4294.0,4254.0,4270.0,6428,19014,4268.0,BU0
20140306,4266.0,4268.0,4228.0,4262.0,11586,19824,4252.0,BU0
20140310,4232.0,4238.0,4154.0,4192.0,32022,29034,4192.0,BU0
20140311,4188.0,4238.0,4182.0,4220.0,15872,27614,4212.0,BU0
20140312,4208.0,4210.0,4160.0,4190.0,12222,28124,4186.0,BU0
20140314,4184.0,4192.0,4160.0,4188.0,9806,30102,4180.0,BU0
20140317,4190.0,4206.0,4176.0,4188.0,9640,29934,4190.0,BU0
20140318,4186.0,4198.0,4182.0,4194.0,7580,29254,4190.0,BU0
20140319,4196.0,4230.0,4194.0,4214.0,19336,30732,4212.0,BU0
20140320,4226.0,4236.0,4216.0,4218.0,11094,29816,4222.0,BU0
20140321,4216.0,4226.0,4196.0,4220.0,11518,29108,4210.0,BU0
20140324,4218.0,4236.0,4218.0,4228.0,9510,28672,4226.0,BU0
20140325,4228.0,4254.0,4220.0,4238.0,13670,25784,4236.0,BU0
20140326,4236.0,4248.0,4212.0,4218.0,12960,25618,4230.0,BU0
20140327,4220.0,4222.0,4206.0,4214.0,8936,24592,4214.0,BU0
20140328,4212.0,4218.0,4046.0,4170.0,31536,27736,4174.0,BU0
20140331,4290.0,4290.0,4168.0,4170.0,14006,25560,4214.0,BU0
20140401,4166.0,4184.0,4160.0,4178.0,4980,26260,4174.0,BU0
20140402,4174.0,4180.0,4138.0,4142.0,11914,28378,4154.0,BU0
20140403,4138.0,4146.0,4090.0,4114.0,15724,33228,4114.0,BU0
20140404,4114.0,4132.0,4112.0,4126.0,8518,29688,4120.0,BU0
20140408,4128.0,4182.0,4124.0,4148.0,16012,27646,4158.0,BU0
20140409,4152.0,4166.0,4146.0,4152.0,6380,27998,4156.0,BU0
20140410,4154.0,4154.0,4136.0,4146.0,8100,29842,4146.0,BU0
20140411,4142.0,4160.0,4138.0,4158.0,4966,29742,4146.0,BU0
20140414,4160.0,4230.0,4160.0,4210.0,20108,27804,4200.0,BU0
20140415,4230.0,4232.0,4206.0,4212.0,3886,26808,4212.0,BU0
20140416,4210.0,4226.0,4184.0,4192.0,17076,27910,4202.0,BU0
20140417,4194.0,4196.0,4168.0,4178.0,9766,27012,4180.0,BU0
20140418,4178.0,4184.0,4160.0,4174.0,10082,25014,4170.0,BU0
20140421,4182.0,4198.0,4130.0,4156.0,9382,23928,4154.0,BU0
20140422,4154.0,4160.0,4132.0,4160.0,10482,22818,4142.0,BU0
20140423,4162.0,4162.0,4142.0,4158.0,6088,22736,4148.0,BU0
20140424,4156.0,4190.0,4152.0,4186.0,9354,22058,4174.0,BU0
20140425,4184.0,4196.0,4168.0,4176.0,5458,22086,4174.0,BU0
20140428,4170.0,4192.0,4166.0,4188.0,9982,21758,4174.0,BU0
20140429,4188.0,4190.0,4172.0,4180.0,8300,21334,4178.0,BU0
20140430,4186.0,4210.0,4174.0,4206.0,11488,18694,4196.0,BU0
20140501,4068.0,4068.0,4068.0,4068.0,2,154,4068.0,BU0
20140505,4208.0,4210.0,4178.0,4196.0,6926,16654,4194.0,BU0
20140506,4190.0,4194.0,4174.0,4180.0,2166,15814,4186.0,BU0
20140507,4180.0,4186.0,4132.0,4136.0,3856,15712,4156.0,BU0
20140508,4134.0,4166.0,4134.0,4150.0,2208,15036,4150.0,BU0
20140509,4150.0,4158.0,4146.0,4150.0,1138,14804,4150.0,BU0
20140512,4150.0,4168.0,4150.0,4158.0,1280,14892,4158.0,BU0
20140513,4156.0,4164.0,4156.0,4160.0,884,14562,4160.0,BU0
20140514,4160.0,4166.0,4158.0,4164.0,860,14316,4162.0,BU0
20140515,4162.0,4162.0,4150.0,4154.0,1120,13758,4156.0,BU0
20140516,4152.0,4156.0,4134.0,4152.0,1394,13160,4142.0,BU0
20140519,4300.0,4310.0,4286.0,4300.0,1794,12818,4302.0,BU0
20140520,4294.0,4306.0,4294.0,4300.0,1462,13350,4302.0,BU0
20140521,4302.0,4306.0,4290.0,4298.0,2106,14122,4300.0,BU0
20140522,4296.0,4312.0,4292.0,4298.0,2174,15116,4304.0,BU0
20140523,4298.0,4302.0,4290.0,4290.0,696,15454,4292.0,BU0
20140526,4290.0,4294.0,4268.0,4278.0,1428,16156,4278.0,BU0
20140527,4278.0,4282.0,4240.0,4244.0,5268,18202,4256.0,BU0
20140528,4242.0,4242.0,4200.0,4228.0,4330,19352,4228.0,BU0
20140529,4226.0,4232.0,4212.0,4228.0,4998,21628,4224.0,BU0
20140530,4228.0,4240.0,4224.0,4232.0,4544,22522,4230.0,BU0
20140603,4234.0,4236.0,4212.0,4214.0,4212,24786,4220.0,BU0
20140604,4212.0,4226.0,4212.0,4222.0,2120,25722,4222.0,BU0
20140605,4224.0,4226.0,4220.0,4222.0,1450,26304,4222.0,BU0
20140606,4224.0,4226.0,4222.0,4222.0,1518,26410,4222.0,BU0
20140609,4220.0,4228.0,4216.0,4222.0,3244,27084,4222.0,BU0
20140610,4224.0,4234.0,4222.0,4228.0,3636,27494,4226.0,BU0
20140611,4226.0,4230.0,4210.0,4230.0,4056,27932,4222.0,BU0
20140612,4228.0,4228.0,4220.0,4224.0,1312,28012,4224.0,BU0
20140613,4224.0,4280.0,4224.0,4264.0,5878,27384,4258.0,BU0
20140616,4262.0,4266.0,4250.0,4258.0,1884,27212,4256.0,BU0
20140617,4252.0,4260.0,4248.0,4254.0,1244,27120,4252.0,BU0
20140618,4254.0,4256.0,4252.0,4252.0,1082,26884,4252.0,BU0
20140619,4250.0,4252.0,4236.0,4238.0,1932,26944,4240.0,BU0
20140620,4238.0,4244.0,4234.0,4238.0,1466,26736,4238.0,BU0
20140623,4242.0,4272.0,4238.0,4254.0,2062,26656,4258.0,BU0
20140624,4256.0,4264.0,4232.0,4246.0,2190,27330,4252.0,BU0
20140625,4242.0,4252.0,4240.0,4246.0,518,27368,4244.0,BU0
20140626,4248.0,4252.0,4238.0,4240.0,1056,27192,4242.0,BU0
20140627,4238.0,4250.0,4236.0,4246.0,678,27008,4246.0,BU0
20140630,4252.0,4260.0,4248.0,4256.0,1406,26976,4254.0,BU0
20140701,4252.0,4256.0,4220.0,4244.0,2066,26618,4236.0,BU0
20140702,4242.0,4266.0,4236.0,4264.0,3658,26540,4254.0,BU0
20140703,4270.0,4280.0,4260.0,4278.0,6022,26364,4270.0,BU0
20140704,4284.0,4306.0,4276.0,4286.0,5854,27962,4290.0,BU0
20140707,4292.0,4292.0,4268.0,4272.0,3064,27914,4274.0,BU0
20140708,4270.0,4278.0,4252.0,4256.0,3030,28800,4260.0,BU0
20140709,4266.0,4266.0,4250.0,4252.0,2030,29528,4254.0,BU0
20140710,4258.0,4266.0,4252.0,4258.0,1696,29808,4260.0,BU0
20140711,4268.0,4268.0,4258.0,4262.0,1198,29540,4262.0,BU0
20140714,4264.0,4264.0,4254.0,4260.0,1870,28928,4256.0,BU0
20140715,4264.0,4276.0,4264.0,4274.0,1596,28696,4270.0,BU0
20140716,4270.0,4278.0,4266.0,4266.0,1772,28378,4272.0,BU0
20140717,4270.0,4272.0,4264.0,4270.0,1322,27970,4268.0,BU0
20140718,4272.0,4272.0,4266.0,4270.0,800,27680,4270.0,BU0
20140721,4272.0,4276.0,4250.0,4258.0,3842,28984,4262.0,BU0
20140722,4262.0,4262.0,4244.0,4250.0,3514,28806,4254.0,BU0
20140723,4252.0,4252.0,4240.0,4242.0,5348,29190,4246.0,BU0
20140724,4244.0,4250.0,4230.0,4246.0,5798,29522,4236.0,BU0
20140725,4248.0,4256.0,4238.0,4254.0,3954,27972,4244.0,BU0
20140728,4254.0,4270.0,4248.0,4270.0,3596,26630,4260.0,BU0
20140729,4274.0,4284.0,4266.0,4268.0,1878,26680,4272.0,BU0
20140730,4268.0,4268.0,4250.0,4252.0,3110,26136,4260.0,BU0
20140731,4252.0,4262.0,4242.0,4250.0,7370,25946,4252.0,BU0
20140801,4232.0,4256.0,4232.0,4254.0,2850,25822,4246.0,BU0
20140804,4258.0,4270.0,4246.0,4266.0,2200,25464,4258.0,BU0
20140805,4268.0,4286.0,4258.0,4284.0,3918,24794,4274.0,BU0
20140806,4288.0,4288.0,4248.0,4260.0,2698,24908,4268.0,BU0
20140807,4264.0,4266.0,4248.0,4254.0,3030,25864,4254.0,BU0
20140808,4256.0,4266.0,4254.0,4260.0,2046,24836,4258.0,BU0
20140811,4252.0,4266.0,4250.0,4250.0,1320,24572,4252.0,BU0
20140812,4250.0,4250.0,4202.0,4226.0,1846,24490,4230.0,BU0
20140813,4220.0,4224.0,4192.0,4216.0,2398,24612,4206.0,BU0
20140814,4202.0,4216.0,4194.0,4212.0,918,24530,4206.0,BU0
20140815,4198.0,4214.0,4176.0,4190.0,1952,24896,4194.0,BU0
20140818,4186.0,4214.0,4176.0,4198.0,1440,24230,4192.0,BU0
20140819,4184.0,4226.0,4172.0,4202.0,1866,24192,4194.0,BU0
20140820,4208.0,4222.0,4202.0,4220.0,634,23900,4214.0,BU0
20140821,4226.0,4244.0,4220.0,4240.0,1548,23938,4236.0,BU0
20140822,4246.0,4246.0,4232.0,4234.0,1508,23930,4240.0,BU0
20140825,4246.0,4258.0,4234.0,4250.0,1766,23660,4248.0,BU0
20140826,4256.0,4276.0,4250.0,4268.0,5400,22462,4266.0,BU0
20140827,4274.0,4278.0,4266.0,4276.0,2968,21258,4272.0,BU0
20140828,4276.0,4290.0,4274.0,4288.0,6586,20532,4280.0,BU0
20140829,4288.0,4288.0,4258.0,4272.0,1692,20614,4270.0,BU0
20140901,4274.0,4288.0,4258.0,4278.0,678,20172,4274.0,BU0
20140902,4274.0,4290.0,4270.0,4288.0,1620,18840,4282.0,BU0
20140903,4282.0,4310.0,4282.0,4284.0,1758,17384,4296.0,BU0
20140904,4284.0,4296.0,4284.0,4296.0,1124,16578,4292.0,BU0
20140905,4292.0,4340.0,4284.0,4340.0,1582,15324,4292.0,BU0
20140910,4214.0,4214.0,4200.0,4200.0,12,340,4204.0,BU0
20140911,4198.0,4214.0,4164.0,4202.0,20,350,4180.0,BU0
20140912,4206.0,4208.0,4194.0,4194.0,68,360,4204.0,BU0
20140915,4200.0,4218.0,4194.0,4208.0,60,364,4214.0,BU0
20140916,4278.0,4278.0,4180.0,4180.0,84,360,4190.0,BU0
20140917,4182.0,4278.0,4180.0,4194.0,20,368,4184.0,BU0
20140918,4192.0,4194.0,4158.0,4168.0,64,396,4172.0,BU0
20140919,4166.0,4166.0,4022.0,4088.0,68,378,4112.0,BU0
20140922,4110.0,4250.0,4002.0,4062.0,208,374,4058.0,BU0
20140923,4068.0,4250.0,4002.0,4068.0,14,372,4052.0,BU0
20140924,4038.0,4068.0,4032.0,4038.0,6,370,4038.0,BU0
20140925,3992.0,4064.0,3992.0,4058.0,34,384,4040.0,BU0
20140926,4064.0,4098.0,3992.0,4042.0,14,384,4078.0,BU0
20140929,4234.0,4234.0,4078.0,4150.0,52,388,4152.0,BU0
20140930,4062.0,4234.0,4062.0,4120.0,8,390,4110.0,BU0
20141008,4210.0,4210.0,4210.0,4210.0,0,4,4210.0,BU0
20141009,4090.0,4350.0,4028.0,4084.0,78,388,4086.0,BU0
20141010,4118.0,4184.0,4064.0,4074.0,42,396,4112.0,BU0
20141013,4076.0,4124.0,4074.0,4094.0,144,420,4098.0,BU0
20141014,4142.0,4144.0,4078.0,4110.0,160,412,4100.0,BU0
20141015,4100.0,4144.0,4062.0,4062.0,72,430,4074.0,BU0
20141016,4072.0,4100.0,4062.0,4062.0,10,436,4070.0,BU0
20141017,4070.0,4098.0,4062.0,4080.0,160,430,4084.0,BU0
20141020,4066.0,4072.0,4062.0,4072.0,18,440,4068.0,BU0
20141021,4106.0,4106.0,4062.0,4082.0,200,440,4088.0,BU0
20141022,4130.0,4130.0,4074.0,4086.0,138,442,4082.0,BU0
20141023,4068.0,4130.0,4068.0,4080.0,4,438,4074.0,BU0
20141024,4090.0,4096.0,4068.0,4090.0,8,438,4090.0,BU0
20141027,4090.0,4090.0,4072.0,4072.0,18,432,4080.0,BU0
20141028,4058.0,4090.0,4022.0,4050.0,12,432,4046.0,BU0
20141029,4070.0,4072.0,4022.0,4072.0,42,400,4068.0,BU0
20141030,4120.0,4120.0,4064.0,4066.0,12,394,4074.0,BU0
20141031,4046.0,4120.0,4046.0,4062.0,12,390,4068.0,BU0
20141103,4094.0,4100.0,4060.0,4064.0,148,386,4078.0,BU0
20141104,4048.0,4100.0,4048.0,4070.0,42,364,4062.0,BU0
20141105,4078.0,4080.0,4026.0,4026.0,52,336,4060.0,BU0
20141106,4036.0,4078.0,4026.0,4034.0,26,336,4034.0,BU0
20141107,4022.0,4036.0,4020.0,4024.0,38,320,4022.0,BU0
20141110,4010.0,4034.0,4006.0,4016.0,44,302,4012.0,BU0
20141111,4004.0,4028.0,4000.0,4000.0,20,286,4004.0,BU0
20141112,4012.0,4042.0,4000.0,4026.0,370,262,4032.0,BU0
20141113,4040.0,4040.0,3990.0,3990.0,84,232,4006.0,BU0
20141114,3884.0,4040.0,3884.0,3916.0,128,238,3954.0,BU0
20141117,3920.0,4018.0,3794.0,3794.0,320,240,3842.0,BU0
20141118,3774.0,4018.0,3688.0,3696.0,130,256,3712.0,BU0
20141119,3650.0,3848.0,3650.0,3730.0,172,232,3710.0,BU0
20141120,3670.0,3848.0,3650.0,3716.0,22,230,3696.0,BU0
20141121,3676.0,3738.0,3670.0,3712.0,12,226,3698.0,BU0
20141124,3662.0,3780.0,3662.0,3750.0,38,214,3748.0,BU0
20141125,3700.0,3780.0,3662.0,3698.0,10,212,3710.0,BU0
20141126,3652.0,3748.0,3652.0,3656.0,14,210,3656.0,BU0
20141127,3678.0,3678.0,3620.0,3656.0,14,208,3658.0,BU0
20141128,3510.0,3678.0,3510.0,3520.0,68,216,3538.0,BU0
20141201,3678.0,3678.0,3520.0,3660.0,36,218,3656.0,BU0
20141202,3678.0,3678.0,3532.0,3660.0,0,218,3656.0,BU0
20141203,3650.0,3802.0,3532.0,3656.0,36,218,3684.0,BU0
20141204,3680.0,3802.0,3536.0,3754.0,8,214,3634.0,BU0
20141205,3560.0,3778.0,3488.0,3488.0,32,192,3514.0,BU0
20141209,3478.0,3492.0,3442.0,3470.0,12,66,3466.0,BU0
20141210,3444.0,3480.0,3442.0,3480.0,8,66,3468.0,BU0
20141211,3480.0,3532.0,3454.0,3456.0,18,64,3480.0,BU0
20141212,3502.0,3532.0,3454.0,3498.0,8,66,3488.0,BU0
20141215,3502.0,3502.0,3456.0,3498.0,8,66,3500.0,BU0
20141216,3474.0,3500.0,3474.0,3474.0,2,64,3474.0,BU0
20141217,3508.0,3508.0,3474.0,3508.0,2,64,3508.0,BU0
20141218,3510.0,3510.0,3368.0,3410.0,14,62,3408.0,BU0
20141219,3410.0,3410.0,3410.0,3410.0,0,62,0.0,BU0
20141222,3408.0,3408.0,3408.0,3408.0,0,62,3408.0,BU0
20141223,3510.0,3510.0,3368.0,3408.0,14,62,3408.0,BU0
20141224,3498.0,3510.0,3318.0,3504.0,6,64,3440.0,BU0
20141225,3500.0,3504.0,3318.0,3410.0,12,66,3430.0,BU0
20141226,3430.0,3502.0,3334.0,3430.0,2,66,3430.0,BU0
20141229,3388.0,3518.0,3388.0,3494.0,28,80,3478.0,BU0
20141230,3614.0,3614.0,3362.0,3514.0,44,80,3498.0,BU0
20141231,3540.0,3540.0,3492.0,3508.0,40,84,3516.0,BU0
20150105,3498.0,3508.0,3480.0,3480.0,30,88,3492.0,BU0
20150106,3480.0,3666.0,3428.0,3472.0,318,284,3540.0,BU0
20150107,3472.0,3500.0,3430.0,3450.0,118,370,3484.0,BU0
20150108,3486.0,3546.0,3370.0,3406.0,304,548,3414.0,BU0
20150109,3390.0,3390.0,3242.0,3242.0,466,578,3266.0,BU0
20150112,3222.0,3238.0,3044.0,3082.0,1670,1182,3108.0,BU0
20150113,3000.0,3088.0,2952.0,2952.0,2118,1598,2988.0,BU0
20150114,2952.0,3030.0,2822.0,2922.0,8432,2448,2910.0,BU0
20150115,2930.0,3018.0,2844.0,2956.0,10706,2884,2924.0,BU0
20150116,2986.0,3040.0,2936.0,2960.0,6758,2970,2980.0,BU0
20150119,2960.0,2986.0,2880.0,2888.0,7322,4148,2924.0,BU0
20150120,2890.0,2908.0,2868.0,2886.0,5300,4320,2888.0,BU0
20150121,2902.0,2904.0,2832.0,2848.0,7654,4738,2862.0,BU0
