date,open,high,low,close,volume,open_interest,settle,symbol
20050104,1150.0,1154.0,1143.0,1145.0,101322,138780,0.0,C0
20050105,1141.0,1152.0,1141.0,1151.0,115404,140670,0.0,C0
20050106,1151.0,1157.0,1151.0,1154.0,116530,149290,0.0,C0
20050107,1162.0,1164.0,1156.0,1158.0,142096,146386,0.0,C0
20050110,1158.0,1159.0,1152.0,1155.0,125086,147406,0.0,C0
20050111,1156.0,1158.0,1154.0,1155.0,126812,144414,0.0,C0
20050112,1153.0,1158.0,1153.0,1157.0,153368,143494,0.0,C0
20050113,1150.0,1156.0,1149.0,1155.0,139970,141514,0.0,C0
20050114,1155.0,1157.0,1154.0,1156.0,130966,136640,0.0,C0
20050117,1151.0,1156.0,1151.0,1156.0,104946,132932,0.0,C0
20050118,1158.0,1158.0,1154.0,1156.0,88976,132630,0.0,C0
20050119,1155.0,1160.0,1154.0,1158.0,132780,133110,0.0,C0
20050120,1158.0,1159.0,1155.0,1156.0,130834,124548,0.0,C0
20050121,1157.0,1158.0,1155.0,1156.0,89508,130480,0.0,C0
20050124,1155.0,1157.0,1154.0,1157.0,133968,123258,0.0,C0
20050125,1155.0,1159.0,1155.0,1158.0,123806,121380,0.0,C0
20050126,1159.0,1160.0,1157.0,1157.0,103634,122550,0.0,C0
20050127,1157.0,1158.0,1154.0,1155.0,104812,120152,0.0,C0
20050128,1153.0,1155.0,1150.0,1153.0,113368,117462,0.0,C0
20050131,1153.0,1153.0,1147.0,1148.0,71516,117188,0.0,C0
20050201,1151.0,1151.0,1146.0,1146.0,77344,121656,0.0,C0
20050202,1146.0,1149.0,1144.0,1145.0,123818,127102,0.0,C0
20050203,1144.0,1150.0,1144.0,1149.0,107156,127008,0.0,C0
20050204,1149.0,1151.0,1148.0,1150.0,93224,123138,0.0,C0
20050216,1158.0,1160.0,1153.0,1154.0,123060,121108,0.0,C0
20050217,1152.0,1154.0,1148.0,1153.0,94920,117104,0.0,C0
20050218,1156.0,1157.0,1150.0,1151.0,91572,116998,0.0,C0
20050221,1154.0,1154.0,1148.0,1153.0,132322,125196,0.0,C0
20050222,1152.0,1162.0,1152.0,1161.0,113530,128096,0.0,C0
20050223,1167.0,1169.0,1156.0,1157.0,118950,125358,0.0,C0
20050224,1158.0,1161.0,1156.0,1159.0,154488,127352,0.0,C0
20050225,1157.0,1159.0,1156.0,1156.0,68536,122830,0.0,C0
20050228,1167.0,1198.0,1165.0,1185.0,191376,142634,0.0,C0
20050301,1185.0,1186.0,1165.0,1172.0,146244,141948,0.0,C0
20050302,1167.0,1188.0,1166.0,1178.0,156960,141450,0.0,C0
20050303,1175.0,1181.0,1171.0,1174.0,132666,138276,0.0,C0
20050304,1176.0,1182.0,1170.0,1182.0,144194,137756,0.0,C0
20050307,1185.0,1192.0,1181.0,1186.0,115476,137228,0.0,C0
20050308,1174.0,1186.0,1173.0,1185.0,126466,137350,0.0,C0
20050309,1190.0,1199.0,1186.0,1194.0,163104,143800,0.0,C0
20050310,1196.0,1221.0,1196.0,1214.0,225174,142030,0.0,C0
20050311,1221.0,1230.0,1202.0,1209.0,165240,130814,0.0,C0
20050314,1226.0,1229.0,1204.0,1212.0,182040,121086,0.0,C0
20050315,1261.0,1296.0,1255.0,1285.0,145266,98150,0.0,C0
20050316,1299.0,1329.0,1299.0,1318.0,185916,114884,0.0,C0
20050317,1261.0,1276.0,1251.0,1255.0,134492,115140,0.0,C0
20050318,1295.0,1299.0,1250.0,1270.0,144608,115740,0.0,C0
20050321,1263.0,1321.0,1260.0,1308.0,176932,134052,0.0,C0
20050322,1286.0,1313.0,1280.0,1308.0,304674,165024,0.0,C0
20050323,1306.0,1319.0,1295.0,1299.0,263286,177228,0.0,C0
20050324,1305.0,1317.0,1291.0,1314.0,210718,191924,0.0,C0
