date,open,high,low,close,volume,open_interest,settle,symbol
20190506,8820.0,8900.0,8620.0,8665.0,349204,57284,8745.0,CJ0
20190507,8710.0,8720.0,8545.0,8615.0,301676,70904,8620.0,CJ0
20190508,8620.0,8710.0,8595.0,8635.0,234442,71964,8650.0,CJ0
20190509,8635.0,8690.0,8580.0,8620.0,203022,70710,8640.0,CJ0
20190510,8655.0,8750.0,8620.0,8670.0,188466,65566,8680.0,CJ0
20190513,8690.0,9115.0,8670.0,9115.0,123494,103862,8985.0,CJ0
20190514,9125.0,9575.0,9125.0,9505.0,248471,88938,9425.0,CJ0
20190515,9505.0,9865.0,9385.0,9660.0,240050,111642,9585.0,CJ0
20190516,9680.0,9890.0,9620.0,9715.0,1310602,128334,9750.0,CJ0
20190517,9750.0,9795.0,9625.0,9755.0,832474,120310,9715.0,CJ0
20190520,9790.0,9915.0,9655.0,9755.0,846002,121602,9775.0,CJ0
20190521,9775.0,9905.0,9700.0,9840.0,755190,121068,9810.0,CJ0
20190522,9835.0,10305.0,9790.0,10305.0,1762678,148766,10125.0,CJ0
20190523,10335.0,10415.0,10255.0,10350.0,1183050,158296,10340.0,CJ0
20190524,10280.0,10730.0,10230.0,10720.0,1283538,178858,10490.0,CJ0
20190527,10600.0,10935.0,10480.0,10560.0,1777008,155792,10755.0,CJ0
20190528,10605.0,10690.0,10295.0,10405.0,2051420,142748,10470.0,CJ0
20190529,10460.0,10645.0,10395.0,10550.0,1087784,168440,10510.0,CJ0
20190530,10555.0,10745.0,10370.0,10530.0,1243232,159160,10565.0,CJ0
20190531,10520.0,10590.0,10340.0,10485.0,908096,151478,10440.0,CJ0
20190603,10435.0,10560.0,10000.0,10095.0,1052628,140692,10230.0,CJ0
20190604,10145.0,10190.0,9955.0,10150.0,780736,138258,10055.0,CJ0
20190605,10175.0,10210.0,10015.0,10100.0,569380,136470,10100.0,CJ0
20190606,10030.0,10030.0,9625.0,9750.0,875070,119610,9770.0,CJ0
20190610,9655.0,9890.0,9605.0,9815.0,571092,128688,9775.0,CJ0
20190611,9850.0,9995.0,9810.0,9960.0,536422,125136,9900.0,CJ0
20190612,9915.0,9925.0,9740.0,9815.0,468472,120694,9810.0,CJ0
20190613,9850.0,10305.0,9850.0,10305.0,972664,156654,10185.0,CJ0
20190614,10340.0,10550.0,10140.0,10230.0,955096,121284,10340.0,CJ0
20190617,10260.0,10445.0,10130.0,10440.0,544104,141946,10280.0,CJ0
20190618,10390.0,10450.0,10075.0,10120.0,847530,128026,10230.0,CJ0
20190619,10180.0,10310.0,10110.0,10225.0,597684,121390,10210.0,CJ0
20190620,10285.0,10370.0,10180.0,10270.0,383270,112488,10265.0,CJ0
20190621,10360.0,10515.0,10285.0,10475.0,552382,134984,10400.0,CJ0
20190624,10485.0,10580.0,10360.0,10440.0,340614,124618,10440.0,CJ0
20190625,10430.0,10475.0,10310.0,10395.0,263788,116398,10385.0,CJ0
20190626,10410.0,10445.0,10320.0,10415.0,198816,115136,10385.0,CJ0
20190627,10415.0,10675.0,10365.0,10505.0,488372,126426,10560.0,CJ0
20190628,10535.0,10610.0,10300.0,10335.0,306112,106548,10445.0,CJ0
20190701,10380.0,10380.0,10185.0,10285.0,218390,107400,10260.0,CJ0
20190702,10270.0,10365.0,10155.0,10340.0,242280,102204,10275.0,CJ0
20190703,10305.0,10440.0,10230.0,10330.0,235456,98952,10310.0,CJ0
20190704,10365.0,10430.0,10310.0,10380.0,219044,100096,10370.0,CJ0
20190705,10395.0,10415.0,10220.0,10315.0,186760,93172,10310.0,CJ0
20190708,10325.0,10565.0,10325.0,10555.0,263722,110142,10480.0,CJ0
20190709,10625.0,10645.0,10425.0,10490.0,224112,99714,10515.0,CJ0
20190710,10510.0,10510.0,10255.0,10405.0,256166,96150,10350.0,CJ0
20190711,10430.0,10460.0,10285.0,10415.0,172482,93174,10375.0,CJ0
20190712,10430.0,10535.0,10335.0,10485.0,222456,98114,10445.0,CJ0
20190715,10485.0,10615.0,10405.0,10470.0,214094,94684,10490.0,CJ0
20190716,10420.0,10545.0,10365.0,10540.0,132580,97470,10490.0,CJ0
20190718,10435.0,10480.0,10335.0,10360.0,154826,92812,10395.0,CJ0
20190719,10330.0,10385.0,10220.0,10345.0,163902,88326,10315.0,CJ0
20190722,10380.0,10380.0,10185.0,10315.0,134604,88802,10285.0,CJ0
20190723,10265.0,10315.0,10170.0,10215.0,160144,96164,10245.0,CJ0
20190724,10150.0,10215.0,9995.0,10135.0,217544,97478,10090.0,CJ0
20190725,10130.0,10150.0,10065.0,10100.0,87194,93972,10100.0,CJ0
20190726,10080.0,10235.0,10025.0,10230.0,147524,88426,10130.0,CJ0
20190729,10225.0,10265.0,10150.0,10205.0,81286,84814,10200.0,CJ0
20190730,10230.0,10325.0,10180.0,10280.0,105646,83302,10255.0,CJ0
20190731,10290.0,10340.0,10240.0,10275.0,67444,77950,10280.0,CJ0
20190801,10235.0,10285.0,10120.0,10130.0,105114,81638,10195.0,CJ0
20190802,10065.0,10210.0,10055.0,10185.0,97832,76752,10140.0,CJ0
20190805,10225.0,10270.0,10030.0,10125.0,125128,79524,10150.0,CJ0
20190806,10195.0,10660.0,10165.0,10660.0,383226,127156,10495.0,CJ0
20190807,10750.0,10825.0,10545.0,10695.0,388616,113534,10695.0,CJ0
20190808,10755.0,10945.0,10635.0,10780.0,365566,124832,10760.0,CJ0
20190809,10805.0,10870.0,10580.0,10785.0,285950,117798,10735.0,CJ0
20190812,10840.0,11000.0,10705.0,10730.0,300212,125182,10840.0,CJ0
20190813,10770.0,10770.0,10610.0,10645.0,190880,115536,10670.0,CJ0
20190814,10625.0,10645.0,10505.0,10570.0,168748,105094,10575.0,CJ0
20190815,10550.0,10660.0,10525.0,10650.0,101144,100126,10590.0,CJ0
20190816,10755.0,10850.0,10695.0,10745.0,234214,110112,10760.0,CJ0
20190819,10840.0,10840.0,10735.0,10750.0,115476,114612,10785.0,CJ0
20190820,10750.0,10810.0,10600.0,10635.0,149900,103162,10710.0,CJ0
20190821,10635.0,10750.0,10545.0,10745.0,112074,100000,10635.0,CJ0
20190822,10760.0,10775.0,10655.0,10715.0,91398,102706,10715.0,CJ0
20190823,10700.0,10750.0,10635.0,10705.0,102756,101036,10700.0,CJ0
20190826,10700.0,10840.0,10565.0,10595.0,142454,94990,10660.0,CJ0
20190827,10555.0,10700.0,10525.0,10695.0,97432,90102,10625.0,CJ0
20190828,10690.0,10725.0,10595.0,10630.0,78028,85456,10655.0,CJ0
20190829,10655.0,10820.0,10645.0,10760.0,148988,98548,10755.0,CJ0
20190830,10750.0,10880.0,10700.0,10730.0,119302,93156,10785.0,CJ0
20190902,10735.0,10760.0,10615.0,10695.0,83024,85600,10685.0,CJ0
20190903,10715.0,11220.0,10690.0,11220.0,269516,137572,10965.0,CJ0
20190904,11310.0,11555.0,11300.0,11475.0,410850,140046,11440.0,CJ0
20190905,11490.0,11520.0,11105.0,11215.0,316714,123250,11390.0,CJ0
20190906,11170.0,11255.0,10820.0,10820.0,310438,94752,11060.0,CJ0
20190909,10800.0,10850.0,10665.0,10725.0,221784,90870,10755.0,CJ0
20190910,10695.0,10815.0,10690.0,10725.0,123996,88556,10750.0,CJ0
20190911,10680.0,10780.0,10335.0,10430.0,339650,91780,10545.0,CJ0
20190912,10450.0,10480.0,10305.0,10370.0,234872,85296,10385.0,CJ0
20190916,10400.0,10530.0,10230.0,10420.0,206908,82552,10385.0,CJ0
20190917,10425.0,10505.0,10365.0,10490.0,110488,77644,10445.0,CJ0
20190918,10475.0,10575.0,10400.0,10505.0,164374,76184,10505.0,CJ0
20190919,10510.0,10520.0,10250.0,10505.0,274870,79550,10370.0,CJ0
20190920,10495.0,10495.0,10355.0,10425.0,132324,74444,10435.0,CJ0
20190923,10400.0,10415.0,10060.0,10255.0,338562,88308,10230.0,CJ0
20190924,10280.0,10330.0,10190.0,10290.0,150460,83850,10255.0,CJ0
20190925,10305.0,10320.0,10170.0,10290.0,126348,81566,10245.0,CJ0
20190926,10280.0,10450.0,10250.0,10335.0,140036,77462,10335.0,CJ0
20190927,10275.0,10340.0,10150.0,10320.0,161032,68742,10255.0,CJ0
20190930,10350.0,10395.0,10155.0,10250.0,137644,65312,10245.0,CJ0
20191008,10255.0,10545.0,10180.0,10385.0,164746,65076,10395.0,CJ0
20191009,10390.0,10430.0,10320.0,10385.0,79202,65284,10375.0,CJ0
20191010,10405.0,10450.0,10340.0,10385.0,81866,66968,10405.0,CJ0
20191011,10385.0,10420.0,10260.0,10400.0,125368,65596,10345.0,CJ0
20191014,10415.0,10525.0,10340.0,10490.0,141458,72748,10435.0,CJ0
20191015,10455.0,10580.0,10400.0,10500.0,112132,69226,10460.0,CJ0
20191016,10505.0,10525.0,10410.0,10460.0,77462,66682,10455.0,CJ0
20191017,10465.0,10490.0,9930.0,9930.0,393158,108316,10130.0,CJ0
20191018,9925.0,10070.0,9770.0,10010.0,410986,102862,9885.0,CJ0
20191021,10000.0,10100.0,9895.0,10000.0,228238,97566,9985.0,CJ0
20191022,9985.0,10030.0,9940.0,10000.0,116392,96364,9985.0,CJ0
20191023,10025.0,10485.0,9955.0,10485.0,304166,111050,10305.0,CJ0
20191024,10600.0,10670.0,10515.0,10625.0,327990,86750,10585.0,CJ0
20191025,10645.0,10685.0,10525.0,10665.0,192108,86308,10600.0,CJ0
20191028,10720.0,10750.0,10450.0,10680.0,182086,83170,10600.0,CJ0
20191029,10660.0,10780.0,10595.0,10665.0,180216,81000,10670.0,CJ0
20191030,10650.0,10690.0,10585.0,10670.0,92836,70058,10645.0,CJ0
20191031,10680.0,10730.0,10580.0,10650.0,107236,56314,10640.0,CJ0
20191101,10655.0,10760.0,10580.0,10730.0,80856,50496,10650.0,CJ0
20191104,10805.0,11185.0,10755.0,11000.0,230790,52212,11020.0,CJ0
20191105,11015.0,11075.0,10870.0,10955.0,78778,45550,10975.0,CJ0
20191106,10965.0,10975.0,10760.0,10765.0,72802,39646,10860.0,CJ0
20191107,10785.0,10890.0,10720.0,10855.0,48866,37260,10815.0,CJ0
20191108,10915.0,11080.0,10870.0,11045.0,145250,65596,10980.0,CJ0
20191111,11010.0,11050.0,10870.0,10990.0,122540,66342,10960.0,CJ0
20191112,10980.0,11030.0,10905.0,10980.0,87738,66180,10970.0,CJ0
20191113,10960.0,11115.0,10890.0,11045.0,97528,68884,10980.0,CJ0
20191114,11050.0,11260.0,11015.0,11120.0,275786,86326,11145.0,CJ0
20191115,11075.0,11195.0,11020.0,11185.0,113366,85220,11100.0,CJ0
20191118,11160.0,11175.0,11010.0,11105.0,123456,85094,11090.0,CJ0
20191119,11110.0,11110.0,10790.0,10930.0,192104,77728,10905.0,CJ0
20191120,10930.0,11080.0,10850.0,11065.0,117456,79454,10990.0,CJ0
20191121,11050.0,11050.0,10910.0,10960.0,99564,72500,10960.0,CJ0
20191122,10930.0,10955.0,10765.0,10885.0,124860,72198,10860.0,CJ0
20191125,10860.0,10915.0,10765.0,10915.0,99068,62688,10850.0,CJ0
20191126,10875.0,10925.0,10825.0,10870.0,81284,61922,10860.0,CJ0
20191127,10870.0,10965.0,10755.0,10805.0,117230,59218,10855.0,CJ0
20191128,10800.0,10890.0,10795.0,10875.0,71666,51846,10850.0,CJ0
20191129,10885.0,11110.0,10810.0,11070.0,140840,46828,10925.0,CJ0
20191202,11045.0,11090.0,10925.0,10930.0,74658,34354,11005.0,CJ0
20191203,10935.0,10995.0,10925.0,10950.0,30822,31828,10965.0,CJ0
20191204,10940.0,10980.0,10810.0,10910.0,50590,26324,10890.0,CJ0
20191205,10890.0,10905.0,10835.0,10840.0,21432,23806,10865.0,CJ0
20191206,10780.0,10870.0,10580.0,10840.0,122126,58264,10740.0,CJ0
20191209,10850.0,11045.0,10770.0,10855.0,111070,58538,10890.0,CJ0
20191210,10890.0,10910.0,10805.0,10805.0,58806,56566,10860.0,CJ0
20191211,10800.0,10920.0,10780.0,10810.0,81082,59280,10855.0,CJ0
20191212,10810.0,10890.0,10805.0,10875.0,58586,58398,10855.0,CJ0
20191213,10870.0,10895.0,10770.0,10870.0,78712,58332,10850.0,CJ0
20191216,10910.0,10980.0,10835.0,10895.0,78450,60022,10905.0,CJ0
20191217,10890.0,10930.0,10860.0,10860.0,51624,57780,10895.0,CJ0
20191218,10860.0,10880.0,10740.0,10835.0,99274,64402,10820.0,CJ0
20191219,10855.0,10870.0,10790.0,10860.0,55726,62952,10825.0,CJ0
20191220,10865.0,10925.0,10840.0,10905.0,74486,62508,10890.0,CJ0
20191223,10910.0,10950.0,10810.0,10810.0,75746,62524,10865.0,CJ0
20191224,10810.0,10830.0,10720.0,10775.0,77782,64960,10770.0,CJ0
20191225,10785.0,10825.0,10710.0,10800.0,46656,63096,10775.0,CJ0
20191226,10830.0,10875.0,10775.0,10835.0,49760,60760,10825.0,CJ0
20191227,10830.0,10890.0,10800.0,10875.0,45494,59390,10865.0,CJ0
20191230,10875.0,11015.0,10800.0,10900.0,108482,58066,10875.0,CJ0
20191231,10880.0,10960.0,10840.0,10915.0,87534,59572,10895.0,CJ0
20200102,10940.0,10960.0,10880.0,10930.0,25280,31370,10925.0,CJ0
20200103,10930.0,10970.0,10860.0,10905.0,32463,30415,10915.0,CJ0
20200106,10880.0,10935.0,10745.0,10800.0,62479,31723,10835.0,CJ0
20200107,10815.0,10830.0,10420.0,10480.0,130976,45142,10585.0,CJ0
20200108,10490.0,10530.0,10335.0,10440.0,72014,45842,10420.0,CJ0
20200109,10435.0,10490.0,10370.0,10405.0,43553,45150,10435.0,CJ0
20200110,10300.0,10490.0,10115.0,10475.0,138615,45564,10320.0,CJ0
20200113,10515.0,10585.0,10360.0,10425.0,48800,42507,10440.0,CJ0
20200114,10425.0,10555.0,10355.0,10480.0,49596,40457,10460.0,CJ0
20200115,10520.0,10545.0,10405.0,10510.0,44648,39172,10490.0,CJ0
20200116,10520.0,10585.0,10440.0,10510.0,41662,37875,10505.0,CJ0
20200117,10510.0,10575.0,10470.0,10575.0,30365,36609,10525.0,CJ0
20200120,10585.0,10665.0,10470.0,10470.0,38211,35502,10540.0,CJ0
20200121,10495.0,10545.0,10450.0,10515.0,31349,34424,10500.0,CJ0
20200122,10515.0,10640.0,10425.0,10600.0,43738,32049,10530.0,CJ0
20200123,10575.0,10620.0,10520.0,10610.0,20706,29564,10570.0,CJ0
20200203,10150.0,10360.0,9910.0,10105.0,89416,31495,10125.0,CJ0
20200204,10085.0,10260.0,9890.0,10240.0,38655,29416,10175.0,CJ0
20200205,10225.0,10320.0,10190.0,10235.0,29758,28416,10250.0,CJ0
20200206,10240.0,10290.0,10205.0,10280.0,21874,28323,10250.0,CJ0
20200207,10290.0,10335.0,10260.0,10330.0,26660,28926,10300.0,CJ0
20200210,10260.0,10360.0,10230.0,10325.0,25715,29139,10310.0,CJ0
20200211,10350.0,10400.0,10310.0,10385.0,24902,28447,10365.0,CJ0
20200212,10380.0,10485.0,10370.0,10435.0,26864,28738,10420.0,CJ0
20200213,10435.0,10460.0,10390.0,10450.0,15470,27637,10420.0,CJ0
20200214,10430.0,10460.0,10350.0,10420.0,25899,28876,10405.0,CJ0
20200217,10440.0,10555.0,10400.0,10535.0,29563,30150,10490.0,CJ0
20200218,10495.0,10560.0,10490.0,10510.0,14819,29462,10520.0,CJ0
20200219,10490.0,10550.0,10490.0,10500.0,11612,29217,10520.0,CJ0
20200220,10535.0,10665.0,10475.0,10580.0,34779,29460,10580.0,CJ0
