date,open,close,high,low,volume,symbol
20241224,1596.64,1602.99,1603.89,1596.64,,CKLSE
20241223,1594.1,1596.2,1601.9,1592.57,,CKLSE
20241220,1600.41,1591.41,1606.28,1591.41,,CKLSE
20241219,1595.18,1600.09,1600.73,1590.83,,CKLSE
20241218,1597.33,1599.58,1602.38,1594.75,,CKLSE
20241217,1605.26,1597.33,1606.81,1594.51,,CKLSE
20241216,1608.88,1606.85,1609.43,1603.21,,CKLSE
20241213,1603.86,1608.75,1611.98,1603.74,,CKLSE
20241212,1601.83,1602.08,1605.95,1597.12,,CKLSE
20241211,1603.19,1603.2,1605.01,1598.93,,CKLSE
20241210,1612.65,1608.97,1615.93,1607.88,,CKLSE
20241209,1610.62,1611.43,1611.43,1602.94,,CKLSE
20241206,1615.85,1613.25,1617.57,1611.25,,CKLSE
20241205,1616.14,1615.64,1617.78,1610.77,,CKLSE
20241204,1606.97,1614.09,1616.03,1606.53,,CKLSE
20241203,1599.32,1606.96,1606.96,1594.07,,CKLSE
20241202,1596.84,1595.48,1603.94,1593.37,,CKLSE
20241129,1596.36,1594.29,1603.59,1586.39,,CKLSE
20241128,1606.32,1597.49,1608.01,1597.49,,CKLSE
20241127,1601.34,1604.25,1609.41,1600.83,,CKLSE
20241126,1600.5,1603.15,1607.76,1596.03,,CKLSE
20241125,1593.87,1597.45,1609.29,1588.46,,CKLSE
20241122,1593.04,1589.78,1593.85,1587.74,,CKLSE
20241121,1599.81,1588.68,1599.94,1588.68,,CKLSE
20241120,1602.88,1598.18,1606.28,1594.51,,CKLSE
20241119,1603.18,1602.34,1608.88,1601.02,,CKLSE
20241118,1592.91,1604.04,1605.41,1591.49,,CKLSE
20241115,1601.43,1592.44,1604.51,1592.44,,CKLSE
20241114,1614.89,1600.68,1615.84,1598.64,,CKLSE
20241113,1608.61,1611.5,1611.54,1602.71,,CKLSE
20241112,1610.02,1608.43,1615.96,1605.43,,CKLSE
20241111,1625.63,1609.26,1627.23,1609.24,,CKLSE
20241108,1627.62,1621.24,1627.62,1621.24,,CKLSE
20241107,1636.14,1623.28,1639.55,1622.75,,CKLSE
20241106,1624.41,1634.17,1634.17,1623.52,,CKLSE
20241105,1618.2,1620.7,1620.7,1613.91,,CKLSE
20241104,1607.75,1616.43,1616.43,1607.75,,CKLSE
20241101,1591.06,1603.98,1607.04,1589.27,,CKLSE
20241030,1614.9,1601.88,1615.36,1601.45,,CKLSE
20241029,1612.37,1615.08,1619.05,1609.7,,CKLSE
20241028,1622.34,1610.47,1630.39,1609.87,,CKLSE
20241025,1633.02,1618.3,1635.28,1617.6,,CKLSE
20241024,1639.05,1632.23,1643.08,1632.23,,CKLSE
20241023,1644.21,1641.53,1645.9,1641.53,,CKLSE
20241022,1647.46,1642.54,1648.31,1642.35,,CKLSE
20241021,1646.71,1645.68,1648.05,1642.52,,CKLSE
20241018,1643.29,1645.99,1649.31,1641.71,,CKLSE
20241017,1634.47,1641.44,1642.93,1633.72,,CKLSE
20241016,1643.8,1632.63,1643.8,1629.81,,CKLSE
20241015,1638.56,1641.97,1643.64,1636.89,,CKLSE
20241014,1637.17,1636.54,1642.56,1632.37,,CKLSE
20241011,1635.79,1633.55,1643.07,1631.89,,CKLSE
20241010,1639.75,1640.94,1646.14,1638.67,,CKLSE
20241009,1637.66,1634.91,1642.29,1634.91,,CKLSE
20241008,1631.63,1635.62,1638.87,1629.22,,CKLSE
20241007,1633.58,1635.29,1637.29,1628.12,,CKLSE
20241004,1638.49,1629.97,1639.29,1625.35,,CKLSE
20241003,1640.7,1641.55,1643.82,1630.45,,CKLSE
20241002,1642.78,1639.31,1647.3,1633.08,,CKLSE
20241001,1647.42,1656.39,1657.32,1643.11,,CKLSE
20240930,1661.89,1648.91,1661.89,1647.28,,CKLSE
20240927,1668.59,1660.09,1668.59,1658.49,,CKLSE
20240926,1670.19,1671.32,1672.6,1666.19,,CKLSE
20240925,1674.06,1673.38,1675.73,1665.19,,CKLSE
20240924,1667.25,1670.37,1671.47,1665.51,,CKLSE
20240923,1669.91,1665.3,1671.62,1658.48,,CKLSE
20240920,1670.68,1668.82,1674.04,1668.48,,CKLSE
20240919,1663.27,1665.65,1665.84,1657.13,,CKLSE
20240918,1664.33,1660.59,1664.78,1654.0,,CKLSE
20240917,1654.31,1664.28,1664.99,1651.55,,CKLSE
20240913,1642.63,1652.15,1652.25,1638.44,,CKLSE
20240912,1644.04,1638.31,1649.87,1637.91,,CKLSE
20240911,1653.57,1639.8,1654.38,1638.9,,CKLSE
20240910,1653.8,1660.35,1661.09,1649.53,,CKLSE
20240909,1647.2,1651.49,1659.11,1642.31,,CKLSE
20240906,1669.47,1653.12,1671.83,1648.42,,CKLSE
20240905,1670.55,1664.82,1677.46,1663.18,,CKLSE
20240904,1662.65,1670.24,1675.53,1662.22,,CKLSE
20240903,1677.82,1676.65,1684.06,1673.86,,CKLSE
20240902,1680.36,1678.19,1683.43,1671.9,,CKLSE
20240830,1658.48,1678.8,1679.85,1651.1,,CKLSE
20240829,1672.95,1653.55,1684.68,1651.73,,CKLSE
20240828,1657.77,1675.24,1681.37,1657.77,,CKLSE
20240827,1639.16,1652.29,1653.12,1639.16,,CKLSE
20240826,1639.82,1638.96,1643.95,1634.72,,CKLSE
20240823,1643.33,1635.74,1644.44,1633.31,,CKLSE
20240822,1640.33,1641.66,1642.14,1634.69,,CKLSE
20240821,1641.72,1635.32,1646.38,1633.64,,CKLSE
20240820,1649.56,1642.77,1660.29,1637.45,,CKLSE
20240819,1625.14,1648.7,1653.35,1624.58,,CKLSE
20240816,1622.2,1623.9,1624.71,1617.18,,CKLSE
20240815,1614.63,1612.94,1614.69,1605.69,,CKLSE
20240814,1611.79,1612.35,1613.63,1606.49,,CKLSE
20240813,1605.84,1609.52,1609.52,1598.3,,CKLSE
20240812,1598.53,1606.66,1609.57,1598.53,,CKLSE
20240809,1601.16,1596.05,1604.06,1591.75,,CKLSE
20240808,1585.96,1590.38,1593.24,1579.69,,CKLSE
20240807,1576.12,1591.87,1596.6,1563.77,,CKLSE
20240806,1542.14,1574.39,1574.39,1529.09,,CKLSE
20240805,1593.36,1536.48,1593.36,1532.24,,CKLSE
20240802,1619.31,1611.05,1619.31,1607.75,,CKLSE
20240801,1625.87,1624.25,1626.35,1621.44,,CKLSE
20240731,1613.33,1625.57,1627.94,1611.6,,CKLSE
20240730,1624.78,1611.94,1629.37,1611.94,,CKLSE
20240729,1617.16,1624.56,1625.55,1616.35,,CKLSE
20240726,1613.99,1612.88,1616.83,1610.65,,CKLSE
20240725,1617.08,1615.18,1618.0,1610.58,,CKLSE
20240724,1631.31,1621.14,1631.31,1619.71,,CKLSE
20240723,1625.23,1629.68,1632.5,1625.23,,CKLSE
20240722,1637.12,1622.07,1637.12,1616.74,,CKLSE
20240719,1634.06,1636.55,1638.29,1632.53,,CKLSE
20240718,1633.7,1633.81,1634.24,1627.93,,CKLSE
20240717,1629.98,1633.54,1638.03,1629.89,,CKLSE
20240716,1631.73,1625.96,1633.97,1624.39,,CKLSE
20240715,1619.86,1629.82,1632.69,1619.19,,CKLSE
20240712,1622.73,1619.06,1622.97,1616.22,,CKLSE
20240711,1621.16,1623.12,1628.35,1620.02,,CKLSE
20240710,1613.71,1618.38,1620.83,1613.65,,CKLSE
20240709,1617.14,1614.42,1618.02,1613.15,,CKLSE
20240705,1615.76,1611.02,1616.26,1608.41,,CKLSE
20240704,1615.96,1616.75,1619.75,1614.71,,CKLSE
20240703,1599.6,1615.32,1615.32,1599.6,,CKLSE
20240702,1598.58,1597.96,1602.52,1595.62,,CKLSE
20240701,1590.26,1598.2,1598.36,1587.03,,CKLSE
20240628,1583.53,1590.09,1590.09,1581.52,,CKLSE
20240627,1591.53,1584.94,1592.26,1582.31,,CKLSE
20240626,1586.39,1590.95,1593.42,1581.76,,CKLSE
20240625,1589.71,1585.38,1594.71,1582.35,,CKLSE
20240624,1589.87,1589.66,1594.09,1582.78,,CKLSE
20240621,1593.41,1590.37,1598.16,1590.0,,CKLSE
20240620,1596.27,1592.69,1596.27,1590.37,,CKLSE
20240619,1608.47,1599.79,1609.22,1599.79,,CKLSE
20240618,1609.39,1606.13,1615.09,1606.13,,CKLSE
20240614,1611.0,1607.32,1611.9,1604.48,,CKLSE
20240613,1612.58,1610.17,1616.84,1609.13,,CKLSE
20240612,1616.63,1608.95,1618.99,1608.95,,CKLSE
20240611,1617.0,1611.49,1617.37,1609.26,,CKLSE
20240610,1619.24,1614.37,1619.24,1613.01,,CKLSE
