date,open,close,high,low,volume,symbol
20241224,4857.79,4857.86,4868.36,4857.79,110102.88,CSX5P
20241223,4859.04,4852.93,4862.51,4832.15,132068.0,CSX5P
20241220,4861.59,4862.28,4872.66,4803.2,525365.38,CSX5P
20241219,4916.32,4879.0,4916.32,4869.11,231224.38,CSX5P
20241218,4945.61,4957.29,4970.35,4940.3,229816.57,CSX5P
20241217,4936.52,4942.59,4966.14,4922.34,239397.25,CSX5P
20241216,4963.88,4947.03,4963.88,4940.39,237599.38,CSX5P
20241213,4964.08,4967.95,4996.96,4955.29,206821.63,CSX5P
20241212,4964.17,4965.53,4974.9,4953.21,248835.32,CSX5P
20241211,4947.44,4959.35,4966.23,4940.08,216509.69,CSX5P
20241210,4979.17,4951.74,4979.17,4949.32,213249.57,CSX5P
20241209,4991.84,4985.46,5007.7,4974.05,230290.38,CSX5P
20241206,4953.93,4977.78,4985.22,4944.29,232020.69,CSX5P
20241205,4914.06,4951.58,4954.92,4912.75,297527.32,CSX5P
20241204,4884.94,4919.02,4929.53,4884.52,226786.69,CSX5P
20241203,4854.14,4878.51,4902.04,4854.14,252536.44,CSX5P
20241202,4785.15,4846.73,4848.87,4764.38,273584.94,CSX5P
20241129,4754.62,4804.4,4810.49,4741.89,230663.32,CSX5P
20241128,4759.22,4758.65,4781.09,4747.37,156049.13,CSX5P
20241127,4752.43,4733.15,4752.43,4705.97,235731.57,CSX5P
20241126,4781.47,4761.99,4792.71,4747.01,252431.07,CSX5P
20241125,4806.29,4799.87,4831.28,4790.77,467585.63,CSX5P
20241122,4772.83,4789.09,4797.95,4722.77,324501.0,CSX5P
20241121,4731.23,4755.83,4757.59,4690.45,226553.38,CSX5P
20241120,4760.61,4729.71,4786.28,4717.45,215271.5,CSX5P
20241119,4791.89,4751.23,4801.23,4688.68,311620.57,CSX5P
20241118,4786.54,4790.33,4800.47,4755.79,235686.19,CSX5P
20241115,4810.59,4794.85,4829.68,4785.65,263405.38,CSX5P
20241114,4759.77,4833.53,4835.78,4747.57,256607.94,CSX5P
20241113,4740.93,4740.34,4761.09,4699.78,258685.88,CSX5P
20241112,4834.34,4744.69,4834.34,4741.99,306058.75,CSX5P
20241111,4825.5,4854.03,4875.75,4825.5,212447.07,CSX5P
20241108,4853.5,4802.76,4862.64,4791.06,291900.0,CSX5P
20241107,4812.63,4851.96,4869.39,4810.63,348287.63,CSX5P
20241106,4880.35,4800.63,4946.48,4788.41,435669.69,CSX5P
20241105,4853.66,4870.34,4874.55,4839.44,229988.32,CSX5P
20241104,4873.95,4852.1,4893.35,4852.1,245566.44,CSX5P
20241101,4829.48,4877.75,4889.49,4829.48,258515.82,CSX5P
20241031,4866.03,4827.63,4866.03,4805.23,344671.32,CSX5P
20241030,4931.32,4885.75,4931.32,4866.59,249286.69,CSX5P
20241029,4978.73,4950.02,4999.72,4948.84,255220.94,CSX5P
20241028,4962.16,4969.83,4982.74,4932.61,224920.63,CSX5P
20241025,4940.35,4943.09,4953.34,4915.57,191992.63,CSX5P
20241024,4929.02,4935.45,4970.48,4929.02,194642.0,CSX5P
20241023,4924.4,4922.55,4948.38,4906.28,198344.94,CSX5P
20241022,4941.04,4939.3,4965.75,4910.32,214028.38,CSX5P
20241021,4977.9,4941.22,4989.32,4938.1,219278.07,CSX5P
20241018,4950.05,4986.27,4986.27,4944.13,296947.25,CSX5P
20241017,4913.99,4947.3,4973.79,4913.99,284811.57,CSX5P
20241016,4918.44,4908.71,4926.08,4898.95,282221.57,CSX5P
20241015,5045.63,4946.73,5053.23,4946.73,329109.82,CSX5P
20241014,5007.27,5041.01,5044.74,4999.18,203966.69,CSX5P
20241011,4970.64,5003.93,5005.83,4953.82,234663.82,CSX5P
20241010,4980.12,4970.34,4986.7,4950.16,235902.38,CSX5P
20241009,4948.79,4982.57,4984.79,4930.13,197219.69,CSX5P
20241008,4953.91,4949.0,4955.96,4911.83,197504.44,CSX5P
20241007,4959.24,4969.71,4976.67,4930.79,221369.63,CSX5P
20241004,4920.2,4954.94,4976.02,4911.36,264831.82,CSX5P
20241003,4959.2,4921.33,4959.2,4907.6,257590.82,CSX5P
20241002,4961.73,4963.29,4983.22,4931.56,252113.44,CSX5P
20241001,5004.37,4954.15,5016.88,4933.39,318803.25,CSX5P
20240930,5060.76,5000.45,5060.76,5000.45,350022.75,CSX5P
20240927,5028.35,5067.45,5071.41,5028.35,272194.75,CSX5P
20240926,4956.34,5032.59,5035.44,4956.34,316328.25,CSX5P
20240925,4928.15,4916.89,4933.37,4905.33,197620.13,CSX5P
20240924,4907.58,4940.72,4953.69,4907.58,203842.57,CSX5P
20240923,4875.62,4885.57,4893.98,4854.93,218573.07,CSX5P
20240920,4929.15,4871.55,4930.22,4868.8,539295.63,CSX5P
20240919,4862.41,4943.38,4943.38,4862.41,291773.5,CSX5P
20240918,4861.52,4835.3,4864.6,4831.09,196460.63,CSX5P
20240917,4832.82,4860.78,4879.61,4832.82,225139.75,CSX5P
20240916,4835.16,4827.63,4852.71,4820.11,166514.25,CSX5P
20240913,4817.74,4843.99,4853.89,4817.74,192203.88,CSX5P
20240912,4777.77,4814.09,4836.64,4777.77,219402.25,CSX5P
20240911,4752.58,4763.58,4796.49,4735.95,226570.25,CSX5P
20240910,4779.55,4747.2,4803.37,4736.89,251442.0,CSX5P
20240909,4745.21,4778.66,4797.75,4745.21,184819.5,CSX5P
20240906,4806.59,4738.06,4829.28,4732.86,266213.07,CSX5P
20240905,4840.7,4815.14,4854.33,4814.77,203351.57,CSX5P
20240904,4889.17,4848.18,4889.17,4838.83,208363.44,CSX5P
20240903,4977.97,4912.52,4986.74,4906.98,212662.07,CSX5P
20240902,4955.87,4973.07,4973.39,4924.18,142237.0,CSX5P
20240830,4959.03,4957.98,4980.86,4957.96,340389.13,CSX5P
20240829,4915.49,4966.27,4966.27,4913.49,195426.69,CSX5P
20240828,4904.76,4913.03,4932.76,4904.76,159450.82,CSX5P
20240827,4897.27,4898.78,4916.68,4892.51,167779.5,CSX5P
20240826,4907.04,4896.7,4911.02,4892.19,104237.63,CSX5P
20240823,4890.34,4909.2,4918.85,4887.7,162433.57,CSX5P
20240822,4885.74,4885.0,4911.43,4883.98,147061.63,CSX5P
20240821,4856.23,4885.29,4889.72,4856.23,137500.38,CSX5P
20240820,4878.22,4857.58,4897.43,4855.9,158968.57,CSX5P
20240819,4838.02,4871.41,4879.3,4835.58,158470.69,CSX5P
20240816,4813.72,4840.52,4850.74,4813.72,227410.82,CSX5P
20240815,4736.84,4807.77,4809.88,4727.63,175243.5,CSX5P
20240814,4710.18,4727.6,4728.68,4706.76,144100.57,CSX5P
20240813,4680.21,4694.91,4697.96,4659.23,186089.82,CSX5P
20240812,4686.85,4671.88,4699.91,4658.86,151377.75,CSX5P
20240809,4678.44,4675.28,4703.22,4646.71,176311.63,CSX5P
20240808,4661.82,4668.74,4673.66,4606.7,249423.19,CSX5P
20240807,4592.87,4668.07,4683.72,4591.59,331099.32,CSX5P
20240806,4580.12,4575.22,4607.82,4538.2,326802.75,CSX5P
20240805,4605.72,4571.6,4605.72,4473.94,467320.5,CSX5P
20240802,4752.1,4638.7,4752.1,4627.27,433784.07,CSX5P
20240801,4867.09,4765.73,4867.09,4759.68,342307.13,CSX5P
20240731,4852.18,4872.94,4907.39,4852.18,300274.88,CSX5P
20240730,4830.52,4841.0,4861.85,4829.92,275626.63,CSX5P
20240729,4873.84,4815.39,4886.6,4810.81,201311.19,CSX5P
20240726,4810.87,4862.5,4867.88,4810.2,204246.19,CSX5P
20240725,4832.68,4811.28,4832.68,4767.15,271800.88,CSX5P
20240724,4892.66,4861.88,4892.66,4847.39,254162.44,CSX5P
20240723,4906.89,4916.8,4949.27,4896.33,206654.63,CSX5P
20240722,4833.17,4897.44,4911.43,4833.17,231045.5,CSX5P
20240719,4868.97,4827.24,4868.97,4822.55,268755.44,CSX5P
20240718,4902.41,4870.12,4923.86,4870.12,243941.94,CSX5P
