date,open,high,low,close,volume,open_interest,settle,symbol
20050104,29110.0,29190.0,28270.0,28560.0,134210,115364,0.0,CU0
20050105,27990.0,27990.0,27990.0,27990.0,4054,112584,0.0,CU0
20050106,28070.0,28520.0,28020.0,28470.0,118436,116186,0.0,CU0
20050107,28380.0,28570.0,28310.0,28420.0,76214,119018,0.0,CU0
20050110,28390.0,28590.0,27930.0,28150.0,115932,128252,0.0,CU0
20050111,28360.0,28550.0,28330.0,28510.0,88654,125050,0.0,CU0
20050112,28800.0,28920.0,28730.0,28900.0,72470,124612,0.0,CU0
20050113,28820.0,28870.0,28650.0,28810.0,76128,126476,0.0,CU0
20050114,28550.0,28810.0,28520.0,28800.0,79154,127766,0.0,CU0
20050117,29000.0,29530.0,28950.0,29290.0,103014,122210,0.0,CU0
20050118,29200.0,29340.0,28980.0,29250.0,87748,122594,0.0,CU0
20050119,29350.0,29630.0,29310.0,29590.0,86840,121112,0.0,CU0
20050120,29540.0,29750.0,29470.0,29570.0,64930,120410,0.0,CU0
20050121,29880.0,30010.0,29740.0,30000.0,67626,113344,0.0,CU0
20050124,30290.0,30710.0,30270.0,30620.0,71158,108960,0.0,CU0
20050125,29300.0,29580.0,29250.0,29580.0,74766,87170,0.0,CU0
20050126,29480.0,29560.0,28790.0,29020.0,172550,100070,0.0,CU0
20050127,29470.0,29720.0,29460.0,29620.0,86284,99160,0.0,CU0
20050128,29420.0,29660.0,29360.0,29610.0,92426,100844,0.0,CU0
20050131,29850.0,29930.0,29370.0,29470.0,99588,109216,0.0,CU0
20050201,29600.0,29700.0,29490.0,29550.0,61818,110246,0.0,CU0
20050202,29320.0,29470.0,29250.0,29460.0,59130,110774,0.0,CU0
20050203,29170.0,29260.0,28820.0,28920.0,104998,115028,0.0,CU0
20050204,29130.0,29280.0,28970.0,29270.0,71274,112320,0.0,CU0
20050216,29990.0,29990.0,29960.0,29990.0,24370,105918,0.0,CU0
20050217,30060.0,30310.0,29960.0,30290.0,59786,105588,0.0,CU0
20050218,30850.0,31000.0,30720.0,30990.0,64392,95140,0.0,CU0
20050221,30030.0,30170.0,29910.0,30110.0,56902,62380,0.0,CU0
20050222,30100.0,30530.0,30030.0,30520.0,64358,68322,0.0,CU0
20050223,30400.0,30470.0,30150.0,30220.0,77852,79212,0.0,CU0
20050224,30420.0,30750.0,30400.0,30740.0,82740,77420,0.0,CU0
20050225,30400.0,30440.0,30080.0,30220.0,95590,78372,0.0,CU0
20050228,30550.0,31010.0,30550.0,30860.0,87278,79984,0.0,CU0
20050301,30670.0,30820.0,30590.0,30680.0,68676,83076,0.0,CU0
20050302,30350.0,30550.0,30200.0,30540.0,87364,82756,0.0,CU0
20050303,30940.0,30940.0,30580.0,30620.0,59456,82394,0.0,CU0
20050304,30700.0,30910.0,30110.0,30520.0,127260,90428,0.0,CU0
20050307,30920.0,30950.0,30720.0,30760.0,59582,89484,0.0,CU0
20050308,30900.0,30920.0,30750.0,30920.0,51700,92890,0.0,CU0
20050309,30930.0,31300.0,30870.0,31260.0,75670,95466,0.0,CU0
20050310,31260.0,31350.0,31080.0,31300.0,61104,96234,0.0,CU0
20050311,31230.0,31320.0,31110.0,31170.0,41138,95696,0.0,CU0
20050314,31080.0,31250.0,31010.0,31250.0,42474,93706,0.0,CU0
20050315,31040.0,31420.0,31040.0,31340.0,48184,89338,0.0,CU0
20050316,30900.0,31560.0,30870.0,31450.0,54234,58092,0.0,CU0
20050317,31350.0,31690.0,31230.0,31550.0,63490,61796,0.0,CU0
20050318,31460.0,31580.0,30810.0,31160.0,94270,65678,0.0,CU0
20050321,31540.0,31660.0,31350.0,31530.0,55542,67296,0.0,CU0
20050322,31260.0,31530.0,31230.0,31440.0,49994,62710,0.0,CU0
20050323,31300.0,31420.0,31130.0,31180.0,61262,65748,0.0,CU0
