date,open,high,low,close,volume,open_interest,settle,symbol
20170823,23080.0,23155.0,23045.0,23070.0,9078,6958,23090.0,CY0
20170824,23070.0,23120.0,23010.0,23050.0,4510,6420,23065.0,CY0
20170825,23040.0,23095.0,23030.0,23050.0,3012,5830,23060.0,CY0
20170828,23055.0,23100.0,23000.0,23075.0,3914,5684,23060.0,CY0
20170829,23100.0,23135.0,23035.0,23050.0,2572,5352,23080.0,CY0
20170830,23025.0,23085.0,23005.0,23020.0,1842,5314,23040.0,CY0
20170831,23030.0,23080.0,23020.0,23025.0,1784,4908,23050.0,CY0
20170901,23020.0,23095.0,23020.0,23030.0,2186,4792,23055.0,CY0
20170904,23055.0,23645.0,23040.0,23400.0,14420,6228,23375.0,CY0
20170905,23425.0,23575.0,23300.0,23495.0,5994,5966,23395.0,CY0
20170906,23535.0,23585.0,23335.0,23345.0,6078,5762,23435.0,CY0
20170907,23365.0,23410.0,23220.0,23295.0,4074,5270,23315.0,CY0
20170908,23325.0,23340.0,23020.0,23080.0,5524,4380,23145.0,CY0
20170911,23105.0,24075.0,22530.0,23210.0,15894,4024,23250.0,CY0
20170912,23165.0,23290.0,23130.0,23225.0,2178,3876,23230.0,CY0
20170913,23190.0,23285.0,23050.0,23155.0,3018,3580,23175.0,CY0
20170914,23125.0,23210.0,23080.0,23085.0,1432,3482,23135.0,CY0
20170915,23075.0,23120.0,23020.0,23050.0,1498,3390,23070.0,CY0
20170918,23030.0,23095.0,22880.0,23080.0,1904,3038,23045.0,CY0
20170919,23160.0,23200.0,23035.0,23095.0,1962,2674,23100.0,CY0
20170920,23085.0,23390.0,23070.0,23385.0,3342,2334,23260.0,CY0
20170921,23390.0,23390.0,23210.0,23210.0,1426,2034,23290.0,CY0
20170922,23235.0,23280.0,23125.0,23155.0,1880,1952,23195.0,CY0
20170925,23145.0,23245.0,23135.0,23235.0,974,1880,23200.0,CY0
20170926,23255.0,23370.0,23205.0,23320.0,1508,1952,23295.0,CY0
20170927,23300.0,23310.0,23085.0,23105.0,1778,1910,23165.0,CY0
20170928,23080.0,23145.0,22860.0,22900.0,1928,2080,23015.0,CY0
20170929,22845.0,23010.0,22845.0,22920.0,1072,1848,22955.0,CY0
20171009,23055.0,23055.0,22860.0,22960.0,582,1820,22920.0,CY0
20171010,22980.0,22995.0,22920.0,22935.0,658,1796,22950.0,CY0
20171011,22995.0,23000.0,22900.0,22910.0,604,1732,22945.0,CY0
20171012,22900.0,22965.0,22860.0,22925.0,1104,1736,22915.0,CY0
20171013,22940.0,23010.0,22910.0,22940.0,826,1650,22950.0,CY0
20171016,23000.0,23110.0,22925.0,23060.0,980,1596,23045.0,CY0
20171017,23005.0,23070.0,22990.0,23000.0,340,1510,23030.0,CY0
20171018,23015.0,23080.0,23015.0,23015.0,332,1518,23045.0,CY0
20171019,23035.0,23035.0,22840.0,22945.0,532,1564,22955.0,CY0
20171020,22905.0,22930.0,22805.0,22865.0,854,1590,22855.0,CY0
20171023,22845.0,22920.0,22775.0,22870.0,654,1596,22855.0,CY0
