date,open,close,high,low,volume,symbol
20241224,42916.48,43297.03,43297.65,42871.76,,DJI
20241223,42800.49,42906.95,42957.79,42516.87,449397.82,DJI
20241220,42296.26,42840.26,43216.03,42146.33,1121303.0,DJI
20241219,42464.13,42342.24,42787.85,42334.13,560207.69,DJI
20241218,43459.72,42326.87,43688.97,42300.04,627573.13,DJI
20241217,43656.47,43449.9,43656.47,43336.22,593673.13,DJI
20241216,43825.76,43717.48,43951.58,43686.85,579357.88,DJI
20241213,43929.15,43828.06,44054.23,43790.48,455381.38,DJI
20241212,44168.66,43914.12,44208.6,43903.27,396058.13,DJI
20241211,44300.41,44148.56,44376.18,44135.74,512657.13,DJI
20241210,44291.57,44247.83,44470.84,44186.66,482660.63,DJI
20241209,44637.97,44401.93,44728.51,44382.83,503924.88,DJI
20241206,44824.29,44642.52,44923.74,44596.46,466918.88,DJI
20241205,45038.44,44765.71,45059.94,44747.14,457341.0,DJI
20241204,44941.05,45014.04,45073.63,44799.74,554426.63,DJI
20241203,44769.58,44705.53,44914.68,44574.78,429135.63,DJI
20241202,44925.86,44782.0,45001.66,44710.16,444990.63,DJI
20241129,44760.05,44910.65,45071.29,44760.05,319218.38,DJI
20241128,44837.75,44722.06,45003.06,44690.23,451361.13,DJI
20241127,44837.75,44722.06,45003.06,44690.23,451361.13,DJI
20241126,44614.89,44860.31,44903.01,44426.66,476174.38,DJI
20241125,44385.49,44736.57,44815.67,44385.49,826661.38,DJI
20241122,43871.63,44296.51,44323.95,43871.63,533019.0,DJI
20241121,43538.7,43870.35,44020.31,43345.58,712122.88,DJI
20241120,43296.05,43408.47,43465.77,43074.86,559014.63,DJI
20241119,43243.27,43268.94,43380.97,42938.87,497970.38,DJI
20241118,43431.89,43389.6,43505.66,43297.57,527185.32,DJI
20241115,43587.93,43444.99,43647.53,43350.43,664320.38,DJI
20241114,44032.38,43750.86,44080.78,43704.82,545093.63,DJI
20241113,43880.46,43958.19,44141.33,43829.98,518842.0,DJI
