date,open,high,low,close,volume,open_interest,settle,symbol
20190926,8100.0,8160.0,7983.0,8056.0,113696,17058,8070.0,EB0
20190927,8020.0,8068.0,7901.0,7940.0,39914,15074,7977.0,EB0
20190930,7905.0,7999.0,7905.0,7976.0,13738,13464,7956.0,EB0
20191008,7950.0,7998.0,7920.0,7968.0,5470,14208,7962.0,EB0
20191009,7971.0,8018.0,7940.0,7952.0,12898,15982,7974.0,EB0
20191010,7950.0,7968.0,7835.0,7843.0,44770,21110,7872.0,EB0
20191011,7832.0,7880.0,7794.0,7826.0,29642,22516,7834.0,EB0
20191014,7828.0,7850.0,7756.0,7770.0,29722,29566,7796.0,EB0
20191015,7760.0,7760.0,7592.0,7649.0,63492,41682,7667.0,EB0
20191016,7675.0,7676.0,7490.0,7526.0,72992,49354,7579.0,EB0
20191017,7510.0,7518.0,7425.0,7478.0,77818,56138,7463.0,EB0
20191018,7490.0,7574.0,7467.0,7546.0,83618,52790,7528.0,EB0
20191021,7560.0,7585.0,7466.0,7494.0,51658,50434,7525.0,EB0
20191022,7503.0,7509.0,7409.0,7469.0,45254,53952,7467.0,EB0
20191023,7502.0,7515.0,7442.0,7447.0,35850,57744,7470.0,EB0
20191024,7430.0,7544.0,7400.0,7509.0,68886,58202,7502.0,EB0
20191025,7520.0,7530.0,7455.0,7456.0,30064,57380,7493.0,EB0
20191028,7450.0,7502.0,7411.0,7430.0,43822,62422,7458.0,EB0
20191029,7430.0,7456.0,7370.0,7383.0,48806,68518,7411.0,EB0
20191030,7370.0,7399.0,7325.0,7336.0,78382,85466,7357.0,EB0
20191031,7320.0,7354.0,7316.0,7325.0,46746,90862,7331.0,EB0
20191101,7316.0,7350.0,7244.0,7248.0,90632,100808,7293.0,EB0
20191104,7251.0,7321.0,7250.0,7312.0,62688,104660,7280.0,EB0
20191105,7313.0,7372.0,7305.0,7331.0,73658,99802,7336.0,EB0
20191106,7356.0,7362.0,7324.0,7330.0,40314,103980,7338.0,EB0
20191107,7327.0,7336.0,7228.0,7258.0,69388,115178,7279.0,EB0
20191108,7293.0,7294.0,7070.0,7087.0,144936,141620,7169.0,EB0
20191111,7088.0,7097.0,6953.0,6963.0,159342,146960,7022.0,EB0
20191112,6958.0,6982.0,6905.0,6951.0,140044,153906,6939.0,EB0
20191113,6950.0,7068.0,6941.0,6964.0,216358,148480,7002.0,EB0
20191114,6976.0,6982.0,6872.0,6940.0,151534,151002,6920.0,EB0
20191115,6940.0,6992.0,6925.0,6949.0,127474,146132,6956.0,EB0
20191118,6950.0,7019.0,6935.0,7004.0,124220,143798,6980.0,EB0
20191119,6997.0,7020.0,6911.0,6954.0,121994,146794,6960.0,EB0
20191120,6947.0,6950.0,6888.0,6930.0,115786,156852,6922.0,EB0
20191121,6932.0,6992.0,6912.0,6974.0,120230,167874,6957.0,EB0
20191122,6976.0,7046.0,6962.0,6986.0,141002,173650,7000.0,EB0
20191125,6986.0,7087.0,6986.0,7086.0,136864,176850,7031.0,EB0
20191126,7085.0,7156.0,7036.0,7150.0,196082,177746,7101.0,EB0
20191127,7153.0,7235.0,7126.0,7141.0,273166,188986,7180.0,EB0
20191128,7160.0,7194.0,7106.0,7152.0,161864,189910,7153.0,EB0
20191129,7164.0,7164.0,7070.0,7125.0,135114,189486,7116.0,EB0
20191202,7114.0,7144.0,7010.0,7056.0,153790,193284,7069.0,EB0
20191203,7055.0,7191.0,7053.0,7167.0,191566,183236,7125.0,EB0
20191204,7170.0,7264.0,7156.0,7176.0,217702,185188,7204.0,EB0
20191205,7200.0,7324.0,7200.0,7302.0,220546,180650,7266.0,EB0
20191206,7330.0,7343.0,7281.0,7327.0,128312,180614,7315.0,EB0
20191209,7326.0,7494.0,7268.0,7276.0,301988,153414,7387.0,EB0
20191210,7270.0,7381.0,7266.0,7376.0,250584,151446,0.0,EB0
20191211,7396.0,7443.0,7246.0,7268.0,300926,160198,7346.0,EB0
20191212,7270.0,7331.0,7220.0,7326.0,189860,165808,7279.0,EB0
20191213,7333.0,7388.0,7261.0,7323.0,217204,162126,7327.0,EB0
20191216,7330.0,7383.0,7302.0,7346.0,184424,158658,7344.0,EB0
20191217,7330.0,7447.0,7330.0,7430.0,171806,158610,7397.0,EB0
20191218,7450.0,7480.0,7343.0,7364.0,164856,150836,7414.0,EB0
20191219,7376.0,7442.0,7344.0,7434.0,141424,158528,7394.0,EB0
20191220,7430.0,7466.0,7394.0,7404.0,139676,157878,7425.0,EB0
20191223,7420.0,7424.0,7315.0,7350.0,169854,159432,0.0,EB0
20191224,7356.0,7380.0,7323.0,7359.0,103132,158158,7350.0,EB0
20191225,7370.0,7392.0,7346.0,7351.0,91274,157148,7369.0,EB0
20191226,7348.0,7375.0,7320.0,7366.0,78036,159656,7349.0,EB0
20191227,7367.0,7419.0,7352.0,7408.0,133284,154914,0.0,EB0
20191230,7408.0,7426.0,7373.0,7375.0,125352,149130,7403.0,EB0
20191231,7382.0,7397.0,7237.0,7276.0,210796,161604,7304.0,EB0
20200102,7288.0,7336.0,7261.0,7291.0,38527,81424,7295.0,EB0
20200103,7294.0,7345.0,7271.0,7321.0,49829,79582,7306.0,EB0
20200106,7330.0,7410.0,7316.0,7387.0,59768,75131,7367.0,EB0
20200107,7390.0,7390.0,7281.0,7318.0,51068,75409,7329.0,EB0
20200108,7308.0,7438.0,7303.0,7374.0,72616,68952,7367.0,EB0
20200109,7344.0,7385.0,7266.0,7305.0,58620,67645,7319.0,EB0
20200110,7311.0,7428.0,7259.0,7428.0,72901,68950,7338.0,EB0
20200113,7438.0,7566.0,7422.0,7541.0,156246,81191,0.0,EB0
20200114,7541.0,7587.0,7478.0,7541.0,89977,84049,7518.0,EB0
20200115,7551.0,7576.0,7480.0,7531.0,84802,85644,7513.0,EB0
20200116,7530.0,7550.0,7389.0,7467.0,85693,75426,7472.0,EB0
20200117,7459.0,7498.0,7440.0,7459.0,50251,75284,7473.0,EB0
20200120,7470.0,7530.0,7456.0,7515.0,59879,75192,7505.0,EB0
20200121,7510.0,7538.0,7421.0,7434.0,52832,68443,7476.0,EB0
20200122,7420.0,7438.0,7310.0,7394.0,57500,59901,7370.0,EB0
20200123,7395.0,7410.0,7266.0,7282.0,31343,58260,7329.0,EB0
20200203,6890.0,6930.0,6890.0,6890.0,23458,52889,6896.0,EB0
20200204,6700.0,6876.0,6497.0,6865.0,52335,50829,6792.0,EB0
20200205,6810.0,7013.0,6810.0,6945.0,54850,53123,0.0,EB0
20200206,6980.0,7022.0,6925.0,6991.0,33204,54077,0.0,EB0
20200207,6973.0,6985.0,6943.0,6971.0,21261,54337,0.0,EB0
20200210,6950.0,6989.0,6923.0,6966.0,18906,56366,0.0,EB0
20200211,6943.0,6980.0,6913.0,6938.0,31114,58774,6954.0,EB0
20200212,6920.0,6948.0,6816.0,6868.0,52092,63052,6882.0,EB0
20200213,6890.0,6898.0,6831.0,6879.0,32509,64599,0.0,EB0
20200214,6883.0,6915.0,6841.0,6886.0,31708,63968,6874.0,EB0
20200217,6899.0,6990.0,6870.0,6956.0,34639,64734,6933.0,EB0
20200218,6956.0,7008.0,6930.0,6938.0,35577,67270,0.0,EB0
20200219,6956.0,7030.0,6935.0,7000.0,37556,70837,0.0,EB0
20200220,7020.0,7068.0,6983.0,7027.0,43138,73354,0.0,EB0
20200221,7027.0,7078.0,7012.0,7044.0,40470,75500,0.0,EB0
20200224,7007.0,7030.0,6951.0,7024.0,34752,73266,6998.0,EB0
20200225,6966.0,7020.0,6954.0,7009.0,26606,73157,0.0,EB0
20200226,6980.0,7044.0,6907.0,6911.0,46827,73694,0.0,EB0
20200227,6883.0,6890.0,6820.0,6840.0,31452,74043,0.0,EB0
20200228,6800.0,6829.0,6681.0,6697.0,44962,70808,0.0,EB0
20200302,6680.0,6788.0,6646.0,6759.0,43432,73314,0.0,EB0
20200303,6808.0,6850.0,6700.0,6701.0,50841,78601,0.0,EB0
20200304,6752.0,6785.0,6714.0,6759.0,40547,77508,0.0,EB0
20200305,6760.0,6777.0,6722.0,6751.0,37279,75870,0.0,EB0
20200306,6730.0,6748.0,6660.0,6714.0,45951,73505,0.0,EB0
20200309,6434.0,6434.0,6434.0,6434.0,1553,72647,0.0,EB0
20200310,6000.0,6332.0,6000.0,6276.0,64130,68113,6199.0,EB0
20200311,6300.0,6350.0,6176.0,6189.0,35474,68980,0.0,EB0
20200312,6150.0,6195.0,6011.0,6120.0,51533,69564,0.0,EB0
20200313,6030.0,6098.0,5923.0,6083.0,54584,66856,0.0,EB0
20200316,6065.0,6075.0,5939.0,5943.0,56941,64478,0.0,EB0
20200317,5900.0,5945.0,5776.0,5776.0,103445,71276,0.0,EB0
20200318,5692.0,5695.0,5400.0,5400.0,133892,71188,5561.0,EB0
20200319,5110.0,5278.0,5061.0,5061.0,96187,63573,0.0,EB0
20200320,5288.0,5313.0,4984.0,5177.0,192060,62913,0.0,EB0
20200323,4723.0,5000.0,4658.0,4832.0,134934,62829,0.0,EB0
20200324,4900.0,4916.0,4573.0,4783.0,147460,62858,0.0,EB0
20200325,4663.0,4746.0,4505.0,4561.0,221048,78514,0.0,EB0
20200326,4534.0,4706.0,4466.0,4612.0,223459,86579,0.0,EB0
20200327,4651.0,4698.0,4520.0,4645.0,199424,92488,0.0,EB0
20200330,4550.0,4597.0,4338.0,4341.0,201547,80809,0.0,EB0
20200331,4378.0,4599.0,4366.0,4425.0,208540,82014,0.0,EB0
20200401,4396.0,4485.0,4380.0,4424.0,97146,78269,0.0,EB0
20200402,4380.0,4777.0,4380.0,4666.0,182364,74460,0.0,EB0
20200403,4756.0,4920.0,4620.0,4884.0,142198,66333,0.0,EB0
20200407,4978.0,4994.0,4853.0,4940.0,134277,58340,0.0,EB0
20200408,4880.0,5066.0,4791.0,4999.0,112475,49438,0.0,EB0
20200409,5124.0,5392.0,5000.0,5392.0,214241,53919,0.0,EB0
20200410,5284.0,5513.0,5230.0,5299.0,315699,45230,0.0,EB0
20200413,5385.0,5617.0,5288.0,5362.0,177651,38500,0.0,EB0
20200414,5398.0,5398.0,5128.0,5220.0,113390,32541,0.0,EB0
20200415,5314.0,5488.0,5237.0,5414.0,162170,90989,0.0,EB0
20200416,5350.0,5498.0,5350.0,5426.0,158744,95343,0.0,EB0
20200417,5500.0,5648.0,5456.0,5526.0,196991,99776,0.0,EB0
20200420,5401.0,5555.0,5380.0,5548.0,131163,105949,0.0,EB0
20200421,5490.0,5546.0,5065.0,5200.0,300601,103015,0.0,EB0
20200422,4950.0,5043.0,4819.0,4819.0,243539,106368,0.0,EB0
20200423,4920.0,5319.0,4919.0,5305.0,285919,113223,0.0,EB0
20200424,5350.0,5397.0,5203.0,5301.0,253528,112043,0.0,EB0
20200427,5290.0,5430.0,5228.0,5326.0,200544,109721,0.0,EB0
20200428,5288.0,5419.0,5262.0,5354.0,194034,114904,0.0,EB0
20200429,5400.0,5492.0,5400.0,5456.0,137626,113970,0.0,EB0
20200430,5587.0,5588.0,5461.0,5530.0,100450,111767,0.0,EB0
20200506,5800.0,5810.0,5661.0,5725.0,120518,118527,0.0,EB0
20200507,5700.0,5730.0,5517.0,5528.0,205031,128057,0.0,EB0
20200508,5602.0,5618.0,5440.0,5535.0,194432,123657,0.0,EB0
20200511,5515.0,5577.0,5424.0,5446.0,116671,125678,0.0,EB0
20200512,5487.0,5495.0,5392.0,5452.0,105218,122850,0.0,EB0
20200513,5475.0,5563.0,5356.0,5484.0,184650,122107,0.0,EB0
20200514,5510.0,5543.0,5435.0,5508.0,115359,122473,0.0,EB0
20200515,5500.0,5627.0,5475.0,5588.0,130023,125021,0.0,EB0
20200518,5600.0,5801.0,5552.0,5731.0,161349,130004,0.0,EB0
20200519,5760.0,5889.0,5682.0,5740.0,202625,128671,0.0,EB0
20200520,5750.0,5818.0,5711.0,5780.0,120974,130118,0.0,EB0
20200521,5780.0,5825.0,5733.0,5771.0,142624,128622,0.0,EB0
20200522,5780.0,5845.0,5586.0,5607.0,184028,122826,0.0,EB0
20200525,5610.0,5729.0,5570.0,5702.0,110913,122163,0.0,EB0
20200526,5722.0,5745.0,5670.0,5689.0,81757,122825,0.0,EB0
20200527,5730.0,5767.0,5646.0,5730.0,112098,120899,0.0,EB0
20200528,5720.0,5745.0,5605.0,5671.0,123815,119725,0.0,EB0
20200529,5686.0,5744.0,5650.0,5670.0,104111,117706,0.0,EB0
20200601,5670.0,5806.0,5643.0,5794.0,117554,115660,0.0,EB0
20200602,5790.0,5850.0,5750.0,5804.0,82354,116117,0.0,EB0
20200603,5810.0,5988.0,5801.0,5951.0,148721,129515,0.0,EB0
20200604,5920.0,5935.0,5788.0,5811.0,113950,121767,0.0,EB0
20200605,5811.0,5890.0,5788.0,5876.0,73092,122276,0.0,EB0
20200608,5950.0,5986.0,5863.0,5904.0,84790,121205,0.0,EB0
20200609,5888.0,5917.0,5822.0,5847.0,73088,121963,0.0,EB0
20200610,5840.0,5895.0,5815.0,5850.0,64098,121153,0.0,EB0
20200611,5850.0,5870.0,5764.0,5780.0,77761,122393,0.0,EB0
20200612,5751.0,5759.0,5580.0,5680.0,106151,117997,0.0,EB0
20200615,5707.0,5780.0,5622.0,5666.0,85589,115747,0.0,EB0
20200616,5672.0,5798.0,5656.0,5793.0,75466,113021,0.0,EB0
20200617,5825.0,5859.0,5741.0,5768.0,65602,113420,0.0,EB0
20200618,5768.0,5818.0,5744.0,5799.0,52292,112971,0.0,EB0
