date,open,high,low,close,volume,symbol
20230818,770.0,932.9,770.0,916.3,343882,EC0
20230821,918.0,950.0,894.1,903.2,268074,EC0
20230822,895.4,957.0,885.0,895.1,332138,EC0
20230823,895.0,930.7,894.4,901.6,263360,EC0
20230824,905.0,920.7,866.0,874.8,261191,EC0
20230825,880.0,888.0,852.0,861.5,229053,EC0
20230828,872.1,890.0,828.2,846.0,203556,EC0
20230829,848.1,867.8,831.2,855.7,207637,EC0
20230830,861.1,875.0,855.7,864.0,169160,EC0
20230831,865.0,872.0,842.3,857.3,198891,EC0
20230901,866.5,895.8,857.3,883.7,213787,EC0
20230904,895.0,900.0,872.8,877.8,157748,EC0
20230905,878.0,971.1,877.2,969.0,347586,EC0
20230906,972.0,980.4,918.0,928.6,346145,EC0
20230907,930.0,961.0,910.0,920.1,312316,EC0
20230908,915.0,934.7,890.4,891.0,242683,EC0
20230911,892.9,918.6,888.8,905.3,181314,EC0
20230912,909.0,921.8,898.0,905.3,145552,EC0
20230913,910.0,918.8,868.6,876.4,195593,EC0
20230914,878.0,890.6,866.0,870.5,141628,EC0
20230915,878.0,889.8,871.5,884.5,116020,EC0
20230918,884.8,914.5,880.0,897.7,153019,EC0
20230919,900.0,908.1,886.0,894.9,105863,EC0
20230920,898.0,916.0,894.0,908.7,100050,EC0
20230921,906.0,911.3,878.2,882.0,119952,EC0
20230922,890.0,890.0,870.0,877.8,103584,EC0
20230925,876.3,884.4,831.6,834.1,144608,EC0
20230926,824.0,830.0,773.6,773.7,268344,EC0
20230927,774.4,781.3,730.3,753.4,392358,EC0
20230928,759.6,768.0,706.7,716.9,372380,EC0
20231009,711.0,744.1,689.0,737.0,234506,EC0
20231010,739.3,753.0,716.3,727.2,305941,EC0
20231011,734.0,755.1,728.0,744.0,290003,EC0
20231012,741.0,800.5,727.4,786.5,406907,EC0
20231013,781.0,799.9,770.2,781.8,313844,EC0
20231016,788.0,823.0,781.6,781.7,345248,EC0
20231017,777.5,778.0,723.6,723.6,419664,EC0
20231018,725.0,744.0,714.0,732.7,457055,EC0
20231019,727.4,759.7,720.0,756.9,401510,EC0
20231020,760.0,773.9,712.0,736.4,469683,EC0
20231023,738.8,769.4,730.1,757.8,462435,EC0
20231024,755.0,776.8,744.1,770.4,421330,EC0
20231025,772.8,781.7,738.9,746.1,385409,EC0
20231026,752.0,763.0,741.1,758.8,243582,EC0
20231027,755.0,769.0,744.5,762.1,214315,EC0
20231030,780.0,801.0,777.0,794.0,203807,EC0
20231031,778.0,789.6,766.2,780.9,190646,EC0
20231101,776.0,795.0,774.2,782.8,147397,EC0
20231102,780.0,784.9,748.0,756.4,228892,EC0
20231103,762.4,771.6,756.5,768.1,147861,EC0
20231106,770.0,775.4,755.0,763.4,146956,EC0
20231107,762.5,762.5,718.0,718.9,203160,EC0
20231108,712.0,735.4,706.0,727.9,158127,EC0
20231109,726.0,734.5,713.3,719.4,137631,EC0
20231110,724.0,748.6,723.6,737.9,154663,EC0
20231113,742.0,744.8,722.8,737.3,116814,EC0
20231114,762.0,798.8,756.1,759.8,268257,EC0
20231115,765.0,774.6,757.8,767.0,126281,EC0
20231116,764.0,778.0,760.8,776.1,108334,EC0
20231117,772.0,773.0,745.3,761.9,127851,EC0
20231120,770.0,780.8,758.5,758.9,101313,EC0
20231121,750.4,764.3,730.1,734.0,137655,EC0
20231122,736.0,742.8,726.0,738.3,98374,EC0
20231123,736.3,739.4,720.0,733.6,104969,EC0
20231124,736.0,770.0,735.0,758.9,175447,EC0
20231127,770.0,778.8,756.7,767.0,117821,EC0
20231128,764.0,796.0,757.5,786.2,148055,EC0
20231129,795.0,808.1,775.5,790.3,137525,EC0
20231130,794.5,843.0,786.4,829.0,251849,EC0
20231201,828.0,852.4,805.0,818.5,219838,EC0
20231204,826.9,858.0,808.0,824.4,208675,EC0
20231205,819.0,838.0,751.9,796.0,336752,EC0
20231206,799.0,815.0,782.0,810.4,213157,EC0
20231207,806.0,876.0,801.1,870.1,266089,EC0
20231208,875.7,898.0,859.4,894.0,251272,EC0
20231211,904.2,914.7,880.2,900.4,214678,EC0
20231212,917.0,923.0,888.2,909.9,179420,EC0
20231213,900.1,905.0,872.2,893.0,192437,EC0
20231214,903.0,931.3,883.0,886.0,237584,EC0
20231215,890.0,899.9,878.0,899.2,187708,EC0
20231218,979.7,979.7,953.0,979.7,155756,EC0
20231219,1088.0,1095.1,1030.0,1092.9,414440,EC0
20231220,1110.0,1168.4,1075.0,1168.4,589969,EC0
20231221,1166.9,1236.8,1150.3,1236.8,409399,EC0
20231222,1278.4,1391.2,1262.8,1391.2,277901,EC0
20231225,1348.5,1416.0,1163.8,1330.0,499862,EC0
20231226,1330.0,1498.7,1314.3,1498.7,224278,EC0
20231227,1587.7,1744.9,1552.0,1744.9,290775,EC0
20231228,1660.0,1849.0,1570.0,1719.4,198351,EC0
20231229,1671.2,1700.0,1510.0,1643.0,168433,EC0
20240102,1850.0,1924.8,1850.0,1924.8,16711,EC0
20240103,2345.0,2353.9,2216.6,2353.9,75202,EC0
20240104,2549.8,2650.0,2110.3,2446.4,158118,EC0
20240105,2379.0,2380.0,2187.8,2275.5,96639,EC0
20240108,2335.4,2430.0,2129.0,2177.5,70250,EC0
20240109,1900.0,1900.0,1773.4,1773.4,10398,EC0
20240110,1512.0,1895.0,1506.0,1773.7,92319,EC0
20240111,1848.0,1899.0,1754.0,1809.0,45541,EC0
20240112,2006.7,2173.5,1900.3,2157.1,83549,EC0
20240115,2300.0,2341.3,2056.0,2068.3,72556,EC0
20240116,2269.8,2269.8,2020.0,2039.6,62459,EC0
20240117,2015.0,2145.0,1900.0,1926.8,65725,EC0
20240118,1950.0,1999.0,1888.0,1965.2,48513,EC0
20240119,1985.6,1999.0,1850.7,1867.6,47899,EC0
20240122,1820.0,1988.0,1755.0,1982.2,45451,EC0
20240123,1991.1,2099.0,1892.0,2025.1,52406,EC0
20240124,2000.0,2076.5,1957.7,1978.7,44701,EC0
20240125,1978.8,2030.0,1948.8,1980.5,24731,EC0
20240126,1998.8,2063.8,1950.0,1973.6,34254,EC0
20240129,1974.0,1998.0,1883.0,1908.0,27087,EC0
20240130,1900.0,1987.0,1850.0,1939.6,26236,EC0
20240131,1950.0,1972.0,1859.6,1924.9,20834,EC0
20240201,1900.0,1925.0,1881.0,1910.2,12439,EC0
20240202,1808.0,1860.0,1651.6,1701.5,45441,EC0
20240205,1750.0,1830.0,1719.3,1769.6,24621,EC0
20240206,1780.0,1810.9,1755.2,1808.7,15087,EC0
20240207,1846.0,2138.6,1830.6,2063.0,39908,EC0
20240208,2064.0,2160.0,2040.0,2107.8,29260,EC0
20240219,2150.0,2220.0,2120.0,2189.9,19028,EC0
20240220,2149.9,2170.0,2030.0,2045.1,23913,EC0
20240221,2030.0,2129.9,1983.0,2054.1,22965,EC0
20240222,2049.9,2077.6,2000.0,2054.7,13078,EC0
20240223,2049.9,2100.0,2024.0,2045.0,12508,EC0
20240226,2002.0,2020.0,1940.0,1965.5,18012,EC0
20240227,1949.9,1949.9,1862.0,1878.0,20603,EC0
20240228,1886.0,1945.0,1886.0,1931.7,14012,EC0
20240229,1931.3,1938.0,1890.0,1904.0,12112,EC0
20240301,1800.0,1855.4,1758.0,1780.0,17734,EC0
20240304,1802.0,1857.0,1731.8,1831.0,18882,EC0
20240305,1850.0,1891.2,1795.0,1802.5,15594,EC0
20240306,1731.0,1818.5,1731.0,1781.6,13140,EC0
20240307,1802.0,1866.1,1781.4,1794.3,15582,EC0
20240308,1808.0,1840.6,1802.0,1824.0,8168,EC0
20240311,1829.5,1899.0,1806.2,1815.0,15704,EC0
20240312,1755.0,1813.0,1755.0,1803.5,10526,EC0
20240313,1790.0,1830.0,1760.0,1794.9,8838,EC0
20240314,1830.0,1855.0,1760.2,1776.0,12067,EC0
20240315,1799.0,1820.0,1696.0,1797.2,21018,EC0
20240318,1791.8,1859.3,1778.2,1826.1,11848,EC0
20240319,1908.0,1939.4,1861.0,1918.0,17058,EC0
20240320,1925.0,1950.0,1880.0,1910.9,10149,EC0
20240321,1935.0,2141.5,1913.0,2096.3,26613,EC0
20240322,2084.9,2122.6,1991.5,2010.1,19341,EC0
20240325,1830.3,1952.0,1816.0,1922.9,32448,EC0
20240326,1872.9,1896.0,1750.0,1786.9,31492,EC0
20240327,1810.0,1860.0,1730.0,1846.8,31349,EC0
20240328,1846.8,1878.5,1781.0,1815.0,22980,EC0
20240329,1805.0,1859.0,1765.5,1833.6,19142,EC0
20240401,1848.8,1913.0,1826.0,1875.3,21654,EC0
20240402,1901.0,2049.9,1901.0,2042.5,36919,EC0
20240403,2050.0,2098.7,2002.0,2047.1,36570,EC0
20240408,1906.3,2014.2,1868.0,1952.6,30472,EC0
20240409,1961.2,2009.9,1955.0,1970.9,17688,EC0
20240410,2050.0,2108.0,2030.2,2081.0,24774,EC0
20240411,2100.0,2125.0,2038.2,2054.8,21735,EC0
