date,open,high,low,close,volume,open_interest,settle,symbol
20181210,5600.0,5781.0,5550.0,5674.0,674676,69526,5687.0,EG0
20181211,5618.0,5680.0,5497.0,5541.0,481954,83122,5577.0,EG0
20181212,5580.0,5598.0,5513.0,5544.0,301986,88512,5551.0,EG0
20181213,5519.0,5646.0,5475.0,5591.0,356924,89988,5560.0,EG0
20181214,5647.0,5666.0,5583.0,5606.0,187864,93730,5620.0,EG0
20181217,5592.0,5637.0,5566.0,5618.0,123774,99192,5615.0,EG0
20181218,5588.0,5628.0,5570.0,5627.0,122752,95662,5602.0,EG0
20181219,5579.0,5635.0,5551.0,5620.0,147788,88840,5590.0,EG0
20181220,5628.0,5635.0,5564.0,5576.0,99196,90096,5599.0,EG0
20181221,5561.0,5576.0,5320.0,5418.0,551084,111700,5410.0,EG0
20181224,5380.0,5385.0,5306.0,5332.0,252940,122960,5344.0,EG0
20181225,5200.0,5231.0,5128.0,5174.0,316626,120146,5174.0,EG0
20181226,5200.0,5229.0,5128.0,5152.0,272420,121010,5169.0,EG0
20181227,5301.0,5377.0,5135.0,5135.0,315554,142086,5215.0,EG0
20181228,5141.0,5166.0,5088.0,5134.0,331090,125940,5122.0,EG0
20190102,5105.0,5134.0,5046.0,5051.0,245416,144434,5084.0,EG0
20190103,5093.0,5152.0,5068.0,5127.0,266202,146582,5111.0,EG0
20190104,5150.0,5181.0,5094.0,5152.0,283824,145528,5137.0,EG0
20190107,5167.0,5200.0,5125.0,5133.0,219654,167040,5155.0,EG0
20190108,5140.0,5168.0,5066.0,5080.0,328800,188176,5100.0,EG0
20190109,5136.0,5187.0,5111.0,5122.0,353632,192814,5153.0,EG0
20190110,5162.0,5168.0,5087.0,5092.0,292108,213914,5137.0,EG0
20190111,5080.0,5135.0,5067.0,5117.0,307904,225296,5100.0,EG0
20190114,5125.0,5177.0,5096.0,5143.0,329396,226756,5135.0,EG0
20190115,5141.0,5236.0,5129.0,5221.0,490402,238526,5188.0,EG0
20190116,5225.0,5243.0,5193.0,5226.0,276126,240460,5216.0,EG0
20190117,5210.0,5225.0,5155.0,5159.0,251498,253024,5182.0,EG0
20190118,5139.0,5176.0,5117.0,5156.0,423536,292188,5151.0,EG0
20190121,5219.0,5323.0,5188.0,5273.0,712792,309752,5262.0,EG0
20190122,5273.0,5457.0,5260.0,5277.0,748844,302068,5340.0,EG0
20190123,5240.0,5280.0,5222.0,5254.0,354886,306168,5248.0,EG0
20190124,5239.0,5273.0,5206.0,5245.0,328568,307090,5241.0,EG0
