date,open,high,low,close,volume,open_interest,settle,symbol
20131206,74.8,74.95,71.8,72.05,102076,10462,73.15,FB0
20131209,71.5,76.05,71.4,74.15,381842,27074,74.4,FB0
20131210,73.95,74.85,72.3,72.6,429364,37456,73.5,FB0
20131211,72.6,73.5,72.35,73.4,257088,35208,72.9,FB0
20131212,73.5,75.8,73.3,75.35,407892,40950,75.15,FB0
20131213,75.15,75.85,73.8,74.8,461736,42202,74.8,FB0
20131216,74.9,75.65,73.6,74.7,273528,40610,74.45,FB0
20131217,74.9,75.35,74.2,74.2,200904,37974,74.65,FB0
20131218,74.0,74.4,72.95,73.6,186512,33076,73.6,FB0
20131219,73.6,73.85,72.75,72.95,128378,30656,73.25,FB0
20131220,72.95,73.65,72.6,73.3,100588,32320,73.1,FB0
20131223,73.1,75.7,72.85,74.8,352236,49832,74.75,FB0
20131224,75.0,75.35,74.25,74.55,211864,38586,74.8,FB0
20131225,74.55,75.1,74.05,74.2,143258,33922,74.65,FB0
20131226,74.25,74.3,71.7,71.7,267836,56458,72.4,FB0
20131227,71.5,73.05,71.4,72.5,289764,43006,72.15,FB0
20131230,72.1,72.3,69.35,70.9,366680,45910,70.65,FB0
20131231,70.7,70.85,69.6,69.85,185018,50708,70.25,FB0
20140102,69.8,70.05,69.05,69.4,128012,51560,69.45,FB0
20140103,69.3,69.95,68.8,69.55,145246,57384,69.4,FB0
20140106,69.45,69.55,66.65,66.75,348528,88992,67.25,FB0
20140107,66.75,67.25,66.1,66.85,264794,79876,66.75,FB0
20140108,66.5,66.8,65.2,65.75,208354,79714,66.0,FB0
20140109,65.25,68.4,65.2,66.6,531612,80218,67.15,FB0
20140110,66.35,67.4,66.1,66.95,200074,69642,66.9,FB0
20140113,67.05,67.35,66.1,66.65,134468,63780,66.75,FB0
20140114,66.75,68.1,66.3,67.8,203896,59304,67.1,FB0
20140115,67.7,67.95,67.0,67.25,134192,53928,67.4,FB0
20140117,64.7,65.4,64.5,65.15,196258,69732,65.05,FB0
20140120,65.2,66.7,65.0,65.7,211614,69338,65.75,FB0
20140121,65.65,65.7,64.9,65.1,145718,69192,65.3,FB0
20140122,64.95,66.1,64.8,65.15,193288,65802,65.45,FB0
20140123,64.95,65.95,64.85,65.55,247574,77598,0.0,FB0
20140124,65.65,66.45,65.55,65.75,169772,75708,65.8,FB0
20140127,65.9,65.9,64.85,65.2,154176,74136,65.3,FB0
20140128,65.1,65.5,62.7,63.9,350774,65614,63.65,FB0
20140129,63.85,65.5,63.2,65.4,311328,55228,64.25,FB0
20140130,65.5,65.65,64.35,64.8,148892,53972,64.95,FB0
20140207,64.8,66.0,64.8,65.1,110984,63040,65.4,FB0
20140210,65.05,65.7,64.45,65.65,175582,78826,65.05,FB0
20140211,65.8,66.8,65.45,65.55,412296,116294,66.05,FB0
20140212,65.55,65.7,64.2,65.2,226758,114096,65.15,FB0
20140213,65.15,65.85,64.85,65.3,238134,118358,65.3,FB0
20140214,65.4,65.7,65.1,65.4,160102,117782,65.4,FB0
20140217,65.6,67.25,65.55,66.5,490334,167914,66.45,FB0
20140218,66.45,67.1,65.0,65.4,505878,184002,65.95,FB0
20140219,65.45,65.65,64.0,64.55,585322,185726,64.65,FB0
20140220,64.65,65.05,64.35,64.75,287558,162044,64.7,FB0
20140221,64.7,64.95,64.45,64.8,203328,149138,64.7,FB0
20140224,64.85,64.9,63.1,64.55,364030,126224,64.1,FB0
20140225,64.5,65.1,64.15,64.2,209260,126776,64.6,FB0
20140226,64.2,64.6,63.4,64.15,206914,128092,64.15,FB0
20140227,64.1,64.4,62.4,62.7,452786,154320,63.0,FB0
20140228,62.7,63.1,61.9,62.0,317300,161300,62.45,FB0
20140303,62.0,62.35,61.55,62.0,196958,150534,61.95,FB0
20140304,62.0,63.1,61.35,62.4,286654,143054,62.05,FB0
20140305,62.55,63.35,62.4,62.8,286348,165450,62.8,FB0
20140306,62.75,63.35,62.3,62.5,275706,183724,62.7,FB0
20140310,63.0,63.75,60.45,62.25,513542,127028,61.95,FB0
20140311,62.25,64.2,62.1,63.75,324232,114420,63.25,FB0
20140312,63.2,65.75,63.05,64.75,381628,125222,64.45,FB0
20140314,64.9,65.2,63.3,63.5,255926,133254,64.15,FB0
20140317,63.85,63.85,61.65,62.25,395486,132998,62.2,FB0
20140318,62.5,63.6,62.35,63.05,216466,122910,62.95,FB0
20140319,63.1,63.8,62.75,63.25,227166,132742,63.2,FB0
20140320,63.3,63.55,62.6,63.05,154612,128860,63.1,FB0
20140321,63.0,64.75,62.25,64.25,406630,105968,63.65,FB0
20140324,64.25,64.5,63.8,64.35,146794,106626,64.15,FB0
20140325,64.3,65.35,63.65,63.8,244580,105086,64.25,FB0
20140326,63.6,64.65,63.55,64.45,106176,105450,64.3,FB0
20140327,64.4,66.1,64.35,64.95,248830,116550,65.15,FB0
20140328,64.9,65.95,64.9,65.85,117282,116366,65.5,FB0
