date,open,close,high,low,volume,symbol
20241224,7296.69,7282.69,7316.59,7282.69,,FCHI
20241223,7259.37,7272.32,7291.69,7233.19,,FCHI
20241220,7244.15,7274.48,7289.33,7194.49,,FCHI
20241219,7289.11,7294.37,7326.81,7261.28,,FCHI
20241218,7379.33,7384.62,7397.35,7360.06,,FCHI
20241217,7321.94,7365.7,7381.14,7316.48,,FCHI
20241216,7382.24,7357.08,7394.34,7339.31,,FCHI
20241213,7408.16,7409.57,7460.61,7388.6,,FCHI
20241212,7454.71,7420.94,7455.2,7410.73,,FCHI
20241211,7372.24,7423.4,7437.58,7367.11,,FCHI
20241210,7458.29,7394.78,7460.23,7384.88,,FCHI
20241209,7484.5,7480.14,7511.02,7444.81,,FCHI
20241206,7334.27,7426.88,7444.72,7334.14,,FCHI
20241205,7282.72,7330.54,7351.0,7282.72,,FCHI
20241204,7261.72,7303.28,7322.86,7257.43,,FCHI
20241203,7244.74,7255.42,7319.87,7228.92,,FCHI
20241202,7147.37,7236.89,7275.97,7146.02,,FCHI
20241129,7151.3,7235.11,7241.07,7147.74,,FCHI
20241128,7170.91,7179.25,7207.07,7161.72,,FCHI
20241127,7150.02,7143.03,7156.42,7091.15,,FCHI
20241126,7201.65,7194.51,7256.78,7185.49,,FCHI
20241125,7329.48,7257.47,7333.23,7239.38,,FCHI
20241122,7250.64,7255.01,7271.06,7156.23,,FCHI
20241121,7185.2,7213.32,7223.6,7131.21,,FCHI
20241120,7272.73,7198.45,7280.39,7188.42,,FCHI
20241119,7287.46,7229.64,7301.19,7134.83,,FCHI
20241118,7274.4,7278.23,7289.78,7234.59,,FCHI
20241115,7256.58,7269.63,7319.53,7236.48,,FCHI
20241114,7247.92,7311.8,7319.09,7220.05,,FCHI
20241113,7217.49,7216.83,7256.47,7158.25,,FCHI
20241112,7346.72,7226.98,7365.28,7217.78,,FCHI
20241111,7395.09,7426.88,7452.6,7387.52,,FCHI
20241108,7440.12,7338.67,7440.95,7330.21,,FCHI
20241107,7373.19,7425.6,7450.0,7354.28,,FCHI
20241106,7444.37,7369.61,7572.14,7338.35,,FCHI
20241105,7377.58,7407.15,7414.82,7350.0,,FCHI
20241104,7386.32,7371.71,7445.96,7371.71,,FCHI
20241101,7364.08,7409.11,7434.26,7358.2,,FCHI
20241031,7384.1,7350.37,7393.25,7315.97,,FCHI
20241030,7452.1,7428.36,7470.69,7377.39,,FCHI
20241029,7593.86,7511.11,7618.32,7506.52,,FCHI
20241028,7542.13,7556.94,7580.68,7494.93,,FCHI
20241025,7489.87,7497.54,7518.75,7459.41,,FCHI
20241024,7527.64,7503.28,7565.39,7503.02,,FCHI
20241023,7493.25,7497.48,7544.7,7468.58,,FCHI
20241022,7517.03,7535.1,7545.36,7472.16,,FCHI
20241021,7579.08,7536.23,7620.46,7529.68,,FCHI
20241018,7566.87,7613.05,7644.05,7566.87,,FCHI
20241017,7510.13,7583.73,7624.22,7507.95,,FCHI
20241016,7420.85,7492.0,7511.1,7420.85,,FCHI
20241015,7595.06,7521.97,7601.53,7511.24,,FCHI
20241014,7583.48,7602.06,7613.15,7544.54,,FCHI
