date,open,high,low,close,volume,open_interest,settle,symbol
20121203,1373.0,1385.0,1314.0,1319.0,694060,82486,1336.0,FG0
20121204,1309.0,1326.0,1296.0,1312.0,1372500,168904,1311.0,FG0
20121205,1313.0,1345.0,1311.0,1331.0,1526500,148090,1326.0,FG0
20121206,1333.0,1338.0,1320.0,1325.0,1005200,166780,1330.0,FG0
20121207,1322.0,1340.0,1319.0,1331.0,903684,136784,1329.0,FG0
20121210,1331.0,1344.0,1331.0,1336.0,630420,148910,1338.0,FG0
20121211,1335.0,1337.0,1286.0,1293.0,1624300,305548,1312.0,FG0
20121212,1289.0,1306.0,1283.0,1299.0,1755100,223502,1295.0,FG0
20121213,1297.0,1312.0,1282.0,1288.0,1986800,306254,1296.0,FG0
20121214,1287.0,1315.0,1283.0,1304.0,1926300,239266,1297.0,FG0
20121217,1307.0,1335.0,1307.0,1327.0,1997100,230150,1323.0,FG0
20121218,1328.0,1339.0,1316.0,1325.0,1888500,239250,1325.0,FG0
20121219,1324.0,1353.0,1318.0,1351.0,2774300,419230,1339.0,FG0
20121220,1348.0,1356.0,1342.0,1350.0,2593900,391226,1349.0,FG0
20121221,1345.0,1354.0,1330.0,1335.0,1961200,278578,1339.0,FG0
20121224,1336.0,1349.0,1334.0,1343.0,1234000,279038,1343.0,FG0
20121225,1344.0,1363.0,1339.0,1352.0,1561000,278818,1351.0,FG0
20121226,1351.0,1354.0,1344.0,1352.0,995884,252746,1349.0,FG0
20121227,1358.0,1367.0,1349.0,1352.0,963506,224072,1356.0,FG0
20121228,1353.0,1364.0,1343.0,1351.0,1175300,189374,1353.0,FG0
20121231,1352.0,1365.0,1349.0,1363.0,500112,136002,1357.0,FG0
20130104,1371.0,1425.0,1367.0,1425.0,1001700,241454,1406.0,FG0
20130107,1440.0,1468.0,1433.0,1445.0,1558500,217758,1448.0,FG0
20130108,1438.0,1470.0,1427.0,1458.0,2761400,306490,1450.0,FG0
20130109,1459.0,1476.0,1452.0,1474.0,2100300,444362,1461.0,FG0
20130110,1479.0,1484.0,1456.0,1463.0,2311300,376812,1468.0,FG0
20130111,1462.0,1465.0,1428.0,1439.0,1916200,311804,1444.0,FG0
20130114,1438.0,1502.0,1438.0,1502.0,1878700,508076,1468.0,FG0
20130115,1520.0,1527.0,1490.0,1497.0,3006300,387356,1505.0,FG0
