date,open,close,high,low,volume,symbol
20241224,8102.72,8136.99,8152.01,8102.72,243246.63,FTSE
20241223,8084.61,8102.72,8111.41,8051.92,573891.13,FTSE
20241220,8105.32,8084.61,8105.83,8002.34,1608808.0,FTSE
20241219,8199.11,8105.32,8199.11,8078.98,802810.57,FTSE
20241218,8195.2,8199.11,8231.84,8191.61,836400.75,FTSE
20241217,8262.05,8195.2,8262.05,8190.17,1176056.0,FTSE
20241216,8300.33,8262.05,8305.21,8254.06,621726.0,FTSE
20241213,8311.76,8300.33,8331.85,8282.4,653230.0,FTSE
20241212,8301.62,8311.76,8331.05,8300.18,584951.94,FTSE
20241211,8280.36,8301.62,8318.88,8248.42,1274445.0,FTSE
20241210,8352.08,8280.36,8352.13,8274.5,605634.69,FTSE
20241209,8308.61,8352.08,8372.05,8308.61,731045.94,FTSE
20241206,8349.38,8308.61,8357.58,8303.48,1058505.0,FTSE
20241205,8335.81,8349.38,8350.67,8321.64,855079.44,FTSE
20241204,8359.41,8335.81,8362.75,8322.84,760035.07,FTSE
20241203,8312.89,8359.41,8388.37,8311.85,815525.82,FTSE
20241202,8287.3,8312.89,8332.0,8274.66,822818.57,FTSE
20241129,8281.22,8287.3,8292.45,8252.89,588369.19,FTSE
20241128,8274.75,8281.22,8303.77,8271.85,515831.94,FTSE
20241127,8258.61,8274.75,8280.02,8237.7,658162.5,FTSE
20241126,8291.68,8258.61,8291.68,8245.76,771580.07,FTSE
20241125,8262.08,8291.68,8307.27,8261.78,1952082.0,FTSE
20241122,8149.27,8262.08,8274.84,8149.27,791049.44,FTSE
20241121,8085.07,8149.27,8152.86,8065.22,856150.0,FTSE
20241120,8099.02,8085.07,8128.44,8074.22,744104.5,FTSE
20241119,8109.32,8099.02,8145.86,8052.02,740741.0,FTSE
20241118,8063.61,8109.32,8109.32,8054.07,800777.44,FTSE
20241115,8071.19,8063.61,8091.89,8030.01,740001.0,FTSE
20241114,8030.33,8071.19,8083.12,8012.83,662893.0,FTSE
20241113,8025.77,8030.33,8062.73,7995.87,1001024.1,FTSE
20241112,8125.19,8025.77,8125.19,8018.55,973035.38,FTSE
20241111,8072.39,8125.19,8148.18,8072.39,648655.38,FTSE
20241108,8140.74,8072.39,8156.45,8060.94,833664.82,FTSE
20241107,8166.68,8140.74,8195.3,8140.74,961904.75,FTSE
20241106,8172.39,8166.68,8301.78,8144.25,1036073.9,FTSE
20241105,8184.24,8172.39,8215.84,8148.34,841056.57,FTSE
20241104,8177.15,8184.24,8239.88,8175.76,933157.32,FTSE
20241101,8110.1,8177.15,8202.55,8105.3,865735.44,FTSE
20241031,8159.63,8110.1,8159.63,8071.72,1073856.0,FTSE
20241030,8219.61,8159.63,8219.61,8153.75,1059874.0,FTSE
20241029,8285.62,8219.61,8325.54,8215.3,1071606.0,FTSE
20241028,8248.84,8285.62,8293.62,8208.91,1029866.0,FTSE
20241025,8269.38,8248.84,8278.11,8246.23,963757.44,FTSE
20241024,8258.64,8269.38,8337.68,8256.77,1021483.5,FTSE
20241023,8306.54,8258.64,8323.24,8252.38,750920.63,FTSE
20241022,8318.24,8306.54,8318.24,8252.4,628688.32,FTSE
20241021,8358.25,8318.24,8391.81,8318.24,641070.57,FTSE
20241018,8385.13,8358.25,8385.13,8315.85,790396.75,FTSE
20241017,8329.07,8385.13,8395.58,8322.12,910215.13,FTSE
20241016,8249.28,8329.07,8346.55,8249.28,983516.19,FTSE
20241015,8292.66,8249.28,8306.15,8241.96,836071.63,FTSE
20241014,8253.65,8292.66,8292.66,8237.7,652695.5,FTSE
20241011,8237.73,8253.65,8265.71,8211.92,519343.32,FTSE
20241010,8243.74,8237.73,8272.46,8218.36,675185.5,FTSE
20241009,8190.61,8243.74,8244.36,8188.71,501110.75,FTSE
20241008,8303.62,8190.61,8303.62,8184.03,754710.63,FTSE
20241007,8280.63,8303.62,8323.41,8260.11,645451.19,FTSE
20241004,8282.52,8280.63,8300.66,8234.17,721509.5,FTSE
20241003,8290.86,8282.52,8332.68,8261.96,918547.57,FTSE
20241002,8276.65,8290.86,8322.59,8267.6,804855.94,FTSE
20241001,8236.95,8276.65,8291.1,8226.18,928541.07,FTSE
20240930,8320.76,8236.95,8324.61,8233.99,831097.57,FTSE
20240927,8284.91,8320.76,8334.55,8283.52,801571.57,FTSE
20240926,8268.7,8284.91,8332.87,8262.03,835609.32,FTSE
20240925,8282.76,8268.7,8319.41,8242.99,712916.32,FTSE
20240924,8259.71,8282.76,8309.75,8259.51,1018907.5,FTSE
20240923,8229.99,8259.71,8262.53,8210.07,653474.75,FTSE
20240920,8328.72,8229.99,8328.72,8223.76,1575732.0,FTSE
20240919,8253.68,8328.72,8370.47,8253.68,861254.5,FTSE
20240918,8309.86,8253.68,8309.95,8245.7,800042.57,FTSE
20240917,8278.44,8309.86,8351.72,8278.44,746474.75,FTSE
20240916,8273.09,8278.44,8290.0,8247.92,451756.25,FTSE
20240913,8240.97,8273.09,8287.9,8230.75,535984.0,FTSE
20240912,8193.94,8240.97,8301.36,8193.94,1071633.0,FTSE
20240911,8205.98,8193.94,8232.76,8169.96,867081.19,FTSE
20240910,8270.84,8205.98,8271.12,8195.13,815663.32,FTSE
20240909,8181.47,8270.84,8274.68,8181.47,626820.0,FTSE
20240906,8241.71,8181.47,8260.68,8168.42,704014.0,FTSE
20240905,8269.6,8241.71,8285.55,8241.71,738779.63,FTSE
20240904,8298.46,8269.6,8298.46,8219.26,724921.25,FTSE
20240903,8363.84,8298.46,8380.98,8286.6,1022494.6,FTSE
20240902,8376.63,8363.84,8380.08,8353.18,510920.5,FTSE
20240830,8379.64,8376.63,8414.37,8363.74,1081529.0,FTSE
20240829,8343.85,8379.64,8392.4,8336.58,613890.13,FTSE
20240828,8345.46,8343.85,8362.74,8322.28,624469.69,FTSE
