date,open,high,low,close,volume,open_interest,settle,symbol
20050104,2000.0,2002.0,1979.0,1983.0,10124,24962,0.0,FU0
20050105,1995.0,2015.0,1991.0,2007.0,28536,27260,0.0,FU0
20050106,2000.0,2000.0,1988.0,1989.0,13644,24308,0.0,FU0
20050107,2020.0,2020.0,1999.0,2002.0,14540,23902,0.0,FU0
20050110,2007.0,2019.0,2005.0,2014.0,18996,24126,0.0,FU0
20050111,2008.0,2012.0,2002.0,2004.0,11006,24270,0.0,FU0
20050112,2015.0,2018.0,2005.0,2017.0,9608,24214,0.0,FU0
20050113,2020.0,2030.0,2017.0,2023.0,21372,25636,0.0,FU0
20050114,2032.0,2039.0,2027.0,2027.0,16240,25514,0.0,FU0
20050117,2032.0,2032.0,2002.0,2015.0,9854,23542,0.0,FU0
20050118,2023.0,2044.0,2017.0,2042.0,16892,24066,0.0,FU0
20050119,2065.0,2065.0,2045.0,2052.0,8104,7300,0.0,FU0
20050120,2044.0,2044.0,2027.0,2030.0,6924,7548,0.0,FU0
20050121,2030.0,2037.0,2028.0,2034.0,3878,7754,0.0,FU0
20050124,2022.0,2035.0,2022.0,2025.0,12840,21290,0.0,FU0
20050125,2060.0,2060.0,2051.0,2055.0,5222,9788,0.0,FU0
20050126,2067.0,2074.0,2053.0,2054.0,9876,10828,0.0,FU0
20050127,2051.0,2056.0,2037.0,2050.0,8672,10618,0.0,FU0
20050128,2044.0,2047.0,2038.0,2045.0,5386,9130,0.0,FU0
20050131,2010.0,2023.0,2010.0,2017.0,9898,18422,0.0,FU0
20050201,2036.0,2044.0,2031.0,2038.0,5044,9736,0.0,FU0
20050202,2033.0,2042.0,2029.0,2042.0,3804,9978,0.0,FU0
20050203,2037.0,2052.0,2035.0,2038.0,6548,8274,0.0,FU0
20050204,2039.0,2054.0,2035.0,2054.0,4284,8382,0.0,FU0
20050216,2075.0,2075.0,2060.0,2065.0,4194,8512,0.0,FU0
20050217,2075.0,2095.0,2071.0,2094.0,10462,12458,0.0,FU0
20050218,2086.0,2091.0,2079.0,2081.0,7570,10608,0.0,FU0
20050221,2092.0,2095.0,2084.0,2088.0,6108,10522,0.0,FU0
20050222,2092.0,2115.0,2086.0,2106.0,8236,9682,0.0,FU0
20050223,2152.0,2180.0,2152.0,2165.0,10182,6304,0.0,FU0
20050224,2168.0,2173.0,2151.0,2153.0,5212,7278,0.0,FU0
20050225,2145.0,2164.0,2135.0,2161.0,8094,7662,0.0,FU0
20050228,2170.0,2190.0,2166.0,2179.0,9050,9814,0.0,FU0
20050301,2176.0,2180.0,2155.0,2158.0,4626,9048,0.0,FU0
20050302,2158.0,2174.0,2147.0,2167.0,6234,8736,0.0,FU0
20050303,2188.0,2238.0,2175.0,2226.0,19054,10144,0.0,FU0
20050304,2230.0,2262.0,2224.0,2244.0,21856,11472,0.0,FU0
20050307,2248.0,2258.0,2234.0,2244.0,9118,11514,0.0,FU0
20050308,2244.0,2253.0,2242.0,2243.0,6128,12596,0.0,FU0
20050309,2266.0,2332.0,2262.0,2310.0,30362,14970,0.0,FU0
20050310,2301.0,2323.0,2300.0,2310.0,16762,14454,0.0,FU0
20050311,2288.0,2297.0,2268.0,2280.0,13362,15126,0.0,FU0
20050314,2320.0,2365.0,2312.0,2344.0,13864,11864,0.0,FU0
20050315,2371.0,2408.0,2360.0,2408.0,11904,9416,0.0,FU0
20050316,2408.0,2459.0,2305.0,2403.0,30350,13742,0.0,FU0
20050317,2468.0,2515.0,2464.0,2482.0,24764,15710,0.0,FU0
20050318,2460.0,2490.0,2419.0,2429.0,19760,14282,0.0,FU0
20050321,2477.0,2490.0,2442.0,2462.0,27164,16358,0.0,FU0
20050322,2450.0,2491.0,2420.0,2473.0,38302,18938,0.0,FU0
20050323,2419.0,2419.0,2342.0,2352.0,47124,17300,0.0,FU0
20050324,2290.0,2371.0,2280.0,2367.0,69076,16576,0.0,FU0
20050325,2380.0,2409.0,2363.0,2383.0,44956,15726,0.0,FU0
20050328,2382.0,2416.0,2381.0,2386.0,35090,16812,0.0,FU0
20050329,2380.0,2392.0,2358.0,2365.0,42564,17122,0.0,FU0
20050330,2380.0,2398.0,2376.0,2388.0,28484,15038,0.0,FU0
20050331,2410.0,2462.0,2404.0,2449.0,47166,15260,0.0,FU0
20050401,2490.0,2500.0,2465.0,2487.0,45046,13760,0.0,FU0
20050404,2533.0,2590.0,2533.0,2582.0,54774,17688,0.0,FU0
20050405,2542.0,2572.0,2539.0,2564.0,41524,17312,0.0,FU0
20050406,2536.0,2650.0,2532.0,2614.0,108836,23128,0.0,FU0
20050407,2625.0,2676.0,2615.0,2668.0,141992,25366,0.0,FU0
20050408,2615.0,2633.0,2576.0,2606.0,211982,28656,0.0,FU0
20050411,2599.0,2648.0,2585.0,2633.0,150610,32464,0.0,FU0
20050412,2659.0,2666.0,2620.0,2644.0,95656,30716,0.0,FU0
20050413,2520.0,2537.0,2488.0,2509.0,130680,22940,0.0,FU0
20050414,2496.0,2533.0,2470.0,2525.0,135032,24726,0.0,FU0
20050415,2548.0,2555.0,2529.0,2534.0,72188,22486,0.0,FU0
20050418,2509.0,2522.0,2492.0,2507.0,78492,24470,0.0,FU0
20050419,2515.0,2536.0,2515.0,2528.0,83404,31294,0.0,FU0
20050420,2600.0,2638.0,2585.0,2615.0,142830,36794,0.0,FU0
20050421,2620.0,2641.0,2566.0,2569.0,139500,31554,0.0,FU0
20050422,2605.0,2627.0,2598.0,2615.0,118234,31326,0.0,FU0
20050425,2660.0,2680.0,2648.0,2669.0,129710,36536,0.0,FU0
20050426,2625.0,2635.0,2615.0,2631.0,74164,36142,0.0,FU0
20050427,2628.0,2652.0,2628.0,2630.0,85290,35686,0.0,FU0
20050428,2550.0,2574.0,2546.0,2567.0,89628,33362,0.0,FU0
20050429,2582.0,2590.0,2574.0,2589.0,47266,29402,0.0,FU0
20050509,2600.0,2625.0,2595.0,2599.0,40548,28342,0.0,FU0
20050510,2631.0,2637.0,2606.0,2610.0,50612,27670,0.0,FU0
20050511,2600.0,2600.0,2562.0,2563.0,54310,26612,0.0,FU0
20050512,2540.0,2547.0,2514.0,2517.0,76816,26592,0.0,FU0
20050513,2460.0,2478.0,2441.0,2457.0,88290,24840,0.0,FU0
20050516,2461.0,2496.0,2461.0,2477.0,63404,25500,0.0,FU0
20050517,2496.0,2506.0,2464.0,2484.0,65966,23202,0.0,FU0
20050518,2502.0,2538.0,2492.0,2536.0,58530,20564,0.0,FU0
20050519,2481.0,2485.0,2460.0,2473.0,53160,22670,0.0,FU0
20050520,2477.0,2533.0,2477.0,2529.0,73580,17790,0.0,FU0
20050523,2512.0,2519.0,2480.0,2492.0,44868,17754,0.0,FU0
20050524,2515.0,2535.0,2507.0,2517.0,53700,17658,0.0,FU0
20050525,2527.0,2543.0,2508.0,2509.0,66672,23252,0.0,FU0
20050526,2562.0,2576.0,2550.0,2570.0,79088,23844,0.0,FU0
20050527,2575.0,2583.0,2549.0,2558.0,63940,21684,0.0,FU0
20050530,2564.0,2595.0,2562.0,2582.0,62912,22228,0.0,FU0
20050531,2580.0,2588.0,2551.0,2555.0,55308,21734,0.0,FU0
20050601,2580.0,2605.0,2579.0,2590.0,72926,21886,0.0,FU0
20050602,2670.0,2677.0,2652.0,2669.0,59062,24322,0.0,FU0
20050603,2650.0,2697.0,2641.0,2693.0,96776,31108,0.0,FU0
20050606,2747.0,2807.0,2744.0,2807.0,57070,26064,0.0,FU0
20050607,2767.0,2809.0,2756.0,2776.0,97748,26630,0.0,FU0
20050608,2744.0,2756.0,2705.0,2710.0,73972,25940,0.0,FU0
20050609,2670.0,2687.0,2657.0,2672.0,69616,25322,0.0,FU0
20050610,2740.0,2746.0,2726.0,2737.0,43752,22760,0.0,FU0
20050613,2708.0,2721.0,2693.0,2703.0,26770,22668,0.0,FU0
