symbol,date,close,open,high,low,volume
h30269.CSI,20240717,10429.1545,10477.5909,10502.6744,10406.0887,27244682.44
h30269.CSI,20240716,10504.6367,10541.6272,10569.6518,10447.9136,29289035.41
h30269.CSI,20240715,10586.1429,10458.4856,10597.5522,10421.0792,29532962.84
h30269.CSI,20240712,10485.3696,10478.3434,10557.9811,10468.9253,30076881.38
h30269.CSI,20240711,10516.3595,10549.5714,10560.3749,10467.3623,29266358.21
h30269.CSI,20240710,10508.0918,10676.5669,10686.9178,10504.5512,27256597.13
h30269.CSI,20240709,10741.1291,10618.0911,10752.5423,10556.3115,28026896.34
h30269.CSI,20240708,10630.8056,10664.0947,10719.7779,10616.3491,27329135.32
h30269.CSI,20240705,10728.9538,10809.5045,10830.1762,10660.9231,30887339.64
h30269.CSI,20240704,10814.3841,10858.776,10915.927,10795.7498,24044129.31
h30269.CSI,20240703,10867.2831,10961.8548,10993.3921,10850.4927,25153402.92
h30269.CSI,20240702,10968.489,10949.8466,10982.3025,10877.6565,30853851.24
h30269.CSI,20240701,10941.8043,10741.5091,10958.0927,10739.1727,28277408
h30269.CSI,20240628,10735.2209,10623.5673,10786.8951,10610.3596,30203630.5
h30269.CSI,20240627,10646.9413,10637.156,10702.0538,10595.8862,30356704.64
h30269.CSI,20240626,10658.6705,10588.8851,10664.99,10545.2813,24672421.85
h30269.CSI,20240625,10656.0169,10612.2001,10709.7095,10611.3279,27047163.3
h30269.CSI,20240624,10636.448,10743.5622,10747.9349,10584.0758,27892863.56
h30269.CSI,20240621,10771.2603,10764.2745,10830.6957,10734.2699,25733888.49
h30269.CSI,20240620,10798.7704,10804.1296,10843.3991,10761.9628,24248063.56
h30269.CSI,20240619,10800.648,10798.2552,10863.0959,10780.5971,25629994.47
h30269.CSI,20240618,10797.0073,10754.5183,10806.1126,10684.8609,24649312.22
h30269.CSI,20240617,10760.3904,10857.6837,10901.084,10740.7148,33299533.94
h30269.CSI,20240614,10874.7167,10855.9013,10924.2677,10827.8684,42492655.95
h30269.CSI,20240613,10899.0697,11009.1496,11034.1318,10866.9696,27479486.88
h30269.CSI,20240612,11025.9106,10891.6286,11039.5336,10844.0959,32955210.96
h30269.CSI,20240611,10903.0018,11098.5344,11111.0166,10860.8896,36115153.84
h30269.CSI,20240607,11110.0798,11030.2647,11114.9501,11019.0187,31444201.65
h30269.CSI,20240606,11027.9388,11004.3004,11116.2479,11002.2057,30449800.57
h30269.CSI,20240605,11009.0649,11161.8732,11173.9562,11001.1711,25933175.66
h30269.CSI,20240604,11164.9319,11107.6873,11179.1525,11064.7402,27019849.45
h30269.CSI,20240603,11138.8289,11231.1553,11231.5522,11071.2179,33631904.92
h30269.CSI,20240531,11239.301,11261.474,11314.1088,11225.7683,24272747.23
h30269.CSI,20240530,11239.5412,11302.29,11400.6343,11214.9126,27692048.47
h30269.CSI,20240529,11336.8789,11310.1883,11433.8396,11281.8739,26021836.16
h30269.CSI,20240528,11338.9499,11365.819,11407.3235,11304.4002,25956981.9
h30269.CSI,20240527,11376.3485,11196.3145,11383.2072,11196.3145,29905152.06
h30269.CSI,20240524,11183.6303,11181.5701,11311.142,11172.8007,25968574.37
h30269.CSI,20240523,11192.7775,11284.5332,11293.1358,11165.5109,26457035.39
h30269.CSI,20240522,11307.7794,11326.1814,11410.7815,11299.0236,30446653.49
h30269.CSI,20240521,11332.509,11284.1444,11358.5335,11261.305,27698239.7
h30269.CSI,20240520,11301.9267,11200.1387,11337.3039,11191.8002,37448839.23
h30269.CSI,20240517,11188.6718,11106.0938,11191.287,11066.9287,33759147.86
h30269.CSI,20240516,11117.9005,11115.8838,11173.0412,11089.5758,34320467.69
h30269.CSI,20240515,11106.5937,11103.002,11176.2607,11065.1851,22726576.73
h30269.CSI,20240514,11124.5489,11155.1526,11167.5747,11065.2616,30498484.49
h30269.CSI,20240513,11173.9303,11075.3907,11182.9128,11004.7383,34270690.05
h30269.CSI,20240510,11097.7073,11060.501,11111.4132,11009.2599,34314118.41
h30269.CSI,20240509,11036.2771,10957.8241,11056.9463,10953.0601,30624688.49
h30269.CSI,20240508,10960.5759,10897.4851,11018.674,10890.3911,30628369.57
h30269.CSI,20240507,10914.1164,10896.534,10920.2904,10834.6562,34766276.9
h30269.CSI,20240506,10902.3998,10874.0891,10907.6435,10792.5068,46340357.95
h30269.CSI,20240430,10829.7578,10734.8654,10882.0871,10733.3881,37834577.25
h30269.CSI,20240429,10783.6451,10782.2697,10808.0496,10706.9581,48343400.19
h30269.CSI,20240426,10829.2271,10919.9975,10984.7676,10775.2121,49043922.54
h30269.CSI,20240425,10955.6872,10854.2532,10963.8484,10840.981,26665090.98
h30269.CSI,20240424,10875.1865,10892.0175,10896.8836,10776.4059,26778238.75
h30269.CSI,20240423,10899.2648,11004.3905,11031.5825,10877.5005,34239662.43
h30269.CSI,20240422,11066.4545,11298.0849,11364.1304,11061.1409,37287430.04
h30269.CSI,20240419,11297.7681,11217.7164,11387.3569,11215.3366,34959261.51
h30269.CSI,20240418,11288.0914,11209.251,11400.1828,11202.6461,45282702.1
h30269.CSI,20240417,11240.3048,10991.8203,11240.3048,10942.7317,41009698.95
h30269.CSI,20240416,11017.1823,11016.1219,11153.994,10935.1695,42920463.16
h30269.CSI,20240415,11027.529,10809.633,11031.2011,10774.6029,40003601.62
h30269.CSI,20240412,10806.5551,10792.6995,10868.6468,10763.1417,26244475.17
h30269.CSI,20240411,10818.6585,10684.8255,10874.724,10658.706,26276475.27
h30269.CSI,20240410,10720.2951,10678.2608,10773.5402,10677.3357,27847698.03
h30269.CSI,20240409,10693.0732,10743.8135,10817.8444,10651.8043,30252052.39
h30269.CSI,20240408,10756.8834,10682.0378,10829.6014,10643.6893,33312867.77
h30269.CSI,20240403,10709.4553,10613.284,10720.1193,10586.0779,26976049.08
h30269.CSI,20240402,10618.8429,10549.9285,10656.3584,10544.4924,30676817.89
h30269.CSI,20240401,10554.0788,10537.5586,10557.7768,10497.3429,28285837.63
h30269.CSI,20240329,10526.1651,10356.2072,10529.8489,10354.5874,28564819.38
h30269.CSI,20240328,10373.7485,10389.672,10437.3629,10323.0531,32666780.21
h30269.CSI,20240327,10400.5913,10399.1734,10496.2124,10398.9411,28532669.49
h30269.CSI,20240326,10417.8839,10413.3866,10438.5606,10331.1237,27816665.37
h30269.CSI,20240325,10408.8599,10349.5944,10529.7287,10343.1931,27676927.24
h30269.CSI,20240322,10389.1023,10411.1803,10443.6294,10315.6526,25718012.4
h30269.CSI,20240321,10428.2835,10377.5357,10452.6036,10332.3984,22481963.34
h30269.CSI,20240320,10383.4225,10304.8957,10400.8342,10252.5625,23678870.68
h30269.CSI,20240319,10320.4399,10360.4455,10402.0291,10306.9095,26104768.84
h30269.CSI,20240318,10366.1328,10356.173,10370.8902,10299.8837,25102757.14
h30269.CSI,20240315,10369.8058,10337.6854,10372.5159,10285.2974,25598832.57
h30269.CSI,20240314,10340.4205,10291.948,10380.4083,10288.6717,25290094.06
h30269.CSI,20240313,10307.1641,10317.9911,10348.9868,10225.2078,28870680.85
h30269.CSI,20240312,10337.8669,10573.4811,10576.3381,10315.4959,40071149.76
h30269.CSI,20240311,10601.6746,10667.6916,10693.6606,10517.5024,29821800.54
h30269.CSI,20240308,10674.1207,10595.7561,10681.0956,10556.9651,25379018.38
h30269.CSI,20240307,10607.4233,10563.1933,10705.5252,10563.1933,27254873.05
h30269.CSI,20240306,10565.1458,10556.9067,10660.6014,10553.4029,29802720.02
