date,open,high,low,close,volume,open_interest,settle,symbol
20140321,3252.0,3336.0,3230.0,3324.0,187478,52030,3300.0,HC0
20140324,3314.0,3330.0,3266.0,3330.0,86810,47616,3304.0,HC0
20140325,3326.0,3400.0,3320.0,3378.0,119854,61256,3358.0,HC0
20140326,3370.0,3382.0,3354.0,3376.0,37876,60560,3368.0,HC0
20140327,3368.0,3386.0,3350.0,3362.0,40230,61430,3364.0,HC0
20140328,3376.0,3386.0,3360.0,3382.0,34290,63080,3372.0,HC0
20140331,3396.0,3422.0,3382.0,3410.0,60970,65640,3402.0,HC0
20140401,3412.0,3418.0,3396.0,3414.0,17896,64136,3406.0,HC0
20140402,3410.0,3426.0,3388.0,3390.0,28570,68700,3404.0,HC0
20140403,3384.0,3414.0,3382.0,3410.0,20706,68410,3398.0,HC0
20140404,3412.0,3440.0,3402.0,3440.0,21360,70094,3422.0,HC0
20140408,3450.0,3488.0,3442.0,3480.0,40286,80872,3468.0,HC0
20140409,3488.0,3488.0,3444.0,3452.0,32902,81834,3462.0,HC0
20140410,3450.0,3470.0,3442.0,3446.0,19630,81232,3456.0,HC0
20140411,3430.0,3452.0,3430.0,3434.0,13100,76840,3440.0,HC0
20140414,3432.0,3464.0,3432.0,3438.0,12642,77020,3446.0,HC0
20140415,3442.0,3448.0,3418.0,3448.0,20724,75524,3430.0,HC0
20140416,3446.0,3448.0,3410.0,3418.0,18538,68152,3418.0,HC0
20140417,3428.0,3428.0,3410.0,3412.0,5590,67404,3418.0,HC0
20140418,3410.0,3412.0,3346.0,3354.0,51760,66498,3370.0,HC0
20140421,3340.0,3364.0,3340.0,3340.0,8292,64836,3350.0,HC0
20140422,3340.0,3366.0,3324.0,3354.0,23958,60950,3344.0,HC0
20140423,3358.0,3388.0,3336.0,3380.0,19844,58920,3358.0,HC0
20140424,3376.0,3396.0,3366.0,3390.0,12648,58086,3380.0,HC0
20140425,3398.0,3400.0,3372.0,3378.0,8566,58570,3382.0,HC0
20140428,3372.0,3378.0,3334.0,3336.0,17354,56630,3342.0,HC0
20140429,3334.0,3374.0,3334.0,3360.0,8736,55692,3358.0,HC0
20140430,3370.0,3370.0,3338.0,3344.0,9948,55210,3344.0,HC0
20140501,3332.0,3332.0,3332.0,3332.0,2,586,3332.0,HC0
20140505,3334.0,3362.0,3224.0,3352.0,11568,53726,3340.0,HC0
20140506,3342.0,3364.0,3336.0,3344.0,4722,52980,3350.0,HC0
20140507,3338.0,3358.0,3330.0,3332.0,9532,52784,3340.0,HC0
20140508,3330.0,3338.0,3310.0,3312.0,13298,49644,3320.0,HC0
20140509,3312.0,3330.0,3302.0,3318.0,9612,49350,3318.0,HC0
20140512,3332.0,3336.0,3298.0,3336.0,11512,48264,3316.0,HC0
20140513,3336.0,3346.0,3320.0,3326.0,6694,47826,3332.0,HC0
20140514,3326.0,3330.0,3314.0,3324.0,7744,45016,3318.0,HC0
20140515,3324.0,3328.0,3298.0,3300.0,4666,44738,3312.0,HC0
20140516,3294.0,3300.0,3240.0,3272.0,11898,44178,3272.0,HC0
20140519,3262.0,3284.0,3250.0,3264.0,7402,43860,3268.0,HC0
20140520,3260.0,3276.0,3254.0,3262.0,3226,43792,3264.0,HC0
20140521,3264.0,3284.0,3254.0,3274.0,5076,44056,3266.0,HC0
20140522,3272.0,3314.0,3272.0,3280.0,5670,44030,3292.0,HC0
20140523,3286.0,3294.0,3276.0,3282.0,2478,43846,3284.0,HC0
20140526,3288.0,3330.0,3282.0,3326.0,6526,43958,3316.0,HC0
20140527,3332.0,3370.0,3320.0,3340.0,17214,47808,3348.0,HC0
20140528,3300.0,3342.0,3300.0,3312.0,6688,47400,3324.0,HC0
20140529,3308.0,3324.0,3300.0,3308.0,5696,47004,3310.0,HC0
20140530,3300.0,3308.0,3252.0,3264.0,11890,46412,3270.0,HC0
20140603,3256.0,3290.0,3246.0,3268.0,11494,45992,3270.0,HC0
20140604,3268.0,3276.0,3260.0,3262.0,7822,46136,3268.0,HC0
20140605,3268.0,3284.0,3252.0,3270.0,13050,44186,3264.0,HC0
20140606,3276.0,3282.0,3260.0,3282.0,5212,43436,3270.0,HC0
20140609,3278.0,3282.0,3254.0,3262.0,11062,39938,3266.0,HC0
20140610,3262.0,3272.0,3230.0,3268.0,8890,39432,3252.0,HC0
20140611,3270.0,3278.0,3254.0,3260.0,5292,39396,3262.0,HC0
20140612,3252.0,3260.0,3230.0,3246.0,12012,39652,3244.0,HC0
20140613,3238.0,3258.0,3230.0,3248.0,12994,40670,3246.0,HC0
20140616,3250.0,3250.0,3216.0,3226.0,18710,45438,3228.0,HC0
20140617,3218.0,3246.0,3208.0,3238.0,7882,44160,3230.0,HC0
