date,open,close,high,low,volume,symbol
20241224,2020.08,2046.96,2057.66,2018.82,,HKAH
20241223,1997.75,2022.41,2026.88,1997.75,,HKAH
20241220,2000.73,1987.89,2006.19,1987.89,,HKAH
20241219,1989.13,2003.07,2008.51,1983.64,,HKAH
20241218,1999.71,2010.05,2018.95,1999.71,,HKAH
20241217,1991.8,1991.07,2011.35,1986.88,,HKAH
20241216,2002.89,1997.69,2019.15,1992.58,,HKAH
20241213,2048.51,2006.46,2048.51,2001.12,,HKAH
20241212,2039.35,2059.55,2075.8,2035.61,,HKAH
20241211,2046.41,2034.36,2068.59,2029.86,,HKAH
20241210,2127.87,2043.42,2127.87,2041.19,,HKAH
20241209,2004.65,2070.63,2070.76,1995.72,,HKAH
20241206,1976.69,2006.19,2016.55,1975.93,,HKAH
20241205,1975.78,1971.22,1981.32,1960.88,,HKAH
20241204,1981.53,1982.93,1992.29,1967.0,,HKAH
20241203,1956.08,1982.3,1986.39,1945.43,,HKAH
20241202,1940.25,1954.25,1964.27,1933.08,,HKAH
20241129,1916.74,1932.2,1955.21,1911.04,,HKAH
20241128,1944.79,1917.68,1944.79,1914.28,,HKAH
20241127,1910.19,1947.58,1955.75,1894.87,,HKAH
20241126,1911.72,1912.26,1935.86,1910.11,,HKAH
20241125,1938.53,1920.41,1944.96,1917.55,,HKAH
20241122,1987.95,1929.89,1992.49,1918.98,,HKAH
20241121,1993.93,1983.51,2002.39,1979.81,,HKAH
20241120,1993.86,1997.94,2005.68,1987.81,,HKAH
20241119,1998.0,1995.53,2009.01,1978.13,,HKAH
20241118,1969.74,1987.16,2011.14,1969.74,,HKAH
20241115,1968.35,1955.95,1984.1,1955.79,,HKAH
20241114,1993.63,1964.4,2007.53,1960.12,,HKAH
20241113,1990.74,2004.83,2007.26,1982.54,,HKAH
20241112,2052.63,2002.93,2082.64,1989.74,,HKAH
20241111,2059.28,2059.71,2072.09,2035.84,,HKAH
20241108,2158.1,2099.58,2169.98,2097.04,,HKAH
20241107,2053.72,2134.53,2139.41,2048.12,,HKAH
20241106,2097.81,2068.14,2117.35,2054.68,,HKAH
20241105,2042.51,2110.49,2110.49,2042.17,,HKAH
20241104,2043.79,2051.61,2053.28,2022.21,,HKAH
20241101,2025.17,2035.43,2056.03,2017.87,,HKAH
20241031,2019.64,2016.71,2043.89,2011.48,,HKAH
20241030,2048.15,2016.28,2053.71,2002.84,,HKAH
20241029,2075.17,2053.92,2084.88,2043.62,,HKAH
20241028,2067.11,2065.69,2072.25,2046.05,,HKAH
20241025,2060.68,2069.61,2088.32,2060.68,,HKAH
20241024,2067.26,2062.56,2080.48,2057.86,,HKAH
