date,open,close,high,low,volume,symbol
20241224,4468.71,4507.65,4528.57,4459.54,,HKTECH
20241223,4481.46,4457.85,4497.18,4437.59,,HKTECH
20241220,4432.72,4444.19,4487.66,4429.6,,HKTECH
20241219,4393.09,4439.47,4469.47,4388.02,,HKTECH
20241218,4453.89,4468.85,4489.4,4432.4,,HKTECH
20241217,4387.62,4389.08,4472.97,4360.96,,HKTECH
20241216,4480.32,4414.7,4503.39,4391.73,,HKTECH
20241213,4554.23,4479.6,4567.79,4458.21,,HKTECH
20241212,4551.33,4600.82,4659.95,4521.73,,HKTECH
20241211,4613.12,4531.58,4646.55,4511.77,,HKTECH
20241210,4854.34,4591.94,4854.34,4588.16,,HKTECH
20241209,4429.05,4656.8,4664.33,4416.38,,HKTECH
20241206,4387.48,4464.65,4472.69,4352.64,,HKTECH
20241205,4366.96,4370.22,4388.43,4347.1,,HKTECH
20241204,4428.08,4404.04,4444.9,4381.72,,HKTECH
20241203,4413.91,4417.99,4433.95,4342.7,,HKTECH
20241202,4355.64,4405.95,4425.39,4343.37,,HKTECH
20241129,4309.31,4353.55,4431.75,4304.34,,HKTECH
20241128,4379.81,4307.75,4379.81,4301.36,,HKTECH
20241127,4233.08,4374.44,4394.02,4188.74,,HKTECH
20241126,4203.9,4221.99,4265.98,4203.9,,HKTECH
20241125,4275.4,4235.31,4287.7,4195.27,,HKTECH
20241122,4366.18,4246.2,4400.54,4226.58,,HKTECH
20241121,4393.04,4358.15,4417.09,4347.05,,HKTECH
20241120,4372.37,4413.08,4436.01,4364.57,,HKTECH
20241119,4381.92,4395.04,4413.08,4341.87,,HKTECH
20241118,4379.19,4341.53,4405.57,4318.19,,HKTECH
20241115,4322.0,4327.84,4394.32,4288.01,,HKTECH
20241114,4388.38,4318.32,4463.34,4294.34,,HKTECH
20241113,4393.88,4455.67,4461.15,4363.62,,HKTECH
20241112,4627.54,4456.86,4680.41,4442.54,,HKTECH
20241111,4524.49,4651.71,4670.15,4524.49,,HKTECH
20241108,4786.41,4668.26,4838.38,4658.69,,HKTECH
20241107,4532.54,4677.64,4687.5,4508.4,,HKTECH
20241106,4646.37,4574.5,4667.9,4525.36,,HKTECH
20241105,4486.17,4693.85,4694.48,4486.17,,HKTECH
20241104,4512.24,4532.18,4554.36,4501.09,,HKTECH
20241101,4504.48,4483.91,4548.66,4454.93,,HKTECH
20241031,4527.34,4499.15,4578.4,4499.15,,HKTECH
20241030,4581.18,4513.68,4610.33,4491.61,,HKTECH
20241029,4648.47,4623.84,4701.0,4601.52,,HKTECH
20241028,4563.74,4574.07,4601.07,4516.73,,HKTECH
20241025,4492.6,4538.03,4593.12,4492.6,,HKTECH
20241024,4543.32,4483.99,4570.36,4473.35,,HKTECH
20241023,4527.01,4605.62,4669.85,4506.28,,HKTECH
20241022,4508.46,4521.63,4565.24,4476.88,,HKTECH
20241021,4580.65,4491.9,4637.44,4483.22,,HKTECH
20241018,4337.24,4600.85,4661.64,4329.92,,HKTECH
20241017,4449.39,4349.77,4547.31,4319.17,,HKTECH
20241016,4391.14,4402.37,4482.95,4368.95,,HKTECH
20241015,4654.12,4450.95,4682.83,4405.29,,HKTECH
20241014,4702.61,4668.18,4723.73,4512.14,,HKTECH
20241010,4772.82,4736.1,4862.17,4675.69,,HKTECH
20241009,4819.86,4640.75,4908.88,4502.93,,HKTECH
20241008,5293.05,4695.81,5293.05,4611.45,,HKTECH
20241007,5298.43,5386.48,5451.53,5236.09,,HKTECH
20241004,4941.96,5227.13,5233.98,4885.22,,HKTECH
20241003,5117.37,4978.64,5118.05,4773.13,,HKTECH
20241002,4840.08,5157.08,5252.53,4840.08,,HKTECH
20240930,4648.26,4751.81,4841.82,4539.56,,HKTECH
20240927,4340.07,4453.24,4516.58,4308.47,,HKTECH
20240926,3983.38,4209.71,4222.65,3964.86,,HKTECH
20240925,4063.51,3924.45,4063.51,3907.06,,HKTECH
20240924,3785.98,3915.58,3916.69,3755.15,,HKTECH
20240923,3699.23,3698.27,3761.17,3688.69,,HKTECH
20240920,3649.32,3703.84,3744.31,3638.47,,HKTECH
20240919,3539.08,3651.56,3669.72,3528.21,,HKTECH
20240917,3482.67,3536.57,3545.31,3472.9,,HKTECH
20240916,3454.69,3497.45,3497.45,3422.82,,HKTECH
