date,open,close,high,low,volume,symbol
20241224,19911.5,20098.29,20165.46,19908.57,2206525.0,HSI
20241223,19843.65,19883.13,19937.39,19746.46,3403594.0,HSI
20241220,19697.06,19720.7,19875.9,19692.68,3501199.0,HSI
20241219,19610.1,19752.51,19849.03,19591.49,2385034.0,HSI
20241218,19884.54,19864.55,19953.53,19802.22,2288116.0,HSI
20241217,19678.03,19700.48,19930.83,19620.63,2787061.0,HSI
20241216,19947.23,19795.49,20049.21,19726.15,2699601.0,HSI
20241213,20238.21,19971.24,20238.21,19927.27,3106773.0,HSI
20241212,20213.24,20397.05,20546.44,20121.47,2777100.0,HSI
20241211,20404.5,20155.05,20481.37,20100.07,2300070.0,HSI
20241210,21070.05,20311.28,21070.05,20308.86,4472372.0,HSI
20241209,19732.28,20414.09,20433.73,19695.51,3960642.0,HSI
20241206,19611.62,19865.85,19934.72,19566.29,3493293.0,HSI
20241205,19578.66,19560.44,19642.73,19466.69,2007506.0,HSI
20241204,19722.15,19742.46,19823.09,19615.61,2589126.0,HSI
20241203,19585.35,19746.32,19768.32,19386.82,2625268.0,HSI
20241202,19442.31,19550.29,19690.22,19387.2,2392349.0,HSI
20241129,19346.62,19423.61,19658.2,19312.41,2487646.0,HSI
20241128,19558.18,19366.96,19558.18,19312.26,2160791.0,HSI
20241127,19187.05,19603.13,19660.99,19061.6,2374799.0,HSI
20241126,19054.4,19159.2,19295.75,19054.4,2384715.0,HSI
20241125,19307.34,19150.99,19351.06,19102.06,4385586.0,HSI
20241122,19613.55,19229.97,19711.4,19134.59,3237628.0,HSI
20241121,19646.04,19601.11,19764.62,19552.5,2079193.0,HSI
20241120,19623.39,19705.01,19752.93,19575.91,2057519.0,HSI
20241119,19699.81,19663.67,19758.57,19522.59,2529912.0,HSI
20241118,19595.5,19576.61,19781.08,19470.43,3176438.0,HSI
20241115,19503.03,19426.34,19608.24,19332.34,2947181.0,HSI
20241114,19626.26,19435.81,19859.17,19392.59,3309999.0,HSI
20241113,19671.92,19823.45,19840.28,19608.32,2862286.0,HSI
20241112,20334.09,19846.88,20517.24,19761.31,4319462.0,HSI
20241111,20258.14,20426.93,20505.01,20151.38,3649659.0,HSI
20241108,21199.96,20728.19,21355.44,20705.12,4153511.0,HSI
20241107,20386.36,20953.34,20986.31,20370.44,4317469.0,HSI
20241106,20791.8,20538.38,20859.66,20361.92,3903890.0,HSI
20241105,20409.94,21006.97,21006.97,20409.94,3147326.0,HSI
20241104,20584.45,20567.52,20633.58,20446.26,2463563.0,HSI
20241101,20427.88,20506.43,20667.22,20353.34,3278799.0,HSI
20241031,20414.2,20317.33,20553.3,20317.33,3238219.0,HSI
20241030,20586.55,20380.64,20681.52,20270.07,3626539.0,HSI
20241029,20729.98,20701.14,20890.08,20563.74,3137711.0,HSI
20241028,20592.74,20599.36,20669.41,20428.94,2978624.0,HSI
20241025,20521.95,20590.15,20784.47,20521.95,2984626.0,HSI
20241024,20576.05,20489.62,20685.46,20448.46,2725564.0,HSI
20241023,20525.44,20760.15,20942.26,20448.84,3541994.0,HSI
20241022,20433.49,20498.95,20629.48,20380.04,2556580.0,HSI
20241021,20730.95,20478.46,20845.57,20423.09,3775033.0,HSI
20241018,20106.65,20804.11,20952.99,20058.67,4586214.0,HSI
20241017,20471.99,20079.1,20783.35,19977.35,3646903.0,HSI
20241016,20144.75,20286.85,20548.18,20131.34,4158740.0,HSI
20241015,21046.19,20318.79,21095.01,20154.71,4906379.0,HSI
20241014,21228.65,21092.87,21348.86,20693.75,5743338.0,HSI
20241010,21046.0,21251.98,21622.65,20983.94,6039903.0,HSI
20241009,21290.04,20637.24,21417.75,20190.53,7953636.0,HSI
20241008,22849.23,20926.79,22902.36,20762.82,11257877.0,HSI
20241007,22948.35,23099.78,23241.74,22719.91,5098398.0,HSI
20241004,22015.08,22736.87,22742.36,21824.68,4619951.0,HSI
20241003,22484.04,22113.51,22484.04,21442.25,4942181.0,HSI
20241002,21289.6,22443.73,22667.74,21289.6,7696287.0,HSI
20240930,21175.41,21133.68,21488.75,20789.93,10357063.0,HSI
20240927,20446.74,20632.3,20743.2,20268.63,9656093.0,HSI
20240926,19302.57,19924.58,19954.06,19176.58,7428256.0,HSI
