date,open,high,low,close,volume,open_interest,settle,symbol
20131018,978.0,984.0,962.0,977.0,300818,65042,975.0,I0
20131021,976.0,977.0,960.0,969.0,95432,68130,967.0,I0
20131022,963.0,966.0,948.0,948.0,91296,76004,956.0,I0
20131023,949.0,953.0,936.0,939.0,116490,81162,944.0,I0
20131024,938.0,939.0,916.0,926.0,169028,87872,928.0,I0
20131025,928.0,936.0,917.0,918.0,104060,86472,927.0,I0
20131028,920.0,928.0,917.0,923.0,83790,93480,922.0,I0
20131029,924.0,925.0,913.0,921.0,105876,99058,917.0,I0
20131030,919.0,930.0,916.0,924.0,118272,91262,922.0,I0
20131031,925.0,927.0,920.0,922.0,74672,84820,923.0,I0
20131101,921.0,954.0,921.0,942.0,321242,107582,942.0,I0
20131104,943.0,957.0,942.0,950.0,175080,122298,949.0,I0
20131105,948.0,954.0,943.0,946.0,108384,121942,947.0,I0
20131106,949.0,951.0,942.0,944.0,69362,123650,945.0,I0
20131107,945.0,947.0,939.0,945.0,91676,124958,944.0,I0
20131108,947.0,948.0,936.0,939.0,66340,120532,940.0,I0
20131111,940.0,944.0,934.0,942.0,57564,112342,938.0,I0
20131112,940.0,944.0,936.0,943.0,45594,107938,939.0,I0
20131113,941.0,952.0,940.0,943.0,96484,110812,946.0,I0
20131114,940.0,944.0,937.0,937.0,55752,103446,940.0,I0
20131115,939.0,942.0,930.0,931.0,76014,102752,935.0,I0
20131118,931.0,935.0,925.0,932.0,52704,99378,930.0,I0
20131119,931.0,943.0,930.0,942.0,60164,106904,936.0,I0
20131121,942.0,943.0,932.0,932.0,41322,105090,935.0,I0
20131122,934.0,935.0,929.0,931.0,52592,106092,932.0,I0
20131125,933.0,936.0,928.0,933.0,38196,104188,932.0,I0
20131126,934.0,943.0,934.0,941.0,72650,108162,939.0,I0
20131127,940.0,942.0,933.0,936.0,30614,106536,936.0,I0
20131128,933.0,940.0,933.0,939.0,27220,105728,937.0,I0
20131129,939.0,945.0,939.0,939.0,33364,106418,941.0,I0
20131202,940.0,941.0,934.0,936.0,41520,108744,936.0,I0
20131203,938.0,941.0,936.0,939.0,35426,105336,938.0,I0
20131204,942.0,955.0,941.0,952.0,94420,114382,949.0,I0
20131205,953.0,956.0,944.0,945.0,52990,114538,948.0,I0
20131206,944.0,945.0,938.0,941.0,40044,108430,940.0,I0
20131209,941.0,946.0,940.0,945.0,19390,112378,943.0,I0
20131210,946.0,947.0,942.0,942.0,16900,109726,943.0,I0
20131211,942.0,942.0,934.0,937.0,38984,108132,936.0,I0
20131212,936.0,938.0,930.0,930.0,35494,108944,934.0,I0
20131213,927.0,927.0,905.0,914.0,91394,116740,912.0,I0
20131216,913.0,923.0,912.0,918.0,39670,121312,918.0,I0
20131217,918.0,920.0,908.0,910.0,24582,124712,916.0,I0
20131218,908.0,913.0,902.0,906.0,71224,128188,907.0,I0
20131219,909.0,913.0,907.0,908.0,30298,128266,909.0,I0
20131220,909.0,913.0,901.0,905.0,34754,127190,908.0,I0
20131223,904.0,905.0,885.0,893.0,128512,135724,892.0,I0
20131224,892.0,907.0,892.0,900.0,95624,121156,901.0,I0
20131225,903.0,904.0,898.0,903.0,48792,114208,901.0,I0
20131226,903.0,904.0,885.0,896.0,84590,124116,891.0,I0
20131227,898.0,910.0,896.0,907.0,87282,107922,903.0,I0
20131230,908.0,920.0,908.0,911.0,85206,104050,913.0,I0
20131231,908.0,914.0,899.0,911.0,72580,98646,909.0,I0
20140102,912.0,912.0,899.0,907.0,56510,107880,906.0,I0
20140103,904.0,905.0,887.0,902.0,132754,122358,897.0,I0
20140106,900.0,900.0,888.0,893.0,108602,142642,892.0,I0
20140107,892.0,899.0,887.0,896.0,86452,149034,893.0,I0
20140108,895.0,897.0,884.0,892.0,101252,157264,890.0,I0
20140109,891.0,899.0,884.0,888.0,102048,161606,890.0,I0
20140110,885.0,886.0,870.0,881.0,180252,163378,877.0,I0
20140113,879.0,880.0,868.0,871.0,108274,178106,872.0,I0
20140114,875.0,881.0,866.0,880.0,94136,178102,874.0,I0
20140115,880.0,882.0,875.0,879.0,68854,184704,877.0,I0
20140117,876.0,878.0,870.0,876.0,84072,184412,874.0,I0
20140120,872.0,876.0,859.0,861.0,95418,195022,867.0,I0
20140121,860.0,861.0,843.0,847.0,124490,208510,849.0,I0
