date,open,close,high,low,volume,symbol
20110506,63422.21,,64703.92,63422.21,,IBOVESPA
20110505,63608.91,,64267.79,62972.77,,IBOVESPA
20110504,64320.41,,64807.13,63547.51,,IBOVESPA
20110503,65457.68,,65468.32,64243.67,,IBOVESPA
20110502,66119.38,,66500.25,65345.68,,IBOVESPA
20110429,65664.38,,66293.75,65460.92,,IBOVESPA
20110428,66249.13,,66249.13,65105.31,,IBOVESPA
20110427,67142.69,,67228.25,65885.44,,IBOVESPA
20110426,66971.88,,67413.13,66722.38,,IBOVESPA
20110425,67058.0,,67124.25,66552.0,,IBOVESPA
20110420,66164.94,,67076.75,66164.94,,IBOVESPA
20110419,65416.7,,66256.94,65416.7,,IBOVESPA
20110418,66688.75,,66705.69,65158.47,,IBOVESPA
20110415,66281.44,,66765.19,65832.38,,IBOVESPA
20110414,66483.38,,67041.75,66089.5,,IBOVESPA
20110413,66908.5,,67410.69,66251.25,,IBOVESPA
20110412,68153.25,,68153.25,66721.0,,IBOVESPA
20110411,68718.75,,69176.75,68029.25,,IBOVESPA
20110408,69179.5,,69429.75,68471.75,,IBOVESPA
20110407,69039.69,,69333.69,68695.0,,IBOVESPA
20110406,69841.38,,70107.69,68954.25,,IBOVESPA
20110405,69703.75,,70046.5,69464.75,,IBOVESPA
20110404,69269.75,,69787.25,69269.75,,IBOVESPA
20110401,68588.0,,69387.19,68588.0,,IBOVESPA
20110331,68000.44,,68606.0,68000.44,,IBOVESPA
20110330,67422.94,,68003.75,67422.94,,IBOVESPA
20110329,67194.19,,67862.19,67046.0,,IBOVESPA
20110328,67766.5,,68070.44,67192.75,,IBOVESPA
20110325,67528.38,,68256.19,67496.88,,IBOVESPA
20110324,67798.75,,68008.94,67405.88,,IBOVESPA
20110323,67570.19,,67917.88,67316.69,,IBOVESPA
20110322,66683.75,,67630.5,66531.25,,IBOVESPA
20110321,66886.94,,67675.88,66656.44,,IBOVESPA
20110318,66216.94,,67384.44,66216.94,,IBOVESPA
20110317,66016.5,,66950.19,66014.69,,IBOVESPA
20110316,67010.75,,67502.0,65662.63,,IBOVESPA
20110315,67167.5,,67167.5,65463.02,,IBOVESPA
20110314,66684.44,,67333.13,66087.69,,IBOVESPA
20110311,66041.25,,67014.0,65558.75,,IBOVESPA
20110310,67255.94,,67255.94,65853.94,,IBOVESPA
20110309,68010.25,,68056.75,67108.75,,IBOVESPA
20110304,68137.75,,68219.94,67513.5,,IBOVESPA
20110303,67283.75,,68188.19,67283.75,,IBOVESPA
20110302,66241.5,,67281.5,66101.19,,IBOVESPA
