date,open,high,low,close,volume,open_interest,settle,symbol
20170117,2321.0,2332.0,2320.2,2325.6,5711,0,0.0,IH0
20170118,2329.8,2380.0,2325.4,2345.0,5196,0,0.0,IH0
20170119,2338.6,2353.8,2328.6,2334.0,4946,0,0.0,IH0
20170120,2332.8,2351.0,2332.6,2349.8,4803,0,0.0,IH0
20170123,2354.0,2361.8,2340.2,2346.8,3218,0,0.0,IH0
20170124,2352.0,2354.8,2343.8,2351.2,3029,0,0.0,IH0
20170125,2345.0,2358.8,2342.4,2358.8,2997,0,0.0,IH0
20170126,2359.0,2374.8,2359.0,2365.0,2974,0,2365.8,IH0
20170203,2370.8,2371.2,2337.6,2342.0,3015,0,0.0,IH0
20170206,2347.0,2351.6,2334.6,2341.8,3548,0,0.0,IH0
20170207,2341.8,2346.0,2329.6,2333.8,3128,0,0.0,IH0
20170208,2332.2,2344.8,2320.0,2344.0,3806,0,0.0,IH0
20170209,2343.6,2364.0,2340.8,2351.2,3899,0,0.0,IH0
20170210,2357.6,2370.4,2356.8,2363.0,4591,0,0.0,IH0
20170213,2366.6,2377.8,2366.2,2371.8,4805,0,0.0,IH0
20170214,2374.2,2374.8,2365.2,2368.0,4276,0,0.0,IH0
20170215,2372.0,2380.8,2366.2,2366.6,5026,0,0.0,IH0
20170216,2369.2,2372.8,2360.2,2368.2,4314,0,0.0,IH0
20170217,2373.2,2389.6,2353.8,2355.2,5710,0,0.0,IH0
20170220,2358.0,2393.2,2358.0,2393.2,7272,0,0.0,IH0
20170221,2395.6,2405.6,2386.4,2388.6,6566,0,0.0,IH0
20170222,2388.0,2393.0,2383.2,2391.6,4877,0,0.0,IH0
20170223,2392.0,2397.0,2375.2,2380.8,5862,0,2378.6,IH0
20170224,2376.6,2383.8,2371.0,2382.2,5289,0,2380.0,IH0
20170227,2384.0,2384.0,2359.0,2365.8,5194,0,0.0,IH0
20170228,2365.8,2375.8,2358.0,2362.2,4700,0,0.0,IH0
20170301,2366.2,2378.8,2362.6,2364.0,5713,0,0.0,IH0
20170302,2371.2,2377.0,2345.8,2347.2,5731,0,0.0,IH0
20170303,2346.0,2346.8,2333.4,2337.6,5485,0,0.0,IH0
20170306,2339.8,2349.4,2335.4,2341.8,5325,0,0.0,IH0
20170307,2342.6,2351.6,2338.8,2347.2,4516,0,0.0,IH0
20170308,2343.2,2356.8,2343.2,2350.6,4996,0,0.0,IH0
20170309,2345.0,2346.8,2324.4,2335.6,6458,0,0.0,IH0
20170310,2334.0,2339.0,2330.2,2330.6,5979,0,0.0,IH0
20170313,2331.8,2353.6,2321.0,2353.4,8926,0,2350.2,IH0
20170314,2351.2,2356.8,2128.6,2349.0,6689,0,0.0,IH0
20170315,2343.4,2355.0,2342.0,2350.2,7430,0,0.0,IH0
20170316,2363.2,2380.6,2361.0,2368.8,7057,0,0.0,IH0
20170317,2367.2,2368.8,2329.2,2335.0,7517,0,0.0,IH0
20170320,2344.8,2346.8,2331.4,2340.2,5383,0,0.0,IH0
20170321,2342.4,2349.2,2338.2,2346.2,5806,0,0.0,IH0
20170322,2340.0,2344.8,2322.2,2331.8,6590,0,0.0,IH0
20170323,2335.4,2350.6,2330.2,2338.8,7312,0,0.0,IH0
20170324,2343.2,2374.6,2339.0,2364.8,7696,0,0.0,IH0
20170327,2362.2,2378.0,2354.6,2356.6,7243,0,0.0,IH0
20170328,2366.2,2367.0,2350.6,2352.6,5318,0,0.0,IH0
20170329,2358.8,2362.8,2347.2,2356.4,5697,0,0.0,IH0
20170330,2353.2,2357.2,2338.2,2344.8,6933,0,0.0,IH0
20170331,2344.2,2359.8,2341.8,2357.6,5620,0,2356.0,IH0
20170405,2378.0,2385.0,2365.0,2384.2,6831,0,0.0,IH0
20170406,2383.8,2389.8,2372.2,2384.0,5424,0,0.0,IH0
20170407,2382.6,2389.4,2374.4,2382.4,5405,0,2384.6,IH0
20170410,2384.0,2388.0,2376.0,2377.4,4771,0,0.0,IH0
20170411,2375.4,2382.6,2351.4,2374.0,8132,0,0.0,IH0
20170412,2376.8,2382.0,2360.2,2369.6,6130,0,0.0,IH0
20170413,2367.4,2375.6,2363.8,2367.4,5378,0,0.0,IH0
20170414,2369.2,2369.2,2346.2,2349.8,6051,0,0.0,IH0
20170417,2343.8,2354.6,2338.4,2352.8,7722,0,0.0,IH0
20170418,2352.6,2352.6,2336.4,2338.0,6953,0,0.0,IH0
20170419,2332.0,2336.4,2314.0,2321.8,6603,0,0.0,IH0
20170420,2323.4,2336.8,2321.2,2332.6,5414,0,0.0,IH0
20170421,2332.6,2343.6,2332.2,2339.8,2941,0,0.0,IH0
20170424,2333.4,2334.6,2316.6,2326.0,6341,0,0.0,IH0
20170425,2328.0,2337.4,2328.0,2334.8,5176,0,0.0,IH0
20170426,2338.0,2348.8,2333.0,2334.8,5841,0,0.0,IH0
20170427,2331.8,2343.0,2322.2,2340.6,6079,0,0.0,IH0
20170428,2343.4,2343.4,2328.2,2336.0,4795,0,2336.6,IH0
20170502,2338.0,2342.0,2328.2,2328.6,3993,0,0.0,IH0
20170503,2330.8,2337.0,2321.8,2323.6,4775,0,0.0,IH0
20170504,2321.8,2329.4,2314.8,2316.2,5082,0,0.0,IH0
20170505,2316.6,2317.6,2294.2,2309.4,6257,0,0.0,IH0
20170508,2307.4,2316.2,2296.4,2313.2,6047,0,0.0,IH0
20170509,2312.8,2318.0,2307.2,2313.6,5364,0,0.0,IH0
20170510,2316.2,2330.4,2316.2,2320.6,6434,0,2322.6,IH0
20170511,2317.8,2335.8,2316.0,2334.0,6882,0,0.0,IH0
20170512,2333.8,2369.4,2332.0,2365.8,7890,0,0.0,IH0
20170515,2375.0,2387.6,2371.8,2372.8,6606,0,0.0,IH0
