date,open,high,low,close,volume,symbol
20220722,7050.0,7085.2,6857.0,6956.6,22153,IM0
20220725,6974.2,7015.8,6850.0,6878.6,22883,IM0
20220726,6898.0,6994.0,6844.8,6991.0,19269,IM0
20220727,6982.0,7074.4,6965.2,7066.2,19290,IM0
20220728,7110.0,7171.4,7072.4,7119.0,22464,IM0
20220729,7130.0,7152.0,7068.0,7087.0,25025,IM0
20220801,7070.2,7141.0,7004.4,7136.6,22084,IM0
20220802,7070.0,7075.0,6820.4,6948.2,37753,IM0
20220803,6990.0,7062.0,6860.8,6882.8,32325,IM0
20220804,6933.0,6942.8,6778.2,6890.8,35394,IM0
20220805,6903.4,7080.8,6903.4,7080.0,31492,IM0
20220808,7060.0,7145.0,7039.6,7132.2,20853,IM0
20220809,7120.0,7164.8,7084.4,7160.6,18871,IM0
20220810,7138.0,7202.0,7130.0,7168.4,21848,IM0
20220811,7201.4,7287.6,7179.6,7284.8,22671,IM0
20220812,7275.0,7306.0,7205.4,7222.4,19678,IM0
20220815,7210.0,7297.6,7206.0,7266.0,20698,IM0
20220816,7275.0,7361.4,7257.2,7311.0,21099,IM0
20220817,7317.0,7346.4,7263.8,7327.6,18274,IM0
20220818,7320.0,7370.4,7303.0,7358.8,14405,IM0
20220819,7319.0,7337.0,7183.2,7186.4,31515,IM0
20220822,7179.8,7252.8,7119.4,7232.4,27615,IM0
20220823,7224.0,7259.8,7208.6,7253.6,25221,IM0
20220824,7263.0,7277.0,6951.4,6969.8,43723,IM0
20220825,6995.0,6999.0,6865.0,6940.4,40047,IM0
20220826,6968.6,7032.0,6886.4,6911.6,34552,IM0
20220829,6810.0,6979.0,6805.0,6950.0,35892,IM0
20220830,6954.2,6965.4,6887.2,6941.0,30897,IM0
20220831,6918.4,6931.8,6699.0,6710.2,47768,IM0
20220901,6720.0,6787.2,6649.8,6682.6,38108,IM0
20220902,6706.4,6773.4,6669.8,6730.2,34760,IM0
20220905,6726.4,6810.8,6691.8,6747.2,30586,IM0
20220906,6770.0,6885.0,6738.0,6879.8,33895,IM0
20220907,6851.0,6954.0,6851.0,6920.2,27172,IM0
20220908,6921.4,6944.8,6864.0,6874.4,24336,IM0
20220909,6893.0,6918.8,6836.2,6913.0,31079,IM0
20220913,6935.2,6957.6,6872.0,6891.4,26519,IM0
20220914,6810.0,6851.0,6784.8,6826.0,27940,IM0
20220915,6855.4,6860.0,6524.4,6596.4,29581,IM0
20220916,6500.0,6557.8,6369.2,6383.2,42595,IM0
20220919,6373.0,6428.2,6257.0,6298.2,41542,IM0
20220920,6361.0,6464.8,6343.0,6388.8,37253,IM0
20220921,6368.0,6447.6,6303.0,6412.6,39329,IM0
20220922,6373.4,6506.8,6368.0,6435.8,40306,IM0
20220923,6437.0,6458.8,6246.0,6323.4,55619,IM0
20220926,6288.0,6391.0,6251.2,6255.0,41247,IM0
20220927,6289.0,6405.0,6270.8,6398.8,41677,IM0
20220928,6380.2,6393.2,6201.2,6202.6,48495,IM0
20220929,6275.0,6308.0,6180.2,6232.4,44555,IM0
20220930,6242.0,6247.4,6098.2,6103.0,42514,IM0
20221010,6121.6,6142.8,5941.4,5976.0,35148,IM0
20221011,5990.0,6030.0,5935.0,5994.2,35293,IM0
20221012,5985.6,6182.4,5895.2,6169.2,51182,IM0
20221013,6147.6,6305.0,6142.2,6242.4,39115,IM0
