date,open,high,low,close,volume,open_interest,settle,symbol
20110415,2300.0,2300.0,2226.0,2247.0,57134,6404,2255.0,J0
20110418,2233.0,2388.0,2233.0,2381.0,132702,19488,2344.0,J0
20110419,2375.0,2384.0,2320.0,2336.0,204462,23270,2344.0,J0
20110420,2350.0,2395.0,2328.0,2343.0,175506,23484,2352.0,J0
20110421,2353.0,2363.0,2323.0,2335.0,97576,22246,2346.0,J0
20110422,2336.0,2351.0,2297.0,2330.0,128218,18880,2319.0,J0
20110425,2340.0,2359.0,2317.0,2329.0,64954,18038,2334.0,J0
20110426,2315.0,2329.0,2303.0,2322.0,44336,17852,2316.0,J0
20110427,2332.0,2339.0,2315.0,2320.0,32038,16356,2327.0,J0
20110428,2330.0,2347.0,2326.0,2337.0,26286,14190,2335.0,J0
20110429,2337.0,2343.0,2323.0,2329.0,17654,11762,2332.0,J0
20110503,2330.0,2354.0,2326.0,2344.0,26594,12876,2342.0,J0
20110504,2341.0,2346.0,2320.0,2329.0,14518,10782,2331.0,J0
20110505,2309.0,2319.0,2293.0,2308.0,13896,10736,2308.0,J0
20110506,2255.0,2289.0,2255.0,2271.0,14736,10206,2274.0,J0
20110509,2280.0,2284.0,2273.0,2280.0,7240,9292,2278.0,J0
20110510,2285.0,2288.0,2275.0,2287.0,7890,8290,2281.0,J0
20110511,2293.0,2338.0,2286.0,2314.0,30078,9430,2321.0,J0
20110512,2290.0,2352.0,2288.0,2344.0,61826,17712,2333.0,J0
20110513,2360.0,2444.0,2353.0,2419.0,134808,26414,2411.0,J0
20110516,2415.0,2423.0,2396.0,2407.0,57056,25800,2410.0,J0
20110517,2414.0,2417.0,2371.0,2391.0,57660,21764,2392.0,J0
20110518,2400.0,2423.0,2370.0,2372.0,70386,21830,2396.0,J0
20110519,2394.0,2394.0,2363.0,2367.0,47602,18316,2374.0,J0
20110520,2364.0,2392.0,2362.0,2376.0,37048,18196,2377.0,J0
20110523,2388.0,2389.0,2350.0,2357.0,18982,17736,2363.0,J0
20110524,2356.0,2380.0,2345.0,2380.0,30504,20964,2371.0,J0
20110525,2382.0,2385.0,2366.0,2375.0,18206,18796,2373.0,J0
