date,open,high,low,close,volume,open_interest,settle,symbol
20131108,4050.0,4078.0,3970.0,3976.0,264550,38942,4010.0,JD0
20131111,3982.0,3983.0,3932.0,3941.0,148860,44132,3949.0,JD0
20131112,3940.0,3970.0,3932.0,3951.0,93396,38812,3957.0,JD0
20131113,3946.0,3970.0,3935.0,3952.0,62148,36600,3958.0,JD0
20131114,3958.0,3963.0,3939.0,3957.0,37318,32232,3952.0,JD0
20131115,3955.0,4015.0,3954.0,4013.0,133512,43098,3994.0,JD0
20131118,4015.0,4039.0,4003.0,4029.0,108186,50176,4025.0,JD0
20131119,4025.0,4036.0,4012.0,4023.0,62266,43000,4023.0,JD0
20131121,4039.0,4039.0,4005.0,4010.0,40740,35924,4021.0,JD0
20131122,4012.0,4040.0,4006.0,4018.0,40808,35390,4024.0,JD0
20131125,4021.0,4178.0,4021.0,4168.0,275042,70756,4138.0,JD0
20131126,4170.0,4180.0,4145.0,4162.0,150308,63964,4161.0,JD0
20131127,4166.0,4174.0,4123.0,4138.0,119328,59036,4145.0,JD0
20131128,4138.0,4193.0,4138.0,4174.0,188778,68226,4168.0,JD0
20131129,4179.0,4185.0,4156.0,4172.0,90070,66538,4170.0,JD0
20131202,4173.0,4190.0,4151.0,4162.0,58520,66024,4168.0,JD0
20131203,4160.0,4196.0,4140.0,4163.0,162642,68806,4169.0,JD0
20131204,4166.0,4176.0,4150.0,4153.0,66138,68428,4160.0,JD0
20131205,4155.0,4181.0,4149.0,4159.0,86416,66256,4165.0,JD0
20131206,4160.0,4180.0,4109.0,4131.0,93086,60776,4143.0,JD0
20131209,4138.0,4150.0,4130.0,4134.0,43026,60958,4139.0,JD0
20131210,4143.0,4190.0,4134.0,4155.0,141624,64268,4163.0,JD0
20131211,4161.0,4175.0,4149.0,4155.0,68642,63620,4162.0,JD0
20131212,4159.0,4172.0,4144.0,4153.0,56068,62124,4160.0,JD0
20131213,4147.0,4157.0,4090.0,4101.0,78890,59600,4121.0,JD0
20131216,4111.0,4119.0,4082.0,4088.0,53850,60532,4099.0,JD0
20131217,4091.0,4125.0,4091.0,4107.0,56850,58862,4109.0,JD0
20131218,4101.0,4122.0,4094.0,4098.0,40438,59594,4106.0,JD0
20131219,4093.0,4093.0,3962.0,3989.0,221438,66598,4000.0,JD0
20131220,3971.0,4000.0,3967.0,3982.0,82202,56724,3982.0,JD0
20131223,3957.0,3973.0,3933.0,3969.0,69360,57290,3957.0,JD0
20131224,3963.0,3994.0,3961.0,3982.0,57416,56144,3982.0,JD0
20131225,3985.0,4023.0,3980.0,3995.0,62000,56212,4003.0,JD0
20131226,4000.0,4017.0,3958.0,3973.0,67728,55866,3973.0,JD0
20131227,3972.0,3993.0,3965.0,3968.0,37100,54554,3979.0,JD0
20131230,3970.0,4006.0,3967.0,3984.0,47234,52060,3988.0,JD0
20131231,3981.0,4000.0,3939.0,3951.0,60322,54984,3964.0,JD0
20140102,3951.0,3978.0,3941.0,3975.0,31536,53426,3966.0,JD0
20140103,3998.0,4036.0,3980.0,4015.0,102594,55466,4014.0,JD0
20140106,4005.0,4024.0,3940.0,3943.0,76746,56884,3990.0,JD0
20140107,3832.0,3919.0,3832.0,3865.0,102798,52084,3869.0,JD0
20140108,3869.0,3884.0,3843.0,3857.0,46162,51118,3857.0,JD0
20140109,3850.0,3880.0,3808.0,3826.0,65388,54234,3840.0,JD0
20140110,3822.0,3847.0,3815.0,3832.0,38390,53484,3831.0,JD0
20140113,3830.0,3860.0,3816.0,3826.0,41632,53012,3834.0,JD0
