date,open,high,low,close,volume,open_interest,settle,symbol
20131118,3060.0,3066.0,3022.0,3039.0,26818,5634,3039.0,JR0
20131119,3041.0,3070.0,3035.0,3064.0,10134,6418,3059.0,JR0
20131121,3058.0,3064.0,3053.0,3061.0,1052,4838,3060.0,JR0
20131122,3064.0,3097.0,3061.0,3093.0,3892,5566,3082.0,JR0
20131125,3098.0,3107.0,3086.0,3094.0,3622,4728,3097.0,JR0
20131126,3093.0,3110.0,3082.0,3110.0,2110,4862,3095.0,JR0
20131127,3106.0,3128.0,3098.0,3100.0,3926,4490,3111.0,JR0
20131128,3100.0,3100.0,3091.0,3093.0,738,4280,3094.0,JR0
20131129,3092.0,3103.0,3085.0,3100.0,710,4238,3098.0,JR0
20131202,3096.0,3103.0,3093.0,3097.0,340,4134,3097.0,JR0
20131203,3099.0,3099.0,3091.0,3093.0,426,4008,3094.0,JR0
20131204,3099.0,3099.0,3089.0,3090.0,466,3688,3091.0,JR0
20131205,3089.0,3093.0,3076.0,3081.0,1378,3548,3084.0,JR0
20131206,3079.0,3085.0,3076.0,3077.0,1566,3570,3082.0,JR0
20131209,3076.0,3080.0,3076.0,3077.0,384,3502,3078.0,JR0
20131210,3072.0,3080.0,3006.0,3063.0,860,3146,3067.0,JR0
20131211,3060.0,3068.0,3030.0,3052.0,2210,2768,3053.0,JR0
20131212,3050.0,3094.0,3049.0,3094.0,1306,2786,3067.0,JR0
20131213,3083.0,3120.0,3077.0,3103.0,4158,2982,3101.0,JR0
20131216,3103.0,3115.0,3090.0,3093.0,994,2832,3100.0,JR0
20131217,3093.0,3093.0,3081.0,3086.0,742,2640,3086.0,JR0
20131218,3087.0,3087.0,3072.0,3078.0,442,2600,3081.0,JR0
20131219,3078.0,3100.0,3077.0,3079.0,292,2572,3088.0,JR0
20131220,3077.0,3093.0,3074.0,3092.0,396,2532,3082.0,JR0
20131223,3096.0,3096.0,3086.0,3089.0,252,2594,3089.0,JR0
20131224,3092.0,3092.0,3080.0,3082.0,314,2576,3084.0,JR0
20131225,3076.0,3090.0,3063.0,3082.0,660,2554,3072.0,JR0
20131226,3085.0,3092.0,3080.0,3083.0,450,2516,3087.0,JR0
20131227,3067.0,3085.0,3063.0,3080.0,58,2518,3078.0,JR0
20131230,3078.0,3084.0,3078.0,3079.0,36,2496,3081.0,JR0
20131231,3082.0,3083.0,3067.0,3071.0,156,2490,3075.0,JR0
20140102,3079.0,3080.0,3069.0,3076.0,212,2486,3073.0,JR0
20140103,3069.0,3079.0,3063.0,3072.0,348,2482,3072.0,JR0
20140106,3072.0,3075.0,3069.0,3074.0,160,2450,3071.0,JR0
20140107,3072.0,3088.0,3072.0,3087.0,204,2450,3079.0,JR0
20140108,3088.0,3117.0,3088.0,3097.0,202,2430,3102.0,JR0
