date,open,close,high,low,volume,symbol
20241224,2450.55,2440.52,2452.85,2432.42,386542.0,KS11
20241223,2423.36,2442.01,2446.97,2413.62,427733.0,KS11
20241220,2429.63,2404.15,2430.69,2389.86,617406.0,KS11
20241219,2426.55,2435.93,2450.05,2423.59,504189.0,KS11
20241218,2463.06,2484.43,2492.0,2462.82,441381.0,KS11
20241217,2487.31,2456.81,2487.31,2455.05,558683.0,KS11
20241216,2511.08,2488.97,2515.62,2483.43,526399.0,KS11
20241213,2473.75,2494.46,2500.32,2470.24,577370.0,KS11
20241212,2456.63,2482.12,2487.95,2448.76,663748.0,KS11
20241211,2412.15,2442.51,2443.34,2411.38,617159.0,KS11
20241210,2384.51,2417.84,2419.06,2384.51,597160.0,KS11
20241209,2392.37,2360.58,2399.52,2360.18,590352.0,KS11
20241206,2451.6,2428.16,2459.24,2397.73,629335.0,KS11
20241205,2471.45,2441.85,2471.45,2434.78,518755.0,KS11
20241204,2450.76,2464.0,2483.04,2442.46,669253.0,KS11
20241203,2472.06,2500.1,2500.67,2471.55,323510.0,KS11
20241202,2479.02,2454.48,2483.29,2448.45,327524.0,KS11
20241129,2496.93,2455.91,2496.93,2446.96,383881.0,KS11
20241128,2499.69,2504.67,2513.63,2495.64,342284.0,KS11
20241127,2518.82,2503.06,2526.32,2498.32,413945.0,KS11
20241126,2521.39,2520.36,2526.62,2512.21,441350.0,KS11
20241125,2524.11,2534.34,2541.76,2517.98,564152.0,KS11
20241122,2493.42,2501.24,2511.23,2492.21,542912.0,KS11
20241121,2474.62,2480.63,2496.97,2474.62,450660.0,KS11
20241120,2475.76,2482.29,2489.15,2471.79,408569.0,KS11
20241119,2469.13,2471.95,2479.39,2465.15,410503.0,KS11
20241118,2440.31,2469.07,2480.01,2437.53,443289.0,KS11
20241115,2413.05,2416.86,2433.18,2390.56,622175.0,KS11
20241114,2430.26,2418.86,2441.43,2410.93,639292.0,KS11
20241113,2468.27,2417.08,2478.87,2415.77,617945.0,KS11
20241112,2527.94,2482.57,2532.44,2481.53,734832.0,KS11
20241111,2562.05,2531.66,2562.05,2525.56,570896.0,KS11
20241108,2586.7,2561.15,2593.15,2553.42,448223.0,KS11
20241107,2557.23,2564.63,2579.81,2540.48,464621.0,KS11
20241106,2591.9,2563.51,2592.75,2544.04,547387.0,KS11
20241105,2570.24,2576.88,2586.73,2564.66,310356.0,KS11
20241104,2549.04,2588.97,2588.97,2542.68,373215.0,KS11
20241101,2542.96,2542.36,2559.3,2536.84,319175.0,KS11
20241031,2575.24,2556.15,2579.65,2552.36,405870.0,KS11
20241030,2606.99,2593.79,2613.47,2586.88,486689.0,KS11
20241029,2606.94,2617.8,2617.8,2595.86,362044.0,KS11
20241028,2588.45,2612.43,2612.96,2587.2,331979.0,KS11
20241025,2597.44,2583.27,2611.27,2577.0,462067.0,KS11
20241024,2591.69,2581.03,2600.26,2578.8,342432.0,KS11
20241023,2575.25,2599.62,2607.79,2567.42,350164.0,KS11
20241022,2600.87,2570.7,2604.16,2564.46,342595.0,KS11
20241021,2600.77,2604.92,2618.71,2594.05,240337.0,KS11
20241018,2616.04,2593.82,2618.32,2587.96,264648.0,KS11
20241017,2620.74,2609.3,2622.71,2603.52,330822.0,KS11
20241016,2606.7,2610.36,2622.33,2601.35,436861.0,KS11
20241015,2632.37,2633.45,2635.32,2615.47,437664.0,KS11
20241014,2602.63,2623.29,2628.54,2602.63,400965.0,KS11
20241011,2612.02,2596.91,2621.93,2594.43,490400.0,KS11
20241010,2611.65,2599.16,2613.61,2596.86,617661.0,KS11
20241008,2592.65,2594.36,2601.96,2581.79,316673.0,KS11
20241007,2579.2,2610.38,2611.93,2561.46,342854.0,KS11
20241004,2563.7,2569.71,2585.59,2555.57,413733.0,KS11
20241002,2566.55,2561.69,2591.61,2555.46,350408.0,KS11
20240930,2665.24,2593.27,2668.66,2593.27,358236.0,KS11
20240927,2674.58,2649.78,2681.45,2649.78,412428.0,KS11
20240926,2630.91,2671.57,2671.57,2630.3,324497.0,KS11
20240925,2652.71,2596.32,2663.36,2596.32,453867.0,KS11
20240924,2612.45,2631.68,2631.68,2597.81,354305.0,KS11
20240923,2596.47,2602.01,2603.57,2588.49,338506.0,KS11
20240920,2603.83,2593.37,2619.55,2591.4,495383.0,KS11
20240919,2594.67,2580.8,2598.68,2550.09,384534.0,KS11
20240913,2571.81,2575.41,2584.11,2562.91,357727.0,KS11
20240912,2547.5,2572.09,2572.09,2537.87,340083.0,KS11
20240911,2524.86,2513.37,2526.13,2493.37,302014.0,KS11
20240910,2542.69,2523.43,2544.83,2522.48,347186.0,KS11
20240909,2498.67,2535.93,2543.22,2491.3,269671.0,KS11
20240906,2576.66,2544.28,2576.94,2529.31,374123.0,KS11
20240905,2598.36,2575.5,2615.8,2560.65,378440.0,KS11
20240904,2589.94,2580.8,2608.13,2578.07,454835.0,KS11
20240903,2683.12,2664.63,2695.59,2664.63,303088.0,KS11
20240902,2683.8,2681.0,2686.98,2658.31,266349.0,KS11
20240830,2676.72,2674.31,2686.51,2668.66,277496.0,KS11
20240829,2657.18,2662.28,2672.9,2649.56,288273.0,KS11
20240828,2690.59,2689.83,2695.51,2671.59,280324.0,KS11
20240827,2696.24,2689.25,2700.18,2681.92,263651.0,KS11
20240826,2716.88,2698.01,2718.47,2688.79,333070.0,KS11
20240823,2690.8,2701.69,2712.84,2689.54,329965.0,KS11
20240822,2710.95,2707.67,2711.38,2690.35,441401.0,KS11
20240821,2687.2,2701.13,2704.98,2684.61,416839.0,KS11
20240820,2699.74,2696.63,2706.05,2686.06,483684.0,KS11
20240819,2697.97,2674.36,2699.84,2664.28,394829.0,KS11
20240816,2695.49,2697.23,2699.61,2680.74,385263.0,KS11
20240814,2649.11,2644.5,2653.71,2632.44,328171.0,KS11
20240813,2624.5,2621.5,2636.12,2607.52,377974.0,KS11
20240812,2602.16,2618.3,2622.86,2602.01,292341.0,KS11
20240809,2603.08,2588.43,2603.08,2575.9,474168.0,KS11
20240808,2530.21,2556.73,2570.34,2518.52,494696.0,KS11
20240807,2515.27,2568.41,2594.83,2510.82,476343.0,KS11
20240806,2533.34,2522.15,2578.77,2491.47,566283.0,KS11
20240805,2611.3,2441.55,2611.3,2386.96,761947.0,KS11
20240802,2719.39,2676.19,2725.05,2666.4,530879.0,KS11
20240801,2787.27,2777.68,2794.11,2772.97,480198.0,KS11
20240731,2745.58,2770.69,2770.7,2733.63,556405.0,KS11
20240730,2744.4,2738.19,2754.53,2732.82,391989.0,KS11
20240729,2748.32,2765.53,2776.86,2742.69,455813.0,KS11
20240726,2724.99,2731.9,2738.4,2715.75,512962.0,KS11
20240725,2721.29,2710.65,2725.15,2703.86,439572.0,KS11
20240724,2755.5,2758.71,2778.31,2748.65,468458.0,KS11
20240723,2788.83,2774.29,2796.92,2765.81,422707.0,KS11
20240722,2790.99,2763.51,2795.12,2752.63,463392.0,KS11
20240719,2800.21,2795.46,2802.68,2776.99,425630.0,KS11
20240718,2805.64,2824.35,2824.35,2799.02,657733.0,KS11
20240717,2865.9,2843.29,2868.58,2841.33,548101.0,KS11
20240716,2861.71,2866.09,2872.21,2857.07,677312.0,KS11
20240715,2869.15,2860.92,2872.9,2848.93,423579.0,KS11
20240712,2867.75,2857.0,2872.25,2844.88,407391.0,KS11
