date,open,high,low,close,volume,open_interest,settle,symbol
20070731,12780.0,12625.0,12450.0,12580.0,21556,2428,0.0,L0
20070801,12650.0,12650.0,12390.0,12450.0,4728,2294,0.0,L0
20070802,12410.0,12490.0,12300.0,12460.0,5116,2740,0.0,L0
20070803,12440.0,12560.0,12410.0,12495.0,4810,3026,0.0,L0
20070806,12420.0,12670.0,12420.0,12550.0,6480,3696,0.0,L0
20070807,12455.0,12570.0,12440.0,12540.0,2600,3106,0.0,L0
20070808,12540.0,12640.0,12540.0,12580.0,2124,3024,0.0,L0
20070809,12575.0,12795.0,12560.0,12770.0,4630,4452,0.0,L0
20070810,12710.0,12850.0,12620.0,12700.0,8224,4708,0.0,L0
20070813,12745.0,12780.0,12660.0,12685.0,2740,4122,0.0,L0
20070814,12665.0,12680.0,12525.0,12530.0,3116,3854,0.0,L0
20070815,12530.0,12600.0,12520.0,12565.0,2166,3908,0.0,L0
20070816,12595.0,12620.0,12510.0,12515.0,2528,3598,0.0,L0
20070817,12480.0,12555.0,12320.0,12495.0,3214,3608,0.0,L0
20070820,12480.0,12555.0,12320.0,12540.0,1294,3578,0.0,L0
20070821,12480.0,12520.0,12455.0,12485.0,1562,234,0.0,L0
20070822,12500.0,12510.0,12465.0,12510.0,1660,234,0.0,L0
20070823,12520.0,12595.0,12520.0,12585.0,1528,304,0.0,L0
20070824,12550.0,12565.0,12450.0,12555.0,1154,254,0.0,L0
20070827,12525.0,12525.0,12450.0,12455.0,1808,3500,0.0,L0
20070828,12510.0,12510.0,12400.0,12440.0,1688,380,0.0,L0
20070829,12430.0,12430.0,12385.0,12400.0,1706,388,0.0,L0
20070830,12480.0,12480.0,12345.0,12360.0,2076,3840,0.0,L0
20070831,12360.0,12410.0,12335.0,12405.0,2494,674,0.0,L0
20070903,12420.0,12480.0,12395.0,12455.0,1988,780,0.0,L0
20070904,12425.0,12495.0,12390.0,12420.0,2728,932,0.0,L0
20070905,12450.0,12450.0,12390.0,12405.0,2294,1050,0.0,L0
20070906,12430.0,12500.0,12420.0,12475.0,2938,1110,0.0,L0
