date,open,high,low,close,volume,symbol
20230721,238900.0,238900.0,214150.0,215100.0,59519,LC0
20230724,214500.0,214700.0,209000.0,211400.0,40662,LC0
20230725,211000.0,225900.0,211000.0,225900.0,61787,LC0
20230726,226100.0,240450.0,223050.0,227800.0,95688,LC0
20230727,234000.0,234100.0,223000.0,224900.0,44923,LC0
20230728,223800.0,230450.0,222050.0,227900.0,42934,LC0
20230731,228300.0,232850.0,227850.0,228050.0,33526,LC0
20230801,229000.0,230000.0,225700.0,228400.0,20971,LC0
20230802,228450.0,230350.0,227950.0,228550.0,16109,LC0
20230803,226000.0,230050.0,224600.0,229650.0,19658,LC0
20230804,231000.0,232600.0,228400.0,228950.0,12850,LC0
20230807,227500.0,228800.0,219500.0,219800.0,29799,LC0
20230808,219200.0,221450.0,216300.0,217000.0,30145,LC0
20230809,217450.0,218200.0,215200.0,217800.0,25550,LC0
20230810,217450.0,219000.0,210050.0,210500.0,32365,LC0
20230811,210000.0,211700.0,205300.0,208800.0,51821,LC0
20230814,207200.0,207500.0,196750.0,196750.0,51678,LC0
20230815,196000.0,198050.0,193400.0,194500.0,78365,LC0
20230816,194000.0,200300.0,192050.0,196250.0,76180,LC0
20230817,196000.0,198350.0,192250.0,194000.0,67975,LC0
20230818,195200.0,197700.0,194600.0,195750.0,42991,LC0
20230821,198000.0,203500.0,196200.0,201150.0,58940,LC0
20230822,201200.0,204350.0,197100.0,198300.0,54479,LC0
20230823,198300.0,200200.0,195600.0,200000.0,40847,LC0
20230824,200500.0,203000.0,197300.0,199450.0,36416,LC0
20230825,199700.0,200950.0,194200.0,194250.0,37956,LC0
20230828,195500.0,197900.0,183450.0,185500.0,82851,LC0
20230829,185200.0,188700.0,180700.0,186350.0,76982,LC0
20230830,188100.0,188800.0,184600.0,186100.0,59287,LC0
20230831,186800.0,187200.0,180850.0,186850.0,77568,LC0
20230901,187900.0,190650.0,185300.0,186750.0,75908,LC0
20230904,187700.0,191900.0,187150.0,189900.0,65613,LC0
20230905,191350.0,193900.0,188700.0,190450.0,65380,LC0
20230906,191000.0,192450.0,189500.0,190550.0,44433,LC0
20230907,190000.0,190100.0,183250.0,184700.0,61590,LC0
20230908,183200.0,184100.0,175550.0,176500.0,112910,LC0
20230911,176900.0,179500.0,170750.0,178650.0,83768,LC0
20230912,178850.0,181850.0,176950.0,177750.0,86982,LC0
20230913,177000.0,179250.0,174900.0,176050.0,73753,LC0
20230914,175200.0,176100.0,169150.0,169150.0,127527,LC0
20230915,170500.0,171300.0,167000.0,170100.0,112996,LC0
20230918,169500.0,171000.0,166400.0,167150.0,81843,LC0
20230919,166400.0,167250.0,158900.0,159400.0,129369,LC0
20230920,158450.0,159700.0,153100.0,154150.0,204819,LC0
20230921,153600.0,160500.0,153100.0,159950.0,220010,LC0
20230922,160000.0,161950.0,154650.0,156150.0,251819,LC0
20230925,156000.0,160500.0,155750.0,158750.0,193857,LC0
20230926,158000.0,158300.0,149100.0,149100.0,268584,LC0
20230927,149000.0,151900.0,145000.0,148450.0,322018,LC0
20230928,150000.0,152500.0,147750.0,150000.0,197277,LC0
20231009,150000.0,153300.0,148500.0,151900.0,111723,LC0
20231010,152600.0,155300.0,150800.0,151900.0,182713,LC0
20231011,152900.0,156000.0,152350.0,155900.0,150353,LC0
20231012,157100.0,164950.0,156350.0,164950.0,221805,LC0
20231013,167500.0,171000.0,166000.0,170250.0,284415,LC0
20231016,171150.0,175050.0,164800.0,168900.0,374351,LC0
20231017,168650.0,171500.0,165450.0,169150.0,291639,LC0
20231018,170150.0,171550.0,165500.0,165900.0,265336,LC0
20231019,164750.0,167050.0,157050.0,159450.0,319221,LC0
20231020,157000.0,160150.0,151700.0,151950.0,368332,LC0
20231023,152000.0,152600.0,148150.0,150800.0,360929,LC0
20231024,151000.0,155100.0,150500.0,155000.0,276247,LC0
20231025,156700.0,158150.0,150700.0,150950.0,369871,LC0
20231026,150350.0,152600.0,148000.0,151150.0,371132,LC0
20231027,151500.0,154450.0,149150.0,154050.0,381808,LC0
20231030,154500.0,157450.0,152500.0,156850.0,327453,LC0
20231031,155900.0,157700.0,151950.0,153750.0,399767,LC0
20231101,153450.0,156150.0,152800.0,154000.0,359456,LC0
20231102,153500.0,155300.0,151900.0,152400.0,262319,LC0
20231103,153250.0,154400.0,150500.0,151400.0,251158,LC0
20231106,150000.0,151500.0,146900.0,147150.0,272841,LC0
20231107,146350.0,147150.0,141200.0,142550.0,349335,LC0
20231108,141900.0,146300.0,138300.0,145350.0,584632,LC0
20231109,145300.0,146750.0,142800.0,144150.0,323961,LC0
20231110,144600.0,149750.0,143200.0,148900.0,374012,LC0
20231113,149800.0,151400.0,141600.0,141650.0,382878,LC0
20231114,141150.0,145350.0,140800.0,142550.0,367056,LC0
20231115,144000.0,144450.0,141500.0,142600.0,269895,LC0
20231116,142500.0,142700.0,140450.0,140900.0,234117,LC0
20231117,139500.0,140350.0,137450.0,138000.0,260604,LC0
20231120,138000.0,141300.0,136350.0,137200.0,243089,LC0
20231121,137900.0,138400.0,131050.0,132300.0,342947,LC0
20231122,132300.0,132800.0,124700.0,124700.0,531176,LC0
20231123,124400.0,125450.0,120400.0,124800.0,581867,LC0
20231124,125050.0,128450.0,122800.0,124050.0,699474,LC0
20231127,123000.0,123400.0,116650.0,116650.0,532016,LC0
20231128,114000.0,117600.0,111800.0,113200.0,569530,LC0
20231129,113200.0,116450.0,108700.0,109850.0,760339,LC0
20231130,110000.0,111350.0,106200.0,106200.0,579007,LC0
20231201,106700.0,107100.0,101500.0,101750.0,754802,LC0
20231204,101550.0,104500.0,96350.0,96350.0,852642,LC0
20231205,96000.0,97600.0,93050.0,93050.0,409856,LC0
20231206,89900.0,93900.0,85650.0,92450.0,678617,LC0
20231207,93300.0,95600.0,91600.0,95600.0,195285,LC0
20231208,101700.0,102300.0,100000.0,102300.0,35683,LC0
20231211,113650.0,113800.0,95600.0,96800.0,802428,LC0
20231212,96000.0,97000.0,91700.0,93100.0,674146,LC0
20231213,92200.0,103550.0,90200.0,103550.0,741029,LC0
20231214,104600.0,105450.0,93650.0,102550.0,888872,LC0
20231215,102000.0,107950.0,100500.0,104600.0,547769,LC0
20231218,104200.0,108150.0,100100.0,102750.0,491689,LC0
20231219,102000.0,103900.0,100800.0,101900.0,261562,LC0
20231220,101900.0,103500.0,100300.0,100800.0,166175,LC0
20231221,100000.0,101850.0,95250.0,97600.0,322718,LC0
20231222,97150.0,103650.0,96200.0,100800.0,313308,LC0
20231225,100500.0,103950.0,100150.0,102850.0,157805,LC0
20231226,102800.0,108100.0,102500.0,107100.0,260868,LC0
20231227,107000.0,109450.0,103500.0,105700.0,264253,LC0
20231228,105600.0,107350.0,104350.0,106550.0,153833,LC0
20231229,106000.0,109100.0,104350.0,107700.0,197334,LC0
20240102,107700.0,110300.0,106200.0,108350.0,143702,LC0
20240103,108200.0,109200.0,106000.0,106600.0,129883,LC0
20240104,106500.0,107150.0,100400.0,100450.0,194855,LC0
20240105,100000.0,100000.0,97500.0,98650.0,182344,LC0
20240108,98000.0,100500.0,96300.0,97200.0,146847,LC0
20240109,97000.0,100500.0,95500.0,98950.0,203361,LC0
20240110,98500.0,99800.0,97100.0,97900.0,107149,LC0
20240111,98400.0,105000.0,98350.0,104700.0,214428,LC0
20240112,104700.0,105300.0,102300.0,102850.0,142605,LC0
20240115,102000.0,103350.0,100700.0,101950.0,103038,LC0
20240116,102000.0,104500.0,102000.0,104150.0,109517,LC0
20240117,104900.0,106000.0,100950.0,101750.0,131788,LC0
