date,open,high,low,close,volume,open_interest,settle,symbol
20210108,29500.0,30680.0,26385.0,26805.0,91045,14988,28290.0,LH0
20210111,26225.0,26720.0,26030.0,26030.0,23026,17600,26260.0,LH0
20210112,25760.0,26210.0,25205.0,25560.0,39402,17194,25795.0,LH0
20210113,25830.0,26350.0,25715.0,25855.0,16468,17052,25985.0,LH0
20210114,25805.0,26155.0,24860.0,24890.0,24216,18719,25475.0,LH0
20210115,25155.0,25155.0,24460.0,24725.0,20257,18594,24825.0,LH0
20210118,24825.0,25780.0,24805.0,25140.0,19853,18536,25320.0,LH0
20210119,25185.0,25390.0,24880.0,25025.0,8816,17800,25065.0,LH0
20210120,25005.0,25090.0,24500.0,24910.0,7832,17573,24870.0,LH0
20210121,24910.0,25185.0,24800.0,24870.0,6694,17278,25010.0,LH0
20210122,24860.0,25045.0,24530.0,24570.0,8145,17413,24770.0,LH0
20210125,24510.0,25300.0,24510.0,24930.0,10872,16900,24970.0,LH0
20210126,25100.0,25770.0,24925.0,25555.0,17784,17980,25390.0,LH0
20210127,25610.0,25645.0,25200.0,25275.0,8352,17942,25385.0,LH0
20210128,25150.0,25535.0,25020.0,25190.0,8710,17581,25310.0,LH0
20210129,25295.0,25620.0,25280.0,25570.0,8596,17760,25470.0,LH0
20210201,25600.0,25970.0,25420.0,25685.0,6161,18539,25640.0,LH0
20210202,25700.0,26040.0,25300.0,25380.0,11849,18831,25720.0,LH0
20210203,25300.0,25555.0,25210.0,25315.0,7046,18399,25355.0,LH0
20210204,25325.0,25485.0,25250.0,25445.0,4078,18364,25380.0,LH0
20210205,25500.0,26175.0,25500.0,26170.0,8802,19213,25845.0,LH0
20210208,26225.0,27400.0,26225.0,26900.0,13460,19705,26880.0,LH0
20210209,26900.0,27110.0,26400.0,26845.0,6343,19375,26805.0,LH0
20210210,26845.0,26870.0,26500.0,26705.0,4436,19412,26665.0,LH0
20210218,27000.0,27100.0,26525.0,27000.0,5803,20245,26830.0,LH0
20210219,27100.0,28390.0,27055.0,28330.0,16334,21176,27910.0,LH0
20210222,28350.0,29430.0,28115.0,29380.0,15830,18856,28755.0,LH0
20210223,29350.0,29380.0,28050.0,28980.0,16187,16552,28635.0,LH0
20210224,29600.0,29805.0,28600.0,28900.0,10008,15697,28985.0,LH0
