date,open,high,low,close,volume,open_interest,settle,symbol
20140708,2760.0,2816.0,2760.0,2813.0,25016,9500,2802.0,LR0
20140709,2820.0,2824.0,2799.0,2804.0,9050,10854,2807.0,LR0
20140710,2805.0,2810.0,2795.0,2804.0,2190,10614,2802.0,LR0
20140711,2805.0,2845.0,2804.0,2828.0,4068,10322,2822.0,LR0
20140714,2828.0,2839.0,2818.0,2830.0,1684,10136,2829.0,LR0
20140715,2833.0,2837.0,2826.0,2831.0,1362,9826,2832.0,LR0
20140716,2833.0,2833.0,2816.0,2828.0,982,9674,2827.0,LR0
20140717,2823.0,2833.0,2806.0,2815.0,1066,9780,2815.0,LR0
20140718,2811.0,2824.0,2806.0,2816.0,1312,9340,2814.0,LR0
20140721,2808.0,2822.0,2808.0,2819.0,468,9296,2819.0,LR0
20140722,2817.0,2829.0,2815.0,2823.0,736,9470,2820.0,LR0
20140723,2823.0,2829.0,2815.0,2820.0,522,9608,2818.0,LR0
20140724,2822.0,2845.0,2815.0,2839.0,2248,10356,2835.0,LR0
20140725,2836.0,2874.0,2835.0,2872.0,3078,11874,2852.0,LR0
20140728,2865.0,2878.0,2857.0,2878.0,2592,12422,2870.0,LR0
20140729,2880.0,2904.0,2875.0,2887.0,5172,12850,2891.0,LR0
20140730,2886.0,2890.0,2876.0,2881.0,2152,12774,2884.0,LR0
20140731,2880.0,2885.0,2867.0,2872.0,2264,12478,2875.0,LR0
20140801,2875.0,2875.0,2861.0,2864.0,1212,12660,2865.0,LR0
20140804,2868.0,2878.0,2851.0,2855.0,1524,12884,2865.0,LR0
20140805,2857.0,2859.0,2845.0,2846.0,1030,12978,2851.0,LR0
20140806,2848.0,2859.0,2843.0,2850.0,1364,12772,2849.0,LR0
20140807,2852.0,2858.0,2835.0,2840.0,1410,12464,2850.0,LR0
20140808,2841.0,2851.0,2836.0,2846.0,1196,11816,2844.0,LR0
20140811,2850.0,2875.0,2843.0,2855.0,1078,11694,2856.0,LR0
20140812,2856.0,2867.0,2851.0,2857.0,1482,11274,2861.0,LR0
20140813,2858.0,2875.0,2857.0,2863.0,1174,11336,2868.0,LR0
20140814,2859.0,2859.0,2842.0,2851.0,1228,10812,2851.0,LR0
20140815,2852.0,2861.0,2843.0,2857.0,1072,10172,2853.0,LR0
20140818,2879.0,2881.0,2843.0,2848.0,526,10200,2858.0,LR0
20140819,2842.0,2850.0,2826.0,2836.0,610,10060,2838.0,LR0
