date,open,high,low,close,volume,open_interest,settle,symbol
20200622,2570.0,2763.0,2570.0,2599.0,130439,24859,2638.0,LU0
20200623,2611.0,2679.0,2602.0,2649.0,144505,33377,2650.0,LU0
20200624,2660.0,2672.0,2588.0,2603.0,79323,34207,2628.0,LU0
20200629,2577.0,2577.0,2486.0,2514.0,63816,42496,2518.0,LU0
20200630,2540.0,2568.0,2522.0,2534.0,42512,40329,2542.0,LU0
20200701,2526.0,2568.0,2516.0,2553.0,28865,39329,2542.0,LU0
20200702,2526.0,2575.0,2526.0,2553.0,39078,41683,2551.0,LU0
20200703,2560.0,2613.0,2560.0,2589.0,43286,39595,2587.0,LU0
20200706,2576.0,2612.0,2565.0,2601.0,30837,37478,2590.0,LU0
20200707,2600.0,2609.0,2555.0,2574.0,26882,37095,2578.0,LU0
20200708,2575.0,2591.0,2564.0,2570.0,13873,37052,2577.0,LU0
20200709,2579.0,2583.0,2533.0,2563.0,14556,36747,2567.0,LU0
20200710,2568.0,2575.0,2480.0,2493.0,21575,37502,2524.0,LU0
20200713,2511.0,2557.0,2507.0,2542.0,15256,36363,2534.0,LU0
20200714,2549.0,2560.0,2485.0,2519.0,18192,38243,2521.0,LU0
20200715,2518.0,2539.0,2506.0,2520.0,13821,38565,2524.0,LU0
20200716,2529.0,2540.0,2503.0,2510.0,16460,38007,2518.0,LU0
20200717,2510.0,2535.0,2484.0,2491.0,19137,38953,2507.0,LU0
20200720,2485.0,2518.0,2436.0,2452.0,29044,39974,2467.0,LU0
20200721,2456.0,2487.0,2436.0,2487.0,18480,37574,2464.0,LU0
20200722,2530.0,2598.0,2516.0,2528.0,37610,36752,2550.0,LU0
20200723,2526.0,2588.0,2514.0,2588.0,16297,36810,2545.0,LU0
20200724,2568.0,2573.0,2486.0,2506.0,30403,38900,2530.0,LU0
20200727,2518.0,2521.0,2484.0,2486.0,22374,44380,2503.0,LU0
20200728,2495.0,2510.0,2462.0,2492.0,29191,50929,2487.0,LU0
20200729,2485.0,2513.0,2477.0,2508.0,18850,54852,2496.0,LU0
20200730,2511.0,2522.0,2485.0,2495.0,17204,56772,2506.0,LU0
20200731,2490.0,2490.0,2389.0,2430.0,61131,69468,2432.0,LU0
20200803,2431.0,2434.0,2400.0,2405.0,27686,71978,2413.0,LU0
20200804,2410.0,2456.0,2410.0,2431.0,22390,73181,2432.0,LU0
20200805,2420.0,2470.0,2411.0,2462.0,29183,70883,2443.0,LU0
20200806,2488.0,2529.0,2450.0,2472.0,47177,66133,2486.0,LU0
20200807,2480.0,2487.0,2450.0,2452.0,23361,66350,2469.0,LU0
20200810,2450.0,2480.0,2442.0,2478.0,22114,66941,2461.0,LU0
20200811,2476.0,2493.0,2430.0,2443.0,30775,68826,2467.0,LU0
20200812,2457.0,2494.0,2417.0,2492.0,45873,67059,2455.0,LU0
20200813,2500.0,2510.0,2460.0,2461.0,24148,65644,2480.0,LU0
20200814,2465.0,2478.0,2439.0,2450.0,27603,66777,2460.0,LU0
20200817,2445.0,2460.0,2442.0,2450.0,18914,67487,2452.0,LU0
20200818,2445.0,2487.0,2440.0,2456.0,28713,68463,2464.0,LU0
20200819,2464.0,2475.0,2452.0,2460.0,23825,66697,2463.0,LU0
20200820,2450.0,2501.0,2450.0,2490.0,43268,68225,2473.0,LU0
20200821,2494.0,2541.0,2457.0,2496.0,61106,72124,2501.0,LU0
20200824,2490.0,2501.0,2454.0,2464.0,52035,75509,2474.0,LU0
20200825,2468.0,2499.0,2468.0,2496.0,36139,72956,2482.0,LU0
20200826,2505.0,2564.0,2501.0,2532.0,46750,74683,2535.0,LU0
20200827,2535.0,2538.0,2503.0,2512.0,24264,76132,2516.0,LU0
20200828,2512.0,2513.0,2470.0,2475.0,35575,81171,2485.0,LU0
20200831,2477.0,2506.0,2475.0,2491.0,32477,79249,2490.0,LU0
20200901,2495.0,2498.0,2461.0,2477.0,28306,82970,2477.0,LU0
20200902,2474.0,2510.0,2471.0,2484.0,40039,82980,2490.0,LU0
20200903,2485.0,2489.0,2397.0,2401.0,68673,97450,2434.0,LU0
20200904,2390.0,2390.0,2318.0,2353.0,75683,103697,2358.0,LU0
20200907,2349.0,2370.0,2281.0,2293.0,76611,112806,2323.0,LU0
20200908,2290.0,2315.0,2279.0,2288.0,37137,113454,2298.0,LU0
20200909,2260.0,2260.0,2160.0,2178.0,86385,110055,2190.0,LU0
20200910,2200.0,2238.0,2193.0,2218.0,45564,108620,2218.0,LU0
20200911,2212.0,2231.0,2195.0,2200.0,34671,110582,2209.0,LU0
20200914,2195.0,2265.0,2183.0,2239.0,52287,108376,2233.0,LU0
20200915,2234.0,2245.0,2218.0,2224.0,34330,110454,2231.0,LU0
20200916,2229.0,2271.0,2223.0,2260.0,49912,110893,2247.0,LU0
20200917,2258.0,2269.0,2210.0,2222.0,44343,113488,2242.0,LU0
20200918,2220.0,2327.0,2220.0,2320.0,83445,105264,2282.0,LU0
20200921,2305.0,2343.0,2287.0,2293.0,59087,110313,2318.0,LU0
20200922,2287.0,2298.0,2173.0,2230.0,86626,106946,2232.0,LU0
20200923,2235.0,2251.0,2209.0,2229.0,45516,103366,2227.0,LU0
20200924,2235.0,2267.0,2222.0,2227.0,54097,94050,2238.0,LU0
20200925,2225.0,2274.0,2220.0,2241.0,45352,85514,2245.0,LU0
20200928,2238.0,2260.0,2230.0,2260.0,33620,75433,2243.0,LU0
20200929,2275.0,2295.0,2250.0,2270.0,26564,72393,2271.0,LU0
20200930,2276.0,2279.0,2192.0,2204.0,38002,75224,2225.0,LU0
20201009,2300.0,2368.0,2262.0,2314.0,28832,70396,2302.0,LU0
20201012,2316.0,2335.0,2293.0,2327.0,42104,74838,2315.0,LU0
20201013,2341.0,2347.0,2294.0,2312.0,31602,78396,2315.0,LU0
20201014,2323.0,2337.0,2284.0,2323.0,30475,78976,2312.0,LU0
20201015,2345.0,2396.0,2330.0,2380.0,59630,83414,2373.0,LU0
20201016,2338.0,2406.0,2328.0,2369.0,49716,89657,2369.0,LU0
20201019,2367.0,2382.0,2353.0,2366.0,31692,89215,2364.0,LU0
20201020,2362.0,2365.0,2302.0,2328.0,45422,86090,2327.0,LU0
20201021,2326.0,2356.0,2310.0,2335.0,30175,84400,2335.0,LU0
20201022,2330.0,2338.0,2266.0,2297.0,40593,85833,2299.0,LU0
20201023,2301.0,2337.0,2295.0,2311.0,26558,83218,2316.0,LU0
20201026,2318.0,2340.0,2227.0,2244.0,45215,83326,2270.0,LU0
20201027,2238.0,2260.0,2234.0,2256.0,30667,81730,2249.0,LU0
20201028,2252.0,2271.0,2217.0,2236.0,39364,82115,2242.0,LU0
20201029,2210.0,2217.0,2155.0,2159.0,46879,83722,2180.0,LU0
20201030,2098.0,2138.0,2005.0,2050.0,91838,80701,2067.0,LU0
20201102,2070.0,2077.0,1970.0,2015.0,56871,78817,2028.0,LU0
20201103,2024.0,2111.0,2024.0,2102.0,52675,74253,2077.0,LU0
20201104,2137.0,2192.0,2127.0,2167.0,69980,68788,2159.0,LU0
20201105,2193.0,2209.0,2147.0,2193.0,47414,64707,2185.0,LU0
20201106,2205.0,2228.0,2139.0,2158.0,42385,63341,2183.0,LU0
