date,open,high,low,close,volume,open_interest,settle,symbol
20141224,1763.0,1874.0,1763.0,1816.0,67948,7744,1801.0,MA0
20141225,2073.0,2093.0,2061.0,2073.0,2001700,390908,2075.0,MA0
20141226,2080.0,2112.0,2077.0,2086.0,1603100,408548,2090.0,MA0
20141229,2089.0,2095.0,2035.0,2050.0,1756700,392466,2057.0,MA0
20141230,2049.0,2088.0,2025.0,2041.0,2042600,390976,2054.0,MA0
20141231,2038.0,2074.0,2036.0,2051.0,1344100,305514,2057.0,MA0
20150105,2030.0,2057.0,2001.0,2007.0,816934,326002,2023.0,MA0
20150106,1990.0,2041.0,1986.0,2022.0,1459904,355152,2013.0,MA0
20150107,2014.0,2053.0,2000.0,2022.0,1956456,365132,2027.0,MA0
20150108,2039.0,2048.0,2023.0,2031.0,1254914,358318,2036.0,MA0
20150109,2036.0,2038.0,2006.0,2017.0,1134404,353614,2024.0,MA0
20150112,2009.0,2022.0,1944.0,1945.0,1922098,496114,1973.0,MA0
20150113,1940.0,1948.0,1897.0,1909.0,1754696,527402,1921.0,MA0
20150114,1902.0,1956.0,1902.0,1922.0,2146990,487640,1928.0,MA0
20150115,1929.0,1967.0,1915.0,1964.0,1804932,460190,1945.0,MA0
20150116,1978.0,2014.0,1940.0,1984.0,3245946,452762,1981.0,MA0
20150119,1986.0,2017.0,1978.0,2006.0,2255154,436364,1998.0,MA0
20150120,2005.0,2012.0,1981.0,2004.0,1538922,449366,1998.0,MA0
20150121,2008.0,2074.0,1992.0,2047.0,2224040,416774,2032.0,MA0
20150122,2040.0,2090.0,2037.0,2052.0,2157772,389602,2062.0,MA0
20150123,2063.0,2077.0,2033.0,2056.0,1699472,387988,2054.0,MA0
20150126,2046.0,2057.0,2003.0,2018.0,1741602,415664,2030.0,MA0
20150127,2029.0,2044.0,2019.0,2031.0,1347004,407420,2031.0,MA0
20150128,2030.0,2087.0,2027.0,2077.0,2328506,545394,2059.0,MA0
20150129,2080.0,2082.0,2052.0,2068.0,1434250,494440,2066.0,MA0
20150130,2065.0,2069.0,2030.0,2037.0,1330872,469004,2047.0,MA0
20150202,2043.0,2110.0,2020.0,2077.0,2024230,485752,2062.0,MA0
20150203,2090.0,2139.0,2078.0,2124.0,3289656,506060,2103.0,MA0
20150204,2136.0,2180.0,2118.0,2131.0,2562368,452604,2141.0,MA0
20150205,2133.0,2142.0,2109.0,2127.0,1856124,443030,2126.0,MA0
20150206,2141.0,2171.0,2136.0,2164.0,2532620,478944,2154.0,MA0
20150209,2157.0,2163.0,2132.0,2143.0,1496256,452588,2149.0,MA0
20150210,2147.0,2158.0,2124.0,2131.0,1338972,443300,2142.0,MA0
20150211,2129.0,2140.0,2116.0,2138.0,1302640,427228,2130.0,MA0
20150212,2135.0,2163.0,2127.0,2163.0,1660278,486702,2141.0,MA0
20150213,2167.0,2227.0,2161.0,2227.0,2582492,481180,2191.0,MA0
20150216,2245.0,2270.0,2222.0,2255.0,1963642,369770,2247.0,MA0
20150217,2254.0,2271.0,2224.0,2245.0,1105950,314954,2246.0,MA0
20150226,2281.0,2348.0,2271.0,2347.0,2685076,588426,2307.0,MA0
20150227,2340.0,2365.0,2321.0,2356.0,3072800,635970,2343.0,MA0
20150302,2356.0,2437.0,2356.0,2437.0,3422588,736474,2405.0,MA0
20150303,2448.0,2537.0,2408.0,2415.0,6061648,598894,2468.0,MA0
20150304,2416.0,2433.0,2371.0,2399.0,5918212,589298,2403.0,MA0
