date,open,close,high,low,volume,symbol
20241225,39168.52,39130.43,39180.59,38927.16,1160690.0,N225
20241224,39210.23,39036.85,39245.75,38995.76,1161620.0,N225
20241223,39040.72,39161.34,39210.17,38847.13,1031500.0,N225
20241220,38950.28,38701.9,39039.68,38701.9,1844520.0,N225
20241219,38522.27,38813.58,38913.07,38355.52,1477480.0,N225
20241218,39176.88,39081.71,39382.69,39081.71,1321670.0,N225
20241217,39589.65,39364.68,39796.22,39364.68,1156640.0,N225
20241216,39551.22,39457.49,39632.17,39371.42,875050.0,N225
20241213,39624.05,39470.44,39734.99,39247.41,1239411.0,N225
20241212,39849.97,39849.14,40091.55,39827.59,1210670.0,N225
20241211,39357.77,39372.23,39401.93,39112.8,1058270.0,N225
20241210,39375.49,39367.58,39465.14,39171.69,1102640.0,N225
20241209,39332.55,39160.5,39332.55,38972.78,1130740.0,N225
20241206,39371.56,39091.17,39468.47,38940.44,1015000.0,N225
20241205,39610.43,39395.6,39632.3,39323.04,1164010.0,N225
20241204,39354.0,39276.39,39417.08,39062.03,1191060.0,N225
20241203,38748.65,39248.86,39427.37,38746.05,1421940.0,N225
20241202,38216.95,38513.02,38552.41,37958.55,1104620.0,N225
20241129,38205.08,38208.03,38270.06,37986.97,1023150.0,N225
20241128,37935.94,38349.06,38478.32,37801.62,1034060.0,N225
20241127,38327.86,38134.97,38332.45,37988.99,1205270.0,N225
20241126,38596.76,38442.0,38596.76,38020.08,1228040.0,N225
20241125,38679.93,38780.14,39053.64,38672.17,1923810.0,N225
20241122,38146.98,38283.85,38420.63,38085.13,1032800.0,N225
20241121,38352.87,38026.17,38374.69,37945.21,1018600.0,N225
20241120,38475.7,38352.34,38520.45,38180.15,1035340.0,N225
20241119,38396.72,38414.43,38560.1,38246.36,1092150.0,N225
20241118,38259.59,38220.85,38548.3,38150.39,1059710.0,N225
20241115,38749.56,38642.91,39101.64,38642.91,1439060.0,N225
20241114,38911.04,38535.7,39084.44,38535.7,1338300.0,N225
20241113,39317.15,38721.66,39377.24,38600.26,1504230.0,N225
