date,open,high,low,close,volume,open_interest,settle,symbol
20150327,101870.0,102700.0,100650.0,101090.0,28852,14370,101180.0,NI0
20150330,99010.0,100000.0,96850.0,98380.0,66682,34188,98397.0,NI0
20150331,98000.0,98200.0,93840.0,95040.0,105600,54888,95950.0,NI0
20150401,93800.0,94130.0,91290.0,92450.0,158924,70960,92880.0,NI0
20150402,92870.0,96600.0,92550.0,96160.0,202848,80724,94320.0,NI0
20150403,95970.0,97800.0,95660.0,97300.0,150282,80998,96530.0,NI0
20150407,97380.0,97980.0,95950.0,96420.0,75688,83542,96790.0,NI0
20150408,94500.0,95630.0,93300.0,93950.0,183088,95102,94450.0,NI0
20150409,94450.0,95260.0,93880.0,94300.0,160974,99084,94508.0,NI0
20150410,94500.0,94970.0,93180.0,94540.0,137720,105628,94080.0,NI0
20150413,94280.0,95670.0,93700.0,95180.0,169538,112774,94688.0,NI0
20150414,94780.0,95070.0,92830.0,93100.0,199144,127690,93743.0,NI0
20150415,92710.0,95000.0,92640.0,94730.0,220106,132258,93970.0,NI0
20150416,94500.0,95900.0,94260.0,95400.0,195920,131624,95093.0,NI0
20150417,96280.0,96660.0,95010.0,95840.0,168678,127292,95907.0,NI0
20150420,95980.0,96550.0,95200.0,95410.0,148104,116410,95910.0,NI0
20150421,96260.0,96390.0,95630.0,95880.0,140930,110552,95912.0,NI0
20150422,95910.0,96720.0,95750.0,96340.0,123898,110514,96260.0,NI0
20150423,96120.0,96500.0,95600.0,95840.0,101064,110648,96146.0,NI0
20150424,95840.0,97890.0,95700.0,97830.0,118180,113816,96660.0,NI0
20150427,98000.0,101490.0,97990.0,101490.0,241858,116332,100093.0,NI0
20150428,102490.0,104530.0,101420.0,102640.0,285686,111940,103114.0,NI0
20150429,102370.0,104400.0,100550.0,101020.0,317634,111334,102440.0,NI0
20150430,101190.0,106980.0,101170.0,105980.0,552304,126094,104075.0,NI0
20150504,105760.0,108500.0,105480.0,107620.0,278828,128716,107009.0,NI0
20150505,107850.0,109230.0,106160.0,107940.0,518260,133632,107997.0,NI0
20150506,110000.0,113380.0,109690.0,113380.0,609024,134182,112101.0,NI0
20150507,114580.0,115300.0,111060.0,112490.0,969004,123704,112960.0,NI0
20150508,113700.0,114100.0,110000.0,112290.0,878412,118554,111819.0,NI0
20150511,111810.0,114430.0,111060.0,113880.0,728054,128054,112550.0,NI0
20150512,113300.0,115060.0,111280.0,111600.0,871656,126540,113273.0,NI0
20150513,112280.0,113650.0,110800.0,111750.0,752614,123868,112190.0,NI0
20150514,112100.0,112100.0,107060.0,109400.0,760542,121384,109780.0,NI0
20150515,108980.0,110950.0,108540.0,110210.0,609290,130696,109450.0,NI0
20150518,109390.0,109690.0,108200.0,108610.0,544094,121292,109160.0,NI0
20150519,108300.0,108890.0,106160.0,106400.0,467078,116362,107730.0,NI0
20150520,105500.0,105990.0,102340.0,102340.0,318956,107676,103570.0,NI0
20150521,100490.0,102550.0,100170.0,101050.0,480180,106174,101477.0,NI0
20150522,100960.0,103370.0,96710.0,100080.0,741830,109810,101640.0,NI0
20150525,98900.0,100580.0,98110.0,99490.0,610232,114898,99660.0,NI0
20150526,99670.0,101900.0,99660.0,100010.0,550278,115194,101060.0,NI0
20150527,99990.0,101180.0,99200.0,100670.0,406046,119562,100471.0,NI0
20150528,97760.0,100100.0,97750.0,99470.0,211688,144198,99149.0,NI0
20150529,99140.0,99670.0,96250.0,97600.0,196282,144476,97980.0,NI0
20150601,97500.0,97800.0,96360.0,96810.0,171826,156872,97110.0,NI0
20150602,97190.0,100500.0,97020.0,100280.0,428588,179364,99080.0,NI0
20150603,100380.0,101100.0,99040.0,99060.0,409252,191776,100236.0,NI0
20150604,99200.0,99940.0,97690.0,98530.0,373052,193200,99001.0,NI0
20150605,98650.0,99480.0,98080.0,98370.0,349638,203506,98825.0,NI0
20150608,98750.0,100600.0,98330.0,100570.0,493720,217446,99400.0,NI0
20150609,100850.0,102150.0,100660.0,100900.0,602550,214596,101451.0,NI0
20150610,101360.0,101770.0,100580.0,101350.0,398426,210390,101256.0,NI0
20150611,101850.0,102200.0,101300.0,101500.0,323762,201518,101690.0,NI0
20150612,101600.0,101640.0,97860.0,98100.0,485194,199814,99699.0,NI0
20150615,98400.0,98880.0,97400.0,97530.0,314750,206642,98180.0,NI0
20150616,97400.0,98050.0,95340.0,95670.0,386062,213938,96960.0,NI0
