date,open,high,low,close,volume,open_interest,settle,symbol
20190812,9805.0,10175.0,9720.0,9820.0,87618,19456,9865.0,NR0
20190813,9780.0,9980.0,9775.0,9855.0,18956,17864,9855.0,NR0
20190814,9840.0,10220.0,9785.0,9995.0,37116,23014,9965.0,NR0
20190815,9935.0,9980.0,9850.0,9865.0,12196,23046,9905.0,NR0
20190816,9860.0,9940.0,9830.0,9875.0,10154,22704,9880.0,NR0
20190819,9885.0,10080.0,9885.0,10030.0,13220,25496,9995.0,NR0
20190820,10030.0,10035.0,9945.0,9975.0,5090,25008,9985.0,NR0
20190821,9960.0,9975.0,9835.0,9890.0,9092,23756,9875.0,NR0
20190822,9890.0,9925.0,9815.0,9910.0,3656,23148,9875.0,NR0
20190823,9860.0,9905.0,9780.0,9815.0,6312,21702,9820.0,NR0
20190826,9840.0,9940.0,9700.0,9915.0,10520,21562,9825.0,NR0
20190827,9915.0,9980.0,9860.0,9900.0,4724,21966,9915.0,NR0
20190828,9930.0,10095.0,9860.0,9970.0,14340,24574,10000.0,NR0
20190829,9965.0,10030.0,9905.0,9940.0,4078,24906,9965.0,NR0
20190830,9925.0,10080.0,9925.0,10065.0,7310,24738,10010.0,NR0
20190902,10080.0,10195.0,10000.0,10045.0,12106,24118,10075.0,NR0
20190903,10025.0,10135.0,10010.0,10135.0,5134,24496,10070.0,NR0
20190904,10110.0,10475.0,9900.0,10395.0,19446,26182,10290.0,NR0
20190905,10405.0,10455.0,10210.0,10310.0,7412,26610,10345.0,NR0
20190906,10325.0,10400.0,10160.0,10190.0,10156,26616,10300.0,NR0
20190909,10195.0,10300.0,10115.0,10265.0,4602,27004,10225.0,NR0
20190910,10280.0,10315.0,10155.0,10270.0,4564,26836,10235.0,NR0
20190911,10260.0,10270.0,10155.0,10220.0,4804,27036,10215.0,NR0
20190912,10190.0,10250.0,10120.0,10145.0,4114,27040,10175.0,NR0
20190916,10225.0,10380.0,10200.0,10255.0,5002,26750,10275.0,NR0
20190917,10275.0,10415.0,10210.0,10255.0,6162,26992,10310.0,NR0
20190918,10250.0,10260.0,10050.0,10145.0,7318,25388,10175.0,NR0
20190919,10145.0,10195.0,10080.0,10105.0,2876,25004,10145.0,NR0
20190920,10075.0,10120.0,10025.0,10100.0,4506,24098,10070.0,NR0
20190923,10100.0,10265.0,10085.0,10210.0,5534,24518,10185.0,NR0
20190924,10210.0,10240.0,10100.0,10100.0,2152,24042,10170.0,NR0
20190925,10105.0,10125.0,10000.0,10025.0,6794,22248,10050.0,NR0
20190926,9995.0,10060.0,9910.0,9910.0,5566,21898,9980.0,NR0
20190927,9910.0,9930.0,9700.0,9785.0,12902,20932,9795.0,NR0
20190930,9785.0,9875.0,9740.0,9745.0,4236,20640,9790.0,NR0
20191008,9725.0,9850.0,9600.0,9680.0,5480,21442,9700.0,NR0
20191009,9665.0,9790.0,9665.0,9770.0,5090,22276,9750.0,NR0
20191010,9780.0,9880.0,9700.0,9860.0,5286,22172,9780.0,NR0
20191011,9850.0,9865.0,9780.0,9860.0,6704,22838,9820.0,NR0
20191014,9845.0,9990.0,9795.0,9975.0,5584,22852,9905.0,NR0
20191015,9975.0,9975.0,9810.0,9820.0,3318,23266,9870.0,NR0
20191016,9815.0,9920.0,9790.0,9820.0,4328,23992,9845.0,NR0
20191017,9850.0,9950.0,9810.0,9845.0,4304,24004,9880.0,NR0
20191018,9850.0,10070.0,9850.0,9980.0,5990,24530,9960.0,NR0
20191021,9985.0,10010.0,9905.0,9960.0,3128,24534,9955.0,NR0
20191022,9955.0,10145.0,9945.0,10020.0,12028,26996,10050.0,NR0
20191023,10020.0,10150.0,9975.0,10015.0,8186,27670,10055.0,NR0
20191024,9970.0,10035.0,9920.0,9990.0,4458,27996,9985.0,NR0
20191025,9990.0,10040.0,9930.0,9985.0,4346,28322,9980.0,NR0
20191028,9970.0,10085.0,9850.0,9920.0,6874,28066,9960.0,NR0
20191029,10045.0,10100.0,10020.0,10070.0,3674,13778,10055.0,NR0
20191030,10065.0,10235.0,10065.0,10215.0,6582,15798,10165.0,NR0
20191031,10060.0,10165.0,10025.0,10075.0,9862,29554,10070.0,NR0
20191101,10010.0,10080.0,9930.0,10040.0,5722,29336,9995.0,NR0
20191104,10135.0,10140.0,10040.0,10075.0,4628,18034,10090.0,NR0
20191105,10155.0,10380.0,10155.0,10380.0,4966,14526,10270.0,NR0
20191106,10230.0,10260.0,10125.0,10165.0,5204,29898,10170.0,NR0
20191107,10155.0,10240.0,10060.0,10130.0,8390,30122,10165.0,NR0
20191108,10095.0,10220.0,10045.0,10165.0,11496,30466,10135.0,NR0
20191111,10050.0,10235.0,10050.0,10120.0,6958,30384,10155.0,NR0
20191112,10125.0,10325.0,10050.0,10310.0,10568,31088,10190.0,NR0
20191113,10295.0,10325.0,10180.0,10225.0,8876,30210,10260.0,NR0
20191114,10225.0,10385.0,10180.0,10360.0,6590,30476,10315.0,NR0
20191115,10450.0,10485.0,10115.0,10120.0,9222,33344,10345.0,NR0
20191118,10100.0,10420.0,10100.0,10385.0,9330,34596,10315.0,NR0
20191119,10430.0,10430.0,10295.0,10360.0,12014,33442,10355.0,NR0
20191120,10305.0,10850.0,10305.0,10780.0,22726,35834,10640.0,NR0
20191121,10750.0,10845.0,10670.0,10785.0,26196,38676,10765.0,NR0
20191122,10785.0,11105.0,10770.0,10845.0,34774,37828,10905.0,NR0
20191125,10850.0,11640.0,10160.0,10970.0,34552,37050,10975.0,NR0
20191126,11000.0,11035.0,10690.0,10825.0,28916,43866,10895.0,NR0
20191127,10800.0,10945.0,10735.0,10790.0,26362,45702,10840.0,NR0
20191128,10710.0,10850.0,10710.0,10785.0,17822,46798,10795.0,NR0
20191129,10785.0,10790.0,10625.0,10650.0,17468,47992,10700.0,NR0
20191202,10565.0,10825.0,10565.0,10690.0,15132,48752,10710.0,NR0
20191203,10695.0,10865.0,10600.0,10810.0,15748,49940,10740.0,NR0
20191204,10800.0,10920.0,10695.0,10905.0,15450,50610,10800.0,NR0
20191205,10895.0,11285.0,10850.0,11185.0,33314,52340,11045.0,NR0
20191206,11120.0,11345.0,11120.0,11325.0,29194,55236,11255.0,NR0
20191209,11355.0,11465.0,11150.0,11230.0,24834,53092,11305.0,NR0
20191210,11165.0,11390.0,11165.0,11245.0,24012,53134,11285.0,NR0
20191211,11285.0,11320.0,11065.0,11315.0,18866,53128,11230.0,NR0
20191212,11315.0,11350.0,11195.0,11290.0,17090,52812,11270.0,NR0
20191213,11260.0,11450.0,11050.0,11090.0,35370,51170,11285.0,NR0
20191216,11110.0,11155.0,10970.0,11010.0,26964,50374,11045.0,NR0
20191217,11020.0,11210.0,11000.0,11165.0,17310,50602,11125.0,NR0
20191218,11215.0,11215.0,10960.0,10970.0,13640,50546,11090.0,NR0
20191219,10995.0,11020.0,10660.0,10760.0,22274,49308,10810.0,NR0
20191220,10700.0,10890.0,10700.0,10815.0,14184,48734,10805.0,NR0
20191223,10815.0,10855.0,10660.0,10705.0,20122,46022,10750.0,NR0
20191224,10680.0,10820.0,10670.0,10780.0,9566,45194,10750.0,NR0
20191225,10820.0,10855.0,10745.0,10775.0,14856,45590,10780.0,NR0
20191226,10780.0,10780.0,10580.0,10740.0,18270,41268,10725.0,NR0
20191227,10775.0,10830.0,10725.0,10780.0,13378,37792,10770.0,NR0
20191230,10745.0,10975.0,10720.0,10810.0,15472,36236,10840.0,NR0
20191231,10780.0,10885.0,10745.0,10790.0,6646,35592,10815.0,NR0
20200102,10900.0,11030.0,10655.0,10680.0,7482,15742,10835.0,NR0
20200103,10635.0,10810.0,10635.0,10705.0,5463,16162,10730.0,NR0
20200106,10715.0,10995.0,10680.0,10980.0,10030,17386,10895.0,NR0
20200107,10975.0,11040.0,10880.0,11015.0,9886,18065,10950.0,NR0
20200108,11035.0,11105.0,10920.0,11080.0,11188,18271,11030.0,NR0
20200109,11060.0,11095.0,10825.0,10850.0,11420,18004,10965.0,NR0
20200110,10850.0,10970.0,10845.0,10935.0,6053,18526,10895.0,NR0
20200113,10940.0,11190.0,10910.0,11160.0,11816,19263,11105.0,NR0
20200114,11195.0,11210.0,10925.0,11045.0,12659,19729,11090.0,NR0
20200115,11045.0,11130.0,10905.0,11050.0,13306,19684,11010.0,NR0
20200116,11085.0,11085.0,10910.0,11010.0,10128,19150,11000.0,NR0
20200117,11015.0,11195.0,10900.0,10980.0,15098,19555,11060.0,NR0
20200120,10970.0,11040.0,10795.0,10815.0,12602,19348,10875.0,NR0
20200121,10755.0,10875.0,10500.0,10560.0,14979,18146,10685.0,NR0
20200122,10560.0,10630.0,10055.0,10360.0,17834,16307,10355.0,NR0
