date,open,high,low,close,volume,open_interest,settle,symbol
20070608,10380.0,10500.0,8932.0,8940.0,119364,19378,0.0,OI0
20070611,8910.0,8988.0,8768.0,8768.0,50066,25142,0.0,OI0
20070612,8716.0,8750.0,8582.0,8666.0,85460,30072,0.0,OI0
20070613,8700.0,8770.0,8450.0,8502.0,130864,37664,0.0,OI0
20070614,8580.0,8618.0,8512.0,8566.0,107510,32860,0.0,OI0
20070615,8600.0,8646.0,8558.0,8612.0,69794,30440,0.0,OI0
20070618,8748.0,8768.0,8670.0,8748.0,50606,29812,0.0,OI0
20070619,8702.0,8708.0,8618.0,8652.0,36790,26880,0.0,OI0
20070620,8516.0,8604.0,8516.0,8592.0,19162,26424,0.0,OI0
20070621,8592.0,8628.0,8572.0,8586.0,9266,26122,0.0,OI0
20070622,8538.0,8568.0,8520.0,8562.0,10642,26482,0.0,OI0
20070625,8526.0,8586.0,8520.0,8576.0,11320,25862,0.0,OI0
20070626,8580.0,8598.0,8504.0,8524.0,14186,25062,0.0,OI0
20070627,8532.0,8548.0,8342.0,8416.0,44758,29584,0.0,OI0
20070628,8406.0,8466.0,8406.0,8458.0,17314,25252,0.0,OI0
20070629,8510.0,8592.0,8462.0,8578.0,21842,21300,0.0,OI0
20070702,8700.0,8886.0,8576.0,8774.0,49022,15580,0.0,OI0
20070703,8770.0,8770.0,8720.0,8726.0,13666,13374,0.0,OI0
20070704,8672.0,8770.0,8650.0,8762.0,15392,14414,0.0,OI0
20070705,8768.0,8820.0,8738.0,8748.0,19030,13776,0.0,OI0
20070706,8740.0,8836.0,8730.0,8832.0,18358,14132,0.0,OI0
20070709,8828.0,8868.0,8790.0,8804.0,15706,12054,0.0,OI0
20070710,8832.0,8800.0,8736.0,8750.0,9652,10442,0.0,OI0
20070711,8800.0,8850.0,8772.0,8836.0,11604,10370,0.0,OI0
20070712,8830.0,8912.0,8824.0,8896.0,16224,11522,0.0,OI0
20070713,8910.0,8944.0,8854.0,8872.0,9078,10430,0.0,OI0
20070716,8910.0,8944.0,8854.0,8872.0,9078,10430,0.0,OI0
20070718,8910.0,8876.0,8854.0,8870.0,3700,8588,0.0,OI0
20070719,8870.0,8900.0,8834.0,8842.0,2994,8124,0.0,OI0
20070720,8850.0,8898.0,8842.0,8870.0,4076,8120,0.0,OI0
20070723,8820.0,8890.0,8820.0,8860.0,2270,7316,0.0,OI0
20070724,8852.0,8870.0,8840.0,8862.0,1178,7300,0.0,OI0
20070725,8870.0,8890.0,8862.0,8886.0,1086,7050,0.0,OI0
20070726,8898.0,8900.0,8874.0,8900.0,1412,6992,0.0,OI0
20070727,8890.0,9074.0,8888.0,9020.0,9970,10556,0.0,OI0
20070730,9040.0,9248.0,9040.0,9206.0,13580,10602,0.0,OI0
20070731,9250.0,9268.0,9166.0,9188.0,8992,10364,0.0,OI0
20070801,9254.0,9254.0,9122.0,9150.0,3132,9680,0.0,OI0
20070802,9154.0,9218.0,9140.0,9174.0,2094,9344,0.0,OI0
20070803,9166.0,9194.0,9132.0,9140.0,2850,9388,0.0,OI0
20070806,9100.0,9178.0,9100.0,9132.0,3120,9498,0.0,OI0
20070807,9160.0,9186.0,9150.0,9168.0,1016,4108,0.0,OI0
20070808,9168.0,9290.0,9160.0,9290.0,4404,5812,0.0,OI0
20070809,9380.0,9418.0,9318.0,9342.0,6812,7040,0.0,OI0
20070810,9350.0,9364.0,9260.0,9310.0,3728,8474,0.0,OI0
20070813,9312.0,9390.0,9302.0,9368.0,3152,9116,0.0,OI0
20070814,9350.0,9350.0,9280.0,9296.0,4040,9166,0.0,OI0
20070815,9260.0,9260.0,9224.0,9246.0,1994,9316,0.0,OI0
20070816,9212.0,9228.0,9102.0,9124.0,3938,9886,0.0,OI0
20070817,8854.0,9050.0,8832.0,8874.0,6416,10454,0.0,OI0
20070820,8854.0,9092.0,8832.0,9092.0,2386,10828,0.0,OI0
20070821,9246.0,9246.0,9100.0,9162.0,4132,10918,0.0,OI0
20070822,9124.0,9146.0,9048.0,9094.0,3428,11330,0.0,OI0
20070823,9184.0,9200.0,9170.0,9200.0,202,7674,0.0,OI0
20070824,9270.0,9270.0,9152.0,9190.0,108,910,0.0,OI0
20070827,9130.0,9198.0,9120.0,9120.0,1434,11046,0.0,OI0
20070828,9158.0,9160.0,9118.0,9136.0,2222,10520,0.0,OI0
20070829,9100.0,9100.0,8980.0,9002.0,4348,11408,0.0,OI0
20070830,9030.0,9152.0,9030.0,9096.0,3518,11378,0.0,OI0
20070831,9120.0,9226.0,9120.0,9184.0,2610,10912,0.0,OI0
20070903,9170.0,9186.0,9138.0,9144.0,1288,10276,0.0,OI0
20070904,9180.0,9230.0,9104.0,9116.0,1542,9774,0.0,OI0
20070905,9176.0,9188.0,9118.0,9142.0,720,9514,0.0,OI0
20070906,9120.0,9142.0,9102.0,9124.0,524,9410,0.0,OI0
20070907,9096.0,9130.0,9096.0,9118.0,308,9286,0.0,OI0
20070910,9122.0,9330.0,9122.0,9304.0,6016,8070,0.0,OI0
20070911,9340.0,9340.0,9264.0,9268.0,3476,7560,0.0,OI0
20070912,9310.0,9310.0,9242.0,9266.0,1004,7156,0.0,OI0
20070913,9290.0,9330.0,9252.0,9280.0,2644,7042,0.0,OI0
20070914,9290.0,9390.0,9260.0,9328.0,2040,7176,0.0,OI0
20070917,9390.0,9436.0,9336.0,9436.0,3768,7300,0.0,OI0
20070918,9430.0,9480.0,9400.0,9410.0,2552,6824,0.0,OI0
20070919,9200.0,9450.0,9200.0,9400.0,6000,0,0.0,OI0
20070920,9382.0,9390.0,9330.0,9384.0,828,7034,0.0,OI0
20070921,9384.0,9456.0,9370.0,9442.0,1686,7100,0.0,OI0
20070924,9150.0,9410.0,9150.0,9352.0,810,310,0.0,OI0
20070925,9396.0,9450.0,9386.0,9410.0,1204,6890,0.0,OI0
20070926,9388.0,9410.0,9360.0,9386.0,750,6748,0.0,OI0
20070927,9396.0,9406.0,9376.0,9376.0,654,6584,0.0,OI0
20070928,9378.0,9418.0,9378.0,9410.0,584,6594,0.0,OI0
20071008,9300.0,9370.0,9300.0,9348.0,208,6554,0.0,OI0
20071009,9346.0,9404.0,9340.0,9396.0,496,6608,0.0,OI0
20071010,9454.0,9476.0,9414.0,9444.0,824,6824,0.0,OI0
20071011,9496.0,9500.0,9446.0,9494.0,812,7328,0.0,OI0
20071012,9500.0,9500.0,9458.0,9496.0,470,7470,0.0,OI0
20071015,9502.0,9502.0,9470.0,9476.0,340,7516,0.0,OI0
20071016,9488.0,9498.0,9478.0,9492.0,762,7796,0.0,OI0
20071017,9496.0,9496.0,9460.0,9460.0,462,7834,0.0,OI0
20071018,9476.0,9476.0,9440.0,9470.0,162,7810,0.0,OI0
20071019,9490.0,9500.0,9476.0,9496.0,1116,8186,0.0,OI0
