date,open,high,low,close,volume,open_interest,settle,symbol
20110324,19230.0,19570.0,18830.0,18935.0,73440,9696,19095.0,PB0
20110325,18935.0,19135.0,18860.0,18950.0,24858,8494,18995.0,PB0
20110328,18900.0,19035.0,18500.0,18605.0,16960,8262,18775.0,PB0
20110329,18530.0,18735.0,18485.0,18675.0,10618,7968,18635.0,PB0
20110330,18800.0,18850.0,18695.0,18760.0,8086,7320,18755.0,PB0
20110331,18700.0,18720.0,18580.0,18665.0,3056,6776,18650.0,PB0
20110401,18780.0,18780.0,18570.0,18640.0,2550,6716,18665.0,PB0
20110406,18675.0,19360.0,18675.0,19220.0,15400,9362,19080.0,PB0
20110407,19200.0,19300.0,19035.0,19075.0,10426,8644,19135.0,PB0
20110408,19090.0,19235.0,19005.0,19175.0,8434,9388,19145.0,PB0
20110411,19250.0,19440.0,19145.0,19210.0,13938,10242,19285.0,PB0
20110412,19000.0,19125.0,18790.0,18800.0,9256,9154,18955.0,PB0
20110413,18610.0,18745.0,18540.0,18715.0,5566,8776,18645.0,PB0
20110414,18555.0,18690.0,18540.0,18580.0,3846,8574,18605.0,PB0
20110415,18605.0,18780.0,18505.0,18580.0,9992,8818,18650.0,PB0
20110418,18575.0,18650.0,18525.0,18580.0,3334,8898,18585.0,PB0
20110419,18300.0,18350.0,17950.0,17980.0,8390,10212,18150.0,PB0
20110420,18065.0,18180.0,18065.0,18165.0,2930,9508,18120.0,PB0
20110421,18300.0,18300.0,18140.0,18180.0,2504,9250,18200.0,PB0
20110422,18235.0,18235.0,17880.0,17975.0,3420,9506,17980.0,PB0
20110425,17980.0,18050.0,17760.0,17760.0,2102,9514,17855.0,PB0
20110426,17695.0,17695.0,17420.0,17645.0,3506,8968,17540.0,PB0
20110427,17620.0,17790.0,17420.0,17550.0,2974,8776,17645.0,PB0
20110428,17555.0,17850.0,17555.0,17755.0,3278,8592,17745.0,PB0
20110429,17665.0,17725.0,17530.0,17550.0,1548,8520,17600.0,PB0
20110503,17550.0,17650.0,17460.0,17530.0,1902,8712,17545.0,PB0
20110504,17590.0,17595.0,17440.0,17480.0,1140,8546,17500.0,PB0
20110505,17310.0,17310.0,16450.0,16715.0,4070,8648,16980.0,PB0
20110506,16220.0,16440.0,16190.0,16255.0,6540,8950,16300.0,PB0
20110509,16330.0,16640.0,16330.0,16620.0,3246,8668,16520.0,PB0
20110510,16505.0,16710.0,16465.0,16645.0,2760,8604,16560.0,PB0
20110511,16690.0,17200.0,16595.0,16675.0,3638,8608,16750.0,PB0
20110512,16450.0,16500.0,16220.0,16220.0,4424,8802,16350.0,PB0
20110513,16475.0,16740.0,16340.0,16705.0,3836,8680,16575.0,PB0
20110516,16575.0,16655.0,16460.0,16555.0,2872,8702,16560.0,PB0
20110517,16505.0,16610.0,16230.0,16570.0,3932,8828,16485.0,PB0
20110518,16735.0,16855.0,16620.0,16710.0,5218,8574,16715.0,PB0
20110519,17180.0,17180.0,16925.0,16945.0,5540,7866,17025.0,PB0
20110520,16995.0,16995.0,16850.0,16935.0,2392,7918,16920.0,PB0
20110523,17000.0,17075.0,16565.0,16610.0,3602,7766,16770.0,PB0
20110524,16605.0,16800.0,16525.0,16760.0,2604,7484,16685.0,PB0
20110525,16870.0,17095.0,16790.0,17090.0,2734,7434,16915.0,PB0
20110526,17050.0,17230.0,17050.0,17205.0,3132,7458,17150.0,PB0
20110527,17100.0,17340.0,17040.0,17315.0,3580,7628,17190.0,PB0
20110530,17230.0,17370.0,17030.0,17040.0,3134,7512,17170.0,PB0
20110531,17115.0,17180.0,16895.0,17095.0,4284,8092,17010.0,PB0
20110601,17085.0,17085.0,16910.0,16955.0,2536,8330,16980.0,PB0
20110602,16840.0,16900.0,16780.0,16880.0,1984,8168,16835.0,PB0
20110603,16710.0,16980.0,16675.0,16890.0,3534,8576,16860.0,PB0
20110607,16890.0,17165.0,16845.0,17020.0,4518,8284,17015.0,PB0
20110608,17100.0,17180.0,16865.0,17020.0,4038,8218,17050.0,PB0
20110609,17105.0,17130.0,16985.0,16985.0,2072,8150,17060.0,PB0
20110610,17080.0,17150.0,16990.0,17070.0,2912,8436,17080.0,PB0
20110613,16970.0,17025.0,16835.0,16940.0,2656,8510,16950.0,PB0
20110614,16965.0,16975.0,16820.0,16940.0,2002,9046,16900.0,PB0
20110615,17030.0,17070.0,16955.0,16980.0,2338,9406,17010.0,PB0
20110616,16835.0,16870.0,16680.0,16685.0,2810,9388,16785.0,PB0
20110617,16720.0,16780.0,16600.0,16620.0,1886,9396,16690.0,PB0
20110620,16550.0,16630.0,16455.0,16470.0,2086,9610,16525.0,PB0
20110621,16535.0,16890.0,16530.0,16850.0,3464,9034,16720.0,PB0
20110622,16800.0,16850.0,16685.0,16720.0,2178,8880,16765.0,PB0
20110623,16905.0,16910.0,16715.0,16855.0,3360,8810,16810.0,PB0
20110624,16875.0,17045.0,16860.0,17030.0,4180,8816,16985.0,PB0
