date,open,high,low,close,volume,symbol
20200330,2350.0,2438.0,2318.0,2366.0,85116,PG0
20200331,2430.0,2545.0,2404.0,2545.0,89839,PG0
20200401,2547.0,2642.0,2530.0,2624.0,199435,PG0
20200402,2644.0,2779.0,2607.0,2779.0,206057,PG0
20200403,2790.0,2875.0,2732.0,2875.0,323535,PG0
20200407,2920.0,3063.0,2913.0,3019.0,430450,PG0
20200408,2986.0,3014.0,2891.0,2939.0,494076,PG0
20200409,2980.0,3044.0,2964.0,3018.0,457508,PG0
20200410,2930.0,3022.0,2913.0,3021.0,310584,PG0
20200413,3075.0,3178.0,3075.0,3139.0,400984,PG0
20200414,3146.0,3166.0,3087.0,3159.0,327672,PG0
20200415,3116.0,3336.0,3108.0,3243.0,803635,PG0
20200416,3250.0,3312.0,3178.0,3265.0,738801,PG0
20200417,3296.0,3330.0,3128.0,3188.0,727177,PG0
20200420,3088.0,3226.0,3080.0,3221.0,500458,PG0
20200421,3200.0,3266.0,3132.0,3240.0,767821,PG0
20200422,3182.0,3220.0,3065.0,3129.0,995470,PG0
20200423,3169.0,3350.0,3147.0,3350.0,744746,PG0
20200424,3350.0,3423.0,3315.0,3400.0,784376,PG0
20200427,3380.0,3594.0,3369.0,3576.0,887455,PG0
20200428,3553.0,3659.0,3297.0,3357.0,1270395,PG0
20200429,3357.0,3469.0,3269.0,3319.0,949175,PG0
20200430,3360.0,3397.0,3315.0,3394.0,602578,PG0
20200506,3500.0,3524.0,3377.0,3440.0,371491,PG0
20200507,3415.0,3469.0,3389.0,3413.0,414782,PG0
20200508,3448.0,3463.0,3355.0,3454.0,423534,PG0
20200511,3455.0,3507.0,3326.0,3348.0,582185,PG0
20200512,3350.0,3356.0,3272.0,3342.0,472577,PG0
20200513,3353.0,3355.0,3209.0,3224.0,565841,PG0
20200514,3235.0,3273.0,3205.0,3257.0,438676,PG0
20200515,3257.0,3295.0,3226.0,3275.0,338202,PG0
20200518,3274.0,3279.0,3168.0,3230.0,551455,PG0
20200519,3250.0,3375.0,3243.0,3360.0,516544,PG0
20200520,3360.0,3426.0,3342.0,3388.0,348115,PG0
20200521,3399.0,3414.0,3365.0,3383.0,249304,PG0
20200522,3385.0,3433.0,3292.0,3339.0,371833,PG0
20200525,3365.0,3485.0,3356.0,3431.0,402252,PG0
20200526,3421.0,3439.0,3372.0,3406.0,264800,PG0
20200527,3415.0,3433.0,3368.0,3397.0,227595,PG0
20200528,3391.0,3445.0,3374.0,3434.0,209954,PG0
20200529,3445.0,3448.0,3398.0,3438.0,158223,PG0
20200601,3437.0,3537.0,3414.0,3525.0,206962,PG0
20200602,3518.0,3619.0,3517.0,3606.0,279000,PG0
20200603,3600.0,3610.0,3560.0,3592.0,181670,PG0
20200604,3583.0,3584.0,3508.0,3516.0,182757,PG0
20200605,3514.0,3605.0,3513.0,3592.0,185042,PG0
20200608,3635.0,3677.0,3534.0,3549.0,239605,PG0
20200609,3532.0,3598.0,3531.0,3584.0,184452,PG0
20200610,3573.0,3588.0,3535.0,3549.0,139040,PG0
20200611,3549.0,3558.0,3376.0,3406.0,365207,PG0
20200612,3380.0,3395.0,3268.0,3347.0,403620,PG0
20200615,3370.0,3425.0,3313.0,3373.0,293515,PG0
20200616,3354.0,3488.0,3342.0,3461.0,306661,PG0
20200617,3485.0,3516.0,3440.0,3481.0,209142,PG0
20200618,3479.0,3505.0,3453.0,3477.0,166693,PG0
20200619,3482.0,3573.0,3462.0,3559.0,265168,PG0
20200622,3570.0,3588.0,3493.0,3517.0,179948,PG0
20200623,3525.0,3567.0,3501.0,3546.0,146082,PG0
20200624,3551.0,3556.0,3461.0,3523.0,184985,PG0
20200629,3487.0,3506.0,3437.0,3483.0,133792,PG0
20200630,3500.0,3577.0,3497.0,3560.0,191710,PG0
20200701,3551.0,3574.0,3510.0,3542.0,157913,PG0
20200702,3535.0,3621.0,3531.0,3604.0,252522,PG0
20200703,3604.0,3630.0,3577.0,3624.0,145908,PG0
20200706,3615.0,3625.0,3532.0,3573.0,203846,PG0
20200707,3569.0,3625.0,3540.0,3589.0,199384,PG0
20200708,3598.0,3646.0,3567.0,3586.0,217702,PG0
20200709,3589.0,3673.0,3580.0,3667.0,217011,PG0
20200710,3680.0,3687.0,3591.0,3624.0,213464,PG0
20200713,3630.0,3897.0,3621.0,3829.0,427777,PG0
20200714,3824.0,3856.0,3773.0,3843.0,245846,PG0
20200715,3830.0,3918.0,3807.0,3886.0,285840,PG0
20200716,3894.0,3908.0,3836.0,3874.0,207724,PG0
20200717,3875.0,3984.0,3845.0,3865.0,337429,PG0
20200720,3856.0,3895.0,3774.0,3874.0,293971,PG0
20200721,3872.0,4025.0,3865.0,3992.0,288022,PG0
20200722,4007.0,4059.0,3939.0,4015.0,282486,PG0
20200723,4001.0,4024.0,3953.0,4004.0,206739,PG0
20200724,3988.0,3996.0,3910.0,3946.0,233556,PG0
20200727,3965.0,4033.0,3854.0,3919.0,274837,PG0
20200728,3928.0,3962.0,3839.0,3888.0,230121,PG0
20200729,3884.0,3950.0,3856.0,3934.0,196024,PG0
20200730,3910.0,3926.0,3797.0,3838.0,251512,PG0
20200731,3815.0,3884.0,3780.0,3826.0,247733,PG0
20200803,3826.0,3861.0,3760.0,3841.0,213180,PG0
20200804,3848.0,3910.0,3834.0,3856.0,178671,PG0
20200805,3859.0,4022.0,3817.0,3977.0,265247,PG0
20200806,4000.0,4018.0,3952.0,3978.0,154443,PG0
20200807,3998.0,4036.0,3910.0,3948.0,175893,PG0
20200810,3948.0,4038.0,3898.0,3924.0,199815,PG0
20200811,3930.0,3965.0,3861.0,3873.0,181550,PG0
20200812,3890.0,3905.0,3810.0,3894.0,175136,PG0
20200813,3900.0,3930.0,3829.0,3841.0,131466,PG0
20200814,3854.0,3873.0,3814.0,3867.0,102324,PG0
20200817,3875.0,3956.0,3841.0,3862.0,170177,PG0
20200818,3860.0,3899.0,3846.0,3865.0,110915,PG0
20200819,3868.0,3875.0,3790.0,3856.0,179540,PG0
20200820,3838.0,3871.0,3476.0,3584.0,523321,PG0
20200821,3580.0,3636.0,3551.0,3602.0,199550,PG0
20200824,3585.0,3617.0,3565.0,3605.0,114097,PG0
20200825,3600.0,3636.0,3525.0,3611.0,186118,PG0
20200826,3623.0,3629.0,3563.0,3600.0,121763,PG0
20200827,3619.0,3664.0,3579.0,3631.0,153378,PG0
20200828,3632.0,3700.0,3620.0,3685.0,159118,PG0
20200831,3687.0,3764.0,3639.0,3673.0,171096,PG0
20200901,3666.0,3700.0,3622.0,3682.0,118534,PG0
20200902,3689.0,3695.0,3548.0,3583.0,191706,PG0
20200903,3583.0,3609.0,3533.0,3557.0,148772,PG0
20200904,3538.0,3610.0,3514.0,3558.0,141804,PG0
20200907,3560.0,3569.0,3434.0,3533.0,225814,PG0
20200908,3520.0,3563.0,3502.0,3521.0,97966,PG0
20200909,3488.0,3549.0,3401.0,3519.0,252154,PG0
20200910,3525.0,3583.0,3379.0,3422.0,238196,PG0
20200911,3418.0,3460.0,3359.0,3391.0,191266,PG0
20200914,3391.0,3448.0,3374.0,3425.0,120428,PG0
20200915,3425.0,3445.0,3377.0,3402.0,131504,PG0
20200916,3415.0,3477.0,3395.0,3449.0,131822,PG0
20200917,3454.0,3470.0,3405.0,3447.0,134521,PG0
20200918,3455.0,3579.0,3410.0,3566.0,210185,PG0
20200921,3555.0,3596.0,3467.0,3480.0,159932,PG0
20200922,3477.0,3492.0,3333.0,3418.0,163685,PG0
20200923,3421.0,3468.0,3372.0,3434.0,150128,PG0
20200924,3445.0,3498.0,3411.0,3417.0,141736,PG0
20200925,3418.0,3533.0,3390.0,3508.0,128052,PG0
20200928,3521.0,3558.0,3431.0,3446.0,149623,PG0
20200929,3450.0,3474.0,3421.0,3430.0,98218,PG0
20200930,3426.0,3435.0,3347.0,3415.0,123212,PG0
20201009,3495.0,3585.0,3476.0,3560.0,71260,PG0
20201012,3570.0,3725.0,3554.0,3698.0,128194,PG0
