date,open,high,low,close,volume,open_interest,settle,symbol
20210201,9866.0,10630.0,9866.0,10504.0,521558,45054,10346.0,PK0
20210202,10504.0,10754.0,10352.0,10414.0,566353,44592,10566.0,PK0
20210203,10330.0,10396.0,10124.0,10304.0,365639,39129,10264.0,PK0
20210204,10348.0,10416.0,10232.0,10302.0,163381,34081,10308.0,PK0
20210205,10340.0,10400.0,10266.0,10288.0,102226,27237,10326.0,PK0
20210208,10290.0,10466.0,10284.0,10346.0,92351,25857,10386.0,PK0
20210209,10380.0,10444.0,10354.0,10376.0,67913,21307,10394.0,PK0
20210210,10398.0,10424.0,10290.0,10354.0,43182,18297,10352.0,PK0
20210218,10398.0,10498.0,10380.0,10400.0,29513,18231,10426.0,PK0
20210219,10416.0,10422.0,10216.0,10368.0,26687,18047,10332.0,PK0
20210222,10408.0,10732.0,10404.0,10650.0,56427,21270,10540.0,PK0
20210223,10700.0,10966.0,10520.0,10702.0,91217,21664,10836.0,PK0
20210224,10750.0,10798.0,10564.0,10710.0,42202,20897,10702.0,PK0
20210225,10732.0,10920.0,10732.0,10862.0,36914,21839,10854.0,PK0
20210226,10764.0,10860.0,10654.0,10816.0,27362,19360,10774.0,PK0
20210301,10898.0,11288.0,10896.0,11128.0,71843,21879,11144.0,PK0
20210302,11050.0,11210.0,10830.0,10922.0,47500,20169,11024.0,PK0
20210303,10960.0,11018.0,10788.0,10902.0,30513,19245,10892.0,PK0
20210304,10920.0,11022.0,10840.0,10936.0,29730,19203,10942.0,PK0
20210305,10910.0,10940.0,10602.0,10786.0,21467,16699,10792.0,PK0
20210308,11250.0,11300.0,10950.0,11060.0,36395,19003,11086.0,PK0
20210309,11000.0,11064.0,10796.0,10812.0,20262,16718,10896.0,PK0
20210310,10856.0,10980.0,10772.0,10898.0,21550,16936,10882.0,PK0
20210311,10818.0,10880.0,10720.0,10844.0,17917,16393,10804.0,PK0
20210312,10956.0,10956.0,10804.0,10852.0,10752,15939,10862.0,PK0
20210315,10864.0,10890.0,10800.0,10868.0,10809,15810,10852.0,PK0
20210316,10880.0,10940.0,10766.0,10774.0,15695,15539,10846.0,PK0
20210317,10738.0,10762.0,10630.0,10702.0,9253,14948,10722.0,PK0
20210318,10662.0,10702.0,10560.0,10596.0,13815,14242,10620.0,PK0
20210319,10558.0,10560.0,10410.0,10468.0,12619,12394,10478.0,PK0
20210322,10510.0,10600.0,10454.0,10480.0,8503,12264,10504.0,PK0
20210323,10630.0,10638.0,10506.0,10570.0,9629,11929,10580.0,PK0
20210324,10504.0,10556.0,10458.0,10544.0,5431,11276,10522.0,PK0
20210325,10552.0,10684.0,10536.0,10642.0,9441,10707,10616.0,PK0
20210326,10550.0,10582.0,10462.0,10510.0,9028,10014,10520.0,PK0
20210329,10460.0,10514.0,10334.0,10356.0,9960,10736,10406.0,PK0
20210330,10374.0,10430.0,10350.0,10422.0,6630,10256,10402.0,PK0
20210331,10378.0,10426.0,10310.0,10400.0,6516,9686,10358.0,PK0
20210401,10496.0,10574.0,10454.0,10516.0,10939,9389,10522.0,PK0
20210402,10482.0,10534.0,10468.0,10510.0,4255,9156,10504.0,PK0
20210406,10482.0,10530.0,10350.0,10508.0,3611,9188,10480.0,PK0
20210407,10548.0,10750.0,10534.0,10588.0,16007,9866,10622.0,PK0
20210408,10532.0,10606.0,10524.0,10576.0,4715,9757,10570.0,PK0
20210409,10622.0,10630.0,10426.0,10432.0,7173,9171,10550.0,PK0
20210412,10370.0,10446.0,10360.0,10376.0,6864,9615,10398.0,PK0
20210413,10372.0,10390.0,10268.0,10340.0,7951,10278,10322.0,PK0
