date,open,high,low,close,volume,symbol
20230915,10000.0,10050.0,9410.0,9468.0,235242,PX0
20230918,9450.0,9468.0,9290.0,9346.0,123567,PX0
20230919,9370.0,9436.0,9290.0,9326.0,98362,PX0
20230920,9358.0,9564.0,9254.0,9310.0,217136,PX0
20230921,9344.0,9346.0,9132.0,9134.0,100829,PX0
20230922,9172.0,9280.0,9162.0,9218.0,85025,PX0
20230925,9254.0,9300.0,9066.0,9130.0,85762,PX0
20230926,9120.0,9130.0,8890.0,8930.0,81098,PX0
20230927,8950.0,9040.0,8912.0,8980.0,48233,PX0
20230928,9018.0,9166.0,8968.0,9006.0,60168,PX0
20231009,8746.0,8826.0,8586.0,8620.0,53455,PX0
20231010,8640.0,8650.0,8488.0,8500.0,52618,PX0
20231011,8506.0,8526.0,8404.0,8458.0,74368,PX0
20231012,8438.0,8462.0,8292.0,8390.0,83094,PX0
20231013,8436.0,8486.0,8316.0,8404.0,91310,PX0
20231016,8502.0,8518.0,8402.0,8444.0,90508,PX0
20231017,8460.0,8506.0,8280.0,8362.0,81194,PX0
20231018,8332.0,8498.0,8332.0,8420.0,86598,PX0
20231019,8402.0,8466.0,8318.0,8400.0,78807,PX0
20231020,8388.0,8530.0,8350.0,8410.0,90202,PX0
20231023,8406.0,8432.0,8234.0,8318.0,81920,PX0
20231024,8336.0,8544.0,8298.0,8530.0,89732,PX0
20231025,8500.0,8590.0,8406.0,8460.0,164517,PX0
20231026,8480.0,8564.0,8464.0,8510.0,71013,PX0
20231027,8474.0,8596.0,8430.0,8554.0,91193,PX0
20231030,8552.0,8668.0,8520.0,8630.0,72051,PX0
20231031,8614.0,8688.0,8506.0,8638.0,84397,PX0
20231101,8624.0,8668.0,8566.0,8596.0,56331,PX0
20231102,8650.0,8650.0,8500.0,8564.0,47360,PX0
20231103,8574.0,8696.0,8550.0,8652.0,52730,PX0
20231106,8666.0,8700.0,8502.0,8558.0,97422,PX0
20231107,8570.0,8616.0,8466.0,8496.0,69903,PX0
20231108,8478.0,8492.0,8352.0,8462.0,71098,PX0
20231109,8428.0,8562.0,8380.0,8432.0,80455,PX0
20231110,8450.0,8528.0,8426.0,8470.0,59710,PX0
20231113,8498.0,8538.0,8378.0,8452.0,65886,PX0
20231114,8466.0,8606.0,8426.0,8566.0,63398,PX0
20231115,8540.0,8628.0,8528.0,8624.0,55339,PX0
20231116,8608.0,8780.0,8544.0,8778.0,63738,PX0
20231117,8776.0,8840.0,8630.0,8672.0,113917,PX0
20231120,8694.0,8772.0,8648.0,8708.0,67124,PX0
20231121,8722.0,8762.0,8430.0,8452.0,81928,PX0
20231122,8466.0,8510.0,8388.0,8416.0,54777,PX0
20231123,8400.0,8448.0,8324.0,8410.0,45119,PX0
20231124,8410.0,8448.0,8368.0,8408.0,36107,PX0
20231127,8404.0,8430.0,8272.0,8298.0,70021,PX0
20231128,8296.0,8328.0,8252.0,8258.0,37103,PX0
20231129,8280.0,8330.0,8206.0,8254.0,60764,PX0
20231130,8272.0,8476.0,8262.0,8442.0,91686,PX0
20231201,8446.0,8484.0,8262.0,8318.0,63217,PX0
20231204,8320.0,8402.0,8252.0,8278.0,50667,PX0
20231205,8280.0,8310.0,8190.0,8274.0,48732,PX0
20231206,8270.0,8342.0,8110.0,8310.0,84547,PX0
20231207,8290.0,8310.0,8170.0,8270.0,50637,PX0
20231208,8246.0,8394.0,8244.0,8338.0,57559,PX0
20231211,8340.0,8386.0,8282.0,8336.0,57392,PX0
20231212,8326.0,8426.0,8268.0,8356.0,72177,PX0
20231213,8346.0,8358.0,8132.0,8136.0,97062,PX0
20231214,8160.0,8214.0,8092.0,8098.0,82410,PX0
20231215,8160.0,8300.0,8132.0,8244.0,89144,PX0
20231218,8260.0,8330.0,8200.0,8308.0,47826,PX0
20231219,8300.0,8378.0,8300.0,8318.0,41594,PX0
20231220,8322.0,8512.0,8320.0,8492.0,63446,PX0
20231221,8512.0,8614.0,8450.0,8598.0,78399,PX0
20231222,8580.0,8674.0,8530.0,8604.0,80112,PX0
20231225,8614.0,8626.0,8498.0,8570.0,57315,PX0
20231226,8568.0,8620.0,8530.0,8544.0,43853,PX0
20231227,8558.0,8662.0,8546.0,8648.0,59599,PX0
20231228,8648.0,8724.0,8588.0,8674.0,63938,PX0
20231229,8650.0,8666.0,8532.0,8590.0,53743,PX0
20240102,8602.0,8742.0,8592.0,8614.0,48313,PX0
20240103,8602.0,8670.0,8478.0,8522.0,60611,PX0
20240104,8540.0,8638.0,8500.0,8528.0,61505,PX0
20240105,8526.0,8600.0,8452.0,8558.0,71390,PX0
20240108,8548.0,8646.0,8362.0,8370.0,105868,PX0
20240109,8352.0,8362.0,8266.0,8274.0,62475,PX0
20240110,8322.0,8372.0,8300.0,8318.0,56514,PX0
20240111,8328.0,8360.0,8250.0,8314.0,55927,PX0
20240112,8336.0,8428.0,8308.0,8364.0,59450,PX0
20240115,8366.0,8432.0,8320.0,8360.0,52342,PX0
20240116,8338.0,8478.0,8316.0,8440.0,59446,PX0
20240117,8450.0,8480.0,8396.0,8428.0,52230,PX0
20240118,8406.0,8518.0,8374.0,8474.0,66650,PX0
20240119,8468.0,8576.0,8460.0,8566.0,50111,PX0
20240122,8530.0,8614.0,8510.0,8592.0,57163,PX0
20240123,8596.0,8670.0,8540.0,8662.0,44181,PX0
20240124,8646.0,8754.0,8634.0,8730.0,59445,PX0
20240125,8720.0,8750.0,8600.0,8610.0,89796,PX0
20240126,8620.0,8748.0,8620.0,8670.0,71550,PX0
20240129,8670.0,8718.0,8610.0,8660.0,45824,PX0
20240130,8660.0,8670.0,8592.0,8654.0,38583,PX0
20240131,8636.0,8670.0,8550.0,8598.0,50904,PX0
20240201,8598.0,8602.0,8450.0,8462.0,58129,PX0
20240202,8462.0,8480.0,8366.0,8412.0,49383,PX0
20240205,8410.0,8438.0,8360.0,8404.0,35129,PX0
20240206,8392.0,8478.0,8372.0,8454.0,30981,PX0
20240207,8466.0,8508.0,8436.0,8476.0,31497,PX0
20240208,8488.0,8550.0,8456.0,8480.0,35348,PX0
20240219,8546.0,8628.0,8530.0,8550.0,36955,PX0
20240220,8570.0,8594.0,8460.0,8506.0,44176,PX0
20240221,8486.0,8582.0,8460.0,8522.0,49907,PX0
20240222,8520.0,8620.0,8500.0,8592.0,46061,PX0
20240223,8578.0,8648.0,8532.0,8550.0,56402,PX0
20240226,8540.0,8590.0,8478.0,8488.0,54079,PX0
20240227,8488.0,8608.0,8466.0,8598.0,48334,PX0
20240228,8594.0,8660.0,8572.0,8596.0,51613,PX0
20240229,8600.0,8638.0,8554.0,8606.0,45740,PX0
20240301,8612.0,8620.0,8520.0,8562.0,42730,PX0
20240304,8588.0,8650.0,8492.0,8520.0,80857,PX0
20240305,8520.0,8522.0,8350.0,8360.0,100914,PX0
20240306,8372.0,8448.0,8362.0,8416.0,79788,PX0
20240307,8416.0,8430.0,8360.0,8378.0,38111,PX0
20240308,8344.0,8368.0,8306.0,8334.0,79231,PX0
20240311,8308.0,8362.0,8266.0,8316.0,56632,PX0
20240312,8320.0,8380.0,8302.0,8322.0,49543,PX0
20240313,8318.0,8350.0,8292.0,8324.0,41579,PX0
20240314,8372.0,8464.0,8320.0,8458.0,80252,PX0
20240315,8480.0,8558.0,8460.0,8520.0,83699,PX0
20240318,8510.0,8536.0,8436.0,8522.0,51885,PX0
20240319,8520.0,8580.0,8508.0,8562.0,47707,PX0
20240320,8582.0,8582.0,8460.0,8462.0,40853,PX0
20240321,8418.0,8418.0,8302.0,8330.0,73650,PX0
20240322,8326.0,8368.0,8308.0,8344.0,34904,PX0
20240325,8372.0,8424.0,8348.0,8358.0,51697,PX0
20240326,8384.0,8458.0,8368.0,8374.0,44208,PX0
20240327,8418.0,8476.0,8404.0,8430.0,41874,PX0
20240328,8424.0,8510.0,8400.0,8478.0,35291,PX0
20240329,8504.0,8520.0,8424.0,8444.0,33151,PX0
