date,open,high,low,close,volume,open_interest,settle,symbol
20090420,2050.0,2071.0,2030.0,2038.0,65970,11494,0.0,RI0
20090421,2028.0,2068.0,2011.0,2045.0,129300,17940,0.0,RI0
20090422,2051.0,2058.0,2035.0,2043.0,42174,15602,0.0,RI0
20090423,2045.0,2053.0,2038.0,2049.0,22176,12794,0.0,RI0
20090424,2048.0,2048.0,2038.0,2042.0,10992,11076,0.0,RI0
20090427,2040.0,2040.0,2020.0,2034.0,14394,10740,0.0,RI0
20090428,2035.0,2036.0,2025.0,2033.0,6874,9088,0.0,RI0
20090429,2034.0,2035.0,2030.0,2033.0,3320,8322,0.0,RI0
20090430,2035.0,2038.0,2032.0,2038.0,7332,8456,0.0,RI0
20090501,2035.0,2038.0,2032.0,2038.0,7332,8456,0.0,RI0
20090504,2045.0,2049.0,2040.0,2048.0,11322,11910,0.0,RI0
20090505,2049.0,2050.0,2037.0,2037.0,9674,10338,0.0,RI0
20090506,2038.0,2039.0,2032.0,2035.0,5188,9966,0.0,RI0
20090507,2037.0,2044.0,2035.0,2040.0,6798,11118,0.0,RI0
20090508,2040.0,2042.0,2032.0,2040.0,4940,9628,0.0,RI0
20090511,2040.0,2040.0,2035.0,2038.0,2294,9148,0.0,RI0
20090512,2038.0,2041.0,2033.0,2041.0,12514,9778,0.0,RI0
20090513,2041.0,2042.0,2035.0,2037.0,7372,9310,0.0,RI0
20090514,2035.0,2040.0,2035.0,2039.0,4942,9404,0.0,RI0
20090515,2039.0,2041.0,2036.0,2038.0,6306,9698,0.0,RI0
20090518,2035.0,2040.0,2034.0,2038.0,8350,8422,0.0,RI0
20090519,2040.0,2040.0,2036.0,2039.0,1890,8390,0.0,RI0
20090520,2038.0,2040.0,2036.0,2037.0,3740,8586,0.0,RI0
20090521,2036.0,2038.0,2035.0,2036.0,2714,7636,0.0,RI0
20090522,2035.0,2037.0,2034.0,2036.0,1254,7810,0.0,RI0
20090525,2036.0,2038.0,2033.0,2036.0,4782,6766,0.0,RI0
20090526,2035.0,2035.0,2030.0,2031.0,1802,6452,0.0,RI0
20090527,2033.0,2033.0,2025.0,2027.0,1642,6310,0.0,RI0
20090601,2028.0,2032.0,2027.0,2029.0,3654,6412,0.0,RI0
20090602,2032.0,2034.0,2028.0,2032.0,6308,6940,0.0,RI0
20090603,2030.0,2033.0,2028.0,2031.0,3020,6630,0.0,RI0
20090604,2029.0,2031.0,2028.0,2030.0,1396,6626,0.0,RI0
20090605,2031.0,2033.0,2029.0,2030.0,8052,7500,0.0,RI0
20090608,2029.0,2033.0,2027.0,2031.0,3528,8824,0.0,RI0
20090609,2033.0,2091.0,2031.0,2075.0,48634,15800,0.0,RI0
20090610,2085.0,2098.0,2065.0,2071.0,17188,16470,0.0,RI0
20090611,2071.0,2079.0,2054.0,2059.0,13522,15802,0.0,RI0
20090612,2066.0,2066.0,2050.0,2053.0,7608,15510,0.0,RI0
20090615,2048.0,2063.0,2048.0,2055.0,10854,17080,0.0,RI0
