date,open,high,low,close,volume,open_interest,settle,symbol
20121228,2430.0,2458.0,2385.0,2398.0,421116,44712,2410.0,RM0
20121231,2399.0,2399.0,2336.0,2340.0,237194,39290,2365.0,RM0
20130104,2322.0,2380.0,2316.0,2370.0,193838,38492,2362.0,RM0
20130107,2365.0,2457.0,2360.0,2455.0,406058,64540,2438.0,RM0
20130108,2470.0,2500.0,2438.0,2480.0,899582,77626,2478.0,RM0
20130109,2488.0,2514.0,2472.0,2478.0,696804,94100,2498.0,RM0
20130110,2473.0,2490.0,2459.0,2463.0,591084,96660,2474.0,RM0
20130111,2465.0,2525.0,2463.0,2509.0,1621400,165614,2508.0,RM0
20130114,2527.0,2548.0,2505.0,2541.0,1299700,150852,2528.0,RM0
20130115,2549.0,2618.0,2542.0,2561.0,1674300,178180,2584.0,RM0
20130116,2565.0,2595.0,2542.0,2586.0,1070800,192280,2571.0,RM0
20130117,2602.0,2612.0,2565.0,2572.0,815338,162724,2584.0,RM0
20130118,2580.0,2612.0,2561.0,2573.0,947392,147836,2585.0,RM0
20130121,2575.0,2591.0,2562.0,2573.0,568840,137418,2576.0,RM0
20130122,2574.0,2595.0,2574.0,2590.0,542938,146874,2586.0,RM0
20130123,2591.0,2604.0,2573.0,2576.0,411626,132690,2590.0,RM0
20130124,2569.0,2569.0,2486.0,2493.0,771526,152044,2518.0,RM0
20130125,2500.0,2518.0,2493.0,2504.0,595570,135610,2508.0,RM0
20130128,2513.0,2524.0,2484.0,2521.0,554936,130358,2507.0,RM0
20130129,2521.0,2528.0,2506.0,2515.0,375244,125532,2516.0,RM0
20130130,2518.0,2538.0,2516.0,2532.0,301474,119122,2529.0,RM0
20130131,2542.0,2550.0,2533.0,2537.0,174358,112210,2539.0,RM0
20130201,2530.0,2532.0,2477.0,2521.0,639604,118036,2500.0,RM0
20130204,2521.0,2579.0,2520.0,2561.0,496364,107596,2561.0,RM0
20130205,2558.0,2614.0,2549.0,2586.0,986150,118314,2591.0,RM0
20130206,2600.0,2609.0,2576.0,2579.0,308816,107738,2591.0,RM0
20130207,2576.0,2586.0,2563.0,2567.0,172946,86026,2573.0,RM0
20130208,2463.0,2510.0,2460.0,2477.0,209840,77300,2491.0,RM0
20130218,2442.0,2478.0,2428.0,2473.0,178628,102578,2458.0,RM0
20130219,2508.0,2557.0,2488.0,2542.0,972538,243906,2536.0,RM0
20130220,2556.0,2562.0,2543.0,2545.0,651392,261594,2552.0,RM0
20130221,2535.0,2584.0,2517.0,2582.0,1542900,382434,2552.0,RM0
20130222,2580.0,2639.0,2565.0,2572.0,2491100,401248,2600.0,RM0
20130225,2550.0,2560.0,2496.0,2504.0,1683200,259830,2524.0,RM0
20130226,2496.0,2538.0,2482.0,2498.0,1923200,240854,2510.0,RM0
20130227,2518.0,2538.0,2494.0,2514.0,1649002,255540,2515.0,RM0
20130228,2530.0,2538.0,2485.0,2486.0,1532204,302016,2507.0,RM0
20130301,2495.0,2515.0,2475.0,2504.0,1848742,273402,2497.0,RM0
20130304,2497.0,2513.0,2480.0,2496.0,1036422,263026,2497.0,RM0
20130305,2513.0,2530.0,2508.0,2520.0,906504,286496,2519.0,RM0
20130306,2519.0,2526.0,2480.0,2497.0,1362960,286186,2499.0,RM0
20130307,2497.0,2506.0,2485.0,2495.0,617866,275398,2495.0,RM0
20130308,2506.0,2510.0,2491.0,2493.0,555146,281428,2502.0,RM0
20130311,2495.0,2495.0,2438.0,2439.0,1262590,359568,2457.0,RM0
20130312,2445.0,2445.0,2406.0,2409.0,825834,336730,2427.0,RM0
20130313,2412.0,2435.0,2388.0,2431.0,1206208,314546,2417.0,RM0
20130314,2415.0,2450.0,2401.0,2442.0,1392024,318818,2428.0,RM0
20130315,2453.0,2464.0,2433.0,2449.0,1384360,326162,2447.0,RM0
20130318,2428.0,2445.0,2370.0,2426.0,893778,307992,2421.0,RM0
20130319,2434.0,2446.0,2419.0,2421.0,763568,321104,2431.0,RM0
20130320,2416.0,2430.0,2410.0,2426.0,544530,309114,2423.0,RM0
20130321,2431.0,2457.0,2431.0,2452.0,446930,286076,2447.0,RM0
20130322,2454.0,2456.0,2418.0,2418.0,530536,284996,2433.0,RM0
20130325,2421.0,2430.0,2404.0,2409.0,562204,300540,2416.0,RM0
20130326,2407.0,2424.0,2404.0,2421.0,348862,267862,2416.0,RM0
20130327,2427.0,2435.0,2413.0,2424.0,237050,264100,2421.0,RM0
20130328,2428.0,2431.0,2386.0,2388.0,469982,268856,2403.0,RM0
20130329,2350.0,2378.0,2340.0,2365.0,390982,231440,2362.0,RM0
20130401,2363.0,2367.0,2321.0,2328.0,365128,242052,2342.0,RM0
20130402,2336.0,2350.0,2323.0,2340.0,417420,239100,2336.0,RM0
20130403,2330.0,2337.0,2304.0,2334.0,440064,218542,2320.0,RM0
20130408,2320.0,2363.0,2311.0,2353.0,478260,223902,2345.0,RM0
20130409,2356.0,2368.0,2345.0,2350.0,342182,238802,2355.0,RM0
20130410,2354.0,2375.0,2350.0,2371.0,409600,228552,2365.0,RM0
20130411,2368.0,2375.0,2355.0,2370.0,294566,226988,2365.0,RM0
20130412,2378.0,2410.0,2375.0,2409.0,768530,294338,2390.0,RM0
20130415,2403.0,2430.0,2392.0,2417.0,1442540,390282,2413.0,RM0
20130416,2393.0,2435.0,2372.0,2430.0,1568516,405208,2416.0,RM0
20130417,2437.0,2443.0,2402.0,2411.0,1104508,360612,2421.0,RM0
20130418,2403.0,2423.0,2396.0,2415.0,1036706,338810,2412.0,RM0
20130419,2420.0,2426.0,2397.0,2403.0,710028,321126,2413.0,RM0
20130422,2399.0,2424.0,2385.0,2409.0,835978,336216,2413.0,RM0
20130423,2406.0,2417.0,2382.0,2393.0,637962,312922,2398.0,RM0
20130424,2388.0,2391.0,2334.0,2344.0,944866,298738,2356.0,RM0
20130425,2343.0,2348.0,2317.0,2340.0,550706,260554,2331.0,RM0
20130426,2352.0,2363.0,2325.0,2342.0,394992,241220,2343.0,RM0
20130502,2330.0,2355.0,2321.0,2347.0,323828,253028,2340.0,RM0
20130503,2345.0,2351.0,2310.0,2328.0,922030,301506,2328.0,RM0
20130506,2338.0,2343.0,2321.0,2342.0,560294,265608,2333.0,RM0
20130507,2332.0,2356.0,2332.0,2343.0,387610,249474,2345.0,RM0
20130508,2345.0,2362.0,2338.0,2356.0,353412,244316,2353.0,RM0
20130509,2355.0,2365.0,2345.0,2350.0,253098,244076,2354.0,RM0
20130510,2357.0,2365.0,2348.0,2355.0,275738,243342,2356.0,RM0
20130513,2350.0,2362.0,2330.0,2339.0,457152,242494,2348.0,RM0
20130514,2350.0,2356.0,2337.0,2351.0,255474,225052,2347.0,RM0
20130515,2351.0,2387.0,2351.0,2373.0,734810,245466,2374.0,RM0
20130516,2376.0,2383.0,2356.0,2372.0,465412,232168,2370.0,RM0
20130517,2378.0,2390.0,2376.0,2387.0,284280,212248,2383.0,RM0
20130520,2398.0,2406.0,2388.0,2391.0,165486,206016,2398.0,RM0
20130521,2398.0,2408.0,2385.0,2394.0,150392,200796,2397.0,RM0
20130522,2396.0,2406.0,2391.0,2399.0,109214,204662,2399.0,RM0
20130523,2408.0,2412.0,2386.0,2389.0,137214,207054,2402.0,RM0
