date,open,high,low,close,volume,open_interest,settle,symbol
20190816,3600.0,3735.0,3597.0,3685.0,268800,28664,3686.0,RR0
20190819,3690.0,3696.0,3662.0,3673.0,52502,25730,3679.0,RR0
20190820,3679.0,3679.0,3655.0,3662.0,21768,24242,3666.0,RR0
20190821,3664.0,3675.0,3663.0,3671.0,15386,21638,3670.0,RR0
20190822,3675.0,3675.0,3616.0,3633.0,23448,21882,3639.0,RR0
20190823,3630.0,3639.0,3625.0,3635.0,7190,20906,3632.0,RR0
20190826,3640.0,3664.0,3623.0,3632.0,13120,21592,3642.0,RR0
20190827,3633.0,3648.0,3628.0,3641.0,6742,20960,3639.0,RR0
20190828,3640.0,3643.0,3626.0,3627.0,6666,23000,3629.0,RR0
20190829,3621.0,3636.0,3600.0,3623.0,7224,23748,3624.0,RR0
20190830,3624.0,3640.0,3611.0,3619.0,11028,24854,3626.0,RR0
20190902,3626.0,3635.0,3619.0,3623.0,8028,25300,3626.0,RR0
20190903,3626.0,3626.0,3611.0,3618.0,5222,25322,3618.0,RR0
20190904,3620.0,3635.0,3601.0,3625.0,14308,26442,3618.0,RR0
20190905,3635.0,3635.0,3616.0,3618.0,7620,26050,3622.0,RR0
20190906,3617.0,3709.0,3616.0,3658.0,60784,32904,3663.0,RR0
20190909,3663.0,3673.0,3623.0,3660.0,17402,33122,3651.0,RR0
20190910,3663.0,3672.0,3645.0,3652.0,6618,33064,3654.0,RR0
20190911,3653.0,3664.0,3630.0,3637.0,6696,31990,3643.0,RR0
20190912,3635.0,3642.0,3628.0,3631.0,4166,31176,3635.0,RR0
20190916,3635.0,3651.0,3629.0,3639.0,4980,31416,3644.0,RR0
20190917,3642.0,3685.0,3639.0,3673.0,11958,32256,3658.0,RR0
20190918,3681.0,3685.0,3656.0,3670.0,11186,31138,3669.0,RR0
20190919,3666.0,3676.0,3663.0,3671.0,4758,29970,3670.0,RR0
20190920,3668.0,3692.0,3645.0,3667.0,11402,28356,3671.0,RR0
20190923,3664.0,3678.0,3662.0,3670.0,4758,27460,3671.0,RR0
20190924,3666.0,3677.0,3655.0,3673.0,2942,26832,3667.0,RR0
20190925,3666.0,3674.0,3645.0,3655.0,3610,26030,3657.0,RR0
20190926,3651.0,3680.0,3650.0,3665.0,3314,25876,3667.0,RR0
20190927,3650.0,3668.0,3640.0,3645.0,3812,24018,3648.0,RR0
20190930,3642.0,3654.0,3638.0,3639.0,1928,23088,3645.0,RR0
20191008,3636.0,3649.0,3630.0,3642.0,1454,22714,3638.0,RR0
20191009,3642.0,3660.0,3640.0,3648.0,1762,22348,3648.0,RR0
20191010,3655.0,3655.0,3643.0,3648.0,894,22356,3646.0,RR0
20191011,3650.0,3650.0,3639.0,3641.0,1108,22272,3643.0,RR0
20191014,3641.0,3648.0,3631.0,3641.0,1858,21648,3641.0,RR0
20191015,3634.0,3649.0,3634.0,3634.0,1006,21720,3639.0,RR0
20191016,3631.0,3643.0,3630.0,3637.0,1198,21184,3635.0,RR0
20191017,3642.0,3643.0,3632.0,3639.0,668,20982,3636.0,RR0
20191018,3635.0,3640.0,3634.0,3639.0,1240,20754,3637.0,RR0
20191021,3636.0,3640.0,3630.0,3630.0,1008,20394,3634.0,RR0
20191022,3630.0,3635.0,3609.0,3618.0,6528,16792,3618.0,RR0
20191023,3616.0,3629.0,3610.0,3618.0,1394,16604,3618.0,RR0
20191024,3629.0,3640.0,3609.0,3624.0,846,16546,3620.0,RR0
20191025,3619.0,3627.0,3613.0,3617.0,710,16262,3619.0,RR0
20191028,3617.0,3625.0,3617.0,3620.0,576,16136,3621.0,RR0
20191029,3618.0,3624.0,3614.0,3622.0,944,15986,3619.0,RR0
