date,open,high,low,close,volume,open_interest,settle,symbol
20121228,5320.0,5320.0,5155.0,5269.0,124086,8886,5234.0,RS0
20121231,5274.0,5386.0,5233.0,5271.0,145032,8804,5309.0,RS0
20130104,5273.0,5357.0,5256.0,5346.0,83842,13304,5322.0,RS0
20130107,5333.0,5530.0,5333.0,5441.0,205756,22276,5453.0,RS0
20130108,5460.0,5465.0,5380.0,5413.0,96738,18808,5420.0,RS0
20130109,5422.0,5497.0,5422.0,5440.0,100380,19830,5466.0,RS0
20130110,5460.0,5478.0,5425.0,5447.0,54266,19510,5451.0,RS0
20130111,5460.0,5520.0,5426.0,5432.0,91786,22218,5475.0,RS0
20130114,5447.0,5485.0,5404.0,5465.0,76848,22410,5450.0,RS0
20130115,5483.0,5551.0,5427.0,5432.0,142592,23262,5482.0,RS0
20130116,5431.0,5465.0,5411.0,5443.0,62766,20806,5439.0,RS0
20130117,5462.0,5465.0,5410.0,5418.0,41736,20326,5428.0,RS0
20130118,5424.0,5478.0,5420.0,5433.0,64608,19986,5449.0,RS0
20130121,5444.0,5465.0,5416.0,5430.0,41540,19674,5434.0,RS0
20130122,5423.0,5443.0,5405.0,5428.0,22358,18496,5426.0,RS0
20130123,5440.0,5510.0,5417.0,5470.0,181812,27590,5482.0,RS0
20130124,5470.0,5479.0,5318.0,5352.0,152728,26634,5374.0,RS0
20130125,5368.0,5388.0,5348.0,5380.0,66792,20238,5372.0,RS0
20130128,5385.0,5412.0,5366.0,5388.0,25804,17934,5385.0,RS0
20130129,5382.0,5396.0,5356.0,5381.0,18812,17598,5377.0,RS0
20130130,5384.0,5418.0,5369.0,5405.0,18566,17028,5398.0,RS0
20130131,5427.0,5427.0,5401.0,5426.0,10934,16534,5416.0,RS0
20130201,5426.0,5439.0,5390.0,5418.0,17856,15362,5413.0,RS0
20130204,5420.0,5470.0,5416.0,5434.0,18392,14964,5440.0,RS0
20130205,5431.0,5457.0,5407.0,5413.0,19468,15420,5434.0,RS0
20130206,5421.0,5427.0,5401.0,5402.0,9298,15440,5414.0,RS0
20130207,5404.0,5444.0,5383.0,5397.0,17536,14252,5417.0,RS0
