date,open,close,high,low,volume,symbol
20240614,1132.75,1137.45,1148.91,1128.61,,RTS
20240613,1079.32,1132.72,1134.41,1072.96,,RTS
20240611,1129.45,1119.51,1129.66,1114.21,,RTS
20240610,1145.84,1130.91,1152.05,1129.64,,RTS
20240607,1135.77,1143.22,1159.41,1133.14,,RTS
20240606,1139.33,1131.97,1144.56,1126.24,,RTS
20240605,1140.29,1140.37,1148.98,1135.04,,RTS
20240604,1118.89,1131.34,1135.06,1115.18,,RTS
20240603,1115.7,1111.55,1130.01,1090.3,,RTS
20240531,1136.36,1125.68,1140.51,1122.25,,RTS
20240530,1168.51,1150.88,1171.87,1148.67,,RTS
20240529,1170.81,1167.72,1173.44,1156.22,,RTS
20240528,1176.87,1174.75,1193.17,1168.0,,RTS
20240527,1194.79,1173.92,1199.25,1173.08,,RTS
20240524,1205.71,1195.58,1207.13,1186.32,,RTS
20240523,1198.95,1204.89,1205.57,1189.76,,RTS
20240522,1202.73,1203.6,1206.81,1200.19,,RTS
20240521,1201.99,1199.26,1207.1,1189.1,,RTS
20240520,1217.44,1204.1,1220.23,1204.1,,RTS
20240517,1209.9,1211.87,1214.24,1208.27,,RTS
20240516,1204.14,1207.94,1210.51,1202.62,,RTS
20240515,1196.12,1200.49,1204.21,1194.93,,RTS
20240514,1195.5,1194.63,1197.25,1189.97,,RTS
20240513,1183.54,1193.46,1194.11,1183.54,,RTS
20240510,1176.72,1178.02,1182.29,1175.21,,RTS
20240508,1180.27,1176.3,1181.79,1174.55,,RTS
20240507,1174.43,1185.0,1185.71,1174.43,,RTS
20240506,1183.62,1186.2,1191.65,1178.16,,RTS
20240503,1178.29,1184.68,1187.14,1176.54,,RTS
20240502,1181.04,1177.96,1190.75,1174.01,,RTS
20240430,1177.55,1174.68,1179.57,1169.87,,RTS
20240429,1179.92,1177.42,1180.71,1173.86,,RTS
20240426,1180.89,1186.79,1190.43,1178.58,,RTS
20240425,1172.72,1178.69,1179.98,1172.34,,RTS
20240424,1167.82,1171.06,1173.95,1164.74,,RTS
20240423,1175.47,1163.5,1178.42,1163.5,,RTS
20240422,1172.31,1174.17,1175.74,1169.55,,RTS
20240419,1158.74,1173.68,1175.82,1158.74,,RTS
20240418,1153.86,1160.6,1161.05,1149.65,,RTS
20240417,1156.26,1154.28,1158.98,1150.95,,RTS
20240416,1165.53,1155.46,1166.75,1154.59,,RTS
20240415,1163.44,1166.92,1170.51,1161.36,,RTS
20240412,1159.23,1165.53,1168.45,1159.11,,RTS
20240411,1156.36,1162.36,1164.92,1153.95,,RTS
20240410,1158.74,1159.39,1162.56,1151.0,,RTS
20240409,1163.27,1158.44,1169.35,1157.44,,RTS
20240408,1157.08,1162.3,1165.2,1157.08,,RTS
20240405,1156.66,1155.91,1159.82,1154.09,,RTS
20240404,1159.8,1163.76,1164.88,1155.69,,RTS
20240403,1149.69,1157.39,1159.24,1149.11,,RTS
20240402,1148.7,1147.95,1150.32,1141.96,,RTS
20240401,1141.11,1147.83,1148.66,1141.11,,RTS
20240329,1131.59,1136.91,1138.48,1126.25,,RTS
20240328,1131.92,1128.26,1133.8,1124.73,,RTS
20240327,1118.93,1129.95,1131.55,1114.72,,RTS
20240326,1115.75,1116.21,1119.98,1113.44,,RTS
20240325,1106.57,1115.63,1115.63,1096.68,,RTS
20240322,1122.29,1113.05,1125.45,1107.13,,RTS
20240321,1119.02,1124.53,1130.21,1119.02,,RTS
20240320,1112.17,1113.87,1118.83,1106.95,,RTS
20240319,1130.44,1111.56,1133.07,1106.72,,RTS
20240318,1126.79,1129.5,1138.74,1125.19,,RTS
20240315,1131.86,1119.66,1137.55,1119.66,,RTS
20240314,1140.37,1133.12,1140.37,1130.09,,RTS
20240313,1149.05,1142.39,1152.87,1141.59,,RTS
20240312,1154.31,1144.53,1154.31,1142.28,,RTS
20240311,1155.35,1153.65,1161.26,1152.96,,RTS
20240307,1145.96,1152.12,1152.45,1144.82,,RTS
20240306,1147.81,1151.68,1156.47,1145.19,,RTS
20240305,1139.82,1147.64,1149.5,1133.77,,RTS
20240304,1127.79,1137.53,1138.81,1127.78,,RTS
20240301,1124.24,1122.32,1126.45,1119.83,,RTS
20240229,1119.38,1127.32,1129.94,1117.19,,RTS
20240228,1100.19,1114.87,1115.35,1098.66,,RTS
20240227,1102.47,1097.34,1103.09,1095.32,,RTS
