date,open,close,high,low,volume,symbol
20241224,2240.25,2259.85,2259.85,2233.31,,RUT
20241223,2239.09,2237.44,2241.91,2219.42,,RUT
20241220,2201.71,2242.37,2264.48,2194.9,,RUT
20241219,2251.09,2221.5,2265.35,2217.15,,RUT
20241218,2342.28,2231.51,2349.98,2215.74,,RUT
20241217,2350.79,2334.08,2354.56,2329.26,,RUT
20241216,2344.87,2361.99,2370.43,2339.74,,RUT
20241213,2357.8,2346.9,2361.84,2336.28,,RUT
20241212,2387.38,2361.08,2391.86,2360.59,,RUT
20241211,2399.05,2394.16,2407.74,2386.37,,RUT
20241210,2392.43,2382.77,2402.66,2378.61,,RUT
20241209,2418.83,2392.84,2428.16,2392.7,,RUT
20241206,2408.09,2408.99,2414.18,2401.77,,RUT
20241205,2425.04,2396.17,2425.81,2395.16,,RUT
20241204,2419.1,2426.56,2430.03,2412.74,,RUT
20241203,2433.91,2416.35,2435.31,2412.85,,RUT
20241202,2437.21,2434.14,2442.61,2420.71,,RUT
20241129,2433.0,2434.73,2445.64,2433.0,,RUT
20241127,2430.13,2426.19,2449.86,2424.51,,RUT
20241126,2439.02,2424.31,2439.02,2415.92,,RUT
20241125,2419.09,2442.03,2466.49,2419.09,,RUT
20241122,2366.44,2406.67,2409.22,2366.44,,RUT
20241121,2331.46,2364.02,2372.25,2331.46,,RUT
20241120,2323.31,2325.53,2325.88,2303.79,,RUT
20241119,2295.78,2324.83,2325.06,2284.2,,RUT
20241118,2306.52,2306.34,2322.07,2301.87,,RUT
20241115,2339.96,2303.84,2346.45,2297.52,,RUT
20241114,2374.14,2336.94,2379.59,2333.27,,RUT
20241113,2401.85,2369.37,2414.55,2368.47,,RUT
20241112,2428.14,2391.85,2432.4,2387.81,,RUT
20241111,2411.7,2434.98,2441.72,2411.7,,RUT
20241108,2384.08,2399.64,2401.91,2376.42,,RUT
20241107,2391.26,2382.69,2402.36,2378.17,,RUT
20241106,2300.98,2392.92,2393.85,2300.98,,RUT
20241105,2216.62,2260.84,2260.92,2212.27,,RUT
20241104,2206.56,2219.03,2233.19,2200.3,,RUT
20241101,2202.18,2210.13,2227.35,2202.18,,RUT
20241031,2231.37,2196.65,2232.16,2196.65,,RUT
20241030,2232.66,2233.04,2260.48,2229.79,,RUT
20241029,2236.51,2238.09,2238.09,2221.75,,RUT
20241028,2217.67,2244.07,2247.38,2217.67,,RUT
20241025,2225.77,2207.99,2236.69,2207.24,,RUT
20241024,2216.99,2218.92,2227.0,2206.35,,RUT
20241023,2224.65,2213.84,2226.41,2195.47,,RUT
20241022,2235.77,2231.53,2235.77,2225.06,,RUT
20241021,2275.33,2239.71,2275.6,2238.3,,RUT
20241018,2283.76,2276.09,2287.15,2275.49,,RUT
20241017,2287.41,2280.85,2288.64,2272.01,,RUT
20241016,2260.14,2286.68,2289.49,2260.14,,RUT
20241015,2246.52,2249.82,2272.16,2243.71,,RUT
20241014,2233.7,2248.64,2250.23,2228.25,,RUT
20241011,2188.63,2234.41,2234.96,2188.63,,RUT
20241010,2186.56,2188.42,2188.42,2170.61,,RUT
20241009,2194.24,2200.59,2213.14,2190.46,,RUT
20241008,2194.05,2194.98,2201.91,2188.24,,RUT
20241007,2206.09,2193.09,2206.09,2181.24,,RUT
20241004,2211.14,2212.8,2214.86,2196.12,,RUT
