date,open,high,low,close,volume,open_interest,settle,symbol
20191206,1580.0,1585.0,1546.0,1561.0,318030,38922,1566.0,SA0
20191209,1564.0,1591.0,1556.0,1572.0,167478,31568,1571.0,SA0
20191210,1572.0,1634.0,1570.0,1634.0,221672,68176,1613.0,SA0
20191211,1649.0,1674.0,1637.0,1649.0,459154,66020,1656.0,SA0
20191212,1642.0,1654.0,1625.0,1630.0,245622,70048,1642.0,SA0
20191213,1633.0,1639.0,1623.0,1630.0,132320,69386,1632.0,SA0
20191216,1634.0,1659.0,1626.0,1632.0,277650,77498,1642.0,SA0
20191217,1629.0,1636.0,1578.0,1623.0,223740,70596,1622.0,SA0
20191218,1623.0,1650.0,1622.0,1628.0,195192,71800,1636.0,SA0
20191219,1628.0,1641.0,1623.0,1626.0,130952,74830,1633.0,SA0
20191220,1626.0,1630.0,1611.0,1611.0,134436,84124,1620.0,SA0
20191223,1610.0,1616.0,1596.0,1601.0,113058,83368,1606.0,SA0
20191224,1603.0,1614.0,1600.0,1604.0,62084,83068,1607.0,SA0
20191225,1602.0,1610.0,1599.0,1603.0,57878,88032,1604.0,SA0
20191226,1602.0,1617.0,1602.0,1609.0,55730,85764,1611.0,SA0
20191227,1609.0,1629.0,1607.0,1608.0,102264,86076,1619.0,SA0
20191230,1609.0,1636.0,1608.0,1633.0,79116,80286,1623.0,SA0
20191231,1633.0,1643.0,1629.0,1633.0,79146,73396,1635.0,SA0
20200102,1633.0,1641.0,1618.0,1625.0,26179,34862,1631.0,SA0
20200103,1626.0,1634.0,1620.0,1629.0,23178,33974,1627.0,SA0
20200106,1629.0,1646.0,1628.0,1638.0,40966,33327,1637.0,SA0
20200107,1636.0,1640.0,1624.0,1627.0,19256,32570,1631.0,SA0
20200108,1626.0,1638.0,1624.0,1630.0,19972,32306,1631.0,SA0
20200109,1629.0,1635.0,1621.0,1632.0,27286,29476,1629.0,SA0
20200110,1633.0,1675.0,1633.0,1658.0,173405,39616,1661.0,SA0
20200113,1659.0,1661.0,1646.0,1653.0,30481,37522,1654.0,SA0
20200114,1657.0,1660.0,1648.0,1653.0,23832,36145,1653.0,SA0
20200115,1654.0,1691.0,1652.0,1665.0,129730,39110,1675.0,SA0
20200116,1667.0,1679.0,1665.0,1668.0,34266,36492,1671.0,SA0
20200117,1674.0,1684.0,1667.0,1677.0,40310,37576,1678.0,SA0
20200120,1678.0,1680.0,1658.0,1667.0,31571,33031,1667.0,SA0
20200121,1668.0,1674.0,1655.0,1655.0,17726,32381,1663.0,SA0
20200122,1657.0,1657.0,1631.0,1642.0,33941,26024,1641.0,SA0
20200123,1644.0,1651.0,1591.0,1615.0,24597,22223,1623.0,SA0
20200203,1517.0,1546.0,1509.0,1519.0,30443,18012,1523.0,SA0
20200204,1528.0,1570.0,1528.0,1561.0,19994,18788,1551.0,SA0
20200205,1558.0,1569.0,1551.0,1560.0,18788,21591,1559.0,SA0
20200206,1562.0,1577.0,1561.0,1574.0,13995,19533,1568.0,SA0
20200207,1574.0,1609.0,1571.0,1574.0,10599,19840,1577.0,SA0
20200210,1573.0,1577.0,1562.0,1568.0,6875,20067,1571.0,SA0
20200211,1569.0,1581.0,1564.0,1579.0,10022,19745,1574.0,SA0
20200212,1578.0,1588.0,1572.0,1578.0,9233,20825,1581.0,SA0
20200213,1579.0,1587.0,1573.0,1581.0,8057,21245,1580.0,SA0
20200214,1580.0,1583.0,1572.0,1578.0,5604,20935,1577.0,SA0
20200217,1578.0,1588.0,1577.0,1586.0,7310,21231,1582.0,SA0
