date,open,close,high,low,volume,symbol
20241224,78707.38,78472.88,78877.38,78397.81,6180.65,SENSEX
20241223,78488.63,78540.19,78918.13,78189.19,10324.76,SENSEX
20241220,79335.5,78041.56,79587.13,77874.56,9002.76,SENSEX
20241219,79029.0,79218.06,79516.19,79020.06,6526.58,SENSEX
20241218,80666.25,80182.19,80868.0,80050.06,4666.91,SENSEX
20241217,81511.81,80684.44,81613.63,80612.19,4885.84,SENSEX
20241216,82000.31,81748.56,82116.44,81551.25,5168.19,SENSEX
20241213,81212.44,82133.13,82213.94,80082.81,11306.59,SENSEX
20241212,81476.75,81289.94,81681.0,81211.63,7803.2,SENSEX
20241211,81568.38,81526.13,81742.38,81383.44,6283.84,SENSEX
20241210,81575.94,81510.06,81726.31,81182.69,5606.24,SENSEX
20241209,81602.56,81508.44,81783.25,81411.56,6360.94,SENSEX
20241206,81887.56,81709.13,81925.94,81506.19,8837.51,SENSEX
20241205,81182.75,81765.88,82317.75,80467.38,7508.95,SENSEX
20241204,81036.25,80956.31,81245.38,80630.5,7240.36,SENSEX
20241203,80529.19,80845.75,80949.13,80244.75,9401.27,SENSEX
20241202,79743.88,80248.06,80337.81,79308.94,7297.64,SENSEX
20241129,79033.0,79802.81,79923.88,79026.19,8918.11,SENSEX
20241128,80281.63,79043.75,80447.38,78918.94,7908.21,SENSEX
20241127,80121.0,80234.06,80511.13,79844.5,5695.4,SENSEX
20241126,80415.5,80004.06,80482.38,79798.69,10442.63,SENSEX
20241125,80193.5,80109.88,80473.06,79766.0,13975.08,SENSEX
20241122,77349.75,79117.13,79218.19,77226.69,17050.38,SENSEX
20241121,77711.13,77155.81,77711.13,76802.75,8818.0,SENSEX
20241119,77548.0,77578.38,78451.63,77411.31,7150.7,SENSEX
20241118,77863.56,77339.0,77887.0,76965.06,8238.28,SENSEX
20241114,77636.94,77580.31,78055.5,77424.81,10096.29,SENSEX
20241113,78495.5,77690.94,78690.0,77533.31,7408.15,SENSEX
20241112,79644.94,78675.19,79821.0,78547.81,6363.42,SENSEX
20241111,79298.44,79496.13,80102.13,79001.31,16912.73,SENSEX
20241108,79611.88,79486.31,79807.25,79117.38,10343.02,SENSEX
