date,open,high,low,close,volume,symbol
20230915,2950.0,3060.0,2790.0,2859.0,407987,SH0
20230918,2858.0,2922.0,2836.0,2904.0,283416,SH0
20230919,2913.0,3086.0,2898.0,3040.0,515904,SH0
20230920,3058.0,3148.0,3038.0,3113.0,598941,SH0
20230921,3116.0,3118.0,3033.0,3049.0,432914,SH0
20230922,3061.0,3106.0,3051.0,3070.0,326405,SH0
20230925,3078.0,3094.0,2930.0,2945.0,323538,SH0
20230926,2946.0,2970.0,2870.0,2902.0,291703,SH0
20230927,2908.0,2943.0,2860.0,2888.0,242500,SH0
20230928,2898.0,2905.0,2797.0,2800.0,218744,SH0
20231009,2795.0,2839.0,2750.0,2779.0,111355,SH0
20231010,2783.0,2783.0,2626.0,2720.0,344386,SH0
20231011,2716.0,2743.0,2657.0,2704.0,304232,SH0
20231012,2695.0,2765.0,2677.0,2749.0,217512,SH0
20231013,2752.0,2765.0,2666.0,2682.0,232766,SH0
20231016,2706.0,2713.0,2641.0,2658.0,232274,SH0
20231017,2650.0,2655.0,2561.0,2569.0,298316,SH0
20231018,2571.0,2604.0,2563.0,2584.0,206359,SH0
20231019,2570.0,2578.0,2506.0,2527.0,383008,SH0
20231020,2525.0,2572.0,2504.0,2533.0,299451,SH0
20231023,2531.0,2582.0,2519.0,2545.0,305841,SH0
20231024,2543.0,2596.0,2525.0,2583.0,300187,SH0
20231025,2587.0,2609.0,2555.0,2557.0,209723,SH0
20231026,2551.0,2578.0,2525.0,2552.0,236277,SH0
20231027,2539.0,2581.0,2538.0,2571.0,164847,SH0
20231030,2572.0,2611.0,2557.0,2594.0,200479,SH0
20231031,2590.0,2638.0,2582.0,2621.0,204110,SH0
20231101,2625.0,2629.0,2566.0,2574.0,175771,SH0
20231102,2579.0,2588.0,2554.0,2579.0,140797,SH0
20231103,2590.0,2636.0,2590.0,2620.0,163152,SH0
20231106,2635.0,2689.0,2626.0,2684.0,188287,SH0
20231107,2687.0,2700.0,2632.0,2642.0,158264,SH0
20231108,2638.0,2668.0,2636.0,2665.0,98689,SH0
20231109,2656.0,2656.0,2552.0,2631.0,157454,SH0
20231110,2641.0,2752.0,2635.0,2682.0,351128,SH0
20231113,2678.0,2695.0,2622.0,2630.0,170541,SH0
20231114,2643.0,2677.0,2637.0,2672.0,90160,SH0
20231115,2670.0,2701.0,2651.0,2665.0,92573,SH0
20231116,2655.0,2684.0,2644.0,2677.0,58632,SH0
20231117,2680.0,2719.0,2665.0,2686.0,99120,SH0
20231120,2690.0,2696.0,2657.0,2677.0,60545,SH0
20231121,2683.0,2704.0,2600.0,2612.0,94270,SH0
20231122,2613.0,2632.0,2547.0,2591.0,113455,SH0
20231123,2595.0,2626.0,2566.0,2604.0,93977,SH0
20231124,2601.0,2615.0,2562.0,2611.0,58015,SH0
20231127,2609.0,2638.0,2575.0,2583.0,80202,SH0
20231128,2580.0,2617.0,2566.0,2593.0,57817,SH0
20231129,2601.0,2685.0,2585.0,2657.0,146361,SH0
20231130,2661.0,2692.0,2631.0,2683.0,77611,SH0
20231201,2672.0,2691.0,2634.0,2674.0,75641,SH0
20231204,2655.0,2677.0,2611.0,2619.0,83965,SH0
20231205,2613.0,2613.0,2568.0,2575.0,72694,SH0
20231206,2567.0,2607.0,2560.0,2590.0,55602,SH0
20231207,2570.0,2597.0,2523.0,2564.0,125799,SH0
20231208,2567.0,2745.0,2551.0,2642.0,259877,SH0
20231211,2628.0,2677.0,2592.0,2651.0,131705,SH0
20231212,2647.0,2709.0,2632.0,2680.0,146219,SH0
20231213,2677.0,2691.0,2636.0,2660.0,90250,SH0
20231214,2663.0,2702.0,2655.0,2670.0,100397,SH0
20231215,2682.0,2697.0,2661.0,2673.0,76754,SH0
20231218,2676.0,2679.0,2647.0,2672.0,57710,SH0
20231219,2663.0,2711.0,2656.0,2664.0,80150,SH0
20231220,2661.0,2712.0,2661.0,2692.0,66740,SH0
20231221,2705.0,2748.0,2675.0,2744.0,89938,SH0
