date,open,high,low,close,volume,symbol
20221222,19100.0,19720.0,18160.0,18310.0,28742,SI0
20221223,18180.0,18220.0,17060.0,17060.0,30354,SI0
20221226,16940.0,17435.0,16825.0,17170.0,23991,SI0
20221227,17200.0,17410.0,17130.0,17165.0,13350,SI0
20221228,17100.0,17575.0,16960.0,17425.0,21736,SI0
20221229,17390.0,17665.0,17325.0,17515.0,12999,SI0
20221230,17535.0,18520.0,17535.0,17895.0,37967,SI0
20230103,17870.0,18040.0,17600.0,17770.0,15386,SI0
20230104,17715.0,18050.0,17555.0,17640.0,14744,SI0
20230105,17615.0,17800.0,17500.0,17585.0,10709,SI0
20230106,17530.0,17825.0,17530.0,17820.0,8604,SI0
20230109,17850.0,17920.0,17670.0,17695.0,12281,SI0
20230110,17705.0,17785.0,17460.0,17475.0,14945,SI0
20230111,17460.0,17555.0,17315.0,17350.0,20389,SI0
20230112,17330.0,17770.0,17270.0,17445.0,34783,SI0
20230113,17450.0,17690.0,17420.0,17520.0,31521,SI0
20230116,17450.0,17670.0,17450.0,17515.0,23451,SI0
20230117,17530.0,17800.0,17530.0,17615.0,37276,SI0
20230118,17650.0,17825.0,17620.0,17710.0,43134,SI0
20230119,17720.0,18375.0,17650.0,18330.0,45507,SI0
20230120,18400.0,18625.0,18105.0,18590.0,54931,SI0
20230130,18660.0,18720.0,17980.0,18075.0,32749,SI0
20230131,18065.0,18260.0,17820.0,17860.0,36851,SI0
20230201,17860.0,18060.0,17660.0,17900.0,48186,SI0
20230202,17840.0,18020.0,17575.0,17625.0,46937,SI0
20230203,17670.0,17820.0,17500.0,17745.0,61844,SI0
20230206,17695.0,17820.0,17625.0,17765.0,24588,SI0
20230207,17780.0,17850.0,17655.0,17715.0,24892,SI0
20230208,17740.0,18025.0,17680.0,17875.0,36280,SI0
20230209,17875.0,18105.0,17820.0,18020.0,23555,SI0
20230210,18000.0,18105.0,17775.0,17955.0,19541,SI0
20230213,17955.0,18080.0,17850.0,17920.0,17928,SI0
20230214,17930.0,18035.0,17900.0,17945.0,18859,SI0
20230215,18000.0,18110.0,17865.0,17885.0,25670,SI0
20230216,17950.0,17950.0,17585.0,17630.0,32027,SI0
20230217,17630.0,17750.0,17360.0,17375.0,27627,SI0
20230220,17300.0,17495.0,17260.0,17470.0,32048,SI0
20230221,17555.0,17800.0,17550.0,17675.0,34830,SI0
20230222,17650.0,17755.0,17505.0,17575.0,41633,SI0
20230223,17620.0,17700.0,17570.0,17620.0,39303,SI0
20230224,17635.0,17680.0,17555.0,17635.0,44344,SI0
20230227,17615.0,17745.0,17460.0,17480.0,42878,SI0
20230228,17500.0,17580.0,17420.0,17520.0,68158,SI0
20230301,17500.0,17595.0,17485.0,17540.0,29733,SI0
20230302,17550.0,17620.0,17510.0,17525.0,30400,SI0
20230303,17510.0,17560.0,17480.0,17490.0,53516,SI0
20230306,17490.0,17520.0,17290.0,17300.0,36285,SI0
20230307,17300.0,17410.0,17100.0,17130.0,38319,SI0
20230308,17140.0,17330.0,17010.0,17175.0,23780,SI0
20230309,17195.0,17220.0,17010.0,17075.0,38897,SI0
20230310,17085.0,17115.0,16865.0,16960.0,42969,SI0
20230313,16960.0,17040.0,16820.0,16970.0,37179,SI0
20230314,16940.0,17060.0,16860.0,16905.0,27612,SI0
20230315,16880.0,16960.0,16710.0,16740.0,28714,SI0
20230316,16690.0,16710.0,15950.0,15975.0,45330,SI0
20230317,16060.0,16310.0,16010.0,16120.0,44038,SI0
20230320,16160.0,16295.0,16020.0,16080.0,34958,SI0
20230321,16200.0,16330.0,15785.0,15870.0,45907,SI0
20230322,15870.0,16030.0,15745.0,15965.0,49933,SI0
20230323,15990.0,16070.0,15850.0,15895.0,34570,SI0
20230324,15920.0,15980.0,15750.0,15895.0,42570,SI0
20230327,15900.0,16065.0,15880.0,15915.0,34828,SI0
20230328,15950.0,15995.0,15865.0,15910.0,42609,SI0
20230329,15640.0,15890.0,15480.0,15750.0,55338,SI0
20230330,15710.0,15790.0,15650.0,15730.0,34111,SI0
20230331,15740.0,15820.0,15490.0,15515.0,54924,SI0
