date,open,high,low,close,volume,open_interest,settle,symbol
20140812,6486.0,6524.0,6410.0,6418.0,138,2380,6456.0,SM0
20140813,6410.0,6456.0,6388.0,6424.0,43002,28278,6424.0,SM0
20140814,6416.0,6466.0,6352.0,6396.0,84352,28028,6408.0,SM0
20140815,6400.0,6426.0,6386.0,6412.0,28828,22570,6408.0,SM0
20140818,6418.0,6478.0,6398.0,6404.0,38498,19164,6442.0,SM0
20140819,6394.0,6408.0,6364.0,6386.0,22378,18616,6382.0,SM0
20140820,6376.0,6410.0,6354.0,6386.0,14756,18918,6374.0,SM0
20140821,6398.0,6406.0,6360.0,6370.0,6248,17696,6380.0,SM0
20140822,6366.0,6398.0,6366.0,6392.0,12830,11538,6388.0,SM0
20140825,6396.0,6448.0,6380.0,6436.0,24326,11352,6426.0,SM0
20140826,6426.0,6446.0,6412.0,6442.0,7344,10202,6434.0,SM0
20140827,6484.0,6484.0,6398.0,6398.0,10064,7906,6430.0,SM0
20140828,6392.0,6410.0,6366.0,6378.0,8966,8070,6384.0,SM0
20140829,6374.0,6392.0,6366.0,6372.0,3956,6908,6382.0,SM0
20140901,6370.0,6388.0,6368.0,6378.0,5250,8340,6380.0,SM0
20140902,6368.0,6368.0,6306.0,6344.0,5886,9830,6348.0,SM0
20140903,6326.0,6352.0,6324.0,6340.0,4738,11636,6344.0,SM0
20140904,6340.0,6360.0,6318.0,6342.0,3934,11500,6344.0,SM0
20140905,6328.0,6352.0,6328.0,6330.0,2184,12372,6342.0,SM0
20140909,6324.0,6352.0,6268.0,6298.0,6712,14830,6302.0,SM0
20140910,6282.0,6310.0,6156.0,6300.0,4424,14596,6290.0,SM0
20140911,6300.0,6300.0,6264.0,6264.0,1676,14664,6284.0,SM0
20140912,6270.0,6288.0,6250.0,6288.0,1308,14826,6272.0,SM0
20140915,6260.0,6346.0,6260.0,6346.0,2590,14088,6320.0,SM0
20140916,6348.0,6350.0,6300.0,6300.0,1312,14146,6330.0,SM0
20140917,6310.0,6324.0,6290.0,6292.0,778,14216,6302.0,SM0
20140918,6298.0,6298.0,6246.0,6252.0,2004,14524,6262.0,SM0
20140919,6248.0,6248.0,6112.0,6126.0,2160,14922,6184.0,SM0
20140922,6064.0,6090.0,6000.0,6030.0,5342,15022,6034.0,SM0
20140923,6020.0,6130.0,6020.0,6042.0,1130,14986,6060.0,SM0
20140924,6042.0,6108.0,6030.0,6100.0,1252,14922,6062.0,SM0
20140925,6100.0,6138.0,5982.0,6016.0,4178,16086,6018.0,SM0
20140926,5996.0,6060.0,5940.0,6048.0,1972,15694,6030.0,SM0
20140929,6088.0,6088.0,6016.0,6070.0,1066,15406,6042.0,SM0
20140930,6122.0,6128.0,6056.0,6088.0,470,15192,6086.0,SM0
20141009,6080.0,6178.0,6080.0,6170.0,1686,15012,6138.0,SM0
20141010,6152.0,6170.0,6122.0,6144.0,916,14844,6154.0,SM0
20141013,6170.0,6320.0,6150.0,6244.0,2854,14680,6244.0,SM0
20141014,6288.0,6288.0,6170.0,6202.0,1098,14296,6200.0,SM0
20141015,6202.0,6214.0,6158.0,6176.0,968,14316,6178.0,SM0
20141016,6150.0,6214.0,6118.0,6160.0,938,14222,6148.0,SM0
20141017,6184.0,6314.0,6180.0,6216.0,1656,14130,6246.0,SM0
20141020,6162.0,6222.0,6162.0,6182.0,1016,13996,6194.0,SM0
20141021,6170.0,6204.0,6170.0,6194.0,498,13974,6194.0,SM0
20141022,6170.0,6212.0,6140.0,6140.0,1006,13944,6166.0,SM0
20141023,6122.0,6198.0,6120.0,6196.0,730,13888,6146.0,SM0
20141024,6248.0,6248.0,6184.0,6214.0,962,13642,6206.0,SM0
20141027,6212.0,6226.0,6184.0,6196.0,506,13538,6210.0,SM0
20141028,6208.0,6226.0,6184.0,6200.0,390,13422,6204.0,SM0
20141029,6214.0,6222.0,6188.0,6206.0,480,13192,6202.0,SM0
20141030,6216.0,6220.0,6180.0,6180.0,600,13106,6196.0,SM0
20141031,6196.0,6198.0,6126.0,6150.0,582,13140,6164.0,SM0
20141103,6074.0,6182.0,6074.0,6180.0,1398,13280,6150.0,SM0
20141104,6150.0,6248.0,6150.0,6196.0,1530,13258,6202.0,SM0
20141105,6226.0,6226.0,6172.0,6172.0,680,13216,6194.0,SM0
20141106,6172.0,6218.0,6158.0,6204.0,452,13236,6194.0,SM0
20141107,6226.0,6230.0,6190.0,6208.0,284,13156,6204.0,SM0
20141110,6210.0,6220.0,6132.0,6188.0,534,13072,6180.0,SM0
20141111,6200.0,6220.0,6132.0,6192.0,202,13040,6194.0,SM0
20141112,6204.0,6222.0,6190.0,6208.0,614,12930,6214.0,SM0
20141113,6202.0,6214.0,6172.0,6206.0,360,12888,6194.0,SM0
20141114,6212.0,6212.0,6182.0,6206.0,198,12860,6202.0,SM0
20141117,6196.0,6212.0,6182.0,6194.0,80,12856,6202.0,SM0
20141118,6186.0,6200.0,6184.0,6188.0,524,12714,6192.0,SM0
20141119,6198.0,6216.0,6184.0,6216.0,1134,12118,6204.0,SM0
20141120,6210.0,6220.0,6188.0,6200.0,2976,9492,6204.0,SM0
20141121,6210.0,6220.0,6188.0,6196.0,2314,7356,6200.0,SM0
20141124,6210.0,6212.0,6182.0,6184.0,2100,5702,6198.0,SM0
20141125,6170.0,6200.0,6170.0,6200.0,270,5674,6184.0,SM0
20141126,6230.0,6230.0,6196.0,6208.0,360,5622,6212.0,SM0
20141127,6190.0,6248.0,6156.0,6230.0,932,5656,6196.0,SM0
20141128,6200.0,6220.0,6162.0,6192.0,1060,5594,6200.0,SM0
20141201,6092.0,6218.0,6088.0,6188.0,1224,5750,6194.0,SM0
20141202,6170.0,6210.0,6170.0,6192.0,394,5728,6192.0,SM0
20141203,6160.0,6188.0,6156.0,6168.0,2932,6858,6168.0,SM0
20141204,6150.0,6210.0,6148.0,6180.0,1808,7452,6176.0,SM0
20141205,6170.0,6180.0,6152.0,6160.0,464,7634,6164.0,SM0
20141208,6160.0,6182.0,6146.0,6146.0,338,7634,6168.0,SM0
20141209,6154.0,6188.0,6122.0,6164.0,250,7596,6148.0,SM0
20141210,6138.0,6240.0,6138.0,6168.0,190,7580,6180.0,SM0
20141211,6196.0,6196.0,6150.0,6178.0,154,7550,6174.0,SM0
20141212,6176.0,6176.0,6122.0,6146.0,168,7542,6146.0,SM0
20141215,6190.0,6190.0,6122.0,6174.0,82,7538,6162.0,SM0
20141216,6184.0,6190.0,6138.0,6146.0,36,7540,6164.0,SM0
20141217,6006.0,6202.0,6006.0,6178.0,302,7628,6172.0,SM0
20141218,6170.0,6210.0,6102.0,6126.0,248,7620,6160.0,SM0
20141219,6120.0,6164.0,6120.0,6164.0,6,7620,6136.0,SM0
20141222,6166.0,6166.0,6120.0,6122.0,106,7560,6138.0,SM0
20141223,6154.0,6166.0,6122.0,6132.0,104,7536,6136.0,SM0
20141224,6132.0,6154.0,6124.0,6130.0,42,7496,6130.0,SM0
20141225,6030.0,6144.0,6030.0,6120.0,84,7466,6094.0,SM0
20141226,6142.0,6160.0,6030.0,6120.0,34,7466,6154.0,SM0
20141229,6110.0,6162.0,6100.0,6104.0,184,7384,6112.0,SM0
20141230,6116.0,6162.0,6100.0,6154.0,32,7374,6128.0,SM0
20141231,6060.0,6170.0,6052.0,6130.0,2776,7370,6080.0,SM0
20150105,6050.0,6170.0,6050.0,6130.0,2776,7366,6050.0,SM0
20150106,6000.0,6100.0,6000.0,6100.0,148,7366,6094.0,SM0
20150107,6150.0,6150.0,5980.0,5980.0,426,7366,6148.0,SM0
20150108,5950.0,6150.0,5950.0,5950.0,210,7366,5950.0,SM0
20150109,5950.0,5950.0,5950.0,5950.0,0,7366,5950.0,SM0
20150112,6160.0,6160.0,5950.0,6160.0,386,7366,6160.0,SM0
20150113,6160.0,6160.0,6160.0,6160.0,0,7366,6160.0,SM0
20150114,6160.0,6160.0,6160.0,6160.0,386,7366,6160.0,SM0
20150115,6160.0,6160.0,6160.0,6160.0,0,7366,6160.0,SM0
20150116,6160.0,6160.0,6160.0,6160.0,386,7366,6160.0,SM0
20150120,5790.0,5922.0,5790.0,5922.0,4,260,5856.0,SM0
20150122,6160.0,6160.0,6160.0,5980.0,386,7366,5980.0,SM0
20150123,6160.0,6160.0,6160.0,5980.0,0,7366,5980.0,SM0
20150127,5644.0,5754.0,5644.0,5644.0,4,258,5644.0,SM0
20150128,5600.0,5610.0,5460.0,5610.0,4070,4256,5594.0,SM0
20150129,5602.0,5618.0,5570.0,5592.0,72,4278,5598.0,SM0
20150130,5602.0,5640.0,5570.0,5598.0,44,4278,5618.0,SM0
20150202,5800.0,5800.0,5650.0,5726.0,1098,5308,5776.0,SM0
20150203,5748.0,5800.0,5620.0,5636.0,1098,5308,5636.0,SM0
20150204,5518.0,5668.0,5518.0,5630.0,20,5290,5630.0,SM0
20150205,5568.0,5674.0,5518.0,5578.0,24,5292,5578.0,SM0
20150206,5622.0,5622.0,5622.0,5622.0,4,5290,5628.0,SM0
20150209,5618.0,5618.0,5560.0,5560.0,112,5184,5564.0,SM0
20150210,5564.0,5618.0,5550.0,5614.0,1050,4768,5556.0,SM0
20150211,5626.0,5626.0,5550.0,5626.0,2,4766,5626.0,SM0
20150212,5612.0,5648.0,5612.0,5648.0,10,4756,5626.0,SM0
20150213,5612.0,5650.0,5612.0,5636.0,18,4756,5636.0,SM0
20150216,5648.0,5648.0,5648.0,5648.0,2,4756,5648.0,SM0
20150217,5588.0,5648.0,5588.0,5588.0,6,4750,5588.0,SM0
20150303,5646.0,5652.0,5510.0,5652.0,34,4556,5630.0,SM0
20150304,5646.0,5652.0,5520.0,5630.0,0,4556,5630.0,SM0
20150305,5646.0,5652.0,5520.0,5630.0,34,4556,5630.0,SM0
20150306,5642.0,5642.0,5602.0,5602.0,4,4552,5602.0,SM0
20150309,5650.0,5650.0,5520.0,5648.0,40,4532,5644.0,SM0
20150310,5648.0,5654.0,5530.0,5598.0,2420,6632,5648.0,SM0
20150311,5520.0,5654.0,5520.0,5580.0,3202,4336,5542.0,SM0
20150312,5520.0,5580.0,5520.0,5542.0,3206,4332,5542.0,SM0
20150313,5648.0,5648.0,5522.0,5600.0,10,4328,5600.0,SM0
20150316,5646.0,5646.0,5572.0,5582.0,6,4324,5600.0,SM0
20150317,5648.0,5660.0,5572.0,5610.0,30,4336,5642.0,SM0
20150318,5560.0,5660.0,5560.0,5560.0,2,4334,5560.0,SM0
20150319,5560.0,5636.0,5560.0,5636.0,24,4316,5560.0,SM0
20150320,5582.0,5602.0,5582.0,5602.0,6,4310,5590.0,SM0
20150323,5430.0,5602.0,5430.0,5580.0,8,4306,5544.0,SM0
20150324,5598.0,5598.0,5430.0,5598.0,16,4298,5598.0,SM0
20150325,5596.0,5598.0,5596.0,5596.0,2,4294,5596.0,SM0
20150326,5574.0,5622.0,5572.0,5580.0,92,4218,5582.0,SM0
20150327,5446.0,5622.0,5442.0,5494.0,16,4224,5454.0,SM0
20150330,5498.0,5648.0,5422.0,5422.0,16,4216,5544.0,SM0
20150331,5416.0,5648.0,5412.0,5450.0,614,3614,5414.0,SM0
20150401,5416.0,5450.0,5412.0,5414.0,0,3614,5414.0,SM0
20150402,5342.0,5342.0,5342.0,5342.0,2,3616,5342.0,SM0
20150403,5170.0,5430.0,5170.0,5420.0,18,3616,5326.0,SM0
20150407,5426.0,5438.0,5170.0,5400.0,180,3616,5430.0,SM0
20150408,5374.0,5440.0,5264.0,5440.0,2018,1606,5430.0,SM0
20150409,5374.0,5440.0,5264.0,5430.0,2022,1602,5430.0,SM0
20150410,5256.0,5356.0,5252.0,5270.0,14,1520,5272.0,SM0
20150413,5076.0,5298.0,5076.0,5298.0,20,1514,5210.0,SM0
20150414,5380.0,5410.0,5380.0,5410.0,4,1512,5396.0,SM0
20150417,5386.0,5388.0,5386.0,5388.0,4,1504,5334.0,SM0
20150420,5458.0,5458.0,5200.0,5378.0,34,1496,5334.0,SM0
20150421,5386.0,5386.0,5356.0,5384.0,36,1494,5384.0,SM0
20150423,5398.0,5432.0,5352.0,5380.0,12,1462,5388.0,SM0
20150424,5356.0,5462.0,5356.0,5380.0,204,1262,5382.0,SM0
20150427,5488.0,5596.0,5488.0,5580.0,68,1066,5552.0,SM0
20150428,5590.0,5590.0,5328.0,5396.0,90,1014,5362.0,SM0
20150429,5320.0,5590.0,5300.0,5366.0,1012,24,5322.0,SM0
20150430,5320.0,5436.0,5300.0,5322.0,1016,20,5322.0,SM0
20150504,5530.0,5530.0,5328.0,5396.0,30,16,5396.0,SM0
20150506,5530.0,5530.0,5328.0,5396.0,30,16,5396.0,SM0
20150507,5530.0,5530.0,5328.0,5396.0,0,16,5396.0,SM0
20150508,5530.0,5530.0,5328.0,5396.0,30,16,5396.0,SM0
20150513,5946.0,5966.0,5750.0,5882.0,0,4,5882.0,SM0
20150514,5946.0,5946.0,5816.0,5882.0,4,4,5882.0,SM0
20150515,5946.0,5946.0,5816.0,5882.0,0,4,5882.0,SM0
20150519,5280.0,5570.0,5280.0,5526.0,4,2,5526.0,SM0
20150520,5160.0,5536.0,5160.0,5420.0,0,4,5420.0,SM0
20150521,5160.0,5536.0,5160.0,5420.0,14,4,5420.0,SM0
20150522,5400.0,5536.0,5160.0,5400.0,2,2,5400.0,SM0
20150525,5100.0,5200.0,5100.0,5132.0,0,2,5132.0,SM0
20150526,5100.0,5200.0,5100.0,5132.0,4,2,5132.0,SM0
20150527,5100.0,5200.0,5100.0,5132.0,0,2,5132.0,SM0
20150528,5100.0,5200.0,5100.0,5132.0,4,2,5132.0,SM0
20150529,5100.0,5200.0,5100.0,4942.0,0,2,4942.0,SM0
20150601,5550.0,5550.0,5520.0,5536.0,0,4,5536.0,SM0
20150602,5720.0,5758.0,5520.0,5746.0,8,4,5746.0,SM0
20150603,5720.0,5758.0,5720.0,5746.0,6,2,5746.0,SM0
