date,open,close,high,low,volume,symbol
20241224,591.26,596.26,597.54,588.74,,SPTSX
20241223,591.29,589.84,591.29,585.71,,SPTSX
20241220,580.42,586.77,587.27,579.01,,SPTSX
20241219,585.57,582.59,586.28,577.32,,SPTSX
20241218,597.87,582.31,601.06,582.31,,SPTSX
20241217,599.96,597.25,600.3,593.92,,SPTSX
20241216,604.25,601.25,605.49,600.45,,SPTSX
20241213,609.8,607.84,610.46,603.39,,SPTSX
20241212,617.88,611.88,617.91,610.46,,SPTSX
20241211,614.34,616.6,616.75,612.78,,SPTSX
20241210,618.35,612.67,618.35,611.65,,SPTSX
20241209,614.71,614.75,620.34,613.61,,SPTSX
20241206,609.43,610.22,611.72,607.16,,SPTSX
20241205,617.45,608.29,619.44,607.03,,SPTSX
20241204,623.02,617.5,626.86,615.33,,SPTSX
20241203,614.84,620.72,620.72,613.55,,SPTSX
20241202,617.73,613.01,618.47,610.18,,SPTSX
20241129,611.52,614.26,617.14,611.52,,SPTSX
20241128,609.73,607.69,610.36,607.19,,SPTSX
20241127,601.31,607.91,607.91,600.81,,SPTSX
20241126,604.58,599.78,605.16,599.65,,SPTSX
20241125,603.09,602.93,606.36,599.62,,SPTSX
20241122,600.14,606.17,606.39,595.84,,SPTSX
20241121,595.63,599.11,599.11,591.9,,SPTSX
20241120,599.72,596.25,600.39,594.04,,SPTSX
20241119,594.41,599.23,600.12,593.44,,SPTSX
20241118,595.78,594.17,604.2,593.7,,SPTSX
20241115,590.94,591.22,592.04,588.12,,SPTSX
20241114,594.06,590.51,596.46,590.31,,SPTSX
20241113,602.33,593.72,603.51,591.26,,SPTSX
20241112,598.77,597.7,599.99,593.87,,SPTSX
20241111,607.16,601.39,607.58,594.77,,SPTSX
20241108,614.11,609.24,614.3,606.24,,SPTSX
20241107,602.54,613.4,613.78,601.35,,SPTSX
20241106,601.73,602.11,602.57,596.48,,SPTSX
20241105,602.92,603.72,605.65,601.25,,SPTSX
20241104,602.77,603.27,608.62,601.35,,SPTSX
20241101,605.75,603.95,608.44,602.4,,SPTSX
20241031,613.06,601.43,613.06,598.24,,SPTSX
20241030,618.6,613.4,619.21,613.4,,SPTSX
20241029,619.86,619.73,621.73,617.67,,SPTSX
20241028,621.79,617.15,621.94,614.54,,SPTSX
20241025,619.94,619.91,623.88,619.16,,SPTSX
20241024,617.86,621.07,621.07,611.36,,SPTSX
20241023,622.29,612.72,622.86,610.69,,SPTSX
20241022,623.58,627.31,627.31,621.83,,SPTSX
20241021,625.39,623.01,626.1,621.12,,SPTSX
20241018,611.83,621.67,621.76,610.37,,SPTSX
20241017,610.85,608.9,610.85,607.64,,SPTSX
20241016,603.38,606.64,608.93,603.36,,SPTSX
20241015,604.41,600.42,604.42,600.04,,SPTSX
20241011,598.94,605.43,605.43,598.47,,SPTSX
20241010,590.97,595.81,596.13,590.59,,SPTSX
20241009,591.88,590.84,592.51,588.32,,SPTSX
20241008,591.33,587.61,591.64,585.4,,SPTSX
20241007,597.02,592.25,597.51,590.0,,SPTSX
20241004,592.26,595.26,596.4,591.08,,SPTSX
20241003,588.58,589.92,590.62,587.46,,SPTSX
20241002,588.57,590.17,590.31,586.47,,SPTSX
20241001,583.73,587.09,587.12,578.58,,SPTSX
20240930,581.92,581.12,583.22,576.55,,SPTSX
20240927,596.74,583.14,596.74,581.69,,SPTSX
20240926,595.02,594.33,597.49,593.73,,SPTSX
20240925,597.84,591.41,598.0,589.18,,SPTSX
20240924,591.21,597.11,598.77,590.66,,SPTSX
20240923,587.97,588.2,589.97,587.01,,SPTSX
20240920,586.66,584.91,587.82,581.63,,SPTSX
20240919,582.62,582.72,584.04,580.33,,SPTSX
20240918,581.77,576.21,585.69,576.21,,SPTSX
20240917,583.32,582.35,585.01,578.99,,SPTSX
