date,open,close,high,low,volume,symbol
20241224,5984.63,6040.04,6040.1,5981.44,1127118.0,SPX
20241223,5940.25,5974.07,5978.25,5902.57,2311069.0,SPX
20241220,5842.0,5930.85,5982.06,5832.3,6347727.0,SPX
20241219,5912.71,5867.08,5935.52,5866.07,3217379.0,SPX
20241218,6047.65,5872.16,6070.67,5867.79,3301322.0,SPX
20241217,6052.55,6050.61,6057.68,6035.19,3000899.0,SPX
20241216,6063.79,6074.08,6085.19,6059.14,3097240.0,SPX
20241213,6068.17,6051.09,6078.58,6035.77,2443474.0,SPX
20241212,6074.29,6051.25,6079.68,6051.25,2378727.0,SPX
20241211,6060.15,6084.19,6092.59,6060.15,2856985.0,SPX
20241210,6057.59,6034.91,6065.4,6029.89,2778369.0,SPX
20241209,6083.01,6052.85,6088.51,6048.63,2924094.0,SPX
20241206,6081.38,6090.27,6099.97,6079.98,2494916.0,SPX
20241205,6089.03,6075.11,6094.55,6072.9,2638049.0,SPX
20241204,6069.39,6086.49,6089.84,6061.06,2629947.0,SPX
20241203,6042.97,6049.88,6052.07,6033.39,2631960.0,SPX
20241202,6040.11,6047.15,6053.58,6035.33,2724891.0,SPX
20241129,6003.98,6032.38,6044.17,6003.98,1446140.0,SPX
20241127,6014.11,5998.74,6020.16,5984.87,2090790.0,SPX
20241126,6000.03,6021.63,6025.42,5992.27,2416828.0,SPX
20241125,5992.28,5987.37,6020.75,5963.91,3948305.0,SPX
20241122,5944.36,5969.34,5972.9,5944.36,2609740.0,SPX
20241121,5940.58,5948.71,5963.32,5887.26,2857015.0,SPX
20241120,5914.34,5917.11,5920.67,5860.56,2578080.0,SPX
20241119,5870.05,5916.98,5923.51,5855.29,2673923.0,SPX
20241118,5874.17,5893.62,5908.12,5865.95,2820487.0,SPX
20241115,5912.79,5870.62,5915.32,5853.01,3288789.0,SPX
20241114,5989.68,5949.17,5993.88,5942.28,2623462.0,SPX
20241113,5985.75,5985.38,6008.19,5965.91,2602203.0,SPX
20241112,6003.6,5983.99,6009.92,5960.08,2611468.0,SPX
20241111,6008.86,6001.35,6017.31,5986.69,2714210.0,SPX
20241108,5976.76,5995.54,6012.45,5976.76,2756537.0,SPX
20241107,5947.21,5973.1,5983.84,5947.21,3071244.0,SPX
20241106,5864.89,5929.04,5936.14,5864.89,4192067.0,SPX
20241105,5722.43,5782.76,5783.44,5722.1,2366843.0,SPX
20241104,5725.15,5712.69,5741.43,5696.51,2423396.0,SPX
20241101,5723.22,5728.8,5772.52,5723.22,2742173.0,SPX
20241031,5775.34,5705.45,5775.34,5702.86,3332361.0,SPX
20241030,5832.65,5813.67,5850.94,5811.28,2847423.0,SPX
20241029,5819.68,5832.92,5847.19,5802.17,2572019.0,SPX
20241028,5833.93,5823.52,5842.92,5823.08,2209335.0,SPX
20241025,5826.75,5808.12,5862.82,5799.98,2270597.0,SPX
20241024,5817.8,5809.86,5817.8,5784.92,2283228.0,SPX
20241023,5834.5,5797.42,5834.85,5762.41,2375100.0,SPX
20241022,5832.7,5851.2,5863.04,5821.17,2245294.0,SPX
