date,open,high,low,close,volume,open_interest,settle,symbol
20060112,4700.0,4705.0,4664.0,4668.0,7120,5812,0.0,SR0
20060113,4665.0,4678.0,4628.0,4632.0,6104,5444,0.0,SR0
20060116,4707.0,4834.0,4694.0,4833.0,25198,8428,0.0,SR0
20060117,4833.0,4873.0,4822.0,4847.0,27966,10160,0.0,SR0
20060118,4884.0,5018.0,4861.0,4990.0,50598,12956,0.0,SR0
20060119,5000.0,5100.0,4982.0,5025.0,63804,14278,0.0,SR0
20060120,5112.0,5204.0,5110.0,5201.0,52894,16972,0.0,SR0
20060123,5356.0,5356.0,5356.0,5356.0,810,16402,0.0,SR0
20060124,5490.0,5678.0,5450.0,5678.0,60356,18344,0.0,SR0
20060125,5670.0,5811.0,5586.0,5712.0,66760,16722,0.0,SR0
20060126,5741.0,5937.0,5680.0,5934.0,79242,23486,0.0,SR0
20060127,6048.0,6048.0,5950.0,6030.0,55206,25978,0.0,SR0
20060206,6246.0,6246.0,6220.0,6246.0,11592,28308,0.0,SR0
20060207,6110.0,6110.0,5995.0,5995.0,5760,27338,0.0,SR0
20060208,5704.0,5718.0,5704.0,5704.0,1570,4026,0.0,SR0
20060209,5625.0,5880.0,5500.0,5650.0,71618,25758,0.0,SR0
20060210,5468.0,5585.0,5468.0,5468.0,44930,27038,0.0,SR0
20060213,5380.0,5428.0,5275.0,5308.0,73322,26410,0.0,SR0
20060214,5370.0,5445.0,5357.0,5433.0,56860,25742,0.0,SR0
20060215,5420.0,5470.0,5386.0,5401.0,49602,23328,0.0,SR0
20060216,5390.0,5433.0,5353.0,5364.0,39906,21138,0.0,SR0
20060217,5597.0,5622.0,5467.0,5531.0,30736,14924,0.0,SR0
20060220,5537.0,5616.0,5526.0,5578.0,28300,15014,0.0,SR0
20060221,5631.0,5710.0,5535.0,5701.0,44782,19194,0.0,SR0
20060222,5700.0,5813.0,5666.0,5767.0,96272,25896,0.0,SR0
20060223,5850.0,5880.0,5666.0,5680.0,106372,25738,0.0,SR0
20060224,5549.0,5630.0,5549.0,5550.0,68856,23502,0.0,SR0
20060227,5595.0,5595.0,5430.0,5431.0,73610,25542,0.0,SR0
20060228,5293.0,5332.0,5293.0,5293.0,37680,18828,0.0,SR0
20060301,5350.0,5389.0,5140.0,5150.0,100676,25544,0.0,SR0
20060302,5130.0,5293.0,5125.0,5276.0,107750,23286,0.0,SR0
20060303,5281.0,5335.0,5255.0,5330.0,110584,22598,0.0,SR0
20060306,5349.0,5386.0,5281.0,5322.0,105108,23148,0.0,SR0
20060307,5374.0,5397.0,5212.0,5229.0,143748,27492,0.0,SR0
20060308,5200.0,5216.0,5100.0,5117.0,118248,28136,0.0,SR0
20060309,5052.0,5168.0,5023.0,5151.0,136790,28396,0.0,SR0
20060310,5100.0,5158.0,5060.0,5106.0,153960,29272,0.0,SR0
20060313,5148.0,5148.0,5090.0,5109.0,86158,29752,0.0,SR0
20060314,5132.0,5137.0,5052.0,5063.0,79334,31354,0.0,SR0
20060315,5048.0,5097.0,5037.0,5055.0,95048,31632,0.0,SR0
20060316,5070.0,5147.0,5050.0,5143.0,133418,35682,0.0,SR0
20060317,5128.0,5235.0,5104.0,5219.0,143092,37406,0.0,SR0
20060320,5190.0,5250.0,5056.0,5081.0,187560,36004,0.0,SR0
20060321,5100.0,5142.0,5053.0,5110.0,161424,34464,0.0,SR0
20060322,5158.0,5229.0,5155.0,5210.0,162930,38626,0.0,SR0
20060323,5169.0,5179.0,5120.0,5146.0,99436,35496,0.0,SR0
20060324,4919.0,4998.0,4919.0,4992.0,88894,22896,0.0,SR0
20060327,5063.0,5098.0,5028.0,5069.0,93744,24552,0.0,SR0
20060328,5113.0,5127.0,5035.0,5044.0,108198,26864,0.0,SR0
20060329,5105.0,5165.0,5082.0,5104.0,116034,28478,0.0,SR0
20060330,5110.0,5113.0,5048.0,5050.0,109910,26724,0.0,SR0
20060331,5060.0,5083.0,5026.0,5071.0,89438,27226,0.0,SR0
20060403,5027.0,5040.0,4890.0,4911.0,107400,27826,0.0,SR0
20060404,4950.0,4985.0,4922.0,4964.0,105990,30028,0.0,SR0
20060405,4912.0,4924.0,4779.0,4822.0,106424,34022,0.0,SR0
20060406,4828.0,4860.0,4798.0,4840.0,92794,33828,0.0,SR0
20060407,4830.0,4850.0,4805.0,4816.0,49364,34022,0.0,SR0
20060410,4718.0,4735.0,4637.0,4644.0,70596,35002,0.0,SR0
20060411,4620.0,4676.0,4618.0,4670.0,67610,33186,0.0,SR0
20060412,4668.0,4750.0,4653.0,4737.0,77592,34648,0.0,SR0
20060413,4698.0,4698.0,4574.0,4586.0,96110,35602,0.0,SR0
20060414,4555.0,4571.0,4511.0,4518.0,87460,33764,0.0,SR0
20060419,4860.0,4883.0,4848.0,4875.0,89788,37280,0.0,SR0
20060420,4811.0,4826.0,4755.0,4760.0,87964,38568,0.0,SR0
20060421,4660.0,4679.0,4595.0,4617.0,84764,40154,0.0,SR0
20060424,4672.0,4835.0,4672.0,4769.0,162164,46076,0.0,SR0
20060425,4667.0,4766.0,4650.0,4702.0,173134,45854,0.0,SR0
20060426,4650.0,4750.0,4632.0,4738.0,146258,44990,0.0,SR0
20060427,4749.0,4790.0,4730.0,4773.0,104794,42124,0.0,SR0
20060428,4757.0,4780.0,4733.0,4778.0,71906,41342,0.0,SR0
20060508,4808.0,4847.0,4750.0,4763.0,86242,43876,0.0,SR0
20060509,4760.0,4826.0,4748.0,4794.0,69432,32532,0.0,SR0
20060510,4867.0,4867.0,4824.0,4836.0,67796,39066,0.0,SR0
20060511,4830.0,5039.0,4822.0,5039.0,69186,49524,0.0,SR0
20060512,5090.0,5253.0,4950.0,5023.0,144872,48504,0.0,SR0
20060515,5040.0,5300.0,5040.0,5257.0,223626,64276,0.0,SR0
20060516,5000.0,5125.0,4960.0,4960.0,178426,51758,0.0,SR0
20060517,5030.0,5062.0,4882.0,4978.0,189466,51146,0.0,SR0
20060518,4900.0,4926.0,4830.0,4836.0,136346,47646,0.0,SR0
20060519,4686.0,4759.0,4680.0,4719.0,104826,45450,0.0,SR0
20060522,4740.0,4810.0,4722.0,4759.0,158738,48262,0.0,SR0
20060523,4800.0,4928.0,4800.0,4881.0,151990,49292,0.0,SR0
20060524,4988.0,5010.0,4900.0,4908.0,242500,55056,0.0,SR0
